Name;none;overwrite;overwrite if blank;overwrite except blank;append;append once;must match;min abc ignore blanks;min abc;max abc;min;min ignore blanks;min ignore zero;max;max ignore blanks;max ignore zero;sum;product;product ignore blanks;product ignore zero;average;average ignore blanks;average ignore zero;count;count ignore blanks;count ignore zero;count positive;count positive or zero;count negative;count negative or zero
Abel;ale;ale;ale;ale;ale;ale;ale;ale;ale;ale;5;5;5;5;-5;-5;1;1;  ;1;1;1;1;ale;ale;ale;ale;ale;ale;ale
Abel;beer;beer;beer;beer;beer;beer;ale;beer;beer;beer;4;4;4;4;-4;-4;2;2;2;2;2;2;2;beer;beer;beer;beer;beer;beer;beer
Abel;cider;cider;cider;cider;ale;ale;ale;cider;cider;cider;3;3;3;3;-3;-3;3;3;3;3;3;3;3;cider;cider;cider;cider;cider;cider;cider
Abel;drink;drink;drink;drink;beer;beer;ale;drink;drink;drink;2;2;2;2;-2;-2;4;4;4;4;4;4;4;;;;;;;
Beat;;;;;ale;ale;ale;drink;drink;drink;5;5;5;5;-5;-5;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Beat;beer;beer;beer;beer;beer;beer;;cider;cider;cider;4;4;4;4;-4;-4;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Beat;cider;cider;cider;cider;ale;ale;ale;beer;beer;beer;3;3;3;3;-3;-3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Beat;drink;drink;drink;drink;beer;beer;;ale;ale;ale;0;0;0;0;0;0;;;;;;;;drink;drink;drink;drink;drink;drink;drink
Cyrill;ale;ale;ale;ale;;;ale;ale;ale;ale;5;5;5;5;-5;-5;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cyrill;beer;beer;beer;beer;beer;beer;beer;beer;beer;beer;4;4;4;4;-4;-4;2;2;2;2;2;2;2;-2;-2;-2;-2;-2;-2;-2
Cyrill;cider;cider;cider;cider;cider;cider;;cider;cider;cider;3;3;3;3;-3;-3;3;3;3;3;3;3;3;-3;-3;-3;-3;-3;-3;-3
Cyrill;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dany;;;;;ale;ale;ale;;1;1;1;1;1;1;1;1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0
Dany;beer;beer;beer;beer;;;ale;beer;2;2;2;2;2;2;2;2;-2;-2;-2;-2;-2;-2;-2;2;2;2;2;2;2;2
Dany;cider;cider;cider;cider;;;ale;cider;10;10;-10;-10;-10;-10;-10;-10;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
Dany;;;;;drink;drink;drink;drink;11;11;11;11;11;11;11;11;-4;-4;-4;-4;-4;-4;-4;;;;;;;
Eve;ale;ale;ale;ale;;;;;;;;;;;;;;;;;;;;;;;;;;
Eve;;;;;ale;ale;ale;;;;1;1;1;1;1;1;-2;-2;-2;-2;-2;-2;-2;2;2;2;2;2;2;2
Eve;;;;;ale;ale;ale;-2;-2;-2;2;2;2;2;2;2;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
Eve;drink;drink;drink;drink;ale;ale;ale;-20;-20;-20;-10;-10;-10;-10;-10;-10;-4;-4;-4;-4;-4;-4;-4;4;4;4;4;4;4;4
Falk;;;;;;;;;;;;;0;;;0;;;;;;;;;;;;;;
Falk;;;;;;;;;;;;3;3;;-3;-3;;;;;;;;;;;;;;
Falk;;;;;;;;;;;;4;4;;-4;-4;;;;;;;;;;;;;;
Falk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
