Vehicle Type;Equipment;Power;Speed;Count;Additional Check;Quantity Check
E-Loco;Converter;5000..6000;;1..2;;
E-Loco;Auxiliary;*;*;2;;
E-Loco;Motor;1000..1500;140..200;4;;equal 1
E-Loco;Gear;*;*;4;;
E-Loco;TCMS;*;*;1;[Comments]='*Safe TCMS*';
E-Loco;Diesel Machine;300;;1;;
DE-Loco;Diesel Machine;1700..2400;;1;;
DE-Loco;Diesel Machine;425..600;;4;;
DE-Loco;Alternator;1700..2400;;1;;min 1
DE-Loco;Alternator;425..600;;4;;min 1
DE-Loco;Converter;2400;;1;;
DE-Loco;Auxiliary;;;1;;
DE-Loco;Motor;425..600;100..140;4;;
DE-Loco;Gear;;;4;;
DE-Loco;TCMS;;;4;;
6 Ax E-Loco;Converter;9600;;3;;
6 Ax E-Loco;Motor;1500..1600;120;6;;
6 Ax E-Loco;Gear;;;6;;
6 Ax E-Loco;TCMS;;;1;;
6 Ax E-Loco;Filter Box;200..300;;1;;equal 0
