Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;Last Trend
0 America;1023879139;38371175;30599;2.9885363257;;;;;;;;;;;;0.2574334297;0.2446659546;0.189207115;0.1066819197;0.0677899724;0.0392898776;0.0909803259;0.1217422784;0.1273765203;0.1066819197;0.0542475328;0.0253365136;0;0;0;0;0.0116978953;0.0230035371;0.0339463079;0.0339463079;0.0324744945;0.0311251457;0.029883572;0.0392898776;0.0466351394;0.061414822;0.0819557268;0.1066819197;0.1688712941;0.2477972144;0.2979169191;0.316074013;0.2706946669;0.2126599346;0.204483191;0.216563085;0.2539741578;0.2649967385;0.5932334978;0.7790842437;0.8802494585;0.9272015637;0.5383982918;0.390512333;0.3150762951;0.3137347005;0.3146278437;0.3518891489;0.3831132468;0.4007569341;0.3346855099
00 N. America;372101241;18250341;26721;7.1811101538;;;;;;;;;;;;0.2574334297;0.2446659546;0.189207115;0.1066819197;0.0677899724;0.0392898776;0.0909803259;0.1217422784;0.1273765203;0.1066819197;0.0542475328;0.0253365136;0;0;0;0;0.0116978953;0.0230035371;0.0339463079;0.0339463079;0.0324744945;0.0311251457;0.029883572;0.0392898776;0.0466351394;0.0532807757;0.0670286243;0.0793353256;0.1187786005;0.1602978936;0.1934317183;0.2083016139;0.1763489329;0.1458901905;0.1378163056;0.1465968761;0.1671280062;0.1817038565;0.7483945999;1.0284068924;1.2130876695;1.2873677284;0.5768557962;0.3901871339;0.3026467596;0.3055313478;0.3090791449;0.3524957598;0.3877163953;0.4090439759;0.3367852319
01 M. America;179272572;2429460;566;0.3157203546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1066819197;0.0497363145;0.0608783473;0.1474149978;0.235930917;0.2755306479;0.3547419942;0.3825713858;0.4192374907;0.4555754226;0.4331641883;0.3923106743;0.3502475986;0.3133508988;0.2990942003;0.2907774202;0.2914591746;0.3224299065
03 Caribbean;40376037;214382;324;0.8024561697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5196713713;0.3837825752;0.316074013;0.2325214199;0.189207115;0.1464106949;0.2000685812;0.316074013;0.405853313;0.4369208763;0.3981585943;0.3292784148;0.3169505196;0.3300661357;0.3510422767;0.4148471616
04 S. America;432129289;17476992;2988;0.6914597265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7320508076;0.7198953141;0.4527833328;0.4142135624;0.3907190461;0.4291282458;0.3958193547;0.3469577158;0.3117088649;0.2642675587;0.3259853478;0.3592521978;0.3817797615;0.4019702155;0.3673574247;0.3579554337;0.3630069594;0.3722689281;0.3625515917;0.3105263158
1 Europe;766487068;22177869.3170000017;154375;20.1405876818;;;;;;;;;;0.3677823999;0.3961944238;0.3579060687;0.316074013;0.2793100393;0.2045548971;0.129475927;0.06214507;0.0378019857;0.043898815;0.0605418275;0.0863671979;0.0970156497;0.0897962227;0.0687664617;0.0421333786;0.0248517895;0.0110108336;0.0072206855;0.0053910309;0.0035778747;0.001780951;0.0288676059;0.1138075445;0.2718966205;0.4253645981;0.5260927661;0.53316841;0.471056465;0.4312176018;0.4085065788;0.4130325897;0.3890486391;0.3595874872;0.3285123554;0.2982788087;0.2904442254;0.292720767;0.2992624655;0.2899388744;0.2708188155;0.2561471506;0.2249073239;0.2359626132;0.2435112486;0.2520773691;0.2612155147;0.2311465704;0.2094320888;0.186128061;0.1847604692;0.1853268926;0.1670761671
11 N. Europe;27194671;1223573;6295;23.1479174725;;;;;;;;;;;;;;;0.1066819197;0.0466351394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1066819197;0.316074013;0.5314071568;0.792916689;0.8118919947;0.6579315679;0.5239703432;0.4392044288;0.4659750196;0.4859139331;0.5102461807;0.4503529631;0.3569690427;0.3572731175;0.389017042;0.4279791803;0.447523876;0.3838245061;0.2953209095;0.2138819723;0.1478217507;0.1110486656;0.0937211068;0.0974719508;0.1037384205;0.0953540978
12 W. Europe;285071850;1430092;62513;21.9288575845;;;;;;;;;;0.3426748071;0.316074013;0.2532208632;0.216563085;0.2004804806;0.1842208118;0.1377516955;0.0817967676;0.0474417952;0.0510421216;0.0657971986;0.0962893893;0.1109140501;0.1041112126;0.0828683853;0.0509217894;0.0313253836;0.0137331918;0.0089695078;0.0066893361;0.0044346986;0.0022050851;0;0;0;0.0086588166;0.0293813121;0.0745699318;0.1826330262;0.2772088236;0.4030331316;0.4874156166;0.4906325966;0.4656648897;0.4073926864;0.3929484465;0.409858362;0.4473718104;0.451627852;0.395314724;0.317785099;0.2672735656;0.2246779348;0.2526749747;0.2709778735;0.2864841482;0.3008429173;0.2726684089;0.2572552331;0.2374490818;0.2386065946;0.2334054022;0.1665267126
13 S. Europe;129670199;1023531.4399999999;81173;62.5995800315;;;;;;;;;;;;;;;;;0.029883572;0.0266900961;0.0514473818;0.0962893893;0.1167896529;0.1066819197;0.0806240865;0.0364228438;0.0173978273;0;0;0;0;0;0;0.2085501589;0.5694140394;1.0062209149;1.3429433825;1.1749073502;0.8324261976;0.5680282419;0.4621703419;0.4034754;0.3954955872;0.3677491452;0.339438667;0.3110312629;0.2728065273;0.2522776613;0.241102289;0.2461671888;0.2516807044;0.2475355912;0.2408504052;0.2069158085;0.2073554509;0.2132893557;0.2265299956;0.2425829538;0.2157846379;0.1917191445;0.1643590558;0.1588894866;0.1604023119;0.1710233994
14 E. Europe;324550348;18500672.8770000003;4394;1.3538731439;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0392898776;0.189207115;0.316074013;0.4827286759;0.5162678306;0.4142135624;0.3221250875;0.2328754402;0.2418531322;0.2548055503;0.3505855537;0.3742975573;0.3926318724;0.351483931;0.3076022918;0.3371307131;0.3427528084;0.4310537062;0.4563996875;0.4421801919;0.4007139561;0.3192244221;0.2605821448;0.2237451588;0.2146831129;0.2155273241;0.2134769401
2 Asia Pacific;4185140968;30950491;96982;2.3172935091;;;;;;;;0.4909332296;0.483693383;0.4525447598;0.3922359;0.2985226436;0.2749104792;0.2496319594;0.2563587858;0.2403786562;0.2077071935;0.1751086101;0.139971961;0.1179009255;0.0982429313;0.0824637821;0.0667246509;0.0768994535;0.0946334783;0.1133167317;0.1175003393;0.0911480278;0.0615699094;0.0326572877;0.022160375;0.016436303;0.0126868404;0.0106705509;0.0101410468;0.0098658395;0.0087225537;0.0084791743;0.0086271158;0.0104421212;0.0119229896;0.0127594373;0.0130566156;0.0122364063;0.0110441192;0.0097377904;0.0086791567;0.0079547055;0.006924383;0.0057824726;0.0047228812;0.0037854057;0.0035440625;0.0036506629;0.0041332192;0.0047806335;0.0054681192;0.0062499034;0.0070234853;0.0078196358;0.0089739937;0.014753275
21 C. Asia;75861692;3497518;372;0.490366073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6265765617;0.6265765617;0.2909944487;0.1791707147;0.1442496849;0.2295763059;0.2549109828;0.2681359557;0.2503887075;0.2073682014;0.1963355488;0.2085501589;0.2473095078;0.2837187937;0.3246259509;0.3309015585;0.3242361034;0.2966432342;0.24915131;0.1961414791
22 India Region;1817448317;4118717;1178;0.0648161485;;;;;;;;;;;0.189207115;0.1582921853;0.1362193665;0.1442496849;0.1501633169;0.1362193665;0.1066819197;0.0573712634;0.0173978273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0317854888;0.0608783473;0.0877573059;0.1127795715;0.1012166568;0.1115041773;0.1110476136;0.2601581118;0.3538944855;0.4018611692;0.3915788419;0.2419747692;0.1692438427;0.153086246;0.1879664173;0.2019277171;0.2077073339;0.189207115;0.1978206626;0.2340876145;0.3010421532;0.342935546;0.3677823999;0.3361333364;0.3045788159;0.3793911007
