Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21
0 America;1023879139;38371175;30599;2.9885363257;;0;0;0;0;1;1;2;2;2;4;4;4;4;4;5;5;7;7;7;7;7;7;7;7;7;7;8;8;8;8;9;9;9;10;11;12;14;16;26;38;41;47;58;68;95;113;153;177;1094;1494;1924;2693;3359;4285;5851;8067;9905;16555;22926;30599
00 N. America;372101241;18250341;26721;7.1811101538;;0;0;0;0;1;1;2;2;2;4;4;4;4;4;5;5;7;7;7;7;7;7;7;7;7;7;8;8;8;8;9;9;9;10;11;11;13;14;20;24;27;30;33;37;49;54;64;77;971;1322;1713;2303;2859;3690;4986;6831;8373;14416;19989;26721
01 M. America;179272572;2429460;566;0.3157203546;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;5;5;5;5;7;7;12;16;17;31;47;64;91;115;151;206;244;319;428;566
03 Caribbean;40376037;214382;324;0.8024561697;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;4;5;7;10;10;10;12;16;28;46;51;65;98;118;160;229;324
04 S. America;432129289;17476992;2988;0.6914597265;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;8;8;11;16;22;34;45;67;74;96;129;148;298;363;429;649;932;1170;1660;2280;2988
1 Europe;766487068;22177869.3170000017;154375;20.1405876818;;0;0;2;3;3;4;8;10;10;18;23;25;27;28;28;28;31;36;38;43;45;46;46;46;47;47;47;47;47;47;64;106;199;277;381;541;806;1095;1472;2213;2748;3383;4376;5821;7642;9839;12460;15300;18767;23950;24686;39104;47461;56022;67061;78492;92476;111264;132275;154375
11 N. Europe;27194671;1223573;6295;23.1479174725;;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;11;17;34;46;56;76;134;238;291;397;489;633;1128;1686;2080;2903;3268;3533;3825;4218;4530;5138;5747;6295
12 W. Europe;285071850;1430092;62513;21.9288575845;;0;0;2;3;3;4;8;9;9;12;16;18;20;21;21;21;23;28;29;34;36;37;37;37;38;38;38;38;38;38;38;38;38;42;48;62;113;139;244;361;496;592;858;1351;2141;2867;3633;4117;5368;6916;7154;12073;15004;17848;22809;27926;34794;42621;53589;62513
13 S. Europe;129670199;1023531.4399999999;81173;62.5995800315;;0;0;0;0;0;0;0;0;0;2;3;3;3;3;3;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5;22;64;157;231;328;467;674;925;1179;1787;2175;2688;3344;4180;5119;6479;8194;10393;12037;14975;14983;23305;28074;33274;38767;44332;50750;60511;69318;81173
14 E. Europe;324550348;18500672.8770000003;4394;1.3538731439;;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;7;8;14;15;19;21;27;40;52;91;96;144;157;234;373;469;823;1115;1367;1660;2016;2402;2994;3621;4394
2 Asia Pacific;4185140968;30950491;96982;2.3172935091;;554;652;937;1429;2109;2917;5563;6145;8213;9894;11999;16745;19834;23844;27586;30768;34276;36998;40023;42558;44595;44973;60119;66592;68669;70792;72726;74516;74938;75480;76067;77764;77985;78449;79122;79846;80811;81728;83011;84205;85037;86052;86702;87371;88150;88752;89190;89463;89688;90150;90306;90760;91215;91806;92326;93065;93761;94728;95572;96982
21 C. Asia;75861692;3497518;372;0.490366073;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;7;7;7;7;11;11;14;23;25;27;36;39;52;69;92;116;183;203;269;311;372
22 India Region;1817448317;4118717;1178;0.0648161485;;0;0;0;1;1;2;2;2;3;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;7;7;7;9;9;11;12;35;37;40;43;55;59;84;96;108;130;158;204;306;447;535;740;854;1178
23 China;1439323776;9388211;81305;5.6488332476;;548;643;920;1406;2075;2877;5509;6087;8141;9802;11891;16630;19716;23707;27440;30587;34110;36814;39829;42354;44386;44759;59895;66358;68413;70513;72434;74211;74619;75077;75550;77001;77022;77241;77754;78166;78600;78928;79356;79932;80136;80261;80386;80537;80690;80770;80823;80860;80887;80921;80932;80945;80977;81003;81033;81058;81102;81156;81250;81305
24 N.E. Asia;177745646;461785;9806;5.5168721264;;3;2;4;4;7;8;11;11;15;26;32;35;35;38;41;68;49;49;51;53;54;56;56;57;71;88;96;105;115;198;309;555;749;992;1147;1450;1980;2565;3391;3992;4609;5479;5952;6448;7013;7502;7816;7989;8094;8394;8508;8680;8859;9001;9061;9198;9302;9489;9615;9806
