Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21
0 America;1023879139;38371175;30599;2.9885363257;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;4;4;4;4;4;5;5;7;7;7;7;7;7;7;7;7;7;8;8;8;8;9;9;9;9;20;20;24;24;25;25;34;39;22;22;28;35
00 N. America;372101241;18250341;26721;7.1811101538;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;4;4;4;4;4;5;5;7;7;7;7;7;7;7;7;7;7;8;8;8;8;9;9;9;9;16;16;20;20;20;20;26;26;9;9;9;10
01 M. America;179272572;2429460;566;0.3157203546;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4;6
03 Caribbean;40376037;214382;324;0.8024561697;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;3
04 S. America;432129289;17476992;2988;0.6914597265;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;7;8;9;13;16
1 Europe;766487068;22177869.3170000017;154375;20.1405876818;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;4;8;10;10;18;22;24;26;30;30;30;32;33;34;35;40;43;86;87;88;125;191;204;322;460;571;678;712;821;828;1311;1312;1743;2620;3007;3469;4204;5452;5912;6444;8998
11 N. Europe;27194671;1223573;6295;23.1479174725;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;5;5;10;16;28;33;44;61;113;213;259;355
12 W. Europe;285071850;1430092;62513;21.9288575845;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;4;8;9;9;12;15;17;19;25;25;25;27;27;28;33;35;35;36;36;37;37;37;39;40;40;41;52;52;54;56;64;64;87;91;176;203;236;445;699;1130;1554
13 S. Europe;129670199;1023531.4399999999;81173;62.5995800315;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;3;3;3;3;3;3;4;3;3;5;47;48;48;85;151;162;278;416;525;619;652;756;757;1229;1230;1635;2500;2869;3298;3988;5126;5567;6061;8230
14 E. Europe;324550348;18500672.8770000003;4394;1.3538731439;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;5;6;7;10;13;13;16;24;26;44;57;62;58;69;112
