Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21
0 America;1023879139;38371175;35;0.0034183722;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;6;6;6;6;6;7;7;7;7;9;9;9;20;20;24;24;25;25;34;39;22;22;28;35
00 N. America;372101241;18250341;10;0.0026874406;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;6;6;6;6;6;6;6;6;6;8;8;8;16;16;20;20;20;20;26;26;9;9;9;10
01 M. America;179272572;2429460;6;0.0033468589;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4;6
03 Caribbean;40376037;214382;3;0.0074301497;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;3
04 S. America;432129289;17476992;16;0.0037025956;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;7;7;7;13;16
1 Europe;766487068;22177869.3170000017;8998;1.1739271771;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;7;11;18;19;30;30;30;32;33;34;33;40;43;86;87;88;125;191;204;322;460;571;678;712;821;828;1311;1312;1743;2620;3007;3469;4204;5452;5912;6444;8998
11 N. Europe;27194671;1223573;50;0.183859551;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;4;5;5;5;5;5;21;13;13;18;33;33;50
12 W. Europe;285071850;1430092;606;0.2125779869;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;4;6;13;14;25;25;25;27;27;27;27;34;35;36;36;37;37;37;39;40;40;41;52;52;54;56;64;64;87;91;91;114;146;246;254;291;606
13 S. Europe;129670199;1023531.4399999999;8230;6.3468708026;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;3;4;3;3;5;47;48;48;85;151;162;278;416;525;619;652;756;757;1229;1230;1635;2500;2869;3298;3988;5126;5567;6061;8230
14 E. Europe;324550348;18500672.8770000003;112;0.0345092836;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;5;6;7;10;13;13;16;24;26;44;57;62;58;59;112
2 Asia Pacific;4185140968;30950491;74081;1.7700956925;;28;30;36;39;52;61;107;126;143;222;284;472;623;852;1124;1487;2011;2616;3241;3943;4680;5139;6283;8046;9377;10839;12556;14314;16082;18138;18845;22840;23348;25182;27852;30269;33115;36521;39540;42385;45089;47700;50262;52563;54312;55938;57773;59191;60730;62276;63581;65057;66544;67920;69473;70657;71762;72587;73391;74081
21 C. Asia;75861692;3497518;13;0.0171364488;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;6;7;8;8;8;8;13
22 India Region;1817448317;4118717;41;0.0022559101;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;7;8;8;8;8;17;19;21;21;35;40;41
23 China;1439323776;9388211;71857;4.992413882;;28;30;36;39;49;58;101;120;135;214;275;463;614;843;1115;1477;1999;2596;3219;3918;4636;5082;6217;7977;9298;10755;12462;14206;15962;18014;18704;22699;23187;25015;27676;30084;32930;36329;39320;42162;44854;47450;50001;52292;53944;55539;57388;58804;60181;61644;62901;64196;65660;67017;67910;68798;69755;70535;71266;71857
24 N.E. Asia;177745646;461785;1772;0.9969301864;;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;2;2;4;7;12;16;16;16;21;21;22;25;30;34;38;38;40;40;44;44;44;44;59;62;62;73;84;84;181;211;194;194;348;406;451;628;628;628;1281;1551;1684;1690;1731;1772
25 S.E. Asia;642976569;5498440;372;0.0578559185;;0;0;0;0;2;2;5;5;5;5;6;6;6;6;6;7;8;15;15;15;29;37;40;43;48;50;57;68;75;75;87;87;105;111;116;125;125;132;145;145;157;161;161;161;161;162;164;166;173;194;197;199;222;229;233;256;271;293;320;372
26 AU / NZ;30322117;7945610;26;0.0857459919;;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;8;8;8;8;10;10;10;10;11;11;11;11;11;11;11;11;11;11;11;11;11;21;21;21;21;21;21;21;21;23;23;23;23;23;23;26;26;26
27 Pacific Ocean;1462851;40210;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3 ME/Africa;1546637756;28414278;8062;0.5212597435;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;4;4;4;4;4;4;4;4;4;4;53;54;80;131;183;299;300;562;749;928;1686;2153;2426;2786;3071;3082;3102;3112;4759;4789;5617;5648;6010;7070;8062
31 MENA;526745694;10157840;8049;1.5280618507;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;4;4;4;4;4;4;4;4;4;4;53;54;80;131;183;299;300;562;749;928;1686;2152;2425;2785;3070;3081;3101;3111;4758;4787;5614;5644;6006;7065;8049
32 SSa Africa;1019892062;18256438;13;0.0012746447;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;3;4;4;5;13
Afghanistan;38928346;652860;1;0.0025688222;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
Albania;2877797;27400;2;0.0694976053;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Algeria;43851044;2381740;32;0.0729743173;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;12;12;12;12;12;32;32;32
Andorra;77265;470;1;1.2942470718;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1
