Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22
Austria;9006398;82409;3244;36.018839052;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;4;6;8;13;15;18;25;35;49;71;88
Belgium;11589623;30280;3401;29.3452168375;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;31;31;72;263;263
Canada;37742154;9093510;1452;3.8471572131;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;4;4;4;4;4;5;5;7;7;7;7;7;7;7;7;7;7;8;8;8;8;9;9;9;9;10;10;12;13;19;23;23;25;25;28;37;35;43
China;1439323776;9388211;81397;5.6552251382;;28;30;36;39;49;58;101;120;135;214;275;463;614;843;1115;1477;1999;2596;3219;3918;4636;5082;6772;8281;10228;14864;17852;21704;25324;28349;31872;34371;37384;39759;41721;42042;57149;63568;65576;67641;69520;71264;71636;72062;72506;73929;73922;74118;74615;75005;75428;75748;76163;76729;76919;77031;77145;77288;77437;77511;77558
France;64385922;547557;16018;24.8781092239;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;3;4;5;5;5;5;5;5;5;5;5;5;10;10;10;11;11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;39;43;56;137;134;203;387;2200
France;65273511;547557;16176;24.7818751469;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;3;4;5;5;5;5;5;5;5;5;5;5;10;10;10;11;11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;39;43;56;140;137;206;395;2206
Germany;83783942;348560;24873;29.6870729716;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;4;4;5;8;10;12;12;12;12;14;14;14;14;16;16;16;16;16;16;16;16;16;16;17;18;18;18;18;25;43;46;70;119;142;172;234;438;603;715;946
India;1380004385;2973190;396;0.028695561;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;13;13;14;25;26;26;30;32
Italy;60461826;294140;59138;97.8104763161;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;1;2;1;1;3;45;46;46;83;149;160;276;414;523;589;622;724;724;1045;1045;1439;1966;2335;2749;2941;4025;4440;4440;6072;7024
Korea, South;51269185;97230;8897;17.353503864;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;3;4;4;7;7;11;12;15;15;16;19;22;22;22;19;19;22;22;22;22;27;30;30;30;41;69;162;389;552;780;923;1201;1700;2271;3078;3661;4260;5105;5537;5997;6499;6939;7210
Russia;145934462;16376870;367;0.2514827512;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;8;8;8;8;8;9;12;12;17
Spain;46754778;498800;28768;61.5295403606;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;30;30;32;32;183;183;193;517;517;530;1028;1081;1107;1588;2125;2575
Sweden;10099265;410340;1934;19.1499084339;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;6;10;11;9;14;25;83;85;141;182
Switzerland;8654622;39516;7245;83.7124948958;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;3;3;3;3;3;4;4;4;5;13;28;29;62;73;160;193;239
US;331002651;9147420;33193;10.0280163617;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;12;12;12;12;17;17;0;0;0;0;0
