Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;Last Trend
Austria;9006398;82409;3244;36.018839052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5556842475;0.604340218;0.4591650317;0.3677823999;0.321391592;0.3480020255;0.3677823999;0.362925333;0.3514703138;0.3368831201;0.3233858166;0.3529181496;0.3681336988;0.3785773151;0.364828499;0.321667842;0.2860084313;0.2538997412;0.2430144997;0.2244267971;0.2057475812;0.1684151818;0
Belgium;11589623;30280;3401;29.3452168375;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0745699318;0.3837825752;0.663993576;0.9569640853;1.1533251607;1.0168317783;0.9432850157;0.8154897656;0.6306144328;0.4034059978;0.2574334297;0.1697654358;0.1820525519;0.2196046797;0.2701211288;0.3096551526;0.2800673964;0.2478246738;0.2066520229;0.2042745905;0.2115636809;0.2230253963;0.2074780784;0
Canada;37742154;9093510;1457;3.8604049997;;;;;;;;;;;;0.2574334297;0.2446659546;0.189207115;0.1066819197;0.0677899724;0.0392898776;0.0909803259;0.1217422784;0.1273765203;0.1066819197;0.0542475328;0.0253365136;0;0;0;0;0.0116978953;0.0230035371;0.0339463079;0.0339463079;0.0324744945;0.0311251457;0.029883572;0.0392898776;0.0466351394;0.0532807757;0.0670286243;0.0793353256;0.1187786005;0.1602978936;0.1934317183;0.2083016139;0.1763489329;0.1458901905;0.1378163056;0.1465968761;0.1671280062;0.1817038565;0.1660547163;0.171841766;0.1615536614;0.2085501589;0.2302743342;0.2463323746;0.2965220137;0.2846479991;0.3201891633;0.315729536;0.2890815132;0.2747731861;0.2428497245;0.2162269896;0.0034435262
China;1439323776;9388211;81439;5.6581431751;;;;;;;;0.4920083106;0.4858914753;0.4552326936;0.3943066921;0.2995247966;0.2756314978;0.2503303903;0.257318293;0.2414436524;0.2084698329;0.1756104676;0.1402356087;0.1181086084;0.0984576425;0.0826132058;0.0668474808;0.0770524073;0.0948954308;0.1136294031;0.1177847052;0.0912644051;0.0615423178;0.0325359073;0.0219464572;0.0160347734;0.0118414408;0.009258725;0.0081150318;0.0074318568;0.006022182;0.0053441821;0.0047548783;0.0052034725;0.0053765578;0.0051871988;0.0048804871;0.004089726;0.0031003719;0.0022778989;0.0017306237;0.0015537938;0.0013127983;0.0009887525;0.0006924708;0.0004712228;0.0003555494;0.0002925706;0.0002646599;0.0002810465;0.0003046409;0.0003487926;0.0004021449;0.0005088435;0.0006339252;0.000779333;0.0008465874;0.0005159895
France;64385922;547557;16018;24.8781092239;;;;;;;;;;0.1501633169;0.1362193665;0.1246826504;0.0909803259;0.0648443168;0.0466351394;0.029883572;0.0143921879;0;0.0631972209;0.1167896529;0.163617807;0.163617807;0.094451513;0.0419310422;0;0.0074911602;0.0148188514;0.0219911623;0.0219911623;0.0143921879;0.0070675775;0;0;0;0;0.0136085703;0.0514473818;0.1808612863;0.3310488228;0.5050909823;0.5981123403;0.5660153474;0.468149275;0.3665281277;0.3179805427;0.3294160395;0.3933865776;0.4152522803;0.3954726017;0.3303518252;0.2776843722;0.2349913775;0.2579309004;0.2608840867;0.2439622736;0.2521694167;0.2293893521;0.2234782833;0.2154894597;0.2016266598;0.190763057;0.164596049;0.1385287757;0
France;65273511;547557;16044;24.5796491627;;;;;;;;;;0.1501633169;0.1362193665;0.1246826504;0.0909803259;0.0648443168;0.0466351394;0.029883572;0.0143921879;0;0.0631972209;0.1167896529;0.163617807;0.163617807;0.094451513;0.0419310422;0;0.0074911602;0.0148188514;0.0219911623;0.0219911623;0.0143921879;0.0070675775;0;0;0;0;0.0136085703;0.0514473818;0.1808612863;0.3310488228;0.5050909823;0.5981123403;0.5660153474;0.468149275;0.3680328407;0.3202575115;0.3316848909;0.3958443687;0.4161507573;0.3956041557;0.3300156065;0.2769434219;0.2341111523;0.2569770385;0.260382243;0.2439410868;0.2524307536;0.2298135389;0.2240707346;0.2161058199;0.2024663939;0.1917486061;0.1656473081;0.1386639733;-0.0081602374
Germany;83783942;348560;24873;29.6870729716;;;;;;;;;;;;;0.2643616997;0.2574334297;0.2716977157;0.2063224072;0.1185197738;0.0538289314;0.0281966153;0.0266900961;0.0330476141;0.0442698471;0.0489228801;0.0466351394;0.0401940019;0.0219911623;0.0106967087;0;0;0;0;0;0;0;0;0.0051681308;0.0573712634;0.1701736597;0.2600449358;0.3707634181;0.4386179283;0.4220056675;0.4149434793;0.3742310761;0.3829251747;0.4000720885;0.4162139981;0.4200507787;0.3382580539;0.2695297418;0.235160965;0.2136247322;0.2625527625;0.2952508915;0.3263857183;0.3419579148;0.3065367737;0.2925575845;0.2729479556;0.2807474307;0.266190424;0.2341065647;0.1816882562;0
India;1380004385;2973190;396;0.028695561;;;;;;;;;;;;;;;;0.316074013;0.2247448714;0.1066819197;0.029883572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0514473818;0.0962893893;0.4334589871;0.6265765617;0.6865504249;0.644163729;0.2862116403;0.1648750944;0.115892272;0.1409735262;0.1641260481;0.1695005655;0.1681900672;0.1654204736;0.1499481924;0.1457845639;0.1286277726;0.1344938955;0.1548085603;0.1970778762;0.2349771433;0.2288728196;0
Italy;60461826;294140;59138;97.8104763161;;;;;;;;;;;;;;;;;0;0.0392898776;0.0745699318;0.1066819197;0.1066819197;0.0648443168;0.029883572;0;0;0;0;0;0;0;0;0.3037151419;0.7530491966;1.2653038294;1.6532189307;1.2827473026;0.8538675249;0.5672811954;0.4544755315;0.3946566332;0.3864686346;0.3576266929;0.3292807848;0.299929994;0.2632897862;0.242627288;0.23242417;0.2376231424;0.2412545576;0.2321292975;0.2193591844;0.1832223665;0.1738275408;0.1772625759;0.1891977608;0.2047428877;0.1859297228;0.1672750688;0.1423736665;0.1376675496;0.1387314438;0.1381337036;0.1224808051;0
Korea, South;51269185;97230;8897;17.353503864;;;;;;;;0.2877547885;0.2446659546;0.1442496849;0.2053905237;0.2516784346;0.3339838987;0.3677823999;0.2473865521;0.1665451705;0.1115041773;0.119627769;0.1146156312;0.0992290923;0.0699079133;0.0492682046;0.0398122653;0.0357122346;0.0253365136;0.0122722344;0.0059704145;0.008811424;0.0173978273;0.0230035371;0.1821491943;0.4049799008;0.6939240131;0.9156707572;0.8315433235;0.6332189161;0.426807561;0.3407743426;0.3017511629;0.3168463172;0.3164309919;0.2938513205;0.2538313422;0.202033001;0.1633797413;0.1300996675;0.1044000676;0.0845256573;0.0662003105;0.0506931942;0.0363072109;0.025158744;0.0196789359;0.0177784821;0.0158945983;0.0142472318;0.0116063117;0.0106399594;0.0108730939;0.0115015645;0.0128772088;0.0135300425;0.0125588791;0
Russia;145934462;16376870;367;0.2514827512;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0392898776;0.0745699318;0.1066819197;0.1362193665;0.3001186521;0.3915788419;0.4784494721;0.4723954424;0.2818610192;0.1740548859;0.1213988704;0.1860316338;0.2503887075;0.3083092257;0.3287911809;0.3016885305;0.2769776504;0.288280224;0.2965006546;0.2980442152;0.2744592905;0.2262213598;0
Spain;46754778;498800;28768;61.5295403606;;;;;;;;;;;;;;;;;;0;0;0.0745699318;0.1362193665;0.189207115;0.189207115;0.1066819197;0.0466351394;0;0;0;0;0;0;0;0;0;0;0.1362193665;0.3677823999;0.5428791731;0.77827941;0.7415941484;0.663993576;0.6450538068;0.5747759693;0.5321632208;0.4153102779;0.3714947211;0.3312642436;0.3271811074;0.3655081875;0.4058118217;0.4444231278;0.411791135;0.4447704981;0.4176940998;0.4007241113;0.4018166008;0.317528525;0.2650532288;0.2242102384;0.2132388115;0.2125610351;0.2029631535;0.1741614686;0
Sweden;10099265;410340;1934;19.1499084339;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0745699318;0.3512001548;0.5196713713;0.7157856185;0.6947806121;0.4229707211;0.3295739742;0.2854975409;0.4601394329;0.5389906978;0.6335032332;0.5997372262;0.4212322075;0.3682069793;0.326726423;0.32977408;0.329660866;0.3100456162;0.2619124888;0.2070016917;0.1473400156;0.1075355721;0.0872152167;0.0900537406;0.0992915445;0.1055441546;0.0956144287;0
Switzerland;8654622;39516;7245;83.7124948958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7174330382;0.6467029856;0.5334503997;0.4882447856;0.4805199275;0.4776924749;0.4447127751;0.3930039117;0.3022130596;0.2630915515;0.2167325818;0.2568550481;0.2723351389;0.3265751508;0.3383529373;0.3056708865;0.2595437926;0.2018810772;0.2112739595;0.2241502743;0.2460830401;0.2107392319;0
US;331002651;9147420;1;0.0003021124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US;331002651;9147420;33197;10.0292248113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3025656999;0.3067050603;0.3078861244;0.355250005;0.3949377716;0.4182186483;0.4287225152;0.3495628618;0.0001205073
