Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;Last Trend
0 America;1024461276;38395075;63972;6.2444527186;;;;;;;;0.4762958619;0.4142135624;0.2038013435;0.1559871148;0.1209646403;0.1501633169;0.1673775258;0.1384850195;0.1127795715;0.0764836882;0.064085069;0.0548446713;0.0408999365;0.0353185025;0.0241136891;0.0186996826;0.01802527;0.022385221;0.0219911623;0.0173978273;0.0126875257;0.0124764245;0.0122722344;0.0122722344;0.0198904499;0.0271038339;0.0339463079;0.1468892634;0.2216402967;0.291555385;0.2958086819;0.1878409931;0.1327250574;0.1008723652;0.1417756171;0.1766800742;0.2054560572;0.2354610706;0.2524838909;0.2913976955;0.3182150222;0.3118807716;0.3218489389;0.3171154737;0.3220043325;0.3420108855;0.332559548;0.3185552565;0.3053319609;0.3066248275;0.3094761297;0.3478530665;0.3798145154;0.3981007065;0.4056657191;0.3723397717;0.3328074162;0.2211892717
00 N. America;372101241;18250341;56588;15.2076891353;;;;;;;;0.4762958619;0.4142135624;0.2038013435;0.1559871148;0.1209646403;0.1501633169;0.1673775258;0.1384850195;0.1127795715;0.0764836882;0.064085069;0.0548446713;0.0408999365;0.0353185025;0.0241136891;0.0186996826;0.01802527;0.022385221;0.0219911623;0.0173978273;0.0126875257;0.0124764245;0.0122722344;0.0122722344;0.0198904499;0.0271038339;0.0339463079;0.1468892634;0.2216402967;0.2898703776;0.2926051748;0.1823288213;0.1220433769;0.0801523011;0.1152984096;0.1488109767;0.1821262708;0.2242211403;0.244916013;0.2879913849;0.3122003167;0.3058136669;0.321762911;0.3186444823;0.3288933881;0.3439200084;0.3271414172;0.3082235665;0.2920671497;0.2975909753;0.3031547229;0.3477122865;0.3837691637;0.4058427486;0.4143998526;0.3779877198;0.3369552951;0.2306554739
01 M. America;179670200;2452270;948;0.5276334083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1066819197;0.0497363145;0.0608783473;0.1474149978;0.235930917;0.2755306479;0.3547419942;0.3825713858;0.4192374907;0.4555754226;0.4331641883;0.3923106743;0.3502475986;0.3133508988;0.2990942003;0.2907774202;0.2914591746;0.3047984126;0.298912378;0.2691329087;0.0834285714
03 Caribbean;40560546;215472;658;1.6222661302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5196713713;0.3837825752;0.316074013;0.2325214199;0.189207115;0.1464106949;0.2000685812;0.31240292;0.4001958408;0.4324652541;0.3965223614;0.3329967124;0.3222716402;0.3342032498;0.3540458009;0.3826620119;0.3790746197;0.3513999921;0.1708185053
04 S. America;432129289;17476992;5778;1.3370998326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7320508076;0.7198953141;0.4527833328;0.4142135624;0.3907190461;0.4291282458;0.3958193547;0.3469577158;0.3117088649;0.2642675587;0.3259853478;0.3592521978;0.3817797615;0.4019702155;0.3673574247;0.3579554337;0.3630069594;0.3722689281;0.3625515917;0.3602085331;0.3392712948;0.3065929855;0.1635118808
1 Europe;609891552;21312221.4400000013;186937;30.6508590563;;;;;;;;;;;;;0.4400153247;0.381530684;0.2778862085;0.1745528945;0.0868527253;0.0500388758;0.0339463079;0.0361299448;0.0392898776;0.0452255266;0.043898815;0.0348953188;0.0274226617;0.0132479196;0.0065150025;0;0;0;0;0.0505270769;0.1853770907;0.4073648693;0.6029801948;0.6949157459;0.6407252753;0.5156983403;0.4500699423;0.410932696;0.4082356893;0.3806366397;0.3527995265;0.3241186359;0.2936687136;0.2823946732;0.278655287;0.2833657697;0.2760468323;0.2606065793;0.2488426172;0.2181833733;0.2280828537;0.2373130436;0.2510964912;0.2625916888;0.2326053672;0.2086341827;0.1830596383;0.1821787234;0.1833854909;0.1797278665;0.1688344543;0.1532852453;0.1172023475
11 N. Europe;21451759;1181143;6711;31.2841478407;;;;;;;;;;;;;;;0.1066819197;0.0466351394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1066819197;0.2974015658;0.5076572166;0.7556215428;0.7733190286;0.6467029856;0.5165982082;0.4413354318;0.4756406524;0.4923490695;0.5176403024;0.4528435905;0.3425524176;0.3166043673;0.3214614531;0.3438982023;0.3686722927;0.3400755001;0.2840431461;0.2238779702;0.1636452908;0.1250393259;0.1036774303;0.1048492292;0.1111814164;0.1189609487;0.1171919789;0.1140767103;0.1050551622
12 W. Europe;136029709;606885;60513;44.4851352288;;;;;;;;;;;;;0.2643616997;0.2574334297;0.2809470357;0.2227387306;0.1411275557;0.0745699318;0.0403487581;0.031385959;0.0306163249;0.0411408019;0.0455698605;0.0435792378;0.0375985948;0.0206294122;0.0100515141;0;0;0;0;0;0;0;0;0.019056183;0.0784989551;0.2146137708;0.3117518724;0.4377265514;0.5123925445;0.4899307618;0.49037251;0.4398371601;0.4371542374;0.45089613;0.4720273633;0.4679554215;0.3906139747;0.306144123;0.2580440873;0.220589056;0.2574443467;0.2836489933;0.316399331;0.3315085502;0.2982488282;0.2767401239;0.2501737248;0.2568546746;0.2509441755;0.2362334759;0.210054826;0.1808133518;0.1435455525
13 S. Europe;129670199;1023531.4399999999;112793;86.9845198587;;;;;;;;;;;;;;;;;0.029883572;0.0266900961;0.0514473818;0.0962893893;0.1167896529;0.1066819197;0.0806240865;0.0364228438;0.0173978273;0;0;0;0;0;0;0.2085501589;0.5694140394;1.0062209149;1.3429433825;1.1749073502;0.8324261976;0.5680282419;0.4621703419;0.4034754;0.3954955872;0.3677491452;0.339438667;0.3110312629;0.2728065273;0.2522776613;0.241102289;0.2461671888;0.2516807044;0.2475355912;0.2408504052;0.2069158085;0.2073554509;0.2132893557;0.2265299956;0.2425829538;0.2157846379;0.1917191445;0.1643590558;0.1588894866;0.1604023119;0.1585382572;0.1521931483;0.1407881081;0.1014941406
14 E. Europe;322739885;18500662;6920;2.1441415585;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0392898776;0.189207115;0.316074013;0.4827286759;0.5162678306;0.4142135624;0.3221250875;0.2328754402;0.2418531322;0.2548055503;0.3505855537;0.3742975573;0.3926318724;0.351483931;0.3076022918;0.3371307131;0.3427528084;0.4310537062;0.4563996875;0.4419619608;0.4003756603;0.3188318542;0.2603228137;0.2237239017;0.2148080865;0.2157234407;0.2132859042;0.2022951896;0.1888935904;0.1657681941
