Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24
0 America;1024461276;38395075;63972;6.2444527186;;1;1;2;2;6;6;7;7;7;11;12;12;15;15;16;16;18;18;18;18;19;19;20;20;20;20;21;21;21;21;24;24;24;61;62;69;72;76;94;112;139;165;207;285;357;515;671;760;1161;1561;1991;2760;3422;4343;5918;8137;9976;16624;22998;30673;40150;52385;63972
00 N. America;372101241;18250341;56588;15.2076891353;;1;1;2;2;6;6;7;7;7;11;12;12;15;15;16;16;18;18;18;18;19;19;20;20;20;20;21;21;21;21;24;24;24;61;62;68;71;74;88;98;125;148;182;254;311;456;582;660;1038;1389;1780;2370;2923;3749;5053;6901;8444;14485;20061;26792;34782;45982;56588
01 M. America;179670200;2452270;948;0.5276334083;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;5;5;5;5;7;7;12;16;17;31;47;64;91;115;151;206;244;319;428;566;748;875;948
03 Caribbean;40560546;215472;658;1.6222661302;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;4;5;7;10;10;10;12;16;28;45;50;65;98;118;160;229;327;471;562;658
04 S. America;432129289;17476992;5778;1.3370998326;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;8;8;11;16;22;34;45;67;74;96;129;148;298;363;429;649;932;1170;1660;2280;2988;4149;4966;5778
1 Europe;609891552;21312221.4400000013;186937;30.6508590563;;0;0;0;0;0;1;4;5;5;11;15;17;19;20;20;20;22;22;24;24;26;26;26;26;26;26;26;26;26;26;43;85;178;252;354;510;751;1016;1340;2033;2495;3098;3958;5237;6675;8473;10761;13359;15957;20268;20831;33038;40063;48379;56553;66200;77691;94084;111420;130107;146731;167326;186937
11 N. Europe;21451759;1181143;6711;31.2841478407;;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;10;16;31;42;52;70;124;228;268;374;454;543;866;1244;1465;2102;2441;2669;2911;3241;3473;3987;4492;4969;5628;6073;6711
12 W. Europe;136029709;606885;60513;44.4851352288;;0;0;0;0;0;1;4;4;4;5;8;10;12;13;13;13;14;14;15;15;17;17;17;17;17;17;17;17;17;17;17;17;17;17;21;31;59;61;115;185;247;313;450;777;1197;1524;1969;2266;2820;3676;3914;6808;8433;11071;13217;16613;21067;26594;33991;39573;45312;52917;60513
13 S. Europe;129670199;1023531.4399999999;112793;86.9845198587;;0;0;0;0;0;0;0;0;0;2;3;3;3;3;3;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5;22;64;157;231;328;467;674;925;1179;1787;2175;2688;3344;4180;5119;6479;8194;10393;12037;14975;14983;23305;28074;33274;38767;44332;50750;60511;69318;81173;90642;102400;112793
14 E. Europe;322739885;18500662;6920;2.1441415585;;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;7;8;14;15;19;21;27;40;52;91;96;144;157;234;373;469;823;1115;1365;1658;2014;2401;2992;3619;4392;5149;5936;6920
