Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24
0 America;1024461276;38395075;63972;6.2444527186;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;6;6;7;7;7;11;12;12;15;15;16;16;18;18;18;18;19;19;20;20;19;19;15;14;10;9;10;7;2;37;32;30;28;24;33;42;41;41;67;52;67;143;163;87;308
00 N. America;372101241;18250341;56588;15.2076891353;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;6;6;7;7;7;11;12;12;15;15;16;16;18;18;18;18;19;19;20;20;19;19;15;14;10;9;10;7;3;38;33;31;30;26;33;34;36;35;56;45;55;130;144;76;304
01 M. America;179670200;2452270;948;0.5276334083;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;3;3;3;1;3;1;4;4;4
03 Caribbean;40560546;215472;658;1.6222661302;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0
04 S. America;432129289;17476992;5778;1.3370998326;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;5;8;9;11;12;14;6;2
1 Europe;609891552;21312221.4400000013;186937;30.6508590563;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;5;11;15;17;19;20;20;20;21;20;21;17;16;14;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171;750;1252;1793;2923;4246;5418
11 N. Europe;21451759;1181143;6711;31.2841478407;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;9;15;26;31;43;59;107;209;245;345;424;506;815
12 W. Europe;136029709;606885;60513;44.4851352288;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;4;4;5;8;10;12;13;13;13;14;14;15;15;17;17;17;17;17;17;17;17;17;16;15;15;12;10;12;15;42;28;73;132;181;203;314;582;920;1143;1495;1687;2100
13 S. Europe;129670199;1023531.4399999999;112793;86.9845198587;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;3;3;3;3;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;234;895;1943;2331
14 E. Europe;322739885;18500662;6920;2.1441415585;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;5;5;9;7;10;11;15;25;34;69;71;109;110;172
2 Asia Pacific;4192529278;31181951;101100;2.411432176;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;218;623;1203;1904;4450;5027;6842;8371;10334;14976;17967;21838;25467;28503;32033;34550;37569;39952;41917;42240;57354;63783;65809;67893;69774;71531;71909;72419;72970;74637;74823;75257;75913;76602;77548;78446;79703;80881;81693;82682;83295;83942;84694;85273;85654;85908;86100
21 C. Asia;75861692;3497518;570;0.75136737;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;6;6;6;6;10;7;13;22;24;26
22 India Region;1817448317;4118717;1666;0.0916669808;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;3;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;7;7;9;9;31;30;31;34;41;40;63
23 China;1439323776;9388211;81591;5.6687036899;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;202;601;1170;1865;4397;4970;6772;8281;10228;14864;17852;21704;25324;28349;31872;34371;37384;39759;41721;42042;57149;63568;65576;67641;69520;71264;71636;72062;72506;73929;73922;74118;74615;75005;75428;75748;76163;76729;76919;77031;77145;77288;77437;77511;77549;77586;77606
24 N.E. Asia;177745646;461785;10230;5.7554152409;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;4;4;7;8;11;11;14;25;31;34;34;37;40;43;46;46;44;44;43;42;39;40;50;65;62;71;74;157;261;505;693;929;1083;1375;1898;2480;3297;3895;4507;5369;5839;6328;6886;7365;7664;7836;7931
25 S.E. Asia;650252129;5729240;4805;0.7389441396;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;12;17;21;24;35;38;44;53;60;62;64;79;85;92;95;113;121;129;133;136;146;155;163;168;173;177;181;182;185;185;191;193;198;203;203;200;213;219;224;232;225;234;276;289;304;333;370
