Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;Last Trend
Switzerland;8654622;39516;10897;125.9096006735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7174330382;0.6467029856;0.5334503997;0.4882447856;0.4805199275;0.4776924749;0.4447127751;0.3930039117;0.3022130596;0.2630915515;0.2167325818;0.2568550481;0.2723351389;0.3265751508;0.3383529373;0.3056708865;0.2595437926;0.2018810772;0.2112739595;0.2241502743;0.2497986395;0.2355299778;0.2050974401;0.1669703933;0.1032702238
Switzerland Appenzell Inner Rhodes;16145;173;9;55.7448126355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2073682014;0.1310191414;0.0648443168;0.029883572;0.0414664128;0.0631972209;
Switzerland Appenzell Outer Rhodes;55234;243;34;61.5562877938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.189207115;0.316074013;0.316074013;0.316074013;0.2574334297;0.1362193665;0.0573712634;0.0877573059;0.1582921853;0.2178832856;0.2178832856;0.119627769;0.1780396143;0.2237126371;0.3093762179;
Switzerland Argovia;677387;1404;319;47.0927254287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6456040841;0.6265765617;0.3837825752;0.2446659546;0.1464106949;0.1132112998;0.1038766198;0.1455717549;0.1930998254;0.2061275405;0.183092737;0.169544026;0.1833727259;0.2469393265;0.3137831879;0.3514912676;0.3167997226;0.267597616;0.2235535998;0.1755290563;0.1613979326;0.1992481203
Switzerland Basel City;194766;37;466;239.2614727416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5833927757;0.6068568379;0.5111191389;0.3446566204;0.2216402967;0.242499426;0.2897547243;0.3287911809;0.3138300593;0.2453906512;0.1928696379;0.166699212;0.1814962668;0.1839873528;0.180014842;0.1728259199;0.1607722411;0.1415601452;0.1218353297;0.1256038647
Switzerland Basel Country;288132;518;341;118.3485346994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.189207115;0.235930917;0.4564753151;0.6068568379;0.5243982445;0.4447757708;0.2597555696;0.1662534248;0.1486389089;0.1717689921;0.2042226214;0.243613382;0.2354610706;0.250265133;0.2408403718;0.2513509158;0.2865503399;0.2802953199;0.2667871122;0.1990179323;0.1214469665;0.114379085
Switzerland Berne;1034977;5959;624;60.2911948768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2892854162;0.215655441;0.1362193665;0.108475783;0.1729323308
Switzerland Friborg;318714;1671;293;91.9319515302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.377449308;0.2574334297;0.2014057071;0.1701736597;0.2053905237;0.251098551;0.2794805799;0.3049669102;0.2892924088;0.2535663411;0.2107986341;0.2156500914;0.2495759748;0.2966124398;0.3091652493;0.2824852517;0.2347221812;0.1887722248;0.1630547206;0.1490196078
Switzerland Geneva;499480;1771;1708;341.9556338592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4645002762;0.2909944487;0.1989956534;0.1969548023;0.24915131;0.3290418253;0.3566158952;0.3933594966;0.3589745858;0.3446566204;0.3607498666;0.3989357379;0.4425073529;0.4496045801;0.419827084;0.3449164567;0.2957141185;0.2611025348;0.2309528535;0.1996408037;0.1577534928;0.1226532884;0.094199651;0.0688360451
Switzerland Glarus;40403;685;40;99.0025493156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2088052619;0.2121817249;0.1949941818;
