Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;Last Trend
Switzerland;8654622;39516;15922;183.9710619366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4550782149;0.4805199275;0.4776924749;0.4447127751;0.3930039117;0.3022130596;0.2630915515;0.2560493512;0.2870666533;0.2962412759;0.3265751508;0.3103064295;0.2861011411;0.2459477013;0.2018810772;0.1984739518;0.2136053621;0.2401356189;0.2355299778;0.2050974401;0.1669703933;0.139261637;0.1175814888;0.1038208252;0.0906128071;0.0830050643;0.0737069256
Switzerland Appenzell Inner Rhodes;16145;173;14;86.7141529885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Switzerland Appenzell Outer Rhodes;55234;243;50;90.5239526379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.217264285;0.190544056;0.1482445264;0.1285331123;0.1115773146;0.1008461054;0.0901523824;0.0702306511;
Switzerland Argovia;677387;1404;481;71.0081533894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1301914649;0.1778979975;0.2182993005;0.2404106241;0.2169894257;0.208672761;0.2250930576;0.2530748427;0.2988021957;0.3113772681;0.2850858523;0.2385463329;0.1755290563;0.1417892361;0.1169890263;0.1127975435;0.1085491137;0.0999211762;0.091563894;0.0882352941
Switzerland Basel City;194766;37;621;318.8441514433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2677835489;0.3084969911;0.3287911809;0.2998230698;0.2396164957;0.1912855507;0.166699212;0.1602341777;0.1657794693;0.1646595154;0.1728259199;0.1607722411;0.1415601452;0.1218353297;0.1049904252;0.098649202;0.0885685612;0.0811399387;0.068160437;0.0197044335
Switzerland Basel Country;288132;518;539;187.0670387184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1651006924;0.1723346544;0.19163656;0.2042226214;0.2121039137;0.2104893861;0.22942008;0.2408403718;0.2513509158;0.2865503399;0.2802953199;0.2667871122;0.1990179323;0.1214469665;0.0908315447;0.0892671585;0.1157209535;0.1173146428;0.0976869547;0.0547945205
Switzerland Berne;1034977;5959;826;79.8085368081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2864590324;0.2724827631;0.2632052349;0.2360850904;0.2021765099;0.1671616047;0.1595643368;0.1681326705;0.2126625003;0.2667758343;0.2880431958;0.2715201332;0.204412152;0.1413850362;0.108475783;0.1003000545;0.1072353992;0.1036077736;0.0885448878;0.0711885775;0.0350877193
Switzerland Friborg;318714;1671;477;149.6639620475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2689180319;0.2380681045;0.2107986341;0.2156500914;0.2495759748;0.2966124398;0.3091652493;0.2824852517;0.2347221812;0.1887722248;0.1630547206;0.1363298775;0.1302527335;0.1262744892;0.1232267475;0.118229626;0.0791855204
Switzerland Geneva;499480;1771;2450;490.5101305358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3760473222;0.3589745858;0.3446566204;0.3607498666;0.3989357379;0.4425073529;0.4496045801;0.419827084;0.3449164567;0.2957141185;0.2611025348;0.2309528535;0.1996408037;0.1577534928;0.1226532884;0.094199651;0.0809213832;0.078255347;0.0832815902;0.0851662325;0.0796406107;0.04299702
Switzerland Glarus;40403;685;50;123.7531866446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.218679846;0.1647146455;0.1273765203;0.1007982348;0.0919369075;0.0869470578;0.0736092067;0.0582816141;
