Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30
Switzerland;8654622;39516;15922;183.9710619366;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;13;18;27;42;56;90;114;214;268;337;374;491;652;895.5;1139;1359;2200;2450;2700;3028;4075;5294;6575;7474;8795;9877;10897;11811;12928;14076;14829;15922
Switzerland Appenzell Inner Rhodes;16145;173;14;86.7141529885;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;5;5.5;6;6.4;6.8;7.2;7.6;8;9;11;12;13;13.5;14
Switzerland Appenzell Outer Rhodes;55234;243;50;90.5239526379;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2;5;6;7;8;9;10;11;14.8;18.6;22.4;26.2;30;33;34;42;44;45;48;50
Switzerland Argovia;677387;1404;481;71.0081533894;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;6;7;9;12;12.6666666667;13.3333333333;14;17;18;27;32;38.6666666667;45.3333333333;52;67;101;118;168;200;232;241;266;319;349;364;403;442;481
Switzerland Basel City;194766;37;621;318.8441514433;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;8;15;21;24;28;33;49;73;92;100;122;144;165;182;222;272;299;358;376;414;466;505;534;573;609;621
Switzerland Basel Country;288132;518;539;187.0670387184;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;6;10.5;15;19;20;22;26;34;42;47;54;76;89;116;134;184;282;289;302;306;341;422;466;502;511;539
Switzerland Berne;1034977;5959;826;79.8085368081;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;4;5;6;11.5;17;22.6666666667;28.3333333333;34;46.7142857143;59.4285714286;72.1428571429;84.8571428571;97.5714285714;110.2857142857;123;158;193;282;377;418;444;470;532;624;660;718;767;798;826
Switzerland Friborg;318714;1671;477;149.6639620475;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;4;6;6.6666666667;7.3333333333;8;11;13.5;16;22;29;36;40;45;59;86;111;145;167;202;226;255;293;309;369;421;442;477
Switzerland Geneva;499480;1771;2450;490.5101305358;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;5;7;8;9;11;13;17;26;35;44;68;79;108;173;282;372;472;619;751;961;1136;1262;1417;1509;1598;1708;1902;2051;2277;2349;2450
Switzerland Glarus;40403;685;50;123.7531866446;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;13.5;17;21.6666666667;26.3333333333;31;32;33;40;43;44;47;48.5;50
