Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;Last Trend
American Samoa;55191;200;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Northern Mariana Islands;57559;460;11;19.1108254139;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0142974276;
US;331002651;9147420;555313;167.7669342896;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0192376247;0.0200464397;0.0209271912;0.026425619;0.0371886355;0.0507709811;0.068160568;0.0880611765;0.1125305491;0.0927448655;0.081897255;0.0787771059;0.0758828126;0.1372388353;0.2479412228;0.365807084;0.441144298;0.3840547123;0.2601627703;0.1359052507;0.0824417547;0.0696618927;0.1069182996;0.1530789332;0.2033631886;0.2619580659;0.2883628562;0.3432698766;0.3692729879;0.3588751598;0.3664214509;0.3536680665;0.3605929921;0.3689138417;0.3449131311;0.3203557229;0.2977805999;0.3038069688;0.3071652546;0.3560276983;0.3977153901;0.4233574563;0.4339514413;0.3897608598;0.3443767994;0.2978474249;0.2755495413;0.2560899461;0.2430137642;0.2274326611;0.2077421213;0.188705532;0.1701436763;0.1630660069;0.1574207425;0.1523043602;0.1452424368;0.1354181252;0.1236784753;0.1125463006;0.1063638837;0.1029067282;0.1011462731;0.0974249252;0
US Alabama;4903185;131171;3525;71.8920456805;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3766935056;0.3288481579;0.3004435599;0.2778862085;0.2492942744;0.3086164018;0.3399969808;0.3650676101;0.336317218;0.2463726764;0.1843517936;0.1358085618;0.1273573623;0.1293394798;0.136122;0.1441465432;0.1407932473;0.1332799239;0.1254995351;0.1326430635;0.1368387067;0.1405737586;0.1383059091;0
US Alaska;731545;1477953;272;37.1815814475;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.304948567;0.2756932703;0.2569236463;0.2485693632;0.2233568201;0.1895902976;0.1517672452;0.1222155205;0.1030428929;0.0968438482;0.0999631001;0.099974007;0.0962205952;0.0926409144;0.0942946742;0.0920727829;0.0866613313;0.0850402179;0
US Arizona;7278717;294207;3539;48.6212061824;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2037615085;0.2591668641;0.3364499734;0.436882281;0.50268534;0.5544894982;0.550978698;0.5079590754;0.448756788;0.3626997784;0.3015462125;0.2437203161;0.2118504903;0.1787208599;0.1558721672;0.1460388241;0.1332310045;0.1315640312;0.1278634825;0.1334859467;0.129637562;0.1143651293;0.102079762;0.0923168822;0.0925225763;0.0901321892;0
US Arkansas;3017804;134771;1280;42.4149480881;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3677823999;0.4115069211;0.4640176595;0.4392679287;0.3356857315;0.2698684446;0.221559278;0.2202288529;0.1966461315;0.1648175234;0.1241153697;0.0982674552;0.0952126976;0.1038399043;0.1196571401;0.1201421981;0.1193973262;0.1092629684;0.1071365196;0.1081452476;0.1100828743;0.113695934;0.1090996901;0.1026628176;0
US California;39512223;403466;21794;55.1576154042;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1856834996;0.2148128099;0.2316774615;0.2164547149;0.1979867303;0.1787846798;0.1593100564;0.1774632947;0.2229052747;0.2892126489;0.3294008151;0.3270536495;0.3007230776;0.2411110557;0.2125444722;0.185706205;0.1906228294;0.2059375683;0.2224624703;0.2438592846;0.237183379;0.2217115174;0.1907628234;0.1659895752;0.1518099793;0.14448666;0.1481709503;0.1424324038;0.1347029614;0.1190350432;0.1081968457;0.1035634782;0.0975830401;0.0953340559;0
US Colorado;5758736;268431;6893;119.6964056001;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4548179772;0.3192021086;0.2259640445;0.1660240222;0.1585145131;0.1875073638;0.2333186359;0.2685496167;0.2795819167;0.2779871019;0.2603074709;0.2574850436;0.2569835571;0.254355522;0.2538712269;0.2286537409;0.197509389;0.159217586;0.1275570692;0.1172844818;0.1161596372;0.1218643296;0.1160266434;0.1015292814;0.0849251602;0.0830035727;0.087160104;0.0945942001;0
US Connecticut;3565287;12542;12035;337.5604825081;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5922352905;0.5578669319;0.4778605392;0.4360097168;0.3758993876;0.4075619195;0.4234237582;0.4003488568;0.3368026398;0.2722348452;0.2582031023;0.2528794387;0.2434570622;0.2148485443;0.194055817;0.1684553421;0.1501042698;0.150786886;0.1460147614;0.1528139711;0.1508047768;0.1480294897;0.1378421872;0.1171653882;0
