Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12
American Samoa;55191;200;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Northern Mariana Islands;57559;460;11;19.1108254139;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;7;7.5;8;8.5;9;8.5;9;9;9;9;9
US;331002651;9147420;555313;167.7669342896;;1;1;2;2;5;5.4;5.8;6.2;6.6;7;8;9.5;11;11.125;10.25;10.375;9.5;9.625;6.75;6.475;6.2;6.3;6.4;6.25;5.5;4.25;3;3.125;3.25;3.375;3.5;15.375;27.25;39.125;42;44.5;45;46.75;54.5;60.25;84;103.75;134.5;202.25;247;375;479;532;905;1224;1605;2119;2659;3425;4534;6303;7634;13530;19011;25198;32758;43264;52781;64497;82173;99478;118738;137410;157199;181751;205589;230015;256313;283253;303796;322820;342483;363274;377601;394878;404931;414404
US Alabama;4903185;131171;3525;71.8920456805;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;12;28;36;46;68;81;124;138;167;215;283;505;584;690;794;831;945;1031;1165;1351;1456;1658;1801;1904;2086;2263;2381;2495;2719
US Alaska;731545;1477953;272;37.1815814475;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;6;9;12;14;22;29;36;41;58;68;83;100;111;116;127;134;145;157;163;162;177;184;176;177;172;170
US Arizona;7278717;294207;3539;48.6212061824;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;5;5.3333333333;5.6666666667;6;9;10;11;12;15;18;20;26;42;62;99;146.6666666667;259.3333333333;351;441;567;723;858;902;1137;1265;1384;1554;1704;1915;2117;2191;2218;2276;2441;2376;2520;2620
US Arkansas;3017804;134771;1280;42.4149480881;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;12;16;22;27.5;33;46;96;118;165;174;218;278;329;372;392;410;451;495.5;551;597;608;625;665;701;728;720;784;790;822;854
US California;39512223;403466;21794;55.1576154042;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;56.5;60;69;88;114;133;157;198;223;247;288;329;472;558;867.5;1003;1210;1448;1619;1969;2198;2804;3652;4391;5415;6112;6999;7544;8267;9638;10747;11902;12603;13763;14602;15303;15593;15990;16086
US Colorado;5758736;268431;6893;119.6964056001;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;8.5;9;12;28;45;72;100;130;144.5;159;181;214;274;355;466.5;582;708;884;1041;1358;1633;1930;2481.5;2636.5;2783;3126;3451;3810;4090;4359;4452;4517;4569;5080;4967.5;4832
US Connecticut;3565287;12542;12035;337.5604825081;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;6;8.5;11;20;26;41;68;95;191;204.5;218;405;606;856;991;1264;1615;1959;2535;3059;3472;3712;4720;5067.5;5452;6491;7163;7907.5;8772;9247;9868;10042
US Delaware;973764;5047;1479;151.8848509495;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;6;7;8;16;25;30;38;45;56;68;91;114;126;158;208;225;256;303;343;363;412;548;617;732.5;837;952.5;1077;1163;1265;1247
US District of Columbia;705749;158;1875;265.6751904714;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;7.5;10;12;14;16;17;22;31;39;70;76;97;114;132;175.5;221;255;290;326;384;473;555;614;686;825;900;981;1074;1257;1292;1393;1474;1533
US Florida;21477737;138887;19355;90.1165704748;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;11.5;14;17;18;19;26;30;48;74;112;137;180;307;381;508.5;644;813;1153;1393;1654;2323;2715;3686;4130;5332;6152;6641;7620;9065;10453;11321;12153;13335;13773;14009;14766;14731;15109
