Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;Last Trend
American Samoa;55191;200;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Northern Mariana Islands;57559;460;11;19.1108254139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0116978953;
US;331002651;9147420;555313;167.7669342896;;;;;;;;;;;;;;;;;;;;0.0110514014;0.010930585;0.0108123821;0.013318512;0.0183082513;0.023948576;0.0277691203;0.0272189091;0.0241136891;0.0203387863;0.0183562813;0.01802527;0.0177059896;0.0781498923;0.1732409826;0.2806314149;0.3431122318;0.2998321877;0.2018504252;0.1058928412;0.0660746416;0.0567179599;0.0916442568;0.1345927061;0.1835728112;0.2441521605;0.2718535324;0.3202144371;0.3414705815;0.3274812779;0.3457887519;0.3379310799;0.3480166881;0.35875559;0.336312437;0.3135805519;0.2914804059;0.2982238474;0.3012847942;0.3504077077;0.3923087885;0.4167094212;0.4271962169;0.384578508;0.3382313333;0.2920469665;0.2700836449;0.2506007029;0.2375578836;0.2217851377;0.2017960324;0.1822663263;0.1639374813;0.1538698713;0.1464115839;0.1396802587;0.1309039948;0.1192244712;0.106903878;0.0952918173;0.0870392033;0.0818383458;0.0778069391;0.0727036441;0.0549339281
US Alabama;4903185;131171;3525;71.8920456805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3766935056;0.3288481579;0.3004435599;0.2778862085;0.2492942744;0.308006488;0.3382593472;0.3619204755;0.3313100138;0.2383419023;0.1775865902;0.1300080104;0.1203335986;0.1220234897;0.1254390076;0.1330706952;0.1288458528;0.1197569491;0.1105073998;0.1084042083;0.1097752563;0.109912732;0.1066819197;0.1046693826
US Alaska;731545;1477953;272;37.1815814475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2997799472;0.2716977157;0.250878384;0.2436954541;0.217479009;0.1848107103;0.1449206026;0.1145236346;0.095167003;0.0889151121;0.0880755963;0.0847947075;0.0799579594;0.0754244613;0.0706206922;0.0662474901;0.0579990233;0.0531501362;0.0583657588
US Arizona;7278717;294207;3539;48.6212061824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.189207115;0.2473865521;0.3209215131;0.4158783252;0.4850472579;0.5426324901;0.5417185518;0.4977998939;0.440979374;0.3562933964;0.2963650061;0.2392118881;0.2081884248;0.1753932411;0.1526730923;0.1420177301;0.1283355747;0.1247870826;0.1192979253;0.1190829435;0.1116645097;0.0954860727;0.0825635186;0.0704835836;0.0687170328;0.0667268538;0.0430297672
US Arkansas;3017804;134771;1280;42.4149480881;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3677823999;0.4115069211;0.4640176595;0.4392679287;0.3356857315;0.2679408129;0.2175910521;0.2150265965;0.1908051573;0.1586271939;0.1183425618;0.0931004284;0.089832528;0.0964112331;0.1033402574;0.1010617413;0.0956617132;0.0875352467;0.0824475542;0.0778645783;0.0771268753;0.0767034909;0.0731484056;0.0684953486;0.044045677
US California;39512223;403466;21794;55.1576154042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1856834996;0.2148128099;0.227089789;0.2126405349;0.1940584222;0.1757337467;0.156456742;0.1734216876;0.2035697926;0.2715281092;0.3108081068;0.3094096293;0.2834941513;0.2252503169;0.1990961302;0.1733257913;0.1778131782;0.193886053;0.2103882634;0.2313416304;0.22485882;0.2073989455;0.1764702317;0.1493021236;0.1367297057;0.1291200844;0.1312346071;0.1252145358;0.1168557742;0.1025033733;0.0904329199;0.0829326888;0.0756241366;0.0703654044;0.0562690835
US Colorado;5758736;268431;6893;119.6964056001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4516920804;0.3172070954;0.2234944921;0.1644867627;0.1567977494;0.1833749701;0.2291434603;0.2644600286;0.2749222181;0.2694524102;0.2495212497;0.2445207617;0.24201508;0.2381883345;0.2398102206;0.21557146;0.1853232062;0.1489270418;0.1180792505;0.1070821653;0.104072928;0.1073144672;0.0998744425;0.0844737086;0.0686159252;0.0647708371;0.0646075978;0.0663106303;0.028575692
US Connecticut;3565287;12542;12035;337.5604825081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5830770128;0.5471644488;0.4671461773;0.4255034586;0.3686003704;0.3987120035;0.4146372968;0.3919759527;0.3312644722;0.267590598;0.2545876563;0.2473012158;0.2376392803;0.2085559091;0.1863946797;0.1617982271;0.1442058994;0.141725699;0.1344176502;0.1375891234;0.1352064086;0.1298945427;0.1181778196;0.097762761;0.0456125109
US Delaware;973764;5047;1479;151.8848509495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2421015078;0.2330732542;0.247866224;0.2468985482;0.2465031049;0.2392027681;0.2210028635;0.2056736453;0.188842607;0.1702890443;0.1539888582;0.1428032021;0.1521239582;0.1590020167;0.1761234618;0.1866827024;0.1812604997;0.1688074301;0.1488989999;0.1368929761;0.1125718665;0
US District of Columbia;705749;158;1875;265.6751904714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1808612863;0.216563085;0.316074013;0.3579060687;0.369175965;0.3336021605;0.2560935946;0.2356948045;0.2233595679;0.2368400246;0.2294668205;0.2029458329;0.1740829214;0.1611635199;0.1659192125;0.173936427;0.1750421996;0.1690061509;0.1571398166;0.1465933337;0.1344505711;0.1283736558;0.119541566;0.1144466617;0.106793486;0.0911515111;0.0545556805
US Florida;21477737;138887;19355;90.1165704748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1676415488;0.2240499804;0.3099383027;0.3905071592;0.43393625;0.4166180146;0.4169849132;0.383394145;0.3835942158;0.3716256027;0.3303821822;0.3147164068;0.2922267221;0.2842312814;0.2834775449;0.2646768609;0.2701524301;0.260707928;0.2541785785;0.239529722;0.2055993703;0.1858122952;0.1616473163;0.1563174198;0.1502202246;0.1447707933;0.1313657869;0.1096704453;0.0911722326;0.0776880241;0.068302173;0.0620648811;0.0465556397
US Georgia;10617423;148959;12452;117.2789291714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4193844478;0.4217295767;0.4010039832;0.351685936;0.3208166989;0.3333697538;0.3495357704;0.346884218;0.3141548968;0.2762042515;0.2584679295;0.2558245848;0.2624557467;0.251997293;0.2321299568;0.1981086973;0.1842870386;0.1787771571;0.1866358413;0.1923288921;0.1657385994;0.131364197;0.0965831988;0.0954754139;0.1069424512;0.1195963662;0.1225490466;0.107001622;0.0851198271;0.0240973764
US Guam;162742;543;133;81.7244472847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2433991174;0.1944808901;0.1698988742;0.1445204812;0.133893419;0.1034317174;0.0830533804;0.0781105726;0.0891932923;0.0950397698;0.0907172171;0.0909803259;0.0867335332;0.0923641942;0.0850473013;0.0665800101;0.0475937856;0.0310391697;0.0248261164;0
US Hawaii;1415872;16635;486;34.3251367355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3702183532;0.3408266613;0.2961923171;0.2394944261;0.198583981;0.1540021405;0.1402737373;0.1422427017;0.1617046297;0.1628756245;0.1546048119;0.1391378165;0.1292961539;0.1293831855;0.1164620919;0.1023586196;0.0789067104;0.0657413933;0.0544644785;0.0488303413;0.0450259343;0.0451612903
US Idaho;1787065;214045;1407;78.7324467773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2716977157;0.2652197672;0.3383505165;0.4052258217;0.4142135624;0.343304137;0.2650393837;0.2323318742;0.2402572741;0.2701891124;0.2709858567;0.2426905357;0.1867047754;0.1256926942;0.0784898428;0.0491713952;0.0442902999;0.044243263;0.0453046417;0.0078796562
US Illinois;12671821;143793;20852;164.5540921072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3243050208;0.4142135624;0.5131749175;0.5728338887;0.5892544371;0.5362305461;0.4499888572;0.3715332351;0.3136962724;0.27649988;0.2558765277;0.2467268409;0.2378262945;0.241820667;0.2197528437;0.2046896553;0.1879080891;0.1678095911;0.1573093398;0.1456608997;0.1405924856;0.1314619657;0.1197356718;0.1097822143;0.1022645222;0.0988371542;0.096021971;0.0909469724;0.0871741397
US Indiana;6732219;92789;7928;117.7620632959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.197494774;0.2309969626;0.2736617335;0.316074013;0.3750845794;0.4454756206;0.4714547144;0.4756255798;0.4331336815;0.3833951021;0.3763706852;0.3642754653;0.3564163575;0.3212796105;0.2693122032;0.2285128148;0.2013444555;0.1884519895;0.1756617624;0.1603378403;0.1442496849;0.1323096197;0.1197229143;0.108233815;0.0959803403;0.08626691;0.0795899215;0.0663080027
US Iowa;3155070;144669;1587;50.299993344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1001908367;0.1201687828;0.1525720491;0.1839566242;0.2442541544;0.2869630544;0.307459695;0.2991017419;0.2545086603;0.2188366197;0.2074357068;0.2222845653;0.2346306197;0.2396580742;0.2245622508;0.1986967705;0.1756338383;0.1517905268;0.1367613267;0.1248021767;0.1187068955;0.1134545343;0.1058461729;0.1014318762;0.0997354996;0.098536573;0.0933086469;0.0509933775
US Kansas;2913314;211754;1337;45.892753064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4035716208;0.3260829012;0.2693035456;0.2315936651;0.2453017995;0.2533472278;0.2681186311;0.2643616997;0.2470405268;0.2244704187;0.1929586036;0.1693247845;0.1492957268;0.1379984874;0.1274500249;0.1187216103;0.1079065583;0.1010163809;0.0986909139;0.0935633721;0.0917263837;0.0823306346;0.0544164038
US Kentucky;4467673;102269;1840;41.1847509878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1928162828;0.2063224072;0.2321731024;0.3048038402;0.3265198641;0.3191099593;0.2971208949;0.244017184;0.2376448733;0.2298112493;0.2513471712;0.2406951571;0.2147498483;0.19197964;0.1670206423;0.1580086029;0.1480614645;0.1363698292;0.1146537332;0.0899018023;0.0807582907;0.0860407047;0.1156813075;0.1365447062;0.1423490557;0.0416076988
US Louisiana;4648794;111898;20595;443.0181247007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4492826246;0.4023398762;0.4044350532;0.3918255101;0.3794491737;0.360113626;0.3360865298;0.3254559114;0.3034908786;0.2745789179;0.2527245207;0.2185183608;0.1865982354;0.1693923058;0.1701689972;0.2133724219;0.2417840582;0.2568240126;0.229141273;0.1801834446;0.14302682;0.1082175591;0.0956611386;0.0782209705;0.0684436128;0.0557688721;0.0290296792
US Maine;1344212;79883;633;47.0907862748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2421214794;0.2040252024;0.2035202457;0.2012087069;0.1830505297;0.1509260757;0.1356880503;0.134874991;0.1456363542;0.1518999417;0.1462976868;0.1279494553;0.1173828727;0.1105458986;0.1016463813;0.0863876193;0.0660746416;0.0531635745;0.0444445706;0.0424789945;0.0431595617;0.0422608355;0.0275974026
US Maryland;6045680;25142;8225;136.0475579257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3431440278;0.3543842877;0.3800875287;0.374378053;0.3433954745;0.3049217282;0.2678135304;0.2416315846;0.2340337406;0.2525283298;0.2774326874;0.2975815231;0.2812987993;0.2480955395;0.2117490957;0.1875216282;0.1803795365;0.1748136573;0.1704280629;0.1588893473;0.1418393548;0.1414738193;0.1409479541;0.1473904318;0.1474654565;0.1318596757;0.0690148167
US Massachusetts;6892503;20202;25475;369.6044818551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4003714823;0.2213285344;0.1613342982;0.1273047426;0.1437136109;0.1570248062;0.1811887122;0.2180054711;0.2414425431;0.2552598115;0.2483996725;0.2685724338;0.3139899621;0.3596927083;0.4005404973;0.3998231424;0.3477498869;0.2893842532;0.2330705759;0.1934130677;0.1698790942;0.1601240595;0.1575059096;0.1456057488;0.130325477;0.1126220199;0.1017448635;0.1011883607;0.1047170681;0.1087475445;0.1089508879;0.114391951
US Michigan;9986857;146435;24638;246.7042433871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5967184338;0.7171217278;0.8241679937;0.8602297728;0.5997104041;0.4404055787;0.5707866816;0.6270908401;0.6524359153;0.5773263715;0.2873376748;0.1610471494;0.0869757231;0.0852238391;0.0859574426;0.0876273503;0.0869482949;0.0838386985;0.0795719441;0.0740800811;0.0667510569;0.0590794876;0.0527805738;0.0496923934;0.0477357523;0.0268828408
US Minnesota;5639632;206232;1621;28.7430101822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3404561136;0.2642367443;0.2308636873;0.2191854496;0.2444364173;0.2407719799;0.2304741351;0.2067787276;0.1743967607;0.1549442747;0.143823759;0.1415768106;0.1345073145;0.1243859395;0.1130858866;0.0993281443;0.0883027757;0.0812796237;0.0783965081;0.0772823722;0.0757732125;0.0755801958;0.0758212807;0.0758032031;0.0811232499;0.1359495445
