Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12
American Samoa;55191;200;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Northern Mariana Islands;57559;460;11;19.1108254139;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;8;8.5;9;9.5;10;10.5;11;11;11;11;11
US;331002651;9147420;555313;167.7669342896;;1;1;2;2;5;5.4;5.8;6.2;6.6;7;8;9.5;11;11.125;11.25;11.375;11.5;11.625;11.75;11.875;12;12.5;13;13.25;13.5;13.75;14;14.25;14.5;14.75;15;27;39;51;54;57;58;60;68;74;98;118;149;217;262;402;518;583;959;1281;1663;2179;2727;3499;4632;6421;7783;13747;19273;25600;33276;43847;53740;65778;83836;101657;121465;140909;161831;188172;213372;243762;275586;308853;337072;366667;396223;429052;461437;496535;526396;555313
US Alabama;4903185;131171;3525;71.8920456805;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;12;28;36;46;68;81;124;138;167;215;283;506;587;696;806;859;981;1077;1233;1432;1580;1796;1968;2119;2369;2769;2968;3191;3525
US Alaska;731545;1477953;272;37.1815814475;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;6;9;12;14;22;29;36;42;59;69;85;102;114;119;133;143;157;171;185;191;213;226;235;246;257;272
US Arizona;7278717;294207;3539;48.6212061824;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;5;5.3333333333;5.6666666667;6;9;10;11;12;15;18;20;28;44;65;104;152;265;357;450;577;736;873;919;1157;1289;1413;1598;1769;2019;2269;2456;2575;2726;3018;3112;3393;3539
US Arkansas;3017804;134771;1280;42.4149480881;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;12;16;22;27.5;33;46;96;118;165;174;218;280;335;381;404;426;473;523;584;643;704;743;830;875;946;1000;1119;1171;1226;1280
US California;39512223;403466;21794;55.1576154042;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;56.5;60;69;88;114;133;157;202;227;252;293;335;483;611;924;1063;1279;1536;1733;2102;2355;3006;3879;4643;5708;6447;7482;8155;9191;10701;12026;13438;14336;15865;16957;18309;19472;20633;21794
US Colorado;5758736;268431;6893;119.6964056001;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;8.5;9;12;28;45;72;101;131;145.5;160;183;216;277;363;475;591;720;912;1086;1430;1734;2061;2627;2796.5;2966;3342;3728;4173;4565;4950;5172;5429;5655;6510;6701.5;6893
US Connecticut;3565287;12542;12035;337.5604825081;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;6;8.5;11;20;26;41;68;96;194;208.5;223;415;618;875;1012;1291;1642;1993;2571;3128;3557;3824;4914;5276;5675;6906;7781;8782.5;9784;10538;11510;12035
