Country/Region;Population;Area;Maximum;Per 100,000 inh.;Rate A;aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12
American Samoa;55191;200;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Northern Mariana Islands;57559;460;2;3.4746955298;0.1818181818;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;1;1;1;1;1;2;2;2;2;2;2
US;331002651;9147420;22020;6.6525146954;0.0396533126;0.0600544909;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;7;11;12;14;17;21;22;28;36;40;47;54;63;85;108;118;200;244;307;417;557;706;942;1209;1581;2026;2467;2978;3873;4757;5926;7087;8407;9619;10783;12722;14695;16478;18586;20463;22020
US Alabama;4903185;131171;93;1.8967263116;0.0263829787;0.0472560976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;3;3;4;6;13;26;32;35;43;45;50;56;66;74;80;91;93
US Alaska;731545;1477953;8;1.0935759249;0.0294117647;0.0418848168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;3;3;3;3;3;5;6;6;6;7;7;7;8;8
US Arizona;7278717;294207;115;1.5799487739;0.0324950551;0.0468241042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1;2;2;5;6;8;13;15;17;20;24;29;32;41;52;64;65;73;80;89;97;108;115
US Arkansas;3017804;134771;27;0.8946903112;0.02109375;0.0308571429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;2;3;3;5;6;7;8;10;12;12;14;16;16;16;18;21;23;24;27
US California;39512223;403466;651;1.6475914301;0.0298706066;0.0454101563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;5;5;6;11;13;18;20;24;27;27;40;53;65;78;101;123;133;153;171;203;237;276;319;343;374;442;492;541;541;651
US Colorado;5758736;268431;274;4.7579885586;0.0397504715;0.0553535354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;3;4;5;6;7;11;19;24;31;44;51;51;69;80;97;111;126;140;150;179;193;250;250;274
US Connecticut;3565287;12542;554;15.5387210062;0.0460324055;0.0802200985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;4;5;10;12;19;21;27;27;34;36;69;85;112;131;165;189;206;277;277;380;448;494;554
US Delaware;973764;5047;33;3.3889114816;0.0223123732;0.0412242349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;2;3;6;6;10;11;12;14;14;14;14;16;16;23;23;33;33
US District of Columbia;705749;158;50;7.0846717459;0.0266666667;0.0455788514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;1;2;2;2;3;3;4;5;9;9;11;12;15;21;22;24;22;27;32;38;47;50
US Florida;21477737;138887;465;2.1650325637;0.0240247998;0.0348994296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;3;4;4;6;7;8;10;12;13;14;18;22;28;34;54;56;63;77;87;128;163;191;218;236;296;309;354;390;438;465
US Georgia;10617423;148959;433;4.0782024037;0.0347735304;0.0592015313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;10;13;14;23;25;32;40;48;64;69;80;87;111;139;163;184;201;211;229;329;362;379;416;428;433
US Guam;162742;543;5;3.0723476423;0.037593985;0.0442477876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;2;3;3;4;4;4;4;4;4;4;4;5;5
