Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;Last Trend
Switzerland;8654622;39516;25936;299.6780217553;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4591054557;0.4827758896;0.4794815853;0.4473677767;0.395116836;0.3040709268;0.2647155734;0.2583574017;0.2903809219;0.3002176689;0.3306329184;0.3157187509;0.2921607719;0.2534818378;0.2076913379;0.2068348624;0.2226819813;0.2514745153;0.2459905183;0.2158264879;0.1775965228;0.1506865645;0.1289416818;0.1149156197;0.1063977604;0.0981002549;0.0879769121;0.0806655711;0.0790442245;0.0796725188;0.082758539;0.077937999;0.0745215397;0.0666588309;0.0626078389;0.0640006768;0.0685448069;0.0725920334;0.0675163856;0.060498111;0.0485653396;0
Switzerland Appenzell Inner Rhodes;16145;173;24;148.6528336946;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1073807018;0.12608783;0.1399952114;0.1337295811;0.1057673278;0.0693941834;0.0475080904;0.0386819354;0.0458802268;0.0485881404;0.0479807177;0.0371782773;0.0212975616;0.0105080418;
Switzerland Appenzell Outer Rhodes;55234;243;79;143.0278451678;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2327831625;0.2028372209;0.1575098093;0.1459024518;0.1291947853;0.1194230196;0.1081828589;0.0856471355;0.0819128833;0.0802105419;0.0976387905;0.1031446172;0.0868464079;0.0663206267;0.044235799;0.0395501503;0.0388685118;0.0522210591;0.0584132304;0.0608578246;0.0612544473;0.0516237267;0.0482659284;0
Switzerland Argovia;677387;1404;912;134.6350018527;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1301914649;0.1836366426;0.2240948572;0.2458334201;0.2256690027;0.2291979506;0.2418553066;0.2739709306;0.32178698;0.3324312471;0.302469136;0.2532584415;0.1875129678;0.1502683266;0.1267986652;0.1236695959;0.1200694222;0.1113407392;0.1026625478;0.0963812409;0.1003600997;0.0989240599;0.1017153674;0.1032737005;0.1001220059;0.0915760391;0.0830058917;0.0825931334;0.0801247842;0.0749270266;0.0738084022;0.0720384266;0.0671447623;0.0555433885;0
Switzerland Basel City;194766;37;899;461.5795364694;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2715027649;0.3118870679;0.3321123039;0.3023009464;0.2464626813;0.1960379867;0.1704452617;0.1662242404;0.1754553138;0.1770978241;0.1852445489;0.1737079387;0.1538212601;0.1361517114;0.1227318628;0.1191825201;0.1072934156;0.1014665763;0.0887371727;0.0776893114;0.0696216822;0.0687573809;0.0733764;0.0728835006;0.0768496048;0.0652483175;0.0548661021;0.0495379664;0.0441945468;0.0464757467;0.0481721781;0.0505589988;0.0476774788;0.0484253601;0
Switzerland Basel Country;288132;518;755;262.0326794664;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1754194857;0.1809513871;0.2001537404;0.2120773376;0.2178364519;0.2153282226;0.2334449937;0.2521297642;0.2665623545;0.3026486736;0.3000198054;0.285708184;0.2144348144;0.1314711606;0.09879101;0.09810966;0.1276745465;0.1311767669;0.1137219624;0.0832054095;0.061987316;0.0567683532;0.0581847398;0.0716969505;0.0648239828;0.0603969882;0.0516917351;0.0439869511;0.0441909594;0.0408872447;0.0478037275;0.0504229531;0.0540873401;0.0524486362;0
Switzerland Berne;1034977;5959;1470;142.0321417771;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2864590324;0.2724827631;0.2663439685;0.2385297585;0.2059106407;0.1727804822;0.1647788576;0.1735273016;0.2217036047;0.279373582;0.30455832;0.2900279209;0.2203525492;0.1549949587;0.1198942865;0.1126090527;0.1216076526;0.1187089493;0.1027444419;0.083644047;0.0674332998;0.0613943207;0.068634049;0.0879357956;0.1033583515;0.1043819995;0.0900916191;0.076584334;0.0728712632;0.0750893485;0.0836816011;0.0856923571;0.0789963708;0.0671208251;0.0537334281;0
Switzerland Friborg;318714;1671;879;275.7958545906;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2758133661;0.2491410396;0.2181950774;0.2261696081;0.2638374591;0.3109070152;0.3233649058;0.2941341281;0.246731223;0.1993247094;0.1724730438;0.1467802514;0.1413625255;0.1380819739;0.1354881154;0.130545212;0.1110901323;0.0952015087;0.0774337528;0.0736292206;0.0804479083;0.0879874067;0.0930558214;0.0898466528;0.084663521;0.0762762284;0.0751813401;0.0752706323;0.0692158018;0.0635929991;0.0573753016;0
Switzerland Geneva;499480;1771;4438;888.5240650276;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4195239927;0.3791461432;0.350239593;0.358910135;0.3851627051;0.4277229727;0.429990982;0.4014876622;0.3317044932;0.2839910992;0.2547584671;0.231121443;0.2022115932;0.1633935508;0.133176613;0.1091017801;0.1000679506;0.0996585816;0.1064554355;0.1095088665;0.1069403976;0.102286966;0.0975499428;0.1017284038;0.1009029616;0.0965929312;0.0868466404;0.0737816285;0.0613718999;0.0572846683;0.0616748494;0.0658227464;0.0624020283;0.0466920515;0.0338632019;0.0238574731;0
Switzerland Glarus;40403;685;105;259.8816919536;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.218679846;0.1647146455;0.1273765203;0.1007982348;0.0919369075;0.0888372112;0.0751588742;0.0594710348;0.0555717036;0.0575729371;0.0650863952;0.0698977199;0.0712400354;0.0662154073;0.0526776555;0.0442030171;0.048177356;0.0506588812;0.0726694684;0.1228068401;0.175373449;0.1970284409;0.1668569581;0
