Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14
Switzerland;8654622;39516;25936;299.6780217553;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;13;18;27;42;56;90;113;213;267;335;372;488;648;887.5;1126;1341;2173;2408;2644;2938;3961;5080;6307;7137;8421;9386;10245;10915.5;11789;12717;12629;13472;13905;14740;14752;14312;13930;13626;12862;12376;12383;12240;11623;11031;10586;9766;9331
Switzerland Appenzell Inner Rhodes;16145;173;24;148.6528336946;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;5;5.5;6;6.4;6.8;7.2;7.6;8;9;11;12;11;11.5;10;11;12.5;14;14.1;14.2;14.3;14.4;14.5;14;13;12;11;10.5;10;8
Switzerland Appenzell Outer Rhodes;55234;243;79;143.0278451678;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2;5;6;7;8;9;10;11;13.8;17.6;21.4;25.2;28;31;32;37;38;38;40;41;48;50;49.2;46.4;43.6;40.8;39;37.5;38;32;33;32.3333333333;29.6666666667;28;21
Switzerland Argovia;677387;1404;912;134.6350018527;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;6;7;9;12;12.6666666667;13.3333333333;14;17;18;27;31;37.6666666667;44.3333333333;50;61;94;109;156;187.3333333333;218.6666666667;227;249;301;322;332;364.3333333333;396.6666666667;429;432;448;474;458;459.6666666667;461.3333333333;486;494;469;473;486;475;457;425;413
Switzerland Basel City;194766;37;899;461.5795364694;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;3;8;15;21;24;28;33;49;72;91;99;121;140;161;178;214;257;278;334;348;381;417;432;442;473;487;477;492;509;496;486;472;436;427;399;368;341;325;293;273;272;242
Switzerland Basel Country;288132;518;755;262.0326794664;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;6;10.5;15;18;19;21;24;32;40;45;52;74;87;114;128;173.5;267;270;282;284;315;388;424;455;457;463;472;472;476;441;374;381;380;384;353;289;256;234;229;210;194
Switzerland Berne;1034977;5959;1470;142.0321417771;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;4;5;6;11.5;17;22.6666666667;28.3333333333;34;46.7142857143;59.4285714286;72.1428571429;83.8571428571;96.5714285714;108.2857142857;119;153;187;270.5;360;395.3333333333;415.6666666667;436;485.2857142857;564.5714285714;587.8571428571;633.1428571429;669.4285714286;687.7142857143;703;698;716;721;696;688;693;703;696;662;675;657;652;643;630;614
Switzerland Friborg;318714;1671;879;275.7958545906;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;4;6;6.6666666667;7.3333333333;8;11;13.5;16;22;29;36;39;43;57;82;105;138.3333333333;159.6666666667;194;215;241.5;277;287;340;385;402;432;432;439;439;443;471;467;463;474;463;477;427;413;404;382;388
Switzerland Geneva;499480;1771;4438;888.5240650276;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;5;7;8;9;11;13;18;30;40;49;78;89;120;185;293;394;482;614;758;978;1132;1246;1392;1533;1600;1719;1920;2046;2135;2149;2274;2371;2392;2378;2411;2407;2318;2280;2314;2407;2230;2076;1924;1821;1626;1444
Switzerland Glarus;40403;685;105;259.8816919536;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;13.5;17;21.6666666667;26.3333333333;31;32;33;40;43;44;46;47.5;49;43;42.5;41;37.3333333333;34;30.6666666667;31;30.5;24;24;35;44;43;42;52
Switzerland Grisons;198379;7105;740;373.0233542865;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;144;210;236;260;265;270;316;364;400;429.3333333333;458.6666666667;485;494;405;424;385;383;380;386;392;358;331;306;289.6666666667;264.3333333333;238;227
Switzerland Jura;73419;88;185;251.9783707215;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;4;4.5;5;6;7;8.6666666667;10.3333333333;11;16;17;18;24;27;30;32;39.5;49;55;62;73.3333333333;81.6666666667;88;97;101;108;103;111;113;113;107.5;100;99;95;89;82;79;68;64;56.5;56;45
Switzerland Lucerne;409557;1493;589;143.8139257783;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;78.5;92;108;130;155;203;226;250;284;313;334;345;368;336;343.5;357;360;347;341;304;299;289;273;251;237;229;214
Switzerland Neuchâtel;176850;220;602;340.4014701725;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;8;9;13;18;24;27;31;37;46;59;68;73;92;113;138;166;175;182;192;220;234;243;253;257;269;272;285;288;274;255;245;249;243;219;227;236;237;236;242;243;212;200
Switzerland Nidwalden;43223;276;105;242.9262198367;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6.625;9.25;11.875;14.5;17.125;19.75;22.375;25;28;33;36;39;42;40;41.375;44.75;43.125;44.5;45.875;50.25;50.625;51;51;47;47;47;45;49;48;46;48;45;41.5;35
