Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;Last Trend
Switzerland;8654622;39516;25936;299.6780217553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4550782149;0.4805199275;0.4776924749;0.4447127751;0.3930039117;0.3022130596;0.2630915515;0.2560493512;0.2870666533;0.2962412759;0.3265751508;0.3103064295;0.2861011411;0.2459477013;0.2018810772;0.1984739518;0.2136053621;0.2401356189;0.2355299778;0.2050974401;0.1669703933;0.139261637;0.1175814888;0.1038208252;0.0906128071;0.0830050643;0.0736717231;0.0669186469;0.0619355394;0.0581593945;0.0562217239;0.0503309561;0.0442580248;0.037072291;0.0333020992;0.0325711315;0.0324506656;0.0318940025;0.028122308;0.0230000215;0.0174723621;0.0096543133
Switzerland Appenzell Inner Rhodes;16145;173;24;148.6528336946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0745699318;0.088261481;0.0962893893;0.0904266691;0.0703475715;0.0454216473;0.0306163249;0.0235455259;0.0248517895;0.0242940702;0.0219911623;0.0162654963;0.008873984;0.0035026806;
Switzerland Appenzell Outer Rhodes;55234;243;79;143.0278451678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.217264285;0.190544056;0.1482445264;0.1285331123;0.1115773146;0.1008461054;0.0901523824;0.0702306511;0.0677899724;0.0657463458;0.0750598202;0.0736293883;0.0573712634;0.0403862921;0.0250028429;0.021037314;0.0205139368;0.0225820796;0.0250342416;0.0254448663;0.0233976215;0.0185315942;0.0128301835;0.0128205128
Switzerland Argovia;677387;1404;912;134.6350018527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1301914649;0.1778979975;0.2182993005;0.2404106241;0.2169894257;0.208672761;0.2250930576;0.2530748427;0.2988021957;0.3113772681;0.2850858523;0.2385463329;0.1755290563;0.1417892361;0.1169890263;0.1127975435;0.1085491137;0.0999211762;0.091563894;0.0834402727;0.0818967662;0.0792060885;0.0744179525;0.0719628262;0.0666196424;0.0612186451;0.0539538296;0.0491575883;0.0461058673;0.0428406293;0.0399305137;0.0366202013;0.0314972671;0.0251528722;0.0066225166
Switzerland Basel City;194766;37;899;461.5795364694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2677835489;0.3084969911;0.3287911809;0.2998230698;0.2396164957;0.1912855507;0.166699212;0.1602341777;0.1657794693;0.1646595154;0.1728259199;0.1607722411;0.1415601452;0.1218353297;0.1049904252;0.098649202;0.0885685612;0.0811399387;0.068160437;0.0581782971;0.0512842782;0.047498135;0.0470460823;0.044618693;0.0421995311;0.0346961788;0.0269269062;0.0218584792;0.0178136412;0.0175839554;0.016298439;0.0156492139;0.0145221436;0.0130355252;0.006718925
Switzerland Basel Country;288132;518;755;262.0326794664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1651006924;0.1723346544;0.19163656;0.2042226214;0.2121039137;0.2104893861;0.22942008;0.2408403718;0.2513509158;0.2865503399;0.2802953199;0.2667871122;0.1990179323;0.1214469665;0.0908315447;0.0892671585;0.1157209535;0.1173146428;0.0976869547;0.0700052643;0.0497585258;0.0442979281;0.0410551524;0.0408760053;0.0368625932;0.0336522808;0.0287675743;0.0223737662;0.0179622887;0.0144974164;0.0151984677;0.0156038598;0.0151646748;0.0134768681;0.0080106809
Switzerland Berne;1034977;5959;1470;142.0321417771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2864590324;0.2724827631;0.2632052349;0.2360850904;0.2021765099;0.1671616047;0.1595643368;0.1681326705;0.2126625003;0.2667758343;0.2880431958;0.2715201332;0.204412152;0.1413850362;0.108475783;0.1003000545;0.1072353992;0.1036077736;0.0885448878;0.0711885775;0.0549864991;0.0483590029;0.0493371379;0.057039435;0.0642952494;0.063620691;0.0539935279;0.0434061046;0.0375122677;0.0379665245;0.0399845905;0.0393737962;0.035249595;0.0290426647;0.0224437584;0.0096153846
Switzerland Friborg;318714;1671;879;275.7958545906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2689180319;0.2380681045;0.2107986341;0.2156500914;0.2495759748;0.2966124398;0.3091652493;0.2824852517;0.2347221812;0.1887722248;0.1630547206;0.1363298775;0.1302527335;0.1262744892;0.1232267475;0.118229626;0.0977412162;0.0796065949;0.0618062136;0.055472355;0.059390227;0.0614202077;0.0625324315;0.0584188113;0.0518508072;0.0462897722;0.0403296887;0.0372743059;0.0330534089;0.0282800066;0.0253260717;0.0232828871
Switzerland Geneva;499480;1771;4438;888.5240650276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4142135624;0.3749334083;0.3473450509;0.3531828456;0.3787002436;0.4202564869;0.4229707211;0.3956876799;0.3269596955;0.2802656862;0.2507709433;0.2256875533;0.1965632247;0.1583326886;0.1269104114;0.1036738308;0.0941354557;0.0912719149;0.0934165042;0.0922880604;0.0879820782;0.0810028044;0.0738182421;0.0718047326;0.0683170571;0.0631276637;0.0536828033;0.0435582892;0.0355658844;0.0327049802;0.0322020403;0.0317048774;0.0275560024;0.0194523509;0.012542498;0.0077625487;0.0109339408
Switzerland Glarus;40403;685;105;259.8816919536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.218679846;0.1647146455;0.1273765203;0.1007982348;0.0919369075;0.0869470578;0.0736092067;0.0582816141;0.0450864765;0.0436937469;0.0460093483;0.0442290657;0.0401463183;0.0329287431;0.0259207511;0.0212313704;0.0180665085;0.0181464649;0.0321953341;0.0593791315;0.0824159378;0.0899477665;0.0826339221;0.1413043478
