Country/Region;Population;Area;Maximum;Per 100,000 inh.;Rate A;aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14
Switzerland;8654622;39516;1174;13.5650060742;0.0452652684;0.0504295533;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;3;4;4;11;13;14;14;27;28;41;54;75;98;120;122;153;191;231;264;300;359;433;488;536;591;666;715;765;821;895;948;1002;1036;1106;1138;1174
Switzerland Appenzell Inner Rhodes;16145;173;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Switzerland Appenzell Outer Rhodes;55234;243;3;5.4314371583;0.0379746835;0.0416666667;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Switzerland Argovia;677387;1404;19;2.8048958719;0.0208333333;0.0241116751;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2;3;3;3;8;11;11;12;12;12;12;13;16;16;17;18;18;18;19;19
Switzerland Basel City;194766;37;34;17.4568456507;0.0378197998;0.0407673861;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;4;4;4;4;4;5;5;5;5;8;12;13;13;15;15;16;18;19;21;24;26;26;28;31;33;33;33;33;34;34
Switzerland Basel Country;288132;518;25;8.6765787903;0.0331125828;0.0360230548;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;2;2;2;2;3;3;3;3;4;5;5;5;6;6;7;10;11;12;14;19;19;19;19;21;21;22;22;23;24;25
Switzerland Berne;1034977;5959;49;4.7344047259;0.0333333333;0.0381026439;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;3;3;5;6;6;7;8;9;10;13;16;20;23;26;28;28;31;33;37;38;42;44;49;49;49
Switzerland Friborg;318714;1671;57;17.8843728233;0.0648464164;0.0753968254;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;4;5;6;11;15;15;16;17;20;23;26;31;37;40;41;44;45;46;49;53;54;55;57
Switzerland Geneva;499480;1771;172;34.4358132458;0.0387561965;0.0407969639;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;3;4;5;6;8;8;9;13;14;21;23;30;37;44;53;61;68;76;80;93;100;111;118;125;133;144;154;160;167;172
Switzerland Glarus;40403;685;2;4.9501274658;0.019047619;0.03125;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Switzerland Grisons;198379;7105;37;18.6511677143;0.05;0.0544117647;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;6;6;6;6;9;9;9;9;12;19;21;23;27;27;30;31;34;35;35;35;35;35;35;37
