Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14
Switzerland;8654622;39516;25936;299.6780217553;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;5;13;28;29;62;73;160;193;239;254;369;499;704.5;908;1095;1900;2091;2267;2540;3539;4703;5909;6759;8030;9056;10002;10863;11926;13040;13723;14784;15431
Switzerland Appenzell Inner Rhodes;16145;173;24;148.6528336946;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;5;5.5;6;6.4;6.8;7.2;7.6;8;9;11;12;13;13.5;14;16
Switzerland Appenzell Outer Rhodes;55234;243;79;143.0278451678;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;3;4;5;6;7;8;8;11.8;15.6;19.4;23.2;27;30;31;39;41;42;45;47;55
Switzerland Argovia;677387;1404;912;134.6350018527;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;6;7;9;11;11.6666666667;12.3333333333;13;15;16;25;29;35.6666666667;42.3333333333;44;56;90;106;156;188;220;228;250;303;332;346;385;424;462;480
Switzerland Basel City;194766;37;899;461.5795364694;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;11;16;19;23;28;41;61;79;87;107;129;149;164;203;251;275;332;350;386;435;472;501;540;576;587;623
Switzerland Basel Country;288132;518;755;262.0326794664;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7.5;12;16;17;18;21;29;37;41;48;69;79;105;122;170;263;270;283;287;320;401;444;480;488;515;536
Switzerland Berne;1034977;5959;1470;142.0321417771;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;4;5;10.5;15;19.6666666667;25.3333333333;29;40.7142857143;53.4285714286;65.1428571429;76.8571428571;88.5714285714;100.2857142857;110;142;173;259;351;390;416;439;499;587;622;676;723;749;777;807
Switzerland Friborg;318714;1671;879;275.7958545906;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;5;5.6666666667;5.3333333333;5;7;8.5;10;11;14;21;24;28;39;63;85;114;130;162;185;211;248;263;320;368;388;422;434
Switzerland Geneva;499480;1771;4438;888.5240650276;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;5;5;6;7;10;22;31;36;65;69;98;158;261;357;437;562;701;915;1070;1183;1332;1471;1561;1684;1908;2090;2279;2390;2597;2822
Switzerland Glarus;40403;685;105;259.8816919536;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;11.5;15;19.6666666667;24.3333333333;29;30;31;38;41;42;45;46.5;48;51
Switzerland Grisons;198379;7105;740;373.0233542865;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;122;186;212;236;240;242;287;338;374;403.3333333333;432.6666666667;462;476
Switzerland Jura;73419;88;185;251.9783707215;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;4;4.5;5;6;7;8.6666666667;10.3333333333;12;17;18;19;25;29;32;36;44;54;61;69;82;91;99;112;117;125;126;138
