Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;Last Trend
0 America;1024565701;38395425;783942;76.5145660483;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0782517856;0.0667394354;0.0548713977;0.0616809572;0.0524682372;0.0392628219;0.0319085081;0.0323230885;0.0407577354;0.0468522602;0.0516992441;0.0547897297;0.0533625191;0.0623951654;0.0875893563;0.1153919656;0.1428873662;0.220809761;0.3071293447;0.3641018119;0.3221475107;0.2328929896;0.141975565;0.1146394198;0.1238104647;0.167006871;0.2035058446;0.2305116739;0.2563759508;0.2706809281;0.3135163228;0.3430995392;0.3390978346;0.3400060219;0.3317810016;0.3340857874;0.3516952474;0.3419527564;0.326987823;0.3126759897;0.3129711768;0.316033767;0.3545850597;0.3874713263;0.4066607926;0.4136411729;0.3774230417;0.3372845118;0.2931327219;0.2686431729;0.2480895052;0.2344395214;0.2197198013;0.2015967441;0.1843530721;0.1674727201;0.1617091437;0.1569326329;0.1519255448;0.1448636272;0.1346554895;0.1234798055;0.1134183537;0.108422008;0.1063824821;0.1051809982;0.1013488327;0.0947786409;0.0874875603;0.0818374703;0.0798481803;0
00 N. America;372101241;18250341;699775;188.0603779013;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0782517856;0.0667394354;0.0548713977;0.0616809572;0.0524682372;0.0392628219;0.0319085081;0.0323230885;0.0407577354;0.0468522602;0.0516992441;0.0547897297;0.0533625191;0.0623951654;0.0875893563;0.1153919656;0.1428873662;0.220809761;0.3071293447;0.3641018119;0.3217727474;0.2301408747;0.1363290108;0.1034657077;0.1016818836;0.1385798192;0.1744477192;0.2078180645;0.2468133029;0.2653967946;0.3129247137;0.3406885956;0.336956628;0.3422027681;0.3350470749;0.342557186;0.3550045383;0.3372960714;0.3164968915;0.2994755088;0.3041130343;0.3098327863;0.3546919843;0.391741598;0.4148992099;0.4227013643;0.3830210325;0.3413144348;0.2975384016;0.2764175685;0.256524385;0.2426078862;0.2263191644;0.2068032615;0.1882465033;0.1701000055;0.1633142895;0.1575727104;0.1522014089;0.1450727922;0.1352426287;0.1238806348;0.1128416264;0.1064828057;0.1028931354;0.1007992269;0.0971737252;0.0914798315;0.0851614763;0.0796367873;0.0776622125;0
01 M. America;179670200;2452270;11053;6.1518270698;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.476521419;0.4528534696;0.4068606581;0.3603946319;0.3215206867;0.3054130919;0.2956121992;0.2964346681;0.3097679519;0.3044800125;0.2740472583;0.2301437447;0.191010173;0.1778936544;0.1863362917;0.1959342432;0.1945990173;0.1788067055;0.1535972244;0.1359190359;0.1231945655;0.1210269434;0.1245301828;0.1260925255;0.1257521857;0.1230368667;0.126770099;0.1295006213;0.1346892663;0.1331273471;0.1274666026;0.1185937588;0.1044985449;0.095906939;0
03 Caribbean;40664971;215822;5839;14.358795436;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2913976955;0.3868716984;0.433506953;0.4090441202;0.3446808076;0.3370160943;0.3447411901;0.3617905528;0.3909627063;0.3864085906;0.3579275461;0.3013496437;0.240468283;0.2060176762;0.1946128423;0.191400434;0.1797494424;0.1697518608;0.1532472799;0.14149691;0.1317344005;0.1155284435;0.1048485313;0.0898850604;0.0871670846;0.0916776911;0.0951721139;0.1032335625;0.1086862048;0.1139258427;0.1069677703;0.1014377969;0.0975139142;0.0943716965;0
04 S. America;432129289;17476992;67275;15.5682573972;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4012415376;0.3506099023;0.3141440904;0.2678876622;0.329300453;0.3642696866;0.3890344838;0.4079416261;0.3717449727;0.3629184206;0.3678825107;0.3779043438;0.368095194;0.3661208241;0.3444033626;0.3117730148;0.2630979259;0.212950113;0.1831568554;0.1641496404;0.155692695;0.1450799449;0.1392775185;0.1382123742;0.1481895047;0.1581780994;0.158900223;0.1511280393;0.1336028919;0.1217164016;0.1219697992;0.1328449462;0.1484930891;0.1559140677;0.1460395593;0.1265707592;0.1070172406;0.1003105108;0.0985016385;0
1 Europe;611702015;21312232.3170000017;741683;121.2490692874;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0957987697;0.0584063809;0.0432441274;0.0370013664;0.039677567;0.0478020194;0.0532816928;0.0653695167;0.0805262345;0.103375516;0.1132357707;0.1187352899;0.1130493771;0.1059958717;0.0997549813;0.0941956771;0.160944968;0.3245914506;0.4917198152;0.6324827748;0.6369230949;0.5367093314;0.4642817153;0.4212437367;0.4152830405;0.3887386067;0.3622714395;0.3333839815;0.3025065014;0.2913422633;0.2869875102;0.2939933521;0.2867581363;0.2721530881;0.2604462776;0.2281157322;0.2385073533;0.2478227626;0.2629450237;0.2752256014;0.2443504286;0.2198337012;0.1938499106;0.1937882797;0.1961600873;0.1939519716;0.1834834341;0.1675908522;0.1545323892;0.1456611353;0.1474628902;0.1471388636;0.1412910101;0.130523316;0.1163241039;0.1039637038;0.0979055715;0.0955205672;0.0951182005;0.0916839196;0.0859840861;0.0783442672;0.0733354298;0.0727895635;0.0757420369;0.0797313425;0.0807967911;0.0783460305;0.0732619892;0.0695325171;0.069465009;0
11 N. Europe;21451759;1181143;24728;115.2725983916;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4485704389;0.4798498617;0.4960509422;0.5204233148;0.4548473232;0.3438187851;0.3173372478;0.3227587148;0.3462617638;0.3715000763;0.3444499152;0.2885843765;0.2279499025;0.1672577696;0.1296690292;0.1099659257;0.1115015951;0.1202307852;0.1293993466;0.1286992564;0.1309784094;0.1279057424;0.1233727555;0.1303416569;0.1306538269;0.1289299871;0.1211478987;0.1117464263;0.1012618856;0.0996242012;0.1018890796;0.1052568677;0.104709959;0.0966103439;0.0891315262;0.0848289614;0.0865250756;0.089216768;0.0905756551;0.0847757698;0.0763641569;0.0680597462;0.063615547;0.0660954145;0
12 W. Europe;136029709;606885;260464;191.4758194476;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0476719263;0.0321151854;0.0349146842;0.0525613871;0.0600633283;0.0611536176;0.0520538933;0.0497876531;0.0437052243;0.0449698982;0.0502802649;0.0506403382;0.0510075352;0.0513819691;0.0532926474;0.0553554155;0.0636968879;0.0750190056;0.1155149276;0.2338150755;0.3575282644;0.4683984681;0.5472071416;0.530094047;0.5220632504;0.4595313613;0.4484499995;0.4585022662;0.4783497589;0.4728614058;0.3942176539;0.3084410242;0.2602387009;0.2239651272;0.2597719153;0.2875705651;0.3217763176;0.3378217816;0.3039759376;0.2827804331;0.2577030653;0.266230019;0.2609953969;0.2469651676;0.2194521575;0.1896514024;0.1695481138;0.1584908068;0.1596932228;0.1596018846;0.1554050014;0.1430421363;0.1261619321;0.1089121688;0.0999657561;0.0977869829;0.0975199059;0.0937699412;0.0869497338;0.0776017275;0.070625419;0.0707686598;0.0753398358;0.0804345141;0.0805242827;0.0759779039;0.0677795785;0.0623215523;0.0607788284;0
13 S. Europe;129670199;1023531.4399999999;377415;291.0576238107;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1196388239;0.1071980666;0.1024583174;0.2306498541;0.476760333;0.6955085261;0.8718906723;0.7815080353;0.5827260807;0.4729065998;0.413649997;0.4031663516;0.3767566608;0.3499850928;0.3216105576;0.2831011132;0.2626951481;0.250537567;0.2582706716;0.2641872095;0.2620798585;0.2559601744;0.2199205192;0.2206583919;0.2265563894;0.2418442286;0.2593836433;0.2317216425;0.2064404868;0.1767905792;0.1715587693;0.1743156996;0.1742944002;0.1693847032;0.1576076172;0.1467812282;0.1384017383;0.139864588;0.1387952453;0.1310800779;0.1205442388;0.1072852074;0.0976203652;0.092953298;0.0896394158;0.0882376521;0.0841073706;0.0790390158;0.0722540486;0.0683620821;0.0666638882;0.06765393;0.0703889876;0.0718918877;0.0708124107;0.0669540646;0.0630749522;0.0622368132;0
14 E. Europe;324550348;18500672.8770000003;79076;24.3647866925;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2649977723;0.3584638807;0.3822613351;0.3981618988;0.3560192075;0.3115971268;0.3435785683;0.3487007964;0.4385132265;0.4626233196;0.4482006512;0.4055118172;0.3231642448;0.264733196;0.2276809231;0.2203487713;0.2205440762;0.2194224017;0.2077910098;0.1955045835;0.1836994338;0.1769938702;0.1807706637;0.1834869776;0.1812782202;0.1721444001;0.1588642624;0.1456195437;0.1389608464;0.1393348161;0.1421048081;0.1422915367;0.1345813163;0.1257988595;0.1185084968;0.1172605566;0.1215548618;0.1252034628;0.1265427729;0.1230872912;0.1195194443;0.1170389846;0.1185203507;0
