Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16
0 America;1024565701;38395425;783942;76.5145660483;;1;1;2;2;6;6.5;7;8.3333333333;9.6666666667;11;12;13.5;15;15.5;15;16;16;16.25;12.5;12.25;12;11.1666666667;10.3333333333;9.25;8.5;7.25;6;6.25;6.5;6.25;6;18.0833333333;30.1666666667;42.25;43;49.5;52;55.75;73.5;91.25;118;143.25;184.5;261.75;333;478.6666666667;622.3333333333;699;1099;1492;1919;2684;3328;4231;5779;7972;9769;16409;22814;30269;39479;51621;62807;76063;96014;115314;137234;158033;179940;208081;235343;263626;292726;321874;346133;367015;389897;416223;435023;457802;470132;482273;490479;492249;499257;503622
00 N. America;372101241;18250341;699775;188.0603779013;;1;1;2;2;6;6.5;7;8.3333333333;9.6666666667;11;12;13.5;15;15.5;15;16;16;16.25;12.5;12.25;12;11.1666666667;10.3333333333;9.25;8.5;7.25;6;6.25;6.5;6.25;6;18.0833333333;30.1666666667;42.25;43;48.5;51;53.75;67.5;77.25;104;126.25;159.5;230.75;287;419.6666666667;533.3333333333;599;976;1321;1709;2296;2835;3651;4928;6753;8262;14301;19923;26447;34200;45318;55546;67715;86194;104086;124260;143610;164395;190093;214838;240876;268238;295460;318620;337865;358192;379821;394915;412980;423437;433270;437876;438756;442373;444344
01 M. America;179670200;2452270;11053;6.1518270698;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;5.4;5.8;6.2;6.6;7;9.5;12;16;17;30;46;63;87;110;145.6;200.2;237.8;312.4;421;556.5;736;859;931;1091;1311;1571;1861;2122;2373;2635;2778;3087;3300;3620;3799;4173;4547;4920;5447;5758;6111;6507;6866;7013;7362;7647
03 Caribbean;40664971;215822;5839;14.358795436;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;4.5;5;7;10;10.6666666667;11.3333333333;12;16;28;45;49;63;95;114;153;222;320;461;551.3333333333;646;776;927;1058;1292;1490;1586;1844;2080;2213;2328;2293;2468;2530;2648;2748;2923;3126;3092;3168;3336;3211;3416;3466
04 S. America;432129289;17476992;67275;15.5682573972;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;8;9.5;11;16;22;34;45;66;73;95;128;146;295;358;421;639.5;921;1154;1638;2246;2943;4082;4892;5682;6476;7580;8598;9821;10808;11586;13509;15647;17450;18860;20501;21246;22447;24510;28734;31738;35938;37492;39328;42401;43269;46106;48165
1 Europe;611702015;21312232.3170000017;741683;121.2490692874;;0;0;0;0;0;1;4;5;8;11;15;17;19;20;20.6666666667;21.3333333333;22;23;24;24;22;22.7;21.4;20.1;17.8;17.5;17.2;17.9;18.9333333333;19.9666666667;21;62;154;227;328;482.3;721.6;984.9;1307.2;1998.5;2443;3017;3848;5084;6470;8227;10372;12860;15280;19365;19924;31594;38364;46199;53957;63018;73733;88847;104745;121634;135970;153967;170980;191837;220069;236605;258802;274737;290290;304952;320611;333175;342930;349466;354619;353135;354758;354451;350177;346858;339677;335866;329755;321160;317345;314424
11 N. Europe;21451759;1181143;24728;115.2725983916;;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;8;14;29;40;50;68;122;226;266;372;452;541;864;1239;1455;2086;2410;2627;2859;3171;3349;3759;4224;4595;5174;5530;5845;6115;6644;6797;7306;7734;8168;8557;9176;9742;10167;10504;10483;10919;11146;11433;11680;11728;11591;11464;11431;11335;11166;10999
12 W. Europe;136029709;606885;260464;191.4758194476;;0;0;0;0;0;1;4;4.3333333333;4.6666666667;5;8;10;12;13;13.3333333333;13.6666666667;14;14.5;15;15;13;12.9523809524;12.9047619047;12.8571428571;10.1428571429;8.4285714286;6.7142857143;6;5.9523809524;5.9047619047;5.8571428571;5.6428571429;5.4285714286;4.7142857143;4;13.7142857143;41.4285714286;43.1428571429;96.8571428571;166.5714285714;228.2857142857;294;430.7142857143;757.4285714286;1177.1428571429;1503.8571428571;1948.5714285714;2245.2857142857;2799;3645;3855;6747;8318;10886;12970;16300;20617;25817;32794;38049;43343;50651;57693;64498;75829;84434;94936;101114;108007;113032;118936;124900;128097;131661;133815;132774;133058;134991;132796;130789;125793;123937;120413;115973;113850;108970
13 S. Europe;129670199;1023531.4399999999;377415;291.0576238107;;0;0;0;0;0;0;0;0;0;2;3;3;3;3;3;3;4;4.5;5;6.4166666667;7.8333333333;9.25;10.6666666667;10.0833333333;10.5;11.9166666667;13.3333333333;14.75;16.1666666667;17.5833333333;18;59.5;152;224;318;455;657;904;1150;1753;2123;2607;3234;4028;4916;6235;7810;9901;11369;14091;14097;21900;26430;31167;36256;41283;47131;56256;64199;74694;82448;92007;100756;113460;128612;135038;144828;152683;159658;167310;174884;178754;182655;183359;184588;181997;180819;176109;171196;167105;162636;158171;152547;145353;139839;138150
14 E. Europe;324550348;18500672.8770000003;79076;24.3647866925;;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;5;6;12;13;17;19;25;38;50;89;94;142;155;231;366;461;809;1100;1346;1637;1987;2361;2940;3528;4296;5005;5779;6686;7764;8984;10336;11732;13206;14457;16053;17615;19779;22011;23942;25733;27445;29735;31918;34505;37236;39657;42294;45364;48499;52490;56305
