Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16
0 America;1024565701;38395425;783942;76.5145660483;;1;1;2;2;6;6.5;7;8.3333333333;9.6666666667;11;12;13.5;15;15.5;16;17;18;18.25;18.5;18.75;19;19.5;20;20.25;20.5;20.75;21;21.75;22.5;23.25;24;36.3333333333;48.6666666667;61;62;69;72;76;94;112;139;165;207;285;357;515;671;760;1161;1561;1991;2760;3422;4343;5918;8137;9976;16694;23171;30784;40150;52381;63968;77624;98005;118074;140656;162376;185858;216218;245319;280320;315897;352658;386283;419396;453865;493847;533028;575876;610788;644649;676337;708467;744576;783942
00 N. America;372101241;18250341;699775;188.0603779013;;1;1;2;2;6;6.5;7;8.3333333333;9.6666666667;11;12;13.5;15;15.5;16;17;18;18.25;18.5;18.75;19;19.5;20;20.25;20.5;20.75;21;21.75;22.5;23.25;24;36.3333333333;48.6666666667;61;62;68;71;74;88;98;125;148;182;254;311;456;582;660;1038;1389;1780;2370;2923;3749;5053;6901;8444;14555;20234;26903;34782;45978;56584;69104;87974;106456;127183;147359;169448;196994;223282;255431;288472;322363;353402;383843;414776;448925;482889;519436;550620;580629;607324;635750;665655;699775
01 M. America;179670200;2452270;11053;6.1518270698;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;5.4;5.8;6.2;6.6;7;9.5;12;16;17;31;47;64;91;115;151;206;244;319;428;566;748;875;948;1122;1358;1635;1952;2237;2524;2841;3022;3406;3728;4186;4547;5048;5495;6042;6805;7393;8063;8744;9390;9854;10384;11053
03 Caribbean;40664971;215822;5839;14.358795436;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;4.5;5;7;10;10.6666666667;11.3333333333;12;16;28;45;50;65;98;118;160;229;327;471;562;658;793;945;1087;1337;1543;1651;1942;2198;2373;2557;2620;2939;3092;3306;3541;3868;4213;4429;4711;4987;5153;5614;5839
04 S. America;432129289;17476992;67275;15.5682573972;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;8;9.5;11;16;22;34;45;67;74;96;129;148;298;363;429;649;932;1170;1660;2280;2988;4149;4966;5778;6605;7728;8896;10184;11237;12235;14441;16817;19110;21140;23489;25395;27413;30288;35339;39466;44834;47676;50565;54636;57710;62923;67275
1 Europe;611702015;21312232.3170000017;741683;121.2490692874;;0;0;0;0;0;1;4;5;8;11;15;17;19;20;20.6666666667;21.3333333333;22;23;24;25;26;27.7;29.4;31.1;32.8;34.5;36.2;37.9;39.6;41.3;43;85;178;252;354;510;751;1016;1340;2033;2495;3098;3958;5237;6675;8473;10761;13359;15957;20268;20831;33038;40063;48379;56553;66200;77691;94084;111420;130107;146731;167326;186937;212105;240900;269643;298865;323116;346843;371152;398302;427259;454350;479573;501350;520461;541695;566556;591077;616501;638542;658982;676598;692312;715647;741683
11 N. Europe;21451759;1181143;24728;115.2725983916;;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;10;16;31;42;52;70;124;228;268;374;454;543;866;1244;1465;2102;2441;2669;2911;3241;3473;3987;4492;4969;5628;6073;6711;7359;8109;8899;9747;10403;11079;11798;12649;13729;14659;15473;16111;16992;17857;18792;19789;20627;21338;21867;22510;23133;23815;24728
12 W. Europe;136029709;606885;260464;191.4758194476;;0;0;0;0;0;1;4;4.3333333333;4.6666666667;5;8;10;12;13;13.3333333333;13.6666666667;14;14.5;15;16;17;17.2857142857;17.5714285714;17.8571428571;18.1428571429;18.4285714286;18.7142857143;19;19.2857142857;19.5714285714;19.8571428571;20.1428571429;20.4285714286;20.7142857143;21;31;59;61;115;185;247;313;450;777;1197;1524;1969;2266;2820;3676;3914;6808;8433;11071;13217;16613;21067;26594;33991;39573;45312;52917;60513;68174;79743;91242;103369;112185;121224;129645;140003;151494;162088;171234;179127;185691;193571;203165;212539;222031;229162;236122;241637;245618;253853;260464
13 S. Europe;129670199;1023531.4399999999;377415;291.0576238107;;0;0;0;0;0;0;0;0;0;2;3;3;3;3;3;3;4;4.5;5;6.4166666667;7.8333333333;9.25;10.6666666667;12.0833333333;13.5;14.9166666667;16.3333333333;17.75;19.1666666667;20.5833333333;22;64;157;231;328;467;674;925;1179;1787;2175;2688;3344;4180;5119;6479;8194;10393;12037;14975;14983;23305;28074;33274;38767;44332;50750;60511;69318;81173;90642;102400;112793;128435;143595;158343;172902;185957;198425;211642;225634;239265;251973;264532;275230;284397;293612;304544;314791;325448;335538;344128;350972;356995;365473;377415
14 E. Europe;324550348;18500672.8770000003;79076;24.3647866925;;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;7;8;14;15;19;21;27;40;52;91;96;144;157;234;373;469;823;1115;1365;1658;2014;2401;2992;3619;4392;5149;5936;6920;8137;9453;11159;12847;14571;16115;18067;20016;22771;25630;28334;30882;33381;36655;40055;43958;48395;52504;56865;61479;66566;72506;79076
2 Asia Pacific;4192529278;31181951;163273;3.8943794825;;554;653;937;1429;2109;2917;5563;6145;8213;9894;11999;16745;19834;23844;27586;30745;34276;36998;40023;42558;44595;44973;60119;66592;68669;70792;72726;74516;74938;75480;76067;77764;77985;78449;79122;79846;80811;81728;83011;84205;85037;86052;86702;87371;88150;88752;89190;89463;89688;90150;90306;90760;91215;91806;92353;93065;93761;94728;95572;96981;98619;99710;101100;102598;104362;106109;108344;110311;112055;114151;116603;119344;121406;123773;126017;129899;132148;134693;137744;140915;144172;147603;151656;155287;158890;163273
21 C. Asia;75861692;3497518;6007;7.9183575289;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;7;8;9;10;11;12.5;14;23;25;27;36;39;52;69;92;129;183;203;269;311;372;430;492;570;618;721;873;1069;1236;1403;1562;1719;1953;2155;2394;2653;2997;3211;3456;3708;3896;4238;4561;4967;5391;5716;6007
22 India Region;1817448317;4118717;22205;1.2217678925;;0;0;0;1;1;2;2;2;3;3;3;4;5;5.0869565217;5.1739130435;5.2608695652;5.347826087;5.4347826087;5.5217391304;5.6086956522;5.6956521739;5.7826086957;5.8695652174;5.9565217391;6.0434782609;6.1304347826;6.2173913043;6.3043478261;6.3913043478;6.4782608696;6.5652173913;6.652173913;6.7391304348;6.8260869565;6.9130434783;7;7.6666666667;8.3333333333;9;10;11;12;35;37;40;43;55;59;84;96;108;130;158;204;306;447;535;740;854;1178;1297;1521;1666;1879;2096;2437;2667;2812;3165;3556;4344;5201;5503;6169;7042;8878;9728;10619;11767;12940;14170;15303;17008;18610;20217;22205
23 China;1439323776;9388211;83403;5.7945961423;;548;643;920;1406;2075;2877;5509;6087;8141;9802;11891;16630;19716;23707;27440;30587;34110;36814;39829;42354;44386;44759;59895;66358;68413;70513;72434;74211;74619;75077;75550;77001;77022;77241;77754;78166;78600;78928;79356;79932;80136;80261;80386;80537;80690;80770;80823;80860;80887;80921;80932;80945;80977;81003;81033;81058;81102;81156;81250;81305;81435;81498;81591;81661;81782;81897;81999;82122;82198;82279;82361;82432;82511;82543;82602;82665;82718;82809;82883;82941;83014;83134;83213;83306;83356;83403
24 N.E. Asia;177745646;461785;19239;10.8238938241;;3;3;4;5.5;7;8;11;13;15;26;32;35;36.5;38;41;45;49;50;51;53;54;56;56.5;57;71;88;96;105;115;198;309;555;749;992;1147;1450;1980;2565;3391;3992;4609;5479;5952;6448;7013;7502;7816;7989;8094;8394;8508;8680;8859;9001;9075;9198;9302;9489;9615;9806;10062;10089;10230;10444;10628;10800;11171;11449;11527;11739;12065;12471;12679;13295;13376;13938;14237;14641;15090;15980;16485;17260;17907;18209;18691;19239
25 S.E. Asia;650252129;5729240;24453;3.7605413207;;3;7;13;18;22;25;36;39;45;54;61;64;66;81;87;94;97;115;123;131;135;138;148;157;165;171;176;180;184;185;188;191;194;196;201;207;208;211;228;237;243;253;267;280;332;355;392;434;484;570;586;745;893;1198;1422;1712;2028;2356;2698;3177;3720;4297;4805;5383;5993;6541;7295;8142;8754;9750;10480;11304;12288;12795;13539;14436;15111;15853;16854;17564;18554;19602;20761;21888;22982;24453
26 AU / NZ;30322117;7945610;7863;25.9315667175;;0;0;0;0;4;5;5.5;6;9;10.5;12;12.3333333333;12.6666666667;13;13.5;14;15;15.0476190476;15.0952380952;15.1428571429;15.1904761905;15.2380952381;15.2857142857;15.3333333333;15.380952381;15.4285714286;15.4761904762;15.5238095238;15.5714285714;15.619047619;15.6666666667;15.7142857143;15.7619047619;15.8095238095;15.8571428571;15.9047619048;15.9523809524;16;26;28;31;40;55;58;64;68;81;96;112;133;169;205;256;305;385;464;588;709;830;1123;1651;1784;2199;2569;3093;3511;4091;4498;4950;5206;5570;5913;6198;6500;6726;6903;7055;7220;7347;7498;7615;7645;7700;7781;7826;7863
27 Pacific Ocean;1575601;40870;103;6.5371880317;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;9;14;20;24;29;39;44;49;50;52;55;58;59;64;70;72;77;79;82;88;95;95.5;96;97;98;100;102;102.5;103
3 ME/Africa;1706894362;34551900;207808;12.1746257195;;0;0;0;0;0;0;0;4;4.25;4.5;4.75;5;5.3333333333;5.6666666667;6;6.3333333333;6.6666666667;7;7.5;8;8.25;8.5;8.75;9;9.5;10;10.6666666667;11.3333333333;12;15;30;44;59;83;150;227;353;509;735;1144;1695;2558;3167;3781;5067;6207;7043;7663;8654;9981;11136;12648;14222;15677;16922;18379;19919;21606;23455;25279;27632;30147;33363;38153;42943;49225;55291;61590;67748;75282;82301;89829;97532;105061;113062;120672;128692;136660;144843;153823;163268;172381;180958;189449;198249;207808
