Country/Region;Population;Area;Maximum;Per 100,000 inh.;Rate A;aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16
0 America;1024565701;38395425;38159;3.7244073233;0.0486757949;0.0662625287;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;7;11;12;14;17;22;24;30;39;44;52;61;70;98;124;140;233;290;372;508;673;853;1122;1428;1857;2372;2885;3475;4500;5487;6852;8170;9697;11074;12477;14663;16927;19084;21481;23644;25508;27290;30027;32992;38159
00 N. America;372101241;18250341;34235;9.2004530563;0.0489228681;0.0659080233;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;7;11;12;14;17;21;23;29;37;41;48;55;64;89;113;126;209;256;326;438;584;734;974;1249;1638;2090;2536;3064;3983;4879;6079;7284;8646;9901;11146;13123;15129;17017;19185;21162;22781;24358;26781;29388;34235
01 M. America;179670200;2452270;605;0.3367280718;0.0547362707;0.0818341675;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;4;4;6;8;12;13;16;18;22;31;40;55;70;74;89;108;124;155;181;213;235;274;298;346;394;425;469;550;605
03 Caribbean;40664971;215822;292;0.7180627277;0.0500085631;0.0693092808;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;4;7;7;7;9;9;12;17;18;29;40;53;58;71;85;88;99;105;126;138;155;173;189;200;211;252;260;266;280;292
04 S. America;432129289;17476992;3027;0.7004848033;0.0449944259;0.0675157247;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;3;5;5;5;6;8;13;23;33;53;68;94;115;143;168;211;256;298;376;449;596;679;822;892;1012;1172;1390;1604;1798;1925;2081;2247;2511;2774;3027
1 Europe;611702015;21312232.3170000017;60277;9.8539809453;0.0812705698;0.097772753;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;7;10;12;17;21;29;34;52;81;110;153;205;246;389;499;677;903;907;1444;1699;2180;2596;3182;3787;4487;5423;6680;7838;9113;10539;12347;14080;16153;18270;20297;22530;24861;27164;29676;32016;34163;36037;38176;40727;43096;45408;47709;49540;51508;53426;55202;57891;60277
11 N. Europe;21451759;1181143;1568;7.3094239032;0.0634098997;0.0760168711;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;5;11;9;11;17;19;23;29;30;37;51;81;98;133;139;148;193;238;302;381;441;464;504;586;720;834;949;1038;1063;1091;1120;1244;1433;1568
12 W. Europe;136029709;606885;14494;10.6550253666;0.0556468456;0.0652791727;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;5;7;9;16;17;33;42;53;66;110;136;195;277;381;474;579;720;940;1190;1504;1812;2190;2567;3177;3673;4283;4820;5405;5918;6518;7479;8296;9094;9970;10492;11227;11872;12443;13543;14494
13 S. Europe;129670199;1023531.4399999999;42308;32.6273888112;0.1120994131;0.1299992626;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;7;10;12;17;21;29;34;52;81;110;152;203;244;384;492;668;884;886;1405;1644;2107;2511;3049;3619;4255;5101;6245;7299;8450;9706;11240;12693;14405;16167;17773;19531;21148;22829;24581;26246;27704;28956;30317;31664;32992;34294;35530;36712;37789;38935;39874;41141;42308
14 E. Europe;324550348;18500672.8770000003;1907;0.5875821769;0.0241160403;0.0394048972;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;5;8;9;10;12;15;18;22;25;35;47;62;86;99;111;152;186;239;298;360;431;509;590;659;755;864;974;1071;1171;1273;1401;1499;1641;1774;1907
