Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16
0 America;1024565701;38395425;783942;76.5145660483;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;6;6.5;7;8.3333333333;9.6666666667;11;12;13.5;15;15.5;16;17;18;18.25;18.5;18.75;19;19.5;20;20.25;19.5;19.75;15;14.75;11.5;11.25;10;19.3333333333;26.6666666667;37;32;30;28;24;33;42;41;41;67;52;67;143;163;87;308;439;563;903;1050;1458;2443;3637;4489;9842;15001;21087;29076;39904;49305;60697;78921;96593;117012;136868;158568;186191;212327;242161
00 N. America;372101241;18250341;699775;188.0603779013;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;6;6.5;7;8.3333333333;9.6666666667;11;12;13.5;15;15.5;16;17;18;18.25;18.5;18.75;19;19.5;20;20.25;19.5;19.75;15;14.75;11.5;11.25;10;19.3333333333;27.6666666667;38;33;31;30;26;33;34;36;35;56;45;55;130;144;76;304;415;531;732;833;1213;1989;2918;3565;8476;12950;18257;24881;34832;43461;53975;70957;87271;106021;124578;145090;170213;193894;221196
01 M. America;179670200;2452270;11053;6.1518270698;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;3.4;3.8;4.2;2.6;3;3.5;4;4;4;15;29;42;60;75;96;136;170;230;320;442;593;694;735;887;1084;1337;1606;1843;2099;2372;2472;2801
03 Caribbean;40664971;215822;5839;14.358795436;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1.6666666667;0;0;0;0;5;0;7;27;33;72;130;222;345;424;503;620;756;887;1126;1291;1391;1676;1918;2081
04 S. America;432129289;17476992;67275;15.5682573972;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4.5;5;8;9;11;12;14;6;2;14;5;130;152;173;351;556;721;1064;1601;2166;3257;3954;4606;5215;6124;7098;8259;9156;9988;11930;14043;16083
1 Europe;611702015;21312232.3170000017;741683;121.2490692874;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;8;11;15;17;19;20;20.6666666667;21.3333333333;21;21;21;18;16;15.7;12.4;10.1;3.8;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171;750;1252;1793;2923;4246;5418;7921;6751;16885;21793;28082;34023;41339;50527;64408;79404;95944;110694;129150;146210;169009;195492;221934;249325;271608;293417;315950;340411;366982
11 N. Europe;21451759;1181143;24728;115.2725983916;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;9;15;26;31;43;59;107;209;245;345;424;506;815;1163;1367;1969;2302;2521;2718;3003;3171;3606;4051;4505;5124;5487;5991;6525;7160;7861;8684;9312;9959;10554;11216;12161
12 W. Europe;136029709;606885;260464;191.4758194476;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;4.3333333333;4.6666666667;5;8;10;12;13;13.3333333333;13.6666666667;14;14.5;15;16;17;17.2857142857;17.5714285714;17.8571428571;18.1428571429;18.4285714286;18.7142857143;19;19.2857142857;18.5714285714;17.8571428571;18.1428571429;15.4285714286;13.7142857143;12;15;42;28;73;132;181;203;314;582;920;1143;1495;1687;2100;2736;2724;5304;6621;8881;10650;13436;17394;22311;29171;34168;39394;46399;53034;59878;70649;81272;92877;100958;109352;117202;126460;137000
13 S. Europe;129670199;1023531.4399999999;377415;291.0576238107;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;3;3;3;3;3;2.5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;234;895;1943;2331;3735;2290;8900;11907;15501;19236;23184;27921;35930;43072;53469;61686;72083;81129;95443;109301;122813;136190;148168;159490;171768;184493;196957
14 E. Europe;324550348;18500672.8770000003;79076;24.3647866925;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;5;5;9;7;10;11;15;25;34;69;71;109;110;172;287;370;712;963;1179;1419;1716;2041;2561;3110;3802;4490;5181;6056;7163;8382;9988;11574;13170;14616;16426;18242;20864
