Country/Region;Population;Area;% Max;% Min;% Latest;% Last Day;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17
Austria;9006398;82409;0.3848421879;0.0424438199;0.0452631;0.0082205029;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3480020255;0.3677823999;0.362925333;0.3553755395;0.3396444571;0.3266304903;0.3550314319;0.3732624965;0.3848421879;0.371395412;0.3268204161;0.2911378342;0.2591785898;0.2487435171;0.2309093262;0.2241415873;0.2212955705;0.2265001951;0.2171877492;0.2015903893;0.1786577164;0.1562497803;0.1402844356;0.1193912866;0.1050557433;0.0887316975;0.0816341164;0.0725446186;0.0625790052;0.0534310956;0.0481693098;0.0448571656;0.0424438199;0.0494950773;0.0554056396;0.0588793576;0.0592076813;0.0589850651;0.0534250869;0.0477764712;0.0446425909;0.0452631
Belgium;11589623;30280;0.6332640733;0.0755142277;0.0805992539;0.0381797811;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6332640733;0.4049225617;0.2599167104;0.2093265694;0.2125768572;0.2442619478;0.2713461679;0.2703651358;0.2516511851;0.2280216106;0.2125732843;0.2146404799;0.2250762516;0.236960129;0.2329471737;0.2113714458;0.1835086438;0.1740610636;0.1806184254;0.2021998388;0.222684682;0.2179787752;0.1969096241;0.159811874;0.1299534985;0.111600878;0.1089340188;0.1109066436;0.1070789364;0.0990791017;0.0894897951;0.0864324914;0.0857108018;0.0915582032;0.0969965372;0.0940389059;0.0854432234;0.0783408139;0.0755142277;0.0805992539
Canada;37742154;9093510;0.3373700452;0.0789197467;0.0933862341;0.0651058579;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2256984847;0.262974659;0.2765248008;0.2375312157;0.1910774176;0.1688249744;0.1772290592;0.1968624368;0.2088238351;0.1929165086;0.1933219868;0.1817478691;0.2250456517;0.2564418722;0.2724915648;0.3172631908;0.3040558172;0.3373700452;0.3312228952;0.3051052622;0.2868941922;0.2542820492;0.2690954367;0.2851209699;0.2921732279;0.2960310422;0.2667985566;0.2344702508;0.2031288979;0.1865005647;0.1771452229;0.1671012201;0.1663815905;0.1587878118;0.1485517039;0.1405609329;0.1309381372;0.1282196097;0.1195324077;0.1092949858;0.102839354;0.0932904493;0.0915580128;0.0867973325;0.0822937058;0.0789197467;0.085534884;0.0933862341
China;1439323776;9388211;0.5039928938;0.0140907558;0.0777211722;0.0042804216;;0;0;0;0;0;0;0.5039928938;0.4967452822;0.4649999195;0.4030654079;0.3061940643;0.2817476064;0.2558454189;0.262760371;0.2465012398;0.2129463926;0.180478248;0.14580416;0.1245999832;0.1056330266;0.0943197714;0.0773693213;0.0891728936;0.1113422271;0.1375345592;0.1541367949;0.1253963716;0.0904307965;0.0514592693;0.0370347082;0.0292332802;0.0226889985;0.0191736487;0.0179669553;0.0173176874;0.0140907558;0.0224567075;0.0298562478;0.0377343291;0.0456268201;0.0539705743;0.0647459132;0.0570065397;0.0457316212;0.0357594674;0.0370874174;0.0330392729;0.0293321002;0.0255273615;0.0203395389;0.0163537751;0.0142686892;0.0146153544;0.0200170363;0.0253891204;0.0309831645;0.0395080691;0.0527245097;0.07382774;0.0963388568;0.1088864591;0.1208398949;0.1207012286;0.1174276131;0.1027570433;0.0968736988;0.0944963055;0.0948689196;0.0923208566;0.086285273;0.0770832626;0.0690815949;0.0653167938;0.0598751987;0.0585682155;0.0528369533;0.0504759035;0.0513884666;0.057232857;0.0658794007;0.0702408035;0.0741233588;0.0783527131;0.0830654103;0.0871441574;0.0840157243;0.0777211722
Finland;5540720;303890;0.5196590782;0.0562186988;0.0572608694;0.035618878;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2614471618;0.3043888638;0.3860049385;0.4590148466;0.5196590782;0.4952029679;0.3900488083;0.2804931452;0.1825083138;0.1451900794;0.1271255833;0.1349309476;0.1493540977;0.1567652223;0.164304832;0.1569911672;0.1491263779;0.1375379501;0.1309749786;0.1220420361;0.1174670274;0.1116365147;0.0967000927;0.0838563322;0.0701020831;0.0796326694;0.0962946907;0.1194962891;0.1336299627;0.1328084288;0.1277302234;0.1130374711;0.1103403407;0.0949673042;0.0867773908;0.0726821628;0.061367652;0.0562186988;0.0572608694
France;65273511;547557;0.642466505;0.0240976253;0.1059079415;0.0137640449;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.031527758;0.0240976253;0.024849485;0.0281857605;0.0332036526;0.0404913058;0.0496941322;0.0601457523;0.0724936081;0.0879535688;0.0858377497;0.0838202174;0.0818943261;0.1036923765;0.2150119762;0.3662266189;0.5377151588;0.642466505;0.6053131655;0.4989678793;0.3837638369;0.3293369907;0.3362123692;0.3990208018;0.4223794649;0.4017868701;0.3365777591;0.2836534048;0.2716625656;0.2897806538;0.287713652;0.2512213937;0.226802899;0.2104837986;0.2106452692;0.2232309812;0.2126361262;0.204340957;0.1770413318;0.171880116;0.1700666653;0.1712796154;0.1739526605;0.1673698363;0.1635927344;0.1487920075;0.1453936298;0.1392154805;0.1357839961;0.1350990121;0.1269995967;0.1116447132;0.0940045526;0.0837091162;0.0761520409;0.0741018403;0.0743543752;0.0778914371;0.0829352423;0.1017858122;0.1288080993;0.161744014;0.1641939771;0.1285073982;0.1059079415
Germany;83783942;348560;0.4954438872;0.016378665;0.0553484959;0.0268631353;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0346531191;0.0245883653;0.0340558809;0.0552885504;0.063633986;0.0626689651;0.0479811683;0.0386247997;0.024063154;0.016378665;0.0170656988;0.0178130097;0.0186288917;0.0195232347;0.0220683136;0.0253769296;0.0375930559;0.0724963147;0.1233124793;0.2407034598;0.368033422;0.4516606567;0.4954438872;0.4706335751;0.4530859161;0.3994992978;0.3966199661;0.4103079149;0.425145629;0.4269714701;0.34319841;0.2727116901;0.2385364812;0.2184607252;0.2660274062;0.3004272831;0.3338755936;0.3496018496;0.3131675217;0.2989106792;0.2818144413;0.2905555848;0.2761225314;0.2443222668;0.2068719383;0.170622107;0.15506698;0.1501078077;0.1592509144;0.1639532465;0.1596915527;0.1465354436;0.1266002377;0.1088666581;0.1008816446;0.1020702941;0.1026050585;0.0975076409;0.0878847787;0.075306615;0.0670040442;0.0672960679;0.0725566129;0.0759884816;0.0717614257;0.0633217561;0.0535856097;0.0486247278;0.0487304443;0.0553484959
India;1380004385;2973190;0.2803084325;0.1132103809;0.1132103809;0.068652271;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1258365369;0.1224522119;0.1481416716;0.1711600216;0.1759372958;0.1732867359;0.1699319411;0.1565248675;0.1649514588;0.1567650979;0.1590964374;0.1773393836;0.2197151998;0.2606469153;0.2803084325;0.2745246219;0.2410643888;0.2069062313;0.1838613863;0.1796840196;0.1618571933;0.1565776666;0.1420847705;0.1692893349;0.2126473355;0.2375506777;0.2487801352;0.2106977073;0.1991425636;0.1977260285;0.2050400308;0.2026201345;0.1733290327;0.1538773497;0.1358303004;0.1346913601;0.1295344722;0.1283758221;0.1258467768;0.1132103809
Iran;83992949;1628550;0.6406625443;0.0609612523;0.0641787124;0.0192191807;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5852344215;0.608424583;0.6204582036;0.6406625443;0.6185698873;0.600099631;0.5496197254;0.4689161685;0.3914834834;0.3156090405;0.2698192716;0.2294626225;0.1880206952;0.1509039683;0.126994724;0.1225904397;0.125311868;0.1286371432;0.1259122732;0.1207091155;0.1101793311;0.1001331571;0.0974893792;0.0946983017;0.0900692662;0.0854442336;0.0861991232;0.0943472497;0.1070153295;0.1229784732;0.1363525176;0.1429046878;0.1429239752;0.138178574;0.1308302745;0.1211598458;0.1116298442;0.1014019818;0.0913903887;0.0833524968;0.0768382947;0.0716504077;0.0667893539;0.0635780618;0.0616240628;0.0609612523;0.0618791674;0.0624409842;0.0630127651;0.0631678402;0.0641787124
Italy;60461826;294140;0.5823968385;0.0652080845;0.0652080845;0.0206758573;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5823968385;0.4654835894;0.4050706845;0.3943842572;0.3669999732;0.3400167245;0.3106920696;0.2737929906;0.2533949329;0.2420090959;0.2500314845;0.2540804687;0.2475184115;0.2349509373;0.2164431641;0.206118059;0.2059299705;0.2041187979;0.198731164;0.1830361905;0.1674168164;0.1571483284;0.1527253946;0.1558434489;0.1578144807;0.1520335284;0.13637959;0.1203200289;0.1087032948;0.1021471491;0.1010718697;0.0998783429;0.0941417303;0.0858998159;0.077049808;0.0719547039;0.0710245238;0.0735203165;0.0755208869;0.0749203283;0.072053813;0.0679966871;0.0660619868;0.0667900686;0.0713236608;0.0762070953;0.0782495574;0.0763307436;0.071912391;0.0674065422;0.0652080845
