Country/Region;Population;Area;Latest;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17
Austria;9006398;82409;3071;34.0979823454;0.2104145255;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;9;14;18;21;29;41;55;79;104;131;180;244;299;501;646;846;1000;1311;1617;1972;2333;2735;3478;4343;5101;5342;6607;7153;7616;7928;8600;8848;9065;9116;9136;8967;8469;7823;7356;7354;6335;5898;5535;5157;4423;4046;3625;3347;3071
Belgium;11589623;30280;19368;167.1150131458;0.5359455421;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;7;12;22;49;108;168;199;238;266;311;433.5;556;685;882;1050;1230;1463;1745;2148;2646;3201;3504;4002;4623;5798.5;6725;8445;9950;10841;11532;12478;13553;14513;15616;16290;17071;17925;18466;18748;19383;18884;18811;18690;18344;19609;19461;19368
Canada;37742154;9093510;20377;53.9900292919;0.62123106;;;0;0;0;0;1;1;2;2;2;4;4.2;4.4;4.6;4.8;5;6;7;7.1;6.2;6.3;5.4;5.5;5.6;3.7;3.6;3.5;3.4;3.45;3.5;2.75;2;2.2333333333;2.4666666667;2.7;3.6;4.5;5.4;6.3;12.2;16.1;19;21.75;24.5;28.25;40;44.6666666667;54.3333333333;67;68;96;104;177;176;226;386;440;615;754;884;1213;1392;1998;2698;3130;3912;4478;5367;6017;6972;8044;8899;10480;11491;11698;14287;14475;15082;15890;16612;17377;17740;18019;18282;18508;18649;19525;20377
China;1439323776;9388211;1249;0.0867768615;0.0149116523;;;531;625;894;1364;2019;2795;5378;5954;7970;9589;11632;16269;19291;23216;26877;29944;33190;35408;37754;39477;38877;38672;51754;56556;56522;53883;52718;50504;47179;44490;41440;40187;37193;34887;33368;33407;18705;12570;10943;9419;7702;6050;5767;5460;5140;3769;3801;3619;3133;2755;2332;2017;1621;1071;897;797;716;619;560;535;612;638;704;740;850;952;1022;1119;1165;1221;1259;1276;1261;1238;1167;1167;1127;1148;1101;1044;1015;1012;1015;1027;995;971;1249
Finland;5540720;303890;1874;33.822319121;0.5371166523;;;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;5;6.5;8;9.5;11;14;18;22;29;39;57;105;153;222;238;269.5;312;325.5;388;435;504;603;670;752;821;851;886;942;996;1075;1097;1110;1118;1165;1359;1301;1476;1516;1607;1647;1728;1738;1734;1712;1743;1791;1851;1874
France;65273511;547557;83631;128.1239490856;0.5651927093;;;0;0;2;3;3;3;4;5;5.3333333333;5.6666666667;6;6.7142857143;7.4285714286;8.1428571429;8.8571428571;9.5714285714;8.2857142857;8;8.1428571429;8.2857142857;7.4285714286;6.5714285714;6.380952381;6.1904761904;6;5.4857142857;4.9714285714;4.4571428571;3.9428571429;3.4285714286;2.9142857143;2.4;2.4571428571;2.5142857143;2.5714285714;6.4285714286;26.2857142857;45.1428571429;88;117.8;178.6;191.4;272.2;364;639.8;935.6;1107;1190;1751;2233;2923;3582;4369;4369;6442;7448;8758;10494;11959;13333;14892;18647;20520;22952;26184;29303;33106;35675;37917;44476;47946;48234;51726;54323;54460;54534;55863;56815;57179;57712;56215;80459;79748;78125;76481;86855;83631
Germany;83783942;348560;50238;59.9613706407;0.3552974957;;;0;0;0;0;0;1;4;4.3333333333;4.6666666667;5;8;10;12;12.25;12.5;12.75;13;13.5;14;14;12;11.7380952381;11.4761904762;11.2142857143;8.2857142857;6.3571428571;4.4285714286;4.25;4.0714285714;3.8928571429;3.7142857143;3.2857142857;2.8571428571;1.9285714286;1;10.9285714286;29.8571428571;31.7857142857;62.7142857143;113.6428571429;142.5714285714;179.5;245.4285714286;465.3571428571;653.2857142857;782.2142857143;1023.1428571429;1159.0714285714;1440;1881;2032;3627;4506;5665;7113;9061;12065;14838;19178;21414;23833;27880;31529;35415;41860;47196;53110;56300;59613;62551;65545;69474;71311;73879;75250;74318;74677;75973;74243;71300;67213;65759;63187;59551;56881;52904;50238
India;1380004385;2973190;11785;0.8539827937;0.8211399108;;;0;0;0;0;0;0;0;0;1;1;1;2;3;3;3;3;3;3;3;3;3;3;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;13.5;25;27;28;31;36;40;53;59;70;79;99;110;114;125.5;128;164;213;296;357;456;480;595;654;805;885;911;1132;1255;1842;2349;2323;2752;3192;4279;4775;5259;5998;6711;7459;8181;9202;10090;10324;10887;11785
Iran;83992949;1628550;26311;31.3252485039;0.3309809545;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;14;23;35;49;79;120;219;354;550;924;1435;2259;2830;3406;4623;5678;6372;6924;7751;8646;9646;10850;12118;12960;13490;13833;14439;14894;14897;14787;15072;15888;16769;18017;19331;20968;22679;24371;26504;28436;30232;32061;33539;35133;36588;37451;37778;37569;36814;35860;34621;33377;31808;30272;28796;27527;26311
Italy;60461826;294140;52607;87.0086192898;0.3050848441;;;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;3;3;3;3;3;3;3;1;1;1;1;1;1;1;17;59;152;222;312;441;638;867;1099;1660;1984;2423;2982;3710;4439;5650;7009;8709;9518;11635;14234;16394;19716;22938;25822;29003;32624;37177;42385;47695;51763;54755;59027;61924;65528;68838;71315;72942;73759;74286;74861;74207;72806;71054;69810;68620;66410;65036;63037;61079;59799;58674;57777;56696;54581;53699;52607
Japan;126476461;364555;7170;5.6690390791;0.7326044753;;;2;2;2;2;4;5.5;7;9;11;15;20;20.6666666667;21.3333333333;22;21;22;23;23.5;22;21.1666666667;20.3333333333;19;17.5;14;23;38.3333333333;44.6666666667;52;61;70;80;96.5;121;132.3333333333;142.6666666667;161;185.5;199;198;197;208;219;247;266;315;339;355;352;411;450;456;473;532;583;584.5;585;558;564;543;546;599;617;612;668;717;767;920;1027;1051;1075;1289;1571;1654;2132;2295.5;2526;2713;2950;3280;4062;4312;4882;5460.5;5692;5922;6131;7170
Korea, South;51269185;97230;573;1.1176304051;0.0538787024;;;1;1;2;2;3;4;5.75;7.5;9.25;11;12;15;15.5;16;18;22;22;22.5;22;23;22.25;20.7;19.15;17.6;16.8;14;14.5;15;48.5;81;180;408.5;577;806;949;1232.8;1737.6;2308.4;3121.2;3707;4305;5155;5553.5;5984;6389;6608;6712;6645;6536;6494;6103;5642;4936;4426;3901;3134;2792;2477;2059;1758;1647;1521;1524;1382;1372;1353;1392;1421;1425;1466;1474;1411;1410;1357;1276;1285;1294;1247;1182;1118;1002;929;876;778;704;637;573
