Country/Region;Population;Area;% Max;% Min;% Latest;% Last Day;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17
Austria;9006398;82409;0.3785773151;0.0095240137;0.0095240137;0.0082205029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3480020255;0.3677823999;0.362925333;0.3514703138;0.3368831201;0.3233858166;0.3529181496;0.3681336988;0.3785773151;0.364828499;0.321667842;0.2860084313;0.2538997412;0.2430144997;0.2244267971;0.2176338472;0.2148159729;0.2186972355;0.2076265133;0.1927786513;0.1668980861;0.1438759916;0.1265560998;0.1067545295;0.0913097462;0.075095961;0.0668682366;0.0575119434;0.0476314353;0.0375494107;0.0306439384;0.0261072324;0.0241177447;0.0236749709;0.024107891;0.0236054791;0.0218955907;0.0185806526;0.0151945664;0.0120807553;0.0103218259;0.0095240137
Belgium;11589623;30280;0.6306144328;0.0422184603;0.0431968108;0.0381797811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6306144328;0.4034059978;0.2574334297;0.2078878988;0.2114360154;0.2428438813;0.2701211288;0.2683207869;0.2490192741;0.2244923394;0.2066520229;0.2042745905;0.2115636809;0.2230253963;0.2180729085;0.1981514467;0.1718372413;0.1618753933;0.1667571267;0.1869474095;0.2044769828;0.1985971848;0.1777504333;0.1428052538;0.1147550016;0.0965810103;0.0922963289;0.0917510144;0.0878228367;0.0800213075;0.0706113984;0.0648615598;0.0622991889;0.0617097976;0.0615442325;0.0574581435;0.0503669941;0.0457565609;0.0422184603;0.0431968108
Canada;37742154;9093510;0.3201891633;0.052197984;0.0580144292;0.0651058579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1514060668;0.1850562415;0.2004804806;0.1763489329;0.1458901905;0.1378163056;0.1465968761;0.1671280062;0.1817038565;0.1660547163;0.171841766;0.1615536614;0.2085501589;0.2302743342;0.2463323746;0.2965220137;0.2846479991;0.3201891633;0.315729536;0.2890815132;0.2746666576;0.2431048163;0.2591097265;0.2770098584;0.2824281048;0.2874344594;0.2558843299;0.2262092101;0.1950257825;0.1760706753;0.1673662407;0.1557592707;0.1547049125;0.146863389;0.1340345416;0.1275610778;0.1145214221;0.1082819953;0.0992978857;0.0879612569;0.0810595779;0.0710197215;0.0679314763;0.0618236971;0.0563648844;0.052197984;0.0542300497;0.0580144292
China;1439323776;9388211;0.4920083106;0.0002646599;0.0011589511;0.0042804216;;;;;;;;0.4920083106;0.4858914753;0.4552326936;0.3943066921;0.2995247966;0.2756314978;0.2503303903;0.257318293;0.2414436524;0.2084698329;0.1756104676;0.1402356087;0.1181086084;0.0984576425;0.0826132058;0.0668474808;0.0770524073;0.0948954308;0.1136294031;0.1177847052;0.0912644051;0.0615423178;0.0325359073;0.0219464572;0.0160347734;0.0118414408;0.009258725;0.0081150318;0.0074318568;0.006022182;0.0053441821;0.0047548783;0.0052034725;0.0053765578;0.0051871988;0.0048804871;0.004089726;0.0031003719;0.0022778989;0.0017306237;0.0015537938;0.0013127983;0.0009887525;0.0006924708;0.0004712228;0.0003555494;0.0002925706;0.0002646599;0.0002810465;0.0003046409;0.0003487926;0.0004021449;0.0005088435;0.0006339252;0.0008183031;0.0009459846;0.0010414588;0.0010641118;0.0010680038;0.0011260945;0.001177761;0.0012926904;0.0013084722;0.0012804521;0.0011783226;0.0010693434;0.0009982242;0.0008980228;0.000827451;0.0007459109;0.0006877142;0.00071241;0.000760269;0.0008292412;0.000858824;0.0009023124;0.0009557161;0.001024034;0.0010402183;0.0009781335;0.0011589511
Finland;5540720;303890;0.5127302905;0.0307557665;0.0307557665;0.035618878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2549109828;0.2940705972;0.3787898929;0.4530920744;0.5127302905;0.4830258457;0.37948792;0.2726288514;0.176804929;0.140834377;0.1228880639;0.1300290585;0.1438666468;0.1500467128;0.1560066082;0.146465623;0.1324703002;0.1170591967;0.1057227334;0.0980273129;0.0934001882;0.086364779;0.0742303616;0.061759802;0.0505689949;0.0575030806;0.0650126583;0.0810553873;0.0877742736;0.0858154986;0.0807568821;0.0705412604;0.0660142899;0.0553709837;0.0484865839;0.0400775102;0.0339541133;0.0308877446;0.0307557665
France;65273511;547557;0.5821734945;0.0124247425;0.0598583964;0.0137640449;;;;;;;;;;;;;;;;;;;;;;;;0.0171736568;0.0125810895;0.0124247425;0.0126736909;0.0133120635;0.0143234551;0.0153075675;0.015862616;0.0160050823;0.015752878;0.015508501;0.0152715924;0.015041815;0.0370329916;0.1487300888;0.2900441393;0.4731893397;0.5821734945;0.5660153474;0.468149275;0.3665281277;0.3179805427;0.3294160395;0.3933865776;0.4152522803;0.3954726017;0.3303518252;0.2776843722;0.2672735373;0.283527534;0.2812756647;0.2439622736;0.220272015;0.2048723643;0.204006554;0.2154894597;0.2016266598;0.190763057;0.164596049;0.1614146114;0.1564637721;0.1557963672;0.1562262549;0.1487816501;0.1441357569;0.1321291101;0.1237461338;0.1187796906;0.1142378262;0.1102506683;0.1021042174;0.0884028242;0.0726395178;0.0613656801;0.0544229849;0.0513125982;0.0492448956;0.0495750873;0.0497089737;0.0678884274;0.0826416218;0.097013129;0.0940864581;0.0764696497;0.0598583964
Germany;83783942;348560;0.4331050684;0.0042644891;0.019665182;0.0268631353;;;;;;;;;;;;;;;;;;;0.0346531191;0.0245883653;0.0317854888;0.0414664128;0.0464763779;0.0445522731;0.0331852133;0.0196512139;0.0093520555;0.0044151184;0.0043957103;0.0043764722;0.0043574017;0.0043384966;0.004319755;0.0043011745;0.0042827532;0.0042644891;0.049912194;0.156232991;0.2437126083;0.3585515882;0.4331050684;0.4220056675;0.4149434793;0.3742310761;0.3829251747;0.4000720885;0.4162139981;0.4200507787;0.3382580539;0.2695297418;0.235160965;0.2136247322;0.2625527625;0.2952508915;0.3263857183;0.3419579148;0.3065367737;0.2925575845;0.2729479556;0.2807474307;0.266190424;0.2341065647;0.1984990928;0.1630856852;0.1471397556;0.1430086219;0.1477463812;0.1509239435;0.1447883794;0.1306035344;0.1102797943;0.0916332585;0.082655039;0.0798465839;0.0788864746;0.07328436;0.0631824345;0.0522340274;0.0449309618;0.0422763555;0.0423446358;0.0408894051;0.0369089711;0.0307607464;0.0242927903;0.0205251322;0.0187223883;0.019665182
India;1380004385;2973190;0.2561535976;0.0929615621;0.0929615621;0.068652271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1170572436;0.115892272;0.1409735262;0.1641260481;0.1695005655;0.1681900672;0.1654204736;0.1499481924;0.1457845639;0.1286277726;0.1344938955;0.1548085603;0.1970778762;0.2349771433;0.2561535976;0.245842945;0.2183155424;0.1861302273;0.1668640541;0.1611148504;0.1439959991;0.1416833882;0.1276423672;0.156071549;0.1964249277;0.2149708704;0.2221424179;0.1874434453;0.1783447111;0.177771001;0.182269358;0.1807160694;0.1530943852;0.1358952346;0.1207200095;0.1185716919;0.1137810416;0.1075598107;0.1020174132;0.0929615621
Iran;83992949;1628550;0.6052885388;0.0212419315;0.0212419315;0.0192191807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5231279115;0.5551090268;0.5754671366;0.6052885388;0.5913709449;0.5803189497;0.5323147922;0.4546337802;0.3812572454;0.3077499797;0.2618471518;0.2218683422;0.181217161;0.1449684122;0.1215872067;0.1170456064;0.1192968196;0.1196109468;0.1133050874;0.1032697875;0.0916352377;0.0810226132;0.0739309347;0.06794293;0.0627379601;0.0588979124;0.0582593647;0.0629179553;0.070350042;0.0797541948;0.0873344653;0.090911539;0.0912894816;0.088089809;0.083105937;0.0769696801;0.0703975583;0.0639103713;0.0574278079;0.0515972621;0.0463787103;0.041678292;0.0371305236;0.0334336769;0.0304657596;0.0283835577;0.0268509141;0.0252442469;0.023753624;0.0222940078;0.0212419315
Italy;60461826;294140;0.5672811954;0.0198939983;0.0198939983;0.0206758573;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5672811954;0.4544755315;0.3946566332;0.3864686346;0.3576266929;0.3292807848;0.299929994;0.2632897862;0.242627288;0.23242417;0.2376231424;0.2412545576;0.2321292975;0.2193591844;0.2045582629;0.1913419852;0.191904112;0.1891977608;0.1834037211;0.1684948465;0.1529360798;0.1423736665;0.1376675496;0.1387314438;0.1381337036;0.1302203427;0.1163709677;0.100162631;0.0883881113;0.081292116;0.0779472747;0.0745767291;0.068251112;0.0603179231;0.0521643938;0.0463333048;0.043153976;0.0419146974;0.0408855749;0.0387864903;0.0352919455;0.0317183267;0.0289943984;0.0276429972;0.0280098219;0.02859612;0.0283421392;0.0266336458;0.0237658576;0.0214256096;0.0198939983
