Country/Region;Population;Area;Maximum;Per 100,000 inh.;Blank 1;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17
Austria;9006398;82409;14595;162.05146608;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;9;14;18;21;29;41;55;79;104;131;182;246;302;504;655;860;1018;1332;1646;2013;2388;2814;3582;4474;5283;5588;6909;7657;8271;8788;9618;10180;10711;11129;11524;11781;12051;12297;12639;12942;13244;13555;13806;13945;14041;14226;14336;14476;14595
Belgium;11589623;30280;36138;311.8134213684;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;8;13;23;50;109;169;200;239;267;314;436.5;559;689;886;1058;1243;1486;1795;2257;2815;3401;3743;4269;4937;6235;7284;9134;10836;11899;12775;13964;15348;16770;18431;19691;20814;22194;23403;24983;26667;28018;29647;30589;31119;33573;34809;36138
Canada;37742154;9093510;32801;86.9081293028;;;;0;0;0;0;1;1;2;2;2;4;4.2;4.4;4.6;4.8;5;6;7;7.1;7.2;7.3;7.4;7.5;7.6;7.7;7.8;7.9;8;8.25;8.5;8.75;9;9.3333333333;9.6666666667;10;11;12;13;14;20;24;27;30;33;37;49;54;64;77;79;108;117;191;196;250;413;470;648;791;933;1267;1456;2075;2777;3238;4029;4669;5563;6267;7385;8514;9547;11271;12424;12965;15743;16550;17859;19128;20641;22046;23303;24286;25667;27022;28196;30796;32801
China;1439323776;9388211;83760;5.8193994567;;;;548;643;920;1406;2075;2877;5509;6087;8141;9802;11891;16630;19716;23707;27440;30587;34110;36814;39829;42354;44386;44759;59895;66358;68413;70513;72434;74211;74619;75077;75550;77001;77022;77241;77754;78166;78600;78928;79356;79932;80136;80261;80386;80537;80690;80770;80823;80860;80887;80921;80932;80945;80977;81003;81033;81058;81102;81156;81250;81305;81435;81498;81591;81661;81782;81897;81999;82122;82198;82279;82361;82432;82511;82543;82602;82665;82718;82809;82883;82941;83014;83134;83213;83306;83356;83403;83760
Finland;5540720;303890;3489;62.9701555033;;;;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;6;7.5;9;10.5;12;15;19;23;30;40;59;107;155;225;244;277;321;336;400;450;523;626;700;792;880;958;1041;1167;1240;1352;1418;1446;1518;1615;1882;1927;2176;2308;2487;2605;2769;2905;2974;3064;3161;3237;3369;3489
France;65273511;547557;147969;226.6907321716;;;;0;0;2;3;3;3;4;5;5.3333333333;5.6666666667;6;6.7142857143;7.4285714286;8.1428571429;8.8571428571;9.5714285714;10.2857142857;11;11.1428571429;11.2857142857;11.4285714286;11.5714285714;11.7142857143;11.8571428571;12;12.2;12.4;12.6;12.8;13;13.2;13.4;13.6;13.8;14;18;38;57;100;130;191;204;285;377;653;949;1126;1209;1784;2281;2971;3661;4469;4499;6633;7652;9043;10871;12612;14282;16018;19856;22304;25233;29155;32964;37575;40174;44550;52128;56989;59105;64338;68605;70478;74390;78167;82048;86334;90676;93790;120633;124298;130253;133470;145960;147969
Germany;83783942;348560;141397;168.7638425989;;;;0;0;0;0;0;1;4;4.3333333333;4.6666666667;5;8;10;12;12.25;12.5;12.75;13;13.5;14;15;16;16.0714285714;16.1428571429;16.2142857143;16.2857142857;16.3571428571;16.4285714286;16.5;16.5714285714;16.6428571429;16.7142857143;16.7857142857;16.8571428571;16.9285714286;17;27;46;48;79;130;159;196;262;482;670;799;1040;1176;1457;1908;2078;3675;4585;5795;7272;9257;12327;15320;19848;22213;24873;29056;32986;37323;43938;50871;57695;62095;66885;71808;77872;84794;91159;96092;100123;103374;107663;113296;118181;122171;124908;127854;130072;131359;134753;137698;141397
India;1380004385;2973190;14352;1.0399966954;;;;0;0;0;0;0;0;0;0;1;1;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;16.5;28;30;31;34;39;43;56;62;73;82;102;113;119;142;156;194;244;330;396;499;536;657;727;887;987;1024;1251;1397;1998;2543;2567;3082;3588;4778;5311;5916;6725;7598;8446;9205;10453;11487;12322;13430;14352
Iran;83992949;1628550;79494;94.6436587195;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;18;28;43;61;95;139;245;388;593;978;1501;2336;2922;3513;4747;5823;6566;7161;8042;9000;10075;11364;12729;13938;14991;16169;17361;18407;19644;20610;21638;23049;24811;27017;29406;32332;35408;38309;41495;44605;47593;50468;53183;55743;58226;60500;62589;64586;66220;68192;70029;71686;73303;74877;76389;77995;79494
Italy;60461826;294140;172434;285.1948268979;;;;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;20;62;155;229;322;453;655;888;1128;1694;2036;2502;3089;3858;4636;5883;7375;9172;10149;12462;15061;17660;21157;24747;27980;31506;35713;41035;47021;53578;59138;63927;69176;74386;80589;86498;92472;97689;101739;105792;110574;115242;119827;124632;128948;132547;135586;139422;143626;147577;152271;156363;159516;162488;165155;168941;172434
