Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17
Austria;9006398;82409;431;4.7854869394;0.0295306612;0.0312183109;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;3;4;6;6;8;16;21;28;30;49;58;68;86;108;128;146;158;168;186;204;220;243;273;295;319;337;350;368;384;393;410;431
Belgium;11589623;30280;5163;44.5484723705;0.1428690022;0.184274395;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;4;4;5;10;14;21;37;67;75;88;122;178;220;289;353;431;513;705;828;1011;1143;1283;1447;1632;2035;2240;2523;3019;3346;3600;3903;4157;4440;4857;5163
Canada;37742154;9093510;1355;3.5901501541;0.0413097162;0.0581470197;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;4;5;8;9;12;19;20;24;25;29;37;53;60;63;79;100;108;138;178;217;258;338;374;406;502;556;653;713;780;900;1007;1258;1355
China;1439323776;9388211;4636;0.3220957006;0.0553486151;0.0558460019;;17;18;26;42;56;82;131;133;171;213;259;361;425;491;563;633;718;805;905;1012;1112;1117;1369;1521;1663;1766;1864;2003;2116;2238;2238;2443;2445;2595;2665;2717;2746;2790;2837;2872;2914;2947;2983;3015;3044;3072;3100;3123;3139;3161;3172;3180;3193;3203;3217;3230;3241;3249;3253;3259;3274;3274;3281;3285;3291;3296;3299;3304;3308;3309;3316;3322;3326;3330;3333;3335;3335;3337;3339;3340;3343;3343;3345;3345;3346;3346;4636
Finland;5540720;303890;82;1.479952064;0.0235024362;0.0282271945;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;5;7;9;11;13;17;17;19;20;25;28;27;34;40;42;48;49;56;59;64;72;75;82
France;65273511;547557;18681;28.6195728004;0.1262494171;0.199179017;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;3;4;4;6;9;11;19;19;33;48;48;79;91;91;148;148;148;243;450;562;674;860;1100;1331;1696;1995;2314;2606;3024;3523;4403;5387;6507;7560;8078;8911;10328;10869;12210;13197;13832;14393;14967;15729;17167;17920;18681
Germany;83783942;348560;4352;5.1943127718;0.0307785879;0.0348416434;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;7;9;11;17;24;28;44;67;84;94;123;157;206;267;342;433;533;645;775;920;1107;1275;1444;1584;1810;2016;2349;2607;2767;2736;3022;3194;3294;3804;4052;4352
India;1380004385;2973190;486;0.0352172794;0.0338628763;0.0575420317;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;3;3;4;5;4;7;10;10;12;20;20;24;27;32;35;58;72;72;86;99;136;150;178;226;246;288;331;358;393;405;448;486
Iran;83992949;1628550;4958;5.9028764426;0.062369487;0.0707992403;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;5;8;12;16;19;26;34;43;54;66;77;92;107;124;145;194;237;291;354;429;514;611;724;853;988;1135;1284;1433;1556;1685;1812;1934;2077;2234;2378;2517;2640;2757;2898;3036;3160;3294;3452;3603;3739;3872;3993;4110;4232;4357;4474;4585;4683;4777;4869;4958
Italy;60461826;294140;22745;37.6187778384;0.1319055407;0.1493718436;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;7;10;12;17;21;29;34;52;79;107;148;197;233;366;463;631;827;827;1266;1441;1809;2158;2503;2978;3405;4032;4825;5476;6077;6820;7503;8215;9134;10023;10779;11591;12428;13155;13915;14681;15362;15887;16523;17127;17669;18279;18849;19468;19899;20465;21067;21645;22170;22745
