Country/Region;Population;Area;Comments;Map Chart Country/Region;First Case;Lockdown Start;Testing Start;US Electors;US Electors per 1M inh;US Voting Power NY=100
Austria;9006398;82409;;Austria;;;;;;
Belgium;11589623;30280;;Belgium;;;;;;
Canada;37742154;9093510;;Canada;;;;;;
China;1439323776;9388211;;China;;2020-01-23;;;;
Finland;5540720;303890;;Finland;;;;;;
France;65273511;547557;;France;;;;;;
Germany;83783942;348560;;Germany;;;;;;
India;1380004385;2973190;;India;;;;;;
Iran;83992949;1628550;;Iran;;;;;;
Italy;60461826;294140;;Italy;;;;;;
Japan;126476461;364555;;Japan;;;;;;
Korea, South;51269185;97230;;Korea, South;;;;;;
Portugal;10196709;91590;;Portugal;;;;;;
Russia;145934462;16376870;;Russia;;;;;;
Singapore;5850342;700;;Singapore;;;;;;
Spain;46754778;498800;;Spain;;;;;;
Sweden;10099265;410340;;Sweden;;;;;;
Switzerland;8654622;39516;;Switzerland;;;;;;
US;331002651;9147420;;US;;;;;;
United Kingdom;67886011;241930;;United Kingdom;;;;;;
