Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17
Austria;9006398;82409;11093;123.1679967952;0.7600548133;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;8;13;15;18;25;35;49;71;88;110;154;216;253;446;587;774;910;1204;1500;1855;2220;2628;3378;4254;5040;5315;6614;7338;7934;8438;9250;9796;10318;10719;11093
Belgium;11589623;30280;11607;100.1499358521;0.3211854558;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;3;3;9;29;72;102;125;151;145;136;216.5;270;336;455;545;538;658;784;1114;1532;1954;2111;2234;2697;3712;4265;5788;7236;7996;8618;9524;10491;11607
Canada;37742154;9093510;11069;29.3279498568;0.3374592238;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;4;4.2;4.4;4.6;4.8;5;6;7;7.1;7.2;7.3;7.4;7.5;7.6;7.7;7.8;7.9;8;8.25;8.5;8.75;9;9.3333333333;9.6666666667;9;10;11;12;13;19;23;23;25;25;28;37;35;44;53;54;79;80;138;136;187;334;370;540;653;755;1050;1198;1737;2403;2832;3527;4113;4910;5554;6605;7614;8540;10013;11069
China;1439323776;9388211;79086;5.4946636274;0.9441977077;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;202;601;1170;1865;4397;4970;6772;8281;10228;14864;17852;21704;25324;28349;31872;34371;37384;39759;41721;42042;57149;63568;65576;67641;69520;71264;71636;72062;72506;73929;73922;74118;74615;75005;75428;75748;76163;76729;76919;77031;77145;77288;77437;77511;77549;77586;77606;77636;77641;77649;77678;77699;77725;77749;77786;77834;77924;77975;78102;78163;78256;78324;78443;78557;78656;78779;78853;78934;79015;79086;77875
Finland;5540720;303890;1533;27.6678843183;0.4393809114;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;6;7.5;9;10.5;12;15;18;22;29;39;56;102;148;216;233;264;304;319;381;430;498;598;673;758;840;916;993;1118;1184;1293;1354;1374;1443;1533
France;65273511;547557;45657;69.9472102857;0.3085578736;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;3;4;5;5.3333333333;5.6666666667;5;5.7142857143;6.4285714286;7.1428571429;7.8571428571;8.5714285714;9.2857142857;10;10.1428571429;10.2857142857;10.4285714286;9.5714285714;9.7142857143;9.8571428571;10;10.2;9.4;8.6;8.8;7;4.2;2.4;0;0;0;0;0;0;9;39;43;56;137;134;203;387;452;349;684;950;1275;1666;2155;1893;3609;4129;4640;5484;6105;6722;7940;10945;11976;14364;16945;19767;23743;25781;29583;36399;39822;41185;45657
Germany;83783942;348560;86807;103.6081591864;0.6139239163;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;4.3333333333;4.6666666667;5;8;10;12;12.25;12.5;12.75;13;13.5;14;15;16;16.0714285714;16.1428571429;16.2142857143;16.2857142857;16.3571428571;16.4285714286;16.5;16.5714285714;16.6428571429;16.7142857143;16.7857142857;16.8571428571;14.9285714286;15;24;43;41;70;119;142;172;234;438;603;715;946;1053;1300;1702;1811;3333;4152;5262;6627;8482;11407;14213;18573;20769;23289;27246;30970;34974;41331;48104;54959;59073;63691;68514;74068;80742;86807
India;1380004385;2973190;2095;0.1518111118;0.1459726867;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;1;1;1;3;13.5;25;26;26;30;32;33;46;50;53;62;78;86;87;107;98;122;172;244;297;363;386;479;501;641;699;693;893;1004;1593;2095;2081
Iran;83992949;1628550;48225;57.415533773;0.6066495585;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;254;648;1348;1787;2229;3314;4267;4881;5349;6108;6923;7841;8986;10212;11298;12234;13271;14325;15247;16350;17158;18035;19310;20939;23024;25296;28100;31051;33835;36910;39922;42816;45599;48225
Italy;60461826;294140;97082;160.5674297697;0.5630096153;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;453;604;1058;1899;3095;3329;4959;6846;8526;11134;13968;16389;19078;22558;27120;32340;38216;43251;47404;52049;56717;62310;67649;73004;77790;81274;84725;88929;93072;97082
