Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21
American Samoa;55191;200;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
Northern Mariana Islands;57559;460;2;3.4746955298;0.1428571429;0.1509433962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
US;331002651;9147420;44845;13.5482298599;0.0544376816;0.0704722244;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;7;11;12;14;17;21;22;28;36;40;47;54;63;85;108;118;200;244;307;417;557;706;942;1209;1581;2026;2467;2978;3873;4757;5926;7087;8407;9619;10783;12794;14695;16544;18586;20462;22019;23528;25831;28325;32916;36773;38664;40661;42094;44845
US Alabama;4903185;131171;177;3.609898464;0.0338367425;0.0430342815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;3;3;4;6;13;26;32;35;43;45;50;56;66;74;80;91;93;99;110;121;133;144;146;154;167;177
US Alaska;731545;1477953;9;1.2302729155;0.0273556231;0.0307167235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;3;3;3;3;3;5;6;6;6;7;7;7;8;8;8;9;9;9;9;9;9;9;9
US Arizona;7278717;294207;208;2.8576464781;0.0396115026;0.052498738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1;2;2;5;6;8;13;15;17;20;24;29;32;41;52;64;65;73;80;89;97;108;115;122;131;142;150;169;177;184;187;208
US Arkansas;3017804;134771;43;1.4248771623;0.0193084868;0.0274059911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;2;3;3;5;6;7;8;10;12;12;14;16;16;16;18;21;23;24;27;30;30;33;37;37;38;40;42;43
US California;39512223;403466;1268;3.2091335382;0.0381227263;0.0519161481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;5;5;6;11;13;18;20;24;27;27;40;53;65;78;101;123;133;153;171;203;237;276;319;343;374;442;492;541;609;651;687;758;821;890;985;1072;1166;1208;1268
US Colorado;5758736;268431;449;7.7968498643;0.044429052;0.0565419972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;3;4;5;6;7;11;19;24;31;44;51;51;69;80;97;111;126;140;150;179;193;250;250;274;304;308;329;357;374;391;411;422;449
US Connecticut;3565287;12542;1423;39.9126353643;0.069891945;0.0964418841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;4;5;10;12;19;21;27;27;34;36;69;85;112;131;165;189;206;277;277;380;448;494;554;602;671;868;971;1036;1036;1086;1331;1423
US Delaware;973764;5047;82;8.4209315604;0.0279767997;0.040714995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;2;3;6;6;10;11;12;14;14;14;14;16;16;23;23;33;33;35;41;46;52;61;61;67;72;82
US District of Columbia;705749;158;112;15.8696647108;0.0361523564;0.0509786072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;1;2;2;2;3;3;4;5;9;9;11;12;15;21;22;24;22;27;32;38;47;50;53;67;72;81;86;91;96;105;112
US Florida;21477737;138887;856;3.9855223108;0.0311329333;0.038025854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;3;4;4;6;7;8;10;12;13;14;18;22;28;34;54;56;63;77;87;128;163;191;218;236;296;309;354;390;438;465;483;537;609;646;699;754;781;806;856
US Georgia;10617423;148959;799;7.5253665602;0.0401891253;0.0533128712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;10;13;14;23;25;32;40;48;64;69;80;87;111;139;163;184;201;211;229;329;362;379;416;428;433;464;501;552;587;650;673;687;733;799
US Guam;162742;543;5;3.0723476423;0.0367647059;0.036900369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;2;3;3;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5
US Hawaii;1415872;16635;10;0.7062785337;0.0171232877;0.0193423598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;3;4;4;5;5;5;6;8;8;9;9;9;9;9;9;9;10;10
US Idaho;1787065;214045;48;2.6859683336;0.0276497696;0.0327868852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;3;4;5;6;7;9;9;9;10;10;10;13;15;18;24;25;27;27;33;39;41;41;43;44;45;48
