Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21
American Samoa;55191;200;3;5.4356688591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Northern Mariana Islands;57559;460;65;112.9276047186;4.6428571429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;21;21;21;21;21;23;38;38;38;38;38;38;40;40;40;55;56;56;65;65
US;331002651;9147420;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
US Alabama;4903185;131171;48526;989.6832365085;9.2766201491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;10;10;12;28;40;56;64;74;96;109;152;1602;1832;2321;2812;4099;4771;4880;4990;6553;7279;7774;8736;9619;10853;13078;14765;14916;19122;20827;21026;21249;21583;29182;33117;34077;36391;37848;42538;45712;45900;48526
US Alaska;731545;1477953;11119;1519.9338386565;33.7963525836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;12;14;23;23;46;46;60;144;144;144;337;412;438;698;772;968;968;1022;1691;1860;2388;2921;3334;3654;3713;4603;5022;6016;6040;6284;6883;6913;7068;7223;7432;7732;8038;7830;8348;8664;8735;9450;9655;9895;10124;11119
US Arizona;7278717;294207;55152;757.7159546112;10.5031422586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;30;36;49;49;49;57;68;91;103;133;133;143;162;176;219;276;344;434;574;670;773;924;8191;8328;13872;16759;19371;21058;22709;24673;27160;27410;32534;33375;34564;37178;37734;40530;42109;43347;44096;45310;47398;49230;51045;52990;54500;55152
US Arkansas;3017804;134771;27441;909.3035863164;12.3219577907;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;6;12;12;12;30;39;77;119;154;219;269;356;447;685;876;1080;1165;1717;1839;1926;3342;3453;5735;6482;7938;8523;9699;10370;11242;12845;13638;14530;14951;17120;18578;19722;20804;21131;21834;22675;23494;24141;24209;26553;27441
US California;39512223;403466;300100;759.5118098012;9.0225789964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;515;515;522;531;550;804;823;1073;1118;1118;1168;1209;8316;8464;8592;9711;11487;12528;12840;14300;15554;18276;20386;21259;25192;26257;26996;29254;29927;33000;35300;113700;116533;117431;131229;144264;163500;164863;172076;190328;190882;202208;216486;246400;251614;259666;280900;290500;300100
US Colorado;5758736;268431;47466;824.2433756297;4.696813774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;48;63;112;142;154;279;343;596;711;758;758;1216;1800;2328;2952;3680;4550;5436;6224;7701;8064;10122;11676;13276;15364;15364;16849;18645;20411;22071;23900;25773;26875;28094;29199;32653;32653;34873;37534;38742;39580;40533;41830;43307;44606;46195;47466
US Connecticut;3565287;12542;64192;1800.472163952;3.152848723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;30;47;56;74;95;105;136;145;151;166;193;700;798;2300;3100;4500;5300;5898;6637;8400;8400;11900;14600;16157;16600;18300;20015;22029;23270;26686;29036;29036;33502;36288;39831;41220;44309;45841;50143;53122;55462;55462;58213;62806;64192
US Delaware;973764;5047;16656;1710.4760496383;5.6827021494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;10;10;15;17;18;27;34;42;42;44;52;61;66;74;81;92;104;127;151;166;199;250;268;2480;4015;4383;4959;5445;6467;6994;6994;8556;8556;9890;11741;11103;11103;11820;12304;13102;13350;14017;14017;14794;16470;16656
US District of Columbia;705749;158;14939;2116.7582242412;4.8221433183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;8;8;11;15;22;25;30;30;59;95;113;126;169;192;572;583;1055;1229;1332;1606;1857;2164;2515;2811;3083;3757;3848;5070;5584;6438;6834;7453;7823;8283;8724;9355;10039;10640;10934;11518;11525;12150;12643;13268;13699;14113;14939
US Florida;21477737;138887;277059;1289.9822732721;10.0767048554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;40;64;114;135;158;241;329;333;528;555;794;825;1126;1539;1923;2390;7237;8820;12234;14539;17056;26096;30951;39129;43316;53698;60623;66484;77296;91722;102067;113404;123274;138162;143134;152549;162830;172933;182753;196207;203180;213509;219248;234837;246527;256079;266225;277059
US Georgia;10617423;148959;88140;830.1449419506;4.4333786027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;6;7;12;17;22;31;42;66;99;121;146;1508;1831;2386;3064;4020;5069;5484;6179;8926;9865;11051;12564;12724;16181;20326;22957;25265;26294;27832;31274;33713;38787;41085;46147;51715;54453;57021;61795;64090;67939;71684;74208;79933;84328;88140
US Guam;162742;543;1166;716.4714701798;8.5735294118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;46;65;81;100;123;153;190;233;270;308;350;354;390;410;440;483;524;543;565;605;618;650;687;721;792;826;826;905;946;978;1005;1076;1079;1079;1124;1166
