Country/Region;Population;Area;% Max;% Min;% Latest;% Last Day;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24
American Samoa;55191;200;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Northern Mariana Islands;57559;460;0.2094434939;0.0211202498;0.0224782428;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.040516561;0.0360037516;0.0333232726;0.0491134268;0.0615652017;0.0598537215;0.0580388004;0.0557305092;0.0510211777;0.0430010561;0.0330644312;0.024779634;0.0211202498;0.0235748371;0.0266753801;0.0307154939;0.0361985207;0.0413676017;0.0482597305;0.0579087328;0.0723822632;0.0723786384;0.0723750425;0.0723714718;0.0723679284;0.0767539905;0.0977892904;0.1272303986;0.1336405907;0.1591448208;0.1999795224;0.2094434939;0.1767059673;0.1279979752;0.0857318027;0.063931029;0.0566181714;0.0471611544;0.0382175024;0.0336382154;0.0296577364;0.0254350507;0.0224782428
US;331002651;9147420;0.441144298;0.0192376247;0.0775438894;0.0127165336;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0192376247;0.0200464397;0.0209271912;0.026425619;0.0371886355;0.0507709811;0.068160568;0.0880611765;0.1125305491;0.0927448655;0.081897255;0.0787771059;0.0758828126;0.1372388353;0.2479412228;0.365807084;0.441144298;0.3840547123;0.2601627703;0.1359052507;0.0824417547;0.0696618927;0.1069182996;0.1530789332;0.2033631886;0.2631596798;0.2917748361;0.3464099755;0.3713577872;0.3587728521;0.3639579793;0.3519385346;0.3594831524;0.3679627113;0.3438304845;0.3204927633;0.2990029175;0.3057806946;0.3081655128;0.3556468583;0.3973529946;0.4220191346;0.4340617455;0.391471936;0.3452249322;0.2985466461;0.2761401822;0.2567170543;0.2431855759;0.2275233174;0.2078517593;0.1884682005;0.1698124295;0.1627562691;0.1572383781;0.1523330443;0.14499272;0.1350676371;0.123481666;0.1123796473;0.1068417224;0.1035617271;0.1017249527;0.0975372487;0.0911483481;0.0847736969;0.0790708946;0.0772916917;0.0789946033;0.0824532187;0.0841764925;0.083458254;0.0804987667;0.0772021932;0.0764178771;0.0782252077;0.0819605438;0.0851474767;0.0845976828;0.0801476743;0.0746533239;0.0712048773;0.072857447;0.0776142842;0.0808286974;0.080099925;0.0759239231;0.0713220222;0.0686118573;0.0708672573;0.0741954766;0.0757059216;0.0729739084;0.0684460311;0.0646375875;0.0645435975;0.0687812899;0.0743317298;0.0777300958;0.0766010063;0.0738381039;0.07076614;0.0713071147;0.0739097952;0.0776022376;0.0775438894
US Alabama;4903185;131171;0.3766935056;0.064320558;0.0935401272;0.0279093127;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3766935056;0.3288481579;0.3004435599;0.2778862085;0.2492942744;0.3086164018;0.3399969808;0.3650676101;0.336317218;0.2463726764;0.1843517936;0.1358085618;0.1273573623;0.1293394798;0.136122;0.1441465432;0.1407932473;0.1332799239;0.1254995351;0.1326430635;0.1368387067;0.1405737586;0.1383059091;0.1239597325;0.1105994656;0.0954575426;0.0870353745;0.081680943;0.0755541601;0.0728268992;0.0683502596;0.064320558;0.0674913848;0.0789440601;0.0843198834;0.0860919775;0.0864313063;0.0823207084;0.0789151354;0.0769448652;0.0794003722;0.0731073649;0.0711823894;0.0733544606;0.0819474563;0.0924785039;0.0990211504;0.1042657869;0.0977625899;0.1003735143;0.097625485;0.0945051659;0.086465834;0.0791338987;0.0776293468;0.0778186188;0.0809720483;0.0806138803;0.0781626313;0.0762037939;0.0765266859;0.0807576431;0.0857118346;0.0924247048;0.0935401272
US Alaska;731545;1477953;0.304948567;0.0313854471;0.0538465203;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.304948567;0.2756932703;0.2569236463;0.2485693632;0.2233568201;0.1895902976;0.1517672452;0.1222155205;0.1030428929;0.0968438482;0.0999631001;0.099974007;0.0962205952;0.0926409144;0.0942946742;0.0920727829;0.0866613313;0.0850402179;0.0777097491;0.0723924397;0.0686252096;0.0605495207;0.0580028694;0.056372826;0.0583764856;0.0517825767;0.0512613607;0.0503603404;0.0505608716;0.0532690643;0.0487936306;0.0433281306;0.0313854471;0.0338671843;0.0486872978;0.0662816591;0.0830847088;0.0872484435;0.0808610298;0.0655797711;0.0618001244;0.0561029176;0.0457599209;0.0446704344;0.0445482191;0.0467164267;0.0493957187;0.0529369398;0.0564612549;0.0647039007;0.0775740186;0.0756198416;0.0823624037;0.0943234019;0.1026989768;0.0979566224;0.0863408615;0.0688546073;0.0551219397;0.0538465203
US Arizona;7278717;294207;0.5544894982;0.0682381776;0.0753057029;0.018704408;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2037615085;0.2591668641;0.3364499734;0.436882281;0.50268534;0.5544894982;0.550978698;0.5079590754;0.448756788;0.3626997784;0.3015462125;0.2437203161;0.2118504903;0.1787208599;0.1558721672;0.1460388241;0.1332310045;0.1315640312;0.1278634825;0.1334859467;0.129637562;0.1143651293;0.102079762;0.0923168822;0.0925225763;0.0901321892;0.0920792761;0.0859209615;0.0739935412;0.0731321595;0.0748114895;0.0884915907;0.1000444315;0.1013869582;0.0915236063;0.0808106544;0.081231855;0.0843702394;0.0952329412;0.099535207;0.0964259629;0.0879703055;0.0806395139;0.0828431134;0.0914975913;0.1006918357;0.1067936639;0.1024481053;0.095762963;0.0889591244;0.0899481693;0.09097017;0.093751152;0.0954786586;0.0897607926;0.0785250453;0.0719421626;0.0736805002;0.0820866107;0.0937882127;0.0960913907;0.0903603886;0.0810969107;0.0727888841;0.0682381776;0.0724853075;0.0765224442;0.0753057029
US Arkansas;3017804;134771;0.4640176595;0.0390022021;0.1191697009;0.0268770591;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3677823999;0.4115069211;0.4640176595;0.4392679287;0.3356857315;0.2698684446;0.221559278;0.2202288529;0.1966461315;0.1648175234;0.1241153697;0.0982674552;0.0952126976;0.1038399043;0.1196571401;0.1201421981;0.1193973262;0.1092629684;0.1071365196;0.1081452476;0.1100828743;0.113695934;0.1090996901;0.1026628176;0.0950596217;0.094410731;0.0974847265;0.1020263493;0.0971105581;0.0859720671;0.0747799894;0.0717291408;0.0864988336;0.1103793527;0.1376007169;0.1445423774;0.1391707476;0.1288626657;0.1120823117;0.0939700822;0.0743133857;0.0585890018;0.054763327;0.0483125043;0.043463499;0.0403274695;0.0425099272;0.0390022021;0.0420246198;0.0565475656;0.0640172081;0.0766310736;0.0894941635;0.106164374;0.1214485638;0.1160801206;0.0989327256;0.0900478297;0.0972773053;0.104533309;0.1020924368;0.0922503222;0.0813740885;0.0947117367;0.1089266989;0.1191697009
US California;39512223;403466;0.3294008151;0.0701583483;0.0888257783;0.0229391709;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1856834996;0.2148128099;0.2316774615;0.2164547149;0.1979867303;0.1787846798;0.1593100564;0.1774632947;0.2229052747;0.2892126489;0.3294008151;0.3270536495;0.3007230776;0.2411110557;0.2125444722;0.185706205;0.1906228294;0.2059375683;0.2224624703;0.2438592846;0.237183379;0.2217115174;0.1907628234;0.1659895752;0.1518099793;0.14448666;0.1481709503;0.1424324038;0.1347029614;0.1190350432;0.1081968457;0.1035634782;0.0975008249;0.095228618;0.0855098245;0.0790557922;0.0702065131;0.0701583483;0.0786320226;0.0890523798;0.0985825164;0.0952134862;0.093480411;0.0916825025;0.1004196135;0.11000495;0.112960088;0.1099630658;0.094014983;0.0814360111;0.0731685856;0.0745671919;0.07858594;0.0848926616;0.0857550435;0.078715825;0.075776141;0.0730132047;0.0773675213;0.0845092119;0.0912295422;0.090548205;0.0886641049;0.0826960274;0.0767757858;0.0747849409;0.0742835967;0.0770379571;0.0797591971;0.079530894;0.0767540432;0.0765012234;0.0758742339;0.078975271;0.0841709676;0.0888257783
US Colorado;5758736;268431;0.4548179772;0.0478929325;0.0829843018;0.0203091072;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4548179772;0.3192021086;0.2259640445;0.1660240222;0.1585145131;0.1875073638;0.2333186359;0.2685496167;0.2795819167;0.2779871019;0.2603074709;0.2574850436;0.2569835571;0.254355522;0.2538712269;0.2286537409;0.197509389;0.159217586;0.1275570692;0.1172844818;0.1161596372;0.1218643296;0.1160266434;0.1015292814;0.0849251602;0.0830035727;0.087160104;0.0945942001;0.1057947181;0.095329811;0.0867751958;0.0743035811;0.0702014814;0.0733495559;0.0752637551;0.085879965;0.0845612815;0.0808580687;0.0775494234;0.0870180212;0.0908593894;0.1017965279;0.12408895;0.1221625841;0.1117898046;0.1006246099;0.0864251074;0.0765604258;0.0709335644;0.0698866524;0.0665399618;0.0670770813;0.0630601917;0.0661327078;0.0786148157;0.0882351395;0.0895782039;0.0811273788;0.0728590368;0.0486622391;0.0478929325;0.0491029456;0.0614409089;0.0714826828;0.0715282257;0.0698989637;0.0665865011;0.0731972742;0.0694707039;0.0829843018
US Connecticut;3565287;12542;0.5922352905;0.0537864148;0.0569897622;0.0111438709;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5922352905;0.5578669319;0.4778605392;0.4360097168;0.3758993876;0.4075619195;0.4234237582;0.4003488568;0.3368026398;0.2722348452;0.2582031023;0.2528794387;0.2434570622;0.2148485443;0.194055817;0.1684553421;0.1501042698;0.150786886;0.1460147614;0.1528139711;0.1508047768;0.1480294897;0.1378421872;0.1171653882;0.108989416;0.1013566138;0.0955999355;0.0918181036;0.0914082838;0.0875508358;0.076428958;0.0789643114;0.0813089749;0.0962938991;0.1101513647;0.11155569;0.1040646597;0.0796694067;0.0726437612;0.0581260997;0.0545027305;0.0537864148;0.0582057369;0.0618867593;0.0625237406;0.0662015629;0.0577404035;0.0629857905;0.0647119843;0.0727544434;0.0775827287;0.0792341455;0.076154471;0.0708645392;0.0626342419;0.0644398987;0.073300638;0.0757770377;0.0789961454;0.0824206089;0.0851875704;0.0801190968;0.0756096837;0.0674722168;0.0602232433;0.0569897622
