Country/Region;Population;Area;Maximum;Per 100,000 inh.;% CDGR;Blank 2;Comments;Day 1;Day 2;Day 3;Day 4;Day 5;Day 6;Day 7;Day 8;Day 9;Day 10;Day 11;Day 12;Day 13;Day 14;Day 15;Day 16;Day 17;Day 18;Day 19;Day 20;Day 21;Day 22;Day 23;Day 24;Day 25;Day 26;Day 27;Day 28;Day 29;Day 30;Day 31;Day 32;Day 33;Day 34;Day 35;Day 36;Day 37;Day 38;Day 39;Day 40;Day 41;Day 42;Day 43;Day 44;Day 45;Day 46;Day 47;Day 48;Day 49;Day 50;Day 51;Day 52;Day 53;Day 54;Day 55;Day 56;Day 57;Day 58;Day 59;Day 60;Day 61;Day 62;Day 63;Day 64;Day 65;Day 66;Day 67;Day 68;Day 69;Day 70;Day 71;Day 72;Day 73;Day 74;Day 75;Day 76;Day 77;Day 78;Day 79;Day 80;Day 81;Day 82;Day 83;Day 84;Day 85;Day 86;Day 87;Day 88;Day 89;Day 90;Day 91;Day 92;Day 93;Day 94;Day 95;Day 96;Day 97;Day 98;Day 99;Day 100;Day 101;Day 102;Day 103;Day 104;Day 105;Day 106;Day 107;Day 108;Day 109;Day 110;Day 111;Day 112;Day 113;Day 114;Day 115;Day 116;Day 117;Day 118;Day 119;Day 120;Day 121;Day 122;Day 123;Day 124
American Samoa;55191;200;0;0;0;;
Northern Mariana Islands;57559;460;22;38.2216508278;0;;
US;331002651;9147420;1643246;496.444966539;0.1241394721;;;39;51;54;57;58;60;68;74;98;118;149;219;267;403;519;588;962;1285;1667;2181;2729;3536;4661;6437;7781;13748;19274;25600;33280;43862;53925;65844;83836;101962;121786;140910;162147;188172;213602;244008;275798;309027;336802;366317;397121;428654;463327;496846;526776;555313;580624;607670;636674;667981;700062;732590;758809;784708;811865;840351;869170;905358;938154;965785;988197;1012582;1039909;1069424;1103461;1132539;1158040;1180375;1204351;1229331;1257023;1283929;1309550;1329260;1347881;1369376;1390406;1417774;1442824;1467820;1486757;1508308;1528568;1551853;1577147;1600937;1622612;1643246
US Alabama;4903185;131171;14327;292.1978265148;0.0920263778;;;36;46;68;81;124;138;167;215;283;506;587;696;806;859;981;1077;1233;1432;1580;1796;1968;2119;2369;2769;2968;3191;3525;3734;3876;4113;4345;4530;4655;4837;5025;5231;5465;5778;5832;6137;6270;6499;6687;6842;7019;7158;7434;7725;8025;8285;8581;8898;9221;9567;9777;10009;10310;10617;10968;11216;11523;11771;12086;12376;12744;13119;13563;13938;14327
US Alaska;731545;1477953;408;55.7723721712;0.0406017498;;;36;42;59;69;85;102;114;119;133;143;157;171;185;191;213;226;235;246;257;272;277;285;293;300;309;314;319;321;329;335;337;339;340;341;345;351;355;359.5;364;365;368;370;371;372;374;377;378;379;381;383;385;387;388;392;396;399;400.5;402;403;404;408;408
US Arizona;7278717;294207;16339;224.4763740643;0.0937950445;;;44;65;104;152;265;357;450;577;736;873;919;1157;1289;1413;1598;1769;2019;2269;2456;2575;2726;3018;3112;3393;3539;3702;3806;3962;4234;4507;4719;4929;5064;5251;5459;5769;6045;6280;6526;6716;6948;7202;7648;7962;8364;8640;8919;9305;9707;9945;10526;10960;11119;11380;11736;12176;12674;13169;13631;13937;14170;14566;14897;15315;15608;16039;16339
US Arkansas;3017804;134771;5922;196.2354082638;0.0805406542;;;33;46;96;118;165;174;218;280;335;381;404;426;473;523;584;643;704;743;830;875;946;1000;1119;1171;1226;1280;1410;1480;1569;1620;1695;1739;1781;1923;2227;2276;2465;2741;2829;2941;3017;3111;3192;3255;3321;3372;3431;3458;3496;3568;3611;3694;3747;3890.5;4034;4164;4200;4236;4463;4578;4759;4813;4923;5003;5458;5612;5767;5922
US California;39512223;403466;92710;234.6362542042;0.0965670552;;;53;56.5;60;69;88;114;133;157;202;227;252;293;335;483;611;924;1063;1279;1536;1733;2102;2355;3006;3879;4643;5708;6447;7482;8155;9191;10701;12026;13438;14336;15865;16957;18309;19472;20615;21794;22348;23338;24424;26182;27528;28963;30333;30978;33261;35396;37369;39254;41137;42164;43464;45031;46500;48917;50442;52197;53616;54937;56212;58815;60614;62512;64561;66680;67939;69382;71141;73164;74936;76793;78839;80430;81795;84057;86197;88444;90631;92710
US Colorado;5758736;268431;23964;416.1329847383;0.0898010359;;;45;72;101;131;145.5;160;183;216;277;363;475;591;720;912;1086;1430;1734;2061;2627;2796.5;2966;3342;3728;4173;4565;4950;5172;5429;5655;6510;6701.5;6893;7684;7691;7941;8280;8675;9047;9433;9730;10106;10447;10878;11262;12256;12968;13441;13879;14735;14758;15284;15768;16225;16635;16907;17364;17830;18801;18827;19703;19899;19879;20157;20475;20838;21232;21633;21938;22202;22482;22797;23191;23487;23964
US Connecticut;3565287;12542;40468;1135.0558875064;0.1067110179;;;41;68;96;194;208.5;223;415;618;875;1012;1291;1642;1993;2571;3128;3557;3824;4914;5276;5675;6906;7781;8782.5;9784;10538;11510;12035;13381;13989;14755;15884;16809;17179.5;17550;19815;20360;22469;23100;23921;24582;25269;25790.5;26312;26767;27700;28764;29025.5;29287;29954;30621;30995;31784;32411;32984;33554;33765;34333;34855;35464;36085;36703;37419;38116;38430;39017;39208;39640;40022;40468
US Delaware;973764;5047;8809;904.6339770211;0.0899108858;;;30;38;45;56;68;91;115;130;163;214;232;264;319;368;393;450;593;673;800.5;928;1067.5;1207;1326;1479;1552;1625;1761;2014;2075;2323;2430.5;2538;2745;2931;3200;3308;3442;3576;4034;4162;4575;4655;4734;4918;5038;5208;5288;5371;5778;5939;6111;6277;6447;6565;6741;6952;7223;7373;7547;7670;7869;8037;8194;8386;8529;8690;8809
