Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24
American Samoa;55191;200;124;224.6743128409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;57;57;57;83;83;83;83;83;83;83;105;105;105;105;105;105;105;105;124;124;124;124;124;124
Northern Mariana Islands;57559;460;4757;8264.5633176393;216.2272727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;21;21;21;21;21;23;38;38;38;38;38;38;40;40;40;55;56;56;65;65;65;65;65;65;65;65;65;224;599;763;948;1335;1335;1797;1798;1798;2336;2337;2337;2695;2873;3040;3325;3325;3339;3339;3420;3817;3817;4089;4318;4318;4757
US;331002651;9147420;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
US Alabama;4903185;131171;185799;3789.3532469201;12.9684511761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;10;10;12;28;40;56;64;74;96;109;152;1602;1832;2321;2812;4099;4771;4880;4990;6553;7279;7774;8736;9619;10853;13078;14765;14916;19122;20827;21026;21249;21583;29182;33117;34077;36391;37848;42538;45712;45900;48526;48760;52641;52695;71344;73551;73997;75827;80449;87196;91933;92209;92500;103117;106766;109516;115173;120114;125494;127421;129444;133218;136372;141985;146063;153494;156350;157123;157566;164450;170739;177768;182676;185799
US Alaska;731545;1477953;43507;5947.2759707195;106.6348039216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;12;14;23;23;46;46;60;144;144;144;337;412;438;698;772;968;968;1022;1691;1860;2388;2921;3334;3654;3713;4603;5022;6016;6040;6284;6883;6913;7068;7223;7432;7732;8038;7830;8348;8664;8735;9450;9655;9895;10124;11119;12159;12161;12281;15732;16177;16256;17089;19119;19119;20325;21399;21578;21723;22692;23655;24341;25473;26449;27364;28680;29961;30649;31762;32418;33281;34651;35611;36380;37045;39545;41446;42351;43507
US Arizona;7278717;294207;183641;2522.9858503909;11.2394271375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;30;36;49;49;49;57;68;91;103;133;133;143;162;176;219;276;344;434;574;670;773;924;8191;8328;13872;16759;19371;21058;22709;24673;27160;27410;32534;33375;34564;37178;37734;40530;42109;43347;44096;45310;47398;49230;51045;52990;54500;55152;56601;58697;60714;62508;64811;66543;67438;68813;71786;74879;77997;81119;85253;88260;91737;96434;101125;105810;110377;116464;122842;127750;134338;142001;146788;151761;156473;161571;165435;171627;176003;180439;183641
US Arkansas;3017804;134771;108581;3598.0136549624;18.3351908139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;6;12;12;12;30;39;77;119;154;219;269;356;447;685;876;1080;1165;1717;1839;1926;3342;3453;5735;6482;7938;8523;9699;10370;11242;12845;13638;14530;14951;17120;18578;19722;20804;21131;21834;22675;23494;24141;24209;26553;27441;29713;31590;35578;38053;39469;40457;40671;45449;48379;49676;51582;52890;54442;54635;59003;59995;63994;65528;65528;69030;70444;73215;75818;81529;81644;85185;85239;93701;96258;99276;103047;103047;108581
US California;39512223;403466;1582745;4005.7098280702;17.0719987056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;515;515;522;531;550;804;823;1073;1118;1118;1168;1209;8316;8464;8592;9711;11487;12528;12840;14300;15554;18276;20386;21259;25192;26257;26996;29254;29927;33000;35300;113700;116533;117431;131229;144264;163500;164863;173219;190328;190882;202208;216486;246400;251614;259666;280900;290500;300100;465327;482097;494173;506035;526084;553409;577608;603139;625337;654985;686803;715751;747874;779902;809036;842874;875272;912570;955664;991897;1033370;1065592;1104651;1133906;1179126;1235243;1292672;1339316;1380120;1421127;1466773;1515306;1582745
US Colorado;5758736;268431;150051;2605.6238730166;6.2615172759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;48;63;112;142;154;279;343;596;711;758;758;1216;1800;2328;2952;3680;4550;5436;6224;7701;8064;10122;11676;13276;15364;15364;16849;18645;20411;22071;23900;25773;26875;28094;29199;32653;32653;34873;37534;38742;39580;40533;41830;43307;44606;46195;47466;48704;50645;52324;56789;59791;63274;66341;69449;71059;72390;76949;79906;83090;85004;85976;91347;94536;96772;104077;108790;108657;111250;114519;118030;121840;125548;128495;131333;131837;135611;142225;144952;150051
US Connecticut;3565287;12542;214136;6006.1363923858;5.291489572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;30;47;56;74;95;105;136;145;151;166;193;700;798;2300;3100;4500;5300;5898;6637;8400;8400;11900;14600;16157;16600;18300;20015;22029;23270;26686;29036;29036;33502;36288;39831;41220;44309;45841;50143;53122;55462;55462;58213;62806;64192;69918;71497;74038;77602;79811;79811;92745;94818;97133;100257;100257;102493;102493;108643;111447;116174;120541;123569;130192;132508;138424;142943;149562;155908;164755;170607;177679;185520;190718;196447;202328;208367;214136
