Country/Region;Population;Area;Latest;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11
0 America;1024681894;38409125;943180;92.0461272442;0.2588408285;;;1;1;2;2;6;6.5;7;8.3333333333;9.6666666667;11;12;13.5;15;15.5;15;16;16;16.25;12.5;12.25;12;11.1666666667;10.3333333333;9.25;8.5;7.25;6;6.25;6.5;6.25;6;18.0833333333;30.1666666667;42.25;43;49.5;52;55.75;73.5;91.25;118;143.25;184.5;263.75;338;479.6666666667;623.3333333333;704;1102;1496;1923;2704;3347;4284;5858;8020;9821;16464;22830;30341;39539;51548;63058;76225;96143;115769;137704;158139;180302;208169;235712;263978;293094;322195;346074;366924;390912;416115;437085;458091;470434;482586;490428;492544;499646;503876;509067;512744;512909;513165;512227;510791;509219;525362;536327;540446;541184;546863;551878;558437;567430;570512;579230;583884;589223;597439;603465;592541;591133;589037;589280;592225;595807;603092;608800;616453;612441;621608;633710;646325;660433;673640;683380;700438;714922;727124;740513;754542;769076;795634;815421;820198;831241;845170;856674;877964;892981;897505;901271;915936;933756;943180
00 N. America;372107035;18250571;312655;84.0228672376;0.1469223399;;;1;1;2;2;6;6.5;7;8.3333333333;9.6666666667;11;12;13.5;15;15.5;15;16;16;16.25;12.5;12.25;12;11.1666666667;10.3333333333;9.25;8.5;7.25;6;6.25;6.5;6.25;6;18.0833333333;30.1666666667;42.25;43;48.5;51;53.75;67.5;77.25;104;126.25;159.5;232.75;292;420.6666666667;534.3333333333;604;979;1325;1713;2298;2837;3688;4957;6769;8260;14288;19873;26442;34177;45184;55732;67777;86190;104389;124579;143574;164682;190077;215070;241121;268449;295634;318347;337497;358902;379358;396806;412987;423497;433270;437564;438755;442466;444277;445381;445648;442643;440245;437011;434523;428727;431934;434960;434688;432006;429516;428362;425600;427447;424172;424713;420572;416940;413080;411886;402215;394818;386369;382205;378968;372102;369568;359954;355399;347387;346259;342381;340315;337561;334169;330236;331007;331295;328250;325277;320252;319268;317968;318711;317773;317874;313904;309650;315300;316307;313518;311586;310600;312964;312655
01 M. America;179670200;2452270;68583;38.1716055306;0.3914889973;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;5.4;5.8;6.2;6.6;7;9.5;12;16;17;30;46;77;102;122;174.6;211.2;262.8;358.4;460;604.5;801;910;969;1161;1421;1689;1977;2255;2445;2745;2916;3173;3439;3774;3987;4418;4855;5246;5597;6029;6355;6804;7118;7277;7647;7965;8494;8883;9352;9569;10028;10699;11602;12425;13039;13421;14049;14847;15761;16769;17688;18816;19429;20427;21088;21915;22828;23591;24660;25602;26158;27145;28029;29262;30411;30995;31897;33051;34996;35479;36744;38135;39861;41853;43518;45906;47784;49068;50095;51500;53288;54022;55475;57764;59630;61212;61906;62318;63023;64248;66467;68583
03 Caribbean;40771890;217122;8344;20.4650802305;0.2809616809;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;4.5;5;7;10;10.6666666667;11.3333333333;12;16;28;45;49;63;95;114;153;222;320;461;551.3333333333;646;778;929;1060;1300;1498;1600;1859;2096;2230;2345;2310;2486;2551;2670;2768;2943;3147;3107;3184;3347;3223;3427;3477;3733;3978;4077;4329;4251;4364;4370;4327;4384;4394;4318;4323;4171;4344;4275;4365;4372;4282;4420;4430;4453;4470;4723;4951;5090;5211;5235;5029;5132;5184;5075;5256;5504;5488;5473;5598;5585;5465;5507;5653;5944;6114;6402;6639;6984;6925;6597;6846;6935;7005;7353;7640;8005;7994;7913;8344
04 S. America;432132769;17489162;553598;128.1083129338;0.4222879761;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;8;9.5;11;16;22;34;45;66;73;95;128;146;299;360;425;660.5;942;1183;1653;2262;2968;4082;4892;5709;6504;7601;8630;9848;10809;11575;13488;15630;17454;18861;20477;21254;22458;24485;28743;31739;35928;37475;39328;42399;43289;46106;48157;51459;54235;56837;59022;60937;61205;64520;76676;83944;87943;90811;98177;103584;111724;118020;123159;130716;138603;146775;158014;164298;162265;166932;172115;175827;180901;190441;199233;213303;224875;228082;237042;250829;265043;280655;295738;307698;322113;334602;347315;361508;379108;393311;419527;436438;441478;451295;466656;480459;494447;507415;514029;518657;533094;546412;553598
1 Europe;611702015;21312232.3170000017;194583;31.8100962934;0.1177679273;;;0;0;0;0;0;1;4;5;8;11;15;17;19;20;20.6666666667;21.3333333333;22;23;24;24;22;22.7;21.4;20.1;17.8;17.5;17.2;17.9;18.9333333333;19.9666666667;21;62;154;227;328;482.3;721.6;984.9;1307.2;1998.5;2443;3017;3848;5084;6470;8227;10372;12860;15280;19365;22386;31594;38364;46199;53957;63018;73733;88847;104745;121634;135970;153967;170980;191837;217418;236605;258802;274737;290290;304952;320611;333175;342930;349466;354619;353135;354758;354451;350177;346858;339677;335866;329755;321160;317345;314424;312360;305437;308331;306364;304743;301894;299329;282150;279338;276896;274629;274759;268744;259624;251937;251993;245074;244809;242675;239606;238047;249436;248270;247489;251867;253747;252918;252880;252678;249524;246390;243145;240746;236510;230799;227283;223710;219766;212276;208695;205166;203488;200745;199438;198217;197000;194970;195087;194551;193042;193222;193979;195316;194595;194816;194583
11 N. Europe;21451759;1181143;13081;60.9786824474;0.1983352033;;;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;8;14;29;40;50;68;122;226;266;372;452;541;864;1239;1455;2086;2410;2627;2859;3171;3349;3759;4224;4595;5174;5530;5845;6115;6644;6797;7306;7734;8168;8557;9176;9742;10167;10504;10483;10919;11146;11433;11680;11728;11591;11464;11431;11335;11166;10999;10921;11010;11091;10767;10633;10649;10627;10774;10790;10855;10689;10870;11087;11081;10759;10569;10202;10179;10079;10032;9902;9660;9760;9655;9575;9417;9225;9103;9304;9137;9324;9065;8885;8764;8646;8607;8205;8004;8023;8022;8046;7961;8023;8180;8106;8135;8470;9947;10327;10727;11282;11871;11892;12077;12269;13081
12 W. Europe;136029709;606885;9758;7.1734329741;0.0261605774;;;0;0;0;0;0;1;4;4.3333333333;4.6666666667;5;8;10;12;13;13.3333333333;13.6666666667;14;14.5;15;15;13;12.9523809524;12.9047619047;12.8571428571;10.1428571429;8.4285714286;6.7142857143;6;5.9523809524;5.9047619047;5.8571428571;5.6428571429;5.4285714286;4.7142857143;4;13.7142857143;41.4285714286;43.1428571429;96.8571428571;166.5714285714;228.2857142857;294;430.7142857143;757.4285714286;1177.1428571429;1503.8571428571;1948.5714285714;2245.2857142857;2799;3645;3855;6747;8318;10886;12970;16300;20617;25817;32794;38049;43343;50651;57693;64498;75829;84434;94936;101114;108007;113032;118936;124900;128097;131661;133815;132774;133058;134991;132796;130789;125793;123937;120413;115973;113850;108970;105869;102110;99365;97580;93288;88618;84795;80335;77094;73813;70783;69204;64110;60748;55750;52684;49428;46071;44179;41276;38368;35675;33723;31667;30600;29549;28004;26261;25318;24305;23581;22894;22900;22117;20699;19674;18640;17900;17320;16887;16066;15773;15433;14752;14311;14083;12900;12141;11646;11221;11291;11136;11025;10799;10424;9758
13 S. Europe;129670199;1023531.4399999999;13894;10.7148752043;0.0266530083;;;0;0;0;0;0;0;0;0;0;2;3;3;3;3;3;3;4;4.5;5;6.4166666667;7.8333333333;9.25;10.6666666667;10.0833333333;10.5;11.9166666667;13.3333333333;14.75;16.1666666667;17.5833333333;18;59.5;152;224;318;455;657;904;1150;1753;2123;2607;3234;4028;4916;6235;7810;9901;11369;14091;16559;21900;26430;31167;36256;41283;47131;56256;64199;74694;82448;92007;100756;113460;125961;135038;144828;152683;159658;167310;174884;178754;182655;183359;184588;181997;180819;176109;171196;167105;162636;158171;152547;145353;139839;138150;135083;127619;127459;122766;120958;118242;115722;98554;94364;90347;87266;85008;80974;71998;66450;64478;56331;53878;49066;43818;39185;49007;45087;42273;42459;40961;38311;37405;35065;33587;32122;31642;30531;29007;27312;26757;26200;25619;21772;20992;20083;20580;20360;20071;20029;19055;18483;18138;17601;16081;15658;15283;15886;15366;15309;13894
14 E. Europe;324550348;18500672.8770000003;157850;48.6365215668;0.2281042994;;;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;5;6;12;13;17;19;25;38;50;89;94;142;155;231;366;461;809;1100;1346;1637;1987;2361;2940;3528;4296;5005;5779;6686;7764;8984;10336;11732;13206;14457;16053;17615;19779;22011;23942;25733;27445;29735;31918;34505;37236;39657;42294;45364;48499;52490;56305;60487;64698;70416;75251;79864;84385;88185;92487;97090;101881;105891;109677;112573;115797;118978;124262;129113;134681;139351;144480;150592;155094;159700;163894;169233;173820;177378;180111;182991;182495;181363;179544;178430;176622;174142;172245;170665;168243;165161;162794;160971;159174;156929;156435;155771;155727;155117;154861;154977;155013;154991;155689;156513;156353;156814;157850
