Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11
0 America;1024681894;38409125;196246;19.1518949587;0.0538566098;0.0604550564;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;7;11;12;14;17;22;24;30;39;46;55;67;81;113;150;187;292;397;507;680;903;1159;1501;1947;2549;3095;3842;4701;5995;7249;8877;10353;12179;13847;15620;18149;20536;22915;25292;27589;29599;31669;34533;37472;40125;43184;46026;47637;49810;52804;55700;58826;61422;64410;66006;68076;71297;74827;77835;80820;83282;85431;87450;90753;94371;97810;100716;103459;105480;107552;110913;114067;117239;120672;123287;125030;127044;130420;133607;136894;140087;142727;144502;146543;149181;152732;155926;158969;161644;163383;165348;168490;172534;176334;179676;182097;183681;186182;189420;192966;196246
00 N. America;372107035;18250571;122039;32.7967462373;0.0573483726;0.0609169767;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;7;11;12;14;17;21;23;29;37;43;51;61;75;104;139;173;268;362;461;609;813;1039;1352;1766;2326;2808;3489;4282;5477;6633;8091;9457;11109;12657;14257;16592;18704;20827;22956;25066;26848;28700;31212;33823;36163;38846;41240;42576;44480;47064;49561;52038;53976;56413;57656;59148;61428;64212;66402;68576;70152;71578;73026;75357;77924;80309;81988;83730;84632;85914;87774;89663;91611;93335;94680;95592;96435;98077;99718;101099;102468;103683;104384;105007;105798;107426;108733;110008;111072;111895;112693;113800;114884;116058;117282;118064;118534;119067;120110;121109;122039
01 M. America;179670200;2452270;17127;9.5324655953;0.0977652196;0.1196362087;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;4;5;6;9;13;14;17;20;26;35;44;63;71;82;102;118;143;170;212;229;268;294;337;386;417;461;543;593;642;717;834;875;908;1063;1182;1292;1460;1555;1609;1696;1834;2012;2155;2276;2373;2474;2599;2856;3070;3342;3551;3752;3874;3996;4363;4666;4940;5241;5531;5677;5842;6196;6629;7067;7564;7762;8002;8248;8781;9260;9726;10116;10505;10679;10937;11444;12572;13419;14115;14488;14713;15095;15740;16509;17127
03 Caribbean;40771890;217122;817;2.0038315614;0.0275102701;0.0318692464;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;4;7;7;7;9;9;12;17;18;29;40;53;58;71;85;88;99;105;127;139;156;174;190;201;212;253;261;267;281;293;303;322;339;350;369;388;401;412;421;431;438;444;452;466;481;497;507;524;534;543;559;567;573;582;590;601;611;627;629;633;633;640;647;653;659;668;671;673;676;690;697;708;712;729;736;737;750;755;761;766;777;780;784;791;799;817
04 S. America;432132769;17489162;56263;13.0198411313;0.0429177642;0.0523870888;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;3;5;5;5;6;8;13;23;33;53;68;94;115;143;168;212;256;298;376;449;596;679;822;893;1012;1172;1390;1604;1798;1925;2081;2247;2511;2775;3027;3318;3630;3847;4072;4308;4569;5095;5574;6021;6310;6794;7591;8151;8812;9487;10260;10872;11301;12006;12834;13600;14610;15404;16392;17052;18175;19127;20061;21467;22443;23128;24127;25500;26607;28069;29387;30611;31443;32612;33912;35349;36759;38133;39338;40073;40981;42496;44323;46096;47513;48768;49654;51236;52779;54549;56263
1 Europe;611702015;21312232.3170000017;110210;18.0169424487;0.0667026578;0.0702685264;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;7;10;12;17;21;29;34;52;81;110;153;205;246;389;499;677;903;1096;1444;1699;2180;2596;3182;3787;4487;5423;6680;7838;9113;10539;12347;14080;16153;18270;20297;22530;24861;27164;29676;32016;34163;36037;38176;40727;43096;45408;47709;49540;51508;53426;55202;57891;60277;62659;64090;65671;67380;69380;71373;73303;75223;76801;77910;79222;80687;82357;83673;84595;86081;86815;87756;88682;90281;91387;92563;93387;94020;94729;95597;96626;97494;98360;98995;99420;99962;100594;101328;101927;103098;103648;104080;102531;103381;103951;104448;105045;105539;105843;106184;106604;107067;107483;107943;108341;108614;108922;109366;109858;110210
11 N. Europe;21451759;1181143;5391;25.1308062896;0.0817387876;0.0892623562;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;5;11;9;11;17;19;23;29;30;37;51;81;98;133;139;148;193;238;302;381;441;464;504;586;720;834;949;1038;1063;1091;1120;1244;1433;1568;1652;1774;1808;1869;2098;2283;2397;2538;2589;2595;2682;2770;2885;3017;3091;3110;3130;3233;3325;3419;3522;3663;3714;3721;3761;3826;3983;4058;4181;4213;4219;4241;4287;4379;4422;4476;4543;4550;4582;4682;4778;4825;4910;4957;4961;4967;5035;5110;5132;5209;5226;5230;5266;5290;5368;5391
12 W. Europe;136029709;606885;28949;21.2813805255;0.0776104278;0.0784661838;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;5;7;9;16;17;33;42;53;66;110;136;195;277;381;474;579;720;940;1190;1504;1812;2190;2567;3177;3673;4283;4820;5405;5918;6518;7479;8296;9094;9970;10492;11227;11872;12443;13543;14494;15359;15995;16509;17136;17758;18507;19236;19999;20540;20926;21311;21785;22314;22717;23096;23364;23589;23863;24077;24768;25081;25421;25609;25740;25922;26155;26427;26551;26695;26826;26922;27014;27166;27317;27457;27537;27636;27719;27791;27915;28036;28167;28277;28352;28383;28421;28463;28532;28609;28673;28716;28746;28776;28866;28910;28949
13 S. Europe;129670199;1023531.4399999999;63144;48.6958456816;0.1211298082;0.1223502318;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;7;10;12;17;21;29;34;52;81;110;152;203;244;384;492;668;884;1075;1405;1644;2107;2511;3049;3619;4255;5101;6245;7299;8450;9706;11240;12693;14405;16167;17773;19531;21148;22829;24581;26246;27704;28956;30317;31664;32992;34294;35530;36712;37789;38935;39874;41141;42308;43604;44159;45033;45911;46908;47804;48748;49578;50398;50974;51666;52372;53175;53745;54033;55084;55444;55825;56259;56888;57393;57876;58263;58581;58892;59260;59657;60146;60536;60810;60971;61231;61478;61766;61990;62821;63006;63144;61333;61707;61839;61926;62031;62159;62250;62328;62395;62478;62580;62676;62759;62818;62891;62978;63054;63114
14 E. Europe;324550348;18500672.8770000003;12756;3.9303609066;0.0184333129;0.0204674328;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;5;8;9;10;12;15;18;22;25;35;47;62;86;99;111;152;186;239;298;360;431;509;590;659;755;864;974;1071;1171;1273;1401;1499;1641;1774;1907;2044;2162;2321;2464;2616;2779;2922;3108;3274;3415;3563;3760;3983;4194;4375;4523;4652;4835;5021;5206;5391;5603;5801;5978;6154;6356;6559;6739;6948;7146;7308;7476;7663;7866;8058;8264;8463;8667;8825;9077;9298;9530;9827;10071;10249;10468;10711;10947;11162;11385;11640;11820;11989;12232;12526;12756
