Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29
American Samoa;55191;200;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Northern Mariana Islands;57559;460;2;3.4746955298;0.0666666667;0.0666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
US;331002651;9147420;126140;38.1084561163;0.048692325;0.0537339653;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;7;11;12;14;17;21;22;28;32;43;52;59;72;100;134;191;269;366;456;600;784;1019;1329;1736;2284;2921;3546;4352;5568;6787;8349;9646;10912;12323;13985;16290;18369;20415;22486;24498;26238;28036;30429;32944;35031;37621;39966;41148;42918;45314;47649;49969;51746;54015;55162;56502;58632;61252;63291;65243;66668;67990;69237;71387;73775;75986;77495;79122;79856;81018;82709;84452;86229;87862;89084;89893;90683;92252;93775;95020;96296;97406;98039;98541;99239;100744;101937;103113;104054;104659;105430;106461;107444;108479;109449;110124;110575;111068;112014;112935;113823;114669;115436;115732;116127;116963;117717;118432;119124;119720;119979;120402;121231;121985;124410;125039;125539;125803;126140
US Alabama;4903185;131171;929;18.9468682091;0.0249899126;0.0298742644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;3;3;4;6;13;26;32;35;43;45;50;56;66;74;80;91;93;99;110;121;133;144;146;154;167;177;194;197;197;212;216;222;242;245;269;279;288;290;296;313;340;349;375;388;393;401;429;449;467;476;485;488;489;504;517;529;537;546;551;562;575;581;590;605;618;631;646;651;653;653;676;689;692;718;729;744;755;769;773;773;774;785;790;810;822;838;839;841;864;891;896;907;919;919;929
US Alaska;731545;1477953;14;1.9137578686;0.0154867257;0.0179948586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;3;3;3;3;3;5;6;6;6;7;7;7;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;14;14;14;14
US Arizona;7278717;294207;1588;21.8170317654;0.0213059987;0.0272950721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1;2;2;5;6;8;13;15;17;20;24;29;32;41;52;64;65;73;80;89;97;108;115;122;131;142;150;169;177;184;187;208;229;249;266;266;275;275;293;304;320;330;348;362;362;395;426;450;517;532;536;542;562;594;624;651;679;680;686;704;747;763;775;799;800;806;807;831;857;885;903;906;917;941;981;996;1012;1042;1044;1047;1070;1095;1127;1144;1183;1186;1194;1219;1239;1271;1312;1338;1339;1342;1384;1463;1490;1535;1579;1588;1588
US Arkansas;3017804;134771;265;8.7812197214;0.0130818976;0.0158891953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;2;3;3;5;6;7;8;10;12;12;14;16;16;16;18;21;23;24;27;30;30;33;37;37;38;40;42;43;42;45;45;47;49;50;52;59;61;64;73;76;81;83;85;87;88;88;88;94;95;95;97;98;98;98;100;102;107;110;113;113;116;117;119;120;120;125;133;133;133;133;142;142;152;154;154;155;161;165;171;176;176;179;182;182;197;208;214;224;224;227;237;240;240;240;249;259;265
US California;39512223;403466;5936;15.0231992768;0.0274116832;0.0324242242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;5;5;6;11;13;18;20;24;27;27;40;53;65;78;101;123;133;153;171;203;237;276;319;343;374;442;492;541;609;651;687;758;821;890;985;1072;1166;1208;1268;1354;1469;1562;1651;1710;1755;1809;1887;1982;2073;2171;2215;2254;2317;2412;2504;2585;2678;2745;2770;2847;2934;3032;3108;3204;3261;3302;3334;3436;3542;3630;3708;3774;3795;3814;3884;3973;4068;4156;4213;4251;4286;4361;4422;4485;4559;4626;4653;4697;4776;4881;4943;4989;5063;5089;5121;5208;5290;5360;5424;5495;5515;5580;5632;5733;5812;5872;5905;5936
US Colorado;5758736;268431;1676;29.1036088475;0.0518773021;0.054583944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;3;4;5;6;7;11;19;24;31;44;51;51;69;80;97;111;126;140;150;179;193;250;250;274;304;308;329;357;374;391;411;422;449;486;508;552;674;672;680;706;760;766;777;820;832;842;851;903;921;961;960;967;981;987;1009;1062;1091;1150;1192;1215;1224;1257;1299;1310;1324;1327;1332;1333;1352;1392;1421;1436;1443;1445;1458;1474;1494;1512;1524;1527;1527;1543;1553;1573;1583;1595;1598;1599;1605;1617;1631;1638;1643;1647;1647;1651;1665;1667;1669;1673;1674;1676
US Connecticut;3565287;12542;4320;121.1683659689;0.0931797593;0.0941196976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;4;5;10;12;19;21;27;27;34;36;69;85;112;131;165;189;206;277;277;380;448;494;554;602;671;868;971;1036;1036;1086;1331;1423;1544;1639;1764;1862;1924;1998;2089;2168;2257;2339;2339;2436;2495;2633;2718;2797;2874;2932;2967;3008;3041;3125;3219;3285;3339;3408;3449;3472;3529;3582;3637;3675;3693;3742;3769;3803;3826;3868;3912;3944;3964;3972;3989;4007;4038;4055;4071;4084;4097;4120;4146;4159;4186;4201;4204;4210;4219;4226;4238;4251;4260;4263;4277;4287;4298;4307;4311;4316;4320
