Country/Region;Population;Maximum;Population Percentage;CDGR per day;Comments;Day 1;Day 2;Day 3;Day 4;Day 5;Day 6;Day 7;Day 8;Day 9;Day 10;Day 11;Day 12;Day 13;Day 14;Day 15;Day 16;Day 17;Day 18;Day 19;Day 20;Day 21;Day 22;Day 23;Day 24;Day 25;Day 26;Day 27;Day 28;Day 29;Day 30;Day 31;Day 32;Day 33;Day 34;Day 35;Day 36;Day 37;Day 38;Day 39;Day 40;Day 41;Day 42;Day 43;Day 44;Day 45;Day 46;Day 47;Day 48;Day 49;Day 50;Day 51;Day 52;Day 53;Day 54;Day 55;Day 56;Day 57
US;331002651;7715;0.000023308;0.309547888;;892;1214;1596;2112;2660;3432;4565;6353;7715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Alabama;4903185;46;9.3817E-06;0.558682163;;5;6;12;29;39;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Alaska;731545;6;8.2018E-06;0;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Arizona;7278717;27;3.7094E-06;0.206845191;;6;9;9;9;12;13;18;20;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Arkansas;3017804;33;1.09351E-05;0.328598573;;6;6;12;16;22;22;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US California;39512223;751;1.90068E-05;0.229305092;;144;177;221;282;340;426;557;698;751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Colorado;5758736;184;3.19515E-05;0.368014878;;15;34;45;49;101;131;160;160;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Connecticut;3565287;68;1.90728E-05;0.54498103;;5;11;22;24;30;68;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Delaware;973764;19;1.95119E-05;0.333983899;;6;7;8;16;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US District of Columbia;705749;31;0.000043925;0.256171573;;5;10;10;10;10;16;22;22;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Florida;21477737;314;1.46198E-05;0.462530052;;15;28;35;50;76;115;155;216;314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Georgia;10617423;199;1.87428E-05;0.360036361;;17;23;31;42;66;99;121;146;199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Guam;162742;5;3.07235E-05;0;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Hawaii;1415872;14;9.8879E-06;0.326352403;;6;7;10;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Idaho;1787065;9;5.0362E-06;0.216440399;;5;5;8;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Illinois;12671821;162;1.27843E-05;0.38449605;;12;25;32;46;64;93;105;161;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Indiana;6732219;39;0.000005793;0.263613245;;6;11;13;13;16;20;25;30;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Iowa;3155070;29;9.1916E-06;0.174663573;;8;13;16;17;17;18;23;23;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Kansas;2913314;18;6.1785E-06;0.29199401;;5;8;8;11;18;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Kentucky;4467673;27;6.0434E-06;0.206845191;;6;8;10;14;14;20;21;26;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
