Country/Region;Population;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17
Austria;9006398;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;4;6;8;13;15;18
Belgium;11589623;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3
Canada;37742154;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;4;4;4;4;4;5;5;7;7;7;7;7;7;7;7;7;7;8;8;8;8;9;9;9;9;10;10;12;13;19;23;23;25
China;1439323776;;28;30;36;39;49;58;101;120;135;214;275;463;614;843;1115;1477;1999;2596;3219;3918;4636;5082;6772;8281;10228;14864;17852;21704;25324;28349;31872;34371;37384;39759;41721;42042;57149;63568;65576;67641;69520;71264;71636;72062;72506;73929;73922;74118;74615;75005;75428;75748;76163;76729;76919;77031
France;65273511;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;3;4;5;5;5;5;5;5;5;5;5;5;10;10;10;11;11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;39;43;56
Germany;83783942;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;4;4;5;8;10;12;12;12;12;14;14;14;14;16;16;16;16;16;16;16;16;16;16;17;18;18;18;18;25;43;46;70;119;142;172
India;1380004385;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;13;13;14
Iran;83992949;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;49;73;123;175;291;291;552;739;913;1669;2134;2394;2731;2959;2959;2959;2959;4590;4590;5389
Italy;60461826;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;1;2;1;1;3;45;46;46;83;149;160;276;414;523;589;622;724;724;1045;1045;1439;1966;2335;2749;2941
Korea, South;51269185;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;3;4;4;7;7;11;12;15;15;16;19;22;22;22;19;19;22;22;22;22;27;30;30;30;41;69;162;389;552;780;923;1201;1700;2271;3078;3661;4260;5105
Spain;46754778;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;30;30;32;32;183;183;193;517;517;530;1028
Sweden;10099265;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;6;10;11;9;14
Switzerland;8654622;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;3;3;3;3;3;4;4;4;5;13;28;29
US;331002651;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;12;12;12;12;17;17
United Kingdom;67886011;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;8;8;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9;8;8;18;18;18;19;19;19;19;19;19;21;53
