Country/Region;Population;Area;% Max;% Min;% Latest;% Last Day;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11
American Samoa;55191;200;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Northern Mariana Islands;57559;460;0.209501392;0.0057093564;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.040516561;0.0360037516;0.0333232726;0.0491134268;0.0615652017;0.0598537215;0.0580388004;0.0557305092;0.0510211777;0.0430010561;0.0330644312;0.024779634;0.0211202498;0.0235748371;0.0266753801;0.0307154939;0.0361985207;0.0413676017;0.0482597305;0.0579087328;0.0723822632;0.0723786384;0.0723750425;0.0723714718;0.0723679284;0.0767539905;0.0977892904;0.1272303986;0.1336405907;0.1591448208;0.1999795224;0.2094434939;0.1767059673;0.1279979752;0.0857318027;0.063931029;0.0566181714;0.0471611544;0.0382175024;0.0336382154;0.0304818859;0.0283578258;0.030424361;0.0343112213;0.0312888569;0.0312700925;0.0354231387;0.0408489074;0.0482383057;0.0516814424;0.0556543126;0.060289348;0.0795686564;0.1215479369;0.1804115608;0.209501392;0.1842445662;0.1318804748;0.1011747683;0.1093883267;0.1212999481;0.102185932;0.0628301818;0.0282982303;0.0057093564;0.0057419428;0.0071773806;0.0095697774;0.0102532649;0.0110419052;0.011961985;0.0164721334;0.0717709709;0.071770503;0.0717700359;0.0717695706;0.0717691031;0.0717686395;0.0717681811;0.0717677184;0.0717672576;0.0717667999;0.0717663463;0.0707626241;0.0626579874;0.0455310685;0.025021025;0.0092618493;0;0;0
US;331002651;9147420;0.5198372462;0.0192376247;0.0879878566;0.0192653772;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0192376247;0.0200464397;0.0209271912;0.026425619;0.0371886355;0.0507709811;0.068160568;0.0880611765;0.1125305491;0.0927448655;0.081897255;0.0787771059;0.0758828126;0.0724851713;0.0672150905;0.0601534805;0.0533083592;0.0541459668;0.0576660379;0.0897716406;0.1503935968;0.2218500606;0.30590897;0.3940517348;0.4639285837;0.5198372462;0.5043455788;0.4973856964;0.4694588707;0.4063524892;0.3686122901;0.3468601283;0.362625054;0.3958205757;0.4154025794;0.3684011163;0.3250869244;0.2988268532;0.3169583557;0.3898993565;0.4373635113;0.457599991;0.4281335888;0.3784901906;0.3327030162;0.2946833588;0.2734721864;0.2556155263;0.2428547084;0.2275796528;0.2073003209;0.1880714833;0.1708160433;0.1631050151;0.1573273362;0.152292633;0.1449783244;0.1348884963;0.1233927357;0.1123664546;0.1068443466;0.1035927612;0.1017202257;0.0974865782;0.0911309697;0.0847071804;0.078997621;0.0772207839;0.0790342357;0.0820422327;0.0829985871;0.0815296081;0.0784483714;0.0759986721;0.0763929942;0.0800533451;0.0850892682;0.0884384975;0.0870562358;0.0813667487;0.0745862079;0.0711520359;0.0729315359;0.0768945956;0.0800174879;0.0795262773;0.0750471482;0.0704512747;0.068769129;0.0710832624;0.0744291149;0.0758807945;0.0730664963;0.0685210268;0.0647958014;0.0648098516;0.0690617283;0.074522908;0.0777684279;0.076500431;0.0737123309;0.0706948649;0.0713152414;0.0740315336;0.0777542092;0.0776429616;0.0752143856;0.0716799205;0.0678700042;0.0670254689;0.0684297329;0.072384103;0.0756909566;0.0771396418;0.0749073511;0.0718197897;0.0708167637;0.0720931371;0.0751155187;0.0779831217;0.0769773463;0.0731136396;0.0686157717;0.0674870716;0.070718507;0.0765867877;0.080827843;0.0810402158;0.0786054386;0.0757974567;0.076079838;0.0802047478;0.0856590151;0.0890524025;0.0889433121;0.0867226673;0.0855437659;0.0863564538;0.0889594189;0.092875072;0.0940653112;0.0922386991;0.0893267259;0.0868752243;0.0867910881;0.0891921716;0.0912827207;0.0893216977;0.0855222194;0.0818048365;0.0803073389;0.0819526818;0.0857129032;0.0879878566
US Alabama;4903185;131171;0.3766935056;0.0524524361;0.0930254465;0.0284905362;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3766935056;0.3288481579;0.3004435599;0.2778862085;0.2492942744;0.3086164018;0.3399969808;0.3650676101;0.336317218;0.2463726764;0.1843517936;0.1358085618;0.1273573623;0.1293394798;0.136122;0.1441465432;0.1407932473;0.1332799239;0.1254995351;0.1326430635;0.1368387067;0.1405737586;0.1383059091;0.1239597325;0.1105994656;0.0954575426;0.0870353745;0.081680943;0.0755541601;0.0728268992;0.0683502596;0.064320558;0.0674913848;0.0789440601;0.0843198834;0.0860919775;0.0864313063;0.0823207084;0.0789151354;0.0769448652;0.0794003722;0.0731073649;0.0711823894;0.0733544606;0.0819474563;0.0924785039;0.0990211504;0.1042657869;0.0977625899;0.1003735143;0.097625485;0.0945051659;0.086465834;0.0791338987;0.0776293468;0.0778186188;0.0809720483;0.0806138803;0.0781626313;0.0762037939;0.0765266859;0.0807576431;0.0857118346;0.0924247048;0.0935401272;0.0927938478;0.092195357;0.0952213199;0.0994347812;0.0993045137;0.0962481935;0.0926101499;0.0892848711;0.0862618196;0.0789036414;0.066774715;0.055770026;0.0524524361;0.0589656773;0.0709288736;0.0829183053;0.0860427155;0.0888089678;0.0950678563;0.1071061248;0.1174020708;0.1214252626;0.1154277548;0.1010795066;0.0852142845;0.0762460951;0.0756732284;0.0762743897;0.071193148;0.0650429455;0.0611106745;0.0682994049;0.0822992278;0.0954390013;0.1023963781;0.0960964374;0.0924593689;0.0917035698;0.0956862076;0.0957155889;0.0985025997;0.0957008109;0.0925842695;0.0846282618;0.0777925;0.0763345552;0.0843034377;0.0930254465
US Alaska;731545;1477953;0.304948567;0.0313854471;0.0884448976;0.0468631897;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.304948567;0.2756932703;0.2569236463;0.2485693632;0.2233568201;0.1895902976;0.1517672452;0.1222155205;0.1030428929;0.0968438482;0.0999631001;0.099974007;0.0962205952;0.0926409144;0.0942946742;0.0920727829;0.0866613313;0.0850402179;0.0777097491;0.0723924397;0.0686252096;0.0605495207;0.0580028694;0.056372826;0.0583764856;0.0517825767;0.0512613607;0.0503603404;0.0505608716;0.0532690643;0.0487936306;0.0433281306;0.0313854471;0.0338671843;0.0486872978;0.0662816591;0.0830847088;0.0872484435;0.0808610298;0.0655797711;0.0618001244;0.0561029176;0.0457599209;0.0446704344;0.0445482191;0.0467164267;0.0493957187;0.0529369398;0.0564612549;0.0647039007;0.0775740186;0.0756198416;0.0823624037;0.0943234019;0.1026989768;0.0979566224;0.0863408615;0.0688546073;0.0551219397;0.0544227462;0.0602120875;0.0588331293;0.0530982151;0.0624745347;0.0855955922;0.1249373522;0.135037399;0.1381626045;0.1468992092;0.1542247049;0.1604898012;0.1463519171;0.1203102455;0.0962341324;0.0810684385;0.076610864;0.0783719182;0.0852022185;0.0870962872;0.0888357095;0.0917063499;0.091954881;0.0812765187;0.0684218035;0.0638020296;0.0659063738;0.0747643815;0.0782396449;0.0801472682;0.0728496274;0.0704522629;0.0724101017;0.0787399001;0.0954074803;0.0994417505;0.0968401178;0.0988784294;0.10450945;0.1101131618;0.116371357;0.1209566338;0.1213424611;0.1109139663;0.0964353772;0.0805859207;0.0748403616;0.0783980325;0.0884448976
US Arizona;7278717;294207;0.5544894982;0.0640060498;0.0840299779;0.0259898026;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2037615085;0.2591668641;0.3364499734;0.436882281;0.50268534;0.5544894982;0.550978698;0.5079590754;0.448756788;0.3626997784;0.3015462125;0.2437203161;0.2118504903;0.1787208599;0.1558721672;0.1460388241;0.1332310045;0.1315640312;0.1278634825;0.1334859467;0.129637562;0.1143651293;0.102079762;0.0923168822;0.0925225763;0.0901321892;0.0920792761;0.0859209615;0.0739935412;0.0731321595;0.0748114895;0.0884915907;0.1000444315;0.1013869582;0.0915236063;0.0808106544;0.081231855;0.0843702394;0.0952329412;0.099535207;0.0964259629;0.0879703055;0.0806395139;0.0828431134;0.0914975913;0.1006918357;0.1067936639;0.1024481053;0.095762963;0.0889591244;0.0899481693;0.09097017;0.093751152;0.0954786586;0.0897607926;0.0785250453;0.0719421626;0.0736805002;0.0820866107;0.0937882127;0.0960913907;0.0903603886;0.0810969107;0.0727888841;0.0682381776;0.0724853075;0.0765224442;0.0753057029;0.071802681;0.0679755155;0.0640060498;0.067517993;0.0783749718;0.0958229546;0.1101429764;0.1162955058;0.1103077514;0.105309323;0.1079556158;0.1108213173;0.1161012342;0.1218674676;0.1204797838;0.112150514;0.1018543452;0.0907226734;0.0937828732;0.1009403284;0.1060822679;0.1008479484;0.0952850464;0.0941187948;0.0969583549;0.1093565684;0.1195277535;0.1288344345;0.1248264548;0.1158769049;0.1076574612;0.0998487445;0.0961888811;0.0955225131;0.0980035513;0.0944240275;0.0925230211;0.0871875236;0.0888245208;0.0972397326;0.0998368291;0.0983094376;0.0880608799;0.0829831514;0.0798378834;0.0792758338;0.0825282794;0.0840299779
US Arkansas;3017804;134771;0.4640176595;0.0390022021;0.079223351;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3677823999;0.4115069211;0.4640176595;0.4392679287;0.3356857315;0.2698684446;0.221559278;0.2202288529;0.1966461315;0.1648175234;0.1241153697;0.0982674552;0.0952126976;0.1038399043;0.1196571401;0.1201421981;0.1193973262;0.1092629684;0.1071365196;0.1081452476;0.1100828743;0.113695934;0.1090996901;0.1026628176;0.0950596217;0.094410731;0.0974847265;0.1020263493;0.0971105581;0.0859720671;0.0747799894;0.0717291408;0.0864988336;0.1103793527;0.1376007169;0.1445423774;0.1391707476;0.1288626657;0.1120823117;0.0939700822;0.0743133857;0.0585890018;0.054763327;0.0483125043;0.043463499;0.0403274695;0.0425099272;0.0390022021;0.0420246198;0.0565475656;0.0640172081;0.0766310736;0.0894941635;0.106164374;0.1214485638;0.1160801206;0.0989327256;0.0900478297;0.0972773053;0.104533309;0.1020924368;0.0922503222;0.0813740885;0.0947117367;0.1089266989;0.1191697009;0.1086253059;0.0937385757;0.0714244088;0.0671059076;0.0745201945;0.083487149;0.0956802132;0.0960837838;0.0949103583;0.0903913729;0.101942026;0.1045121218;0.1050332128;0.1066061662;0.1044700083;0.1013081773;0.093613097;0.0900956662;0.0903554214;0.0991352276;0.1084402501;0.1088130074;0.1022933608;0.0900574567;0.0770203732;0.0737538938;0.0788456733;0.0856405481;0.0902118749;0.0883111278;0.0866359109;0.087666132;0.0951388444;0.0936647718;0.0853695826;0.0785577877;0.0792382627;0.0849228108;0.0869030294;0.0879110581;0.0861832266;0.0825257228;0.079524505;0.0755891766;0.0699590257;0.0712666422;0.0750946388;0.079223351
US California;39512223;403466;0.3294008151;0.0701583483;0.0900668943;0.0264445591;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1856834996;0.2148128099;0.2316774615;0.2164547149;0.1979867303;0.1787846798;0.1593100564;0.1774632947;0.2229052747;0.2892126489;0.3294008151;0.3270536495;0.3007230776;0.2411110557;0.2125444722;0.185706205;0.1906228294;0.2059375683;0.2224624703;0.2438592846;0.237183379;0.2217115174;0.1907628234;0.1659895752;0.1518099793;0.14448666;0.1481709503;0.1424324038;0.1347029614;0.1190350432;0.1081968457;0.1035634782;0.0975008249;0.095228618;0.0855098245;0.0790557922;0.0702065131;0.0701583483;0.0786320226;0.0890523798;0.0985825164;0.0952134862;0.093480411;0.0916825025;0.1004196135;0.11000495;0.112960088;0.1099630658;0.094014983;0.0814360111;0.0731685856;0.0745671919;0.07858594;0.0848926616;0.0857550435;0.078715825;0.075776141;0.0730132047;0.0773675213;0.0845092119;0.0912295422;0.090548205;0.0886641049;0.0826960274;0.0767757858;0.0747849409;0.0742835967;0.0770379571;0.0797591971;0.079530894;0.0767540432;0.0765012234;0.0758742339;0.078975271;0.0841709676;0.0888257783;0.0877727422;0.083478596;0.0809581131;0.081194687;0.0831424996;0.0858390971;0.0897116292;0.0926186613;0.093121361;0.0903549354;0.084205231;0.078148576;0.0758925788;0.079119274;0.081565388;0.080956115;0.0775883963;0.0743366874;0.0733480828;0.0770290419;0.0833214587;0.0862036732;0.0848170771;0.0796928243;0.0763707674;0.0794984086;0.0874069525;0.0937414751;0.0962722034;0.0944729818;0.0946761313;0.0987309025;0.1023175761;0.1024166402;0.0981859939;0.0916894129;0.0849176051;0.0852935879;0.0911591862;0.0977395907;0.1007062364;0.0972062882;0.0903745713;0.0861537302;0.0897208627;0.0923731263;0.092132832;0.0900668943
US Colorado;5758736;268431;0.4548179772;0.0478929325;0.0920031018;0.018747361;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4548179772;0.3192021086;0.2259640445;0.1660240222;0.1585145131;0.1875073638;0.2333186359;0.2685496167;0.2795819167;0.2779871019;0.2603074709;0.2574850436;0.2569835571;0.254355522;0.2538712269;0.2286537409;0.197509389;0.159217586;0.1275570692;0.1172844818;0.1161596372;0.1218643296;0.1160266434;0.1015292814;0.0849251602;0.0830035727;0.087160104;0.0945942001;0.1057947181;0.095329811;0.0867751958;0.0743035811;0.0702014814;0.0733495559;0.0752637551;0.085879965;0.0845612815;0.0808580687;0.0775494234;0.0870180212;0.0908593894;0.1017965279;0.12408895;0.1221625841;0.1117898046;0.1006246099;0.0864251074;0.0765604258;0.0709335644;0.0698866524;0.0665399618;0.0670770813;0.0630601917;0.0661327078;0.0786148157;0.0882351395;0.0895782039;0.0811273788;0.0728590368;0.0486622391;0.0478929325;0.0491029456;0.0614409089;0.0714826828;0.0715282257;0.0698989637;0.0665865011;0.0731972742;0.0694707039;0.0829843018;0.0848836834;0.0778098089;0.0695360992;0.0595010106;0.0570573508;0.0614784209;0.0750783307;0.0885663599;0.091731609;0.0855994738;0.0729438634;0.0645721641;0.0622129913;0.068252205;0.0681601966;0.061799542;0.0563734271;0.0503488763;0.0489325842;0.0512904735;0.0569844852;0.0598665269;0.0609521736;0.0608883845;0.0627659807;0.0686398601;0.0769188996;0.0876354884;0.0895329347;0.0871743512;0.0795122372;0.0743880322;0.0740713597;0.0818436353;0.0902164587;0.0911888525;0.0884686721;0.0811202689;0.0754984933;0.0738261287;0.0789519528;0.0805333095;0.0799975011;0.0743669223;0.0678649365;0.0695129545;0.0800649552;0.0920031018
US Connecticut;3565287;12542;0.5922352905;0.0425506845;0.0684771315;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5922352905;0.5578669319;0.4778605392;0.4360097168;0.3758993876;0.4075619195;0.4234237582;0.4003488568;0.3368026398;0.2722348452;0.2582031023;0.2528794387;0.2434570622;0.2148485443;0.194055817;0.1684553421;0.1501042698;0.150786886;0.1460147614;0.1528139711;0.1508047768;0.1480294897;0.1378421872;0.1171653882;0.108989416;0.1013566138;0.0955999355;0.0918181036;0.0914082838;0.0875508358;0.076428958;0.0789643114;0.0813089749;0.0962938991;0.1101513647;0.11155569;0.1040646597;0.0796694067;0.0726437612;0.0581260997;0.0545027305;0.0537864148;0.0582057369;0.0618867593;0.0625237406;0.0662015629;0.0577404035;0.0629857905;0.0647119843;0.0727544434;0.0775827287;0.0792341455;0.076154471;0.0708645392;0.0626342419;0.0644398987;0.073300638;0.0757770377;0.0789961454;0.0824206089;0.0851875704;0.0801190968;0.0756096837;0.0674722168;0.0602232433;0.0569897622;0.0571599762;0.0591753936;0.0611320712;0.0563413004;0.0487028223;0.0431112001;0.0447081621;0.0519185167;0.0621452002;0.0723940921;0.0700635767;0.0628087652;0.0581459896;0.0589765333;0.0675310908;0.0719555447;0.0579934098;0.0505574795;0.046644743;0.0542310956;0.0630040705;0.0788963615;0.0774659195;0.0673302218;0.0551936557;0.0443757246;0.0460500256;0.0475883852;0.0512627095;0.0492534697;0.0471734731;0.0425506845;0.0436383171;0.0569458603;0.0672639984;0.0792510341;0.087470092;0.0873195093;0.0809717664;0.0769206601;0.0760663972;0.0710871618;0.0657909621;0.0712215825;0.0666729537;0.0648680607;0.0638288398;0.0684771315
