Country/Region;Population;Area;Maximum;Per 100,000 inh.;Blank 1;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11
American Samoa;55191;200;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Northern Mariana Islands;57559;460;31;53.857780712;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;8;8.5;9;9.5;10;10.5;11;11.3333333333;11.6666666667;12;12.3333333333;12.6666666667;13;13.25;13.5;13.75;14;14.0555555556;14.1111111111;14.1666666667;14.2222222222;14.2777777778;14.3333333333;14.3888888889;14.4444444444;14.5;14.5555555556;14.6111111111;14.6666666667;14.7222222222;14.7777777778;14.8333333333;14.8888888889;14.9444444444;15;15.3333333333;15.6666666667;16;17.5;19;19.4;19.8;20.2;20.6;21;21.2;21.4;21.6;21.8;22;22.0833333333;22.1666666667;22.25;22.3333333333;22.4166666667;22.5;22.5833333333;22.6666666667;22.75;22.8333333333;22.9166666667;23;24.5;26;26.3333333333;26.6666666667;27;28;30;30.0416666667;30.0833333333;30.125;30.1666666667;30.2083333333;30.25;30.2916666667;30.3333333333;30.375;30.4166666667;30.4583333333;30.5;30.5416666667;30.5833333333;30.625;30.6666666667;30.7083333333;30.75;30.7916666667;30.8333333333;30.875;30.9166666667;30.9583333333;31;31;31;31;31;31;31;31;31
US;331002651;9147420;3245925;980.6341399967;;;;1;1;2;2;5;5.4;5.8;6.2;6.6;7;8;9.5;11;11.125;11.25;11.375;11.5;11.625;11.75;11.875;12;12.5;13;13.25;13.5;13.75;14;14.25;14.5;14.75;15;15.1666666667;15.3333333333;15.5;15.6666666667;15.8333333333;16;20;24;30;53;73;104;174;222;337;451;519;711;1109;1561;2157;2870;2968;4360;6141;8917;14157;19479;25825;33761;43850;54112;66055;84091;102276;122069;141205;162707;188724;214205;244610;276547;309699;337573;367215;397992;429686;464442;497943;527969;556522;581813;608878;637974;669272;701996;730337;756375;783716;809228;837422;871617;907908;940829;968518;990999;1015518;1042926;1072667;1106829;1136024;1161611;1184086;1208271;1233527;1261409;1288587;1314320;1334084;1352962;1374916;1396109;1423726;1449026;1474127;1493131;1514900;1535349;1558970;1584511;1608652;1630475;1651288;1670279;1689162;1707444;1730259;1754763;1778993;1799122;1816476;1837371;1857329;1878680;1903904;1926636;1944367;1961781;1979908;2000702;2023652;2048986;2074542;2094366;2114026;2137731;2163290;2191099;2222579;2255327;2281766;2312302;2347491;2382426;2422299;2467554;2510259;2549294;2590668;2636414;2687588;2742049;2795361;2841241;2891124;2936077;2996098;3054699;3117946;3184573;3245925
US Alabama;4903185;131171;51947;1059.4542119051;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;12;28;36;46;68;81;124;138;167;215;283;506;587;696;806;859;981;1077;1233;1432;1580;1796;1968;2119;2369;2769;2968;3191;3525;3734;3876;4113;4345;4530;4655;4837;5025;5231;5465;5778;5832;6137;6270;6499;6687;6842;7019;7158;7434;7725;8025;8285;8581;8898;9221;9567;9777;10009;10310;10617;10968;11216;11523;11771;12086;12376;12744;13119;13563;13938;14327;14730;15396;15843;16310;16823;17359;17903;18363;18642;18851;19072;19387;20043;20500;20925;21422;21989;22845;23710;24601;25615;26272;26912;27312;28206;29002;29549;30021;30454;31097;32064;33206;34183;35083;35441;37175;38045;38962;40111;41865;42862;43953;44878;45785;46962;49174;50508;51947
US Alaska;731545;1477953;1385;189.3253320028;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;6;9;12;14;22;29;36;42;59;69;85;102;114;119;133;143;157;171;185;191;213;226;235;246;257;272;277;285;293;300;309;314;319;321;329;335;337;339;340;341;345;351;355;359.5;364;365;368;370;371;372;374;377;378;379;381;383;385;387;388;392;396;399;400.5;402;403;404;408;408.5;409;411;412;425;430;434;450.5;467;487;505;513;524;536;544;563;573;593;611;625;654;661;664;676;696;708;722;743;755;761;778;792;816;836;854;883;904;940;978;1017;1063;1111;1138;1161;1184;1226;1272;1323;1385
US Arizona;7278717;294207;119930;1647.6804909437;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;5;5.3333333333;5.6666666667;6;9;10;11;12;15;18;20;28;44;65;104;152;265;357;450;577;736;873;919;1157;1289;1413;1598;1769;2019;2269;2456;2575;2726;3018;3112;3393;3539;3702;3806;3962;4234;4507;4719;4929;5064;5251;5459;5769;6045;6280;6526;6716;6948;7202;7648;7962;8364;8640;8919;9305;9707;9945;10526;10960;11119;11380;11736;12176;12674;13169;13631;13937;14170;14566;14897;15315;15608;16039;16339;16561;16783;17262;17763;18465;19255;19936;20123;21250;22233;22753;24332;25451;26889;27678;28296;29852;31264;32918;34458;35691;36705;39097;40924;43443;46689;49798;52390;54586;58179;59974;63030;66548;70051;73908;74533;79215;84092;87425;91858;94553;98089;101441;105094;108614;112671;116892;119930
US Arkansas;3017804;134771;26803;888.1623856288;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;12;16;22;27.5;33;46;96;118;165;174;218;280;335;381;404;426;473;523;584;643;704;743;830;875;946;1000;1119;1171;1226;1280;1410;1480;1569;1620;1695;1739;1781;1923;2227;2276;2465;2741;2829;2941;3017;3111;3192;3255;3321;3372;3431;3458;3496;3568;3611;3694;3747;3890.5;4034;4164;4200;4236;4463;4578;4759;4813;4923;5003;5458;5612;5767;5922;6029;6180;6277;6538;6775.5;7013;7253;7443;7755;8067;8359;8651;9101;9426;9740;10080;10368;10816;11547;12024;12501;12917;13191;13606;13928;14631;15142;15612.5;16083;16678;17375;18062;18401;18740;19310;20257;20777;21197;22075;22622;23209;23731;24253;24512;25282;26052;26803;26803
US California;39512223;403466;312344;790.4996891721;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;56.5;60;69;88;114;133;157;202;227;252;293;335;483;611;924;1063;1279;1536;1733;2102;2355;3006;3879;4643;5708;6447;7482;8155;9191;10701;12026;13438;14336;15865;16957;18309;19472;20615;21794;22348;23338;24424;26182;27528;28963;30333;30978;33261;35396;37369;39254;41137;42164;43464;45031;46500;48917;50442;52197;53616;54937;56212;58815;60614;62512;64561;66680;67939;69382;71141;73164;74936;76793;78839;80430;81795;84057;86197;88444;90631;92710;94558;96733;98980;101697;103886;106878;110583;113006;115310;117687;119807;122901;126016;128812;131319;133489;136191;139281;141983;145643;148855;151452;153560;157015;161099;165416;169309;173824;178054;183073;190222;195571;200461;206433;211243;216550;222917;232657;240195;248235;254745;260155;271684;277774;289468;296499;304297;312344
US Colorado;5758736;268431;36191;628.4538829354;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;8.5;9;12;28;45;72;101;131;145.5;160;183;216;277;363;475;591;720;912;1086;1430;1734;2061;2627;2796.5;2966;3342;3728;4173;4565;4950;5172;5429;5655;6510;6701.5;6893;7684;7691;7941;8280;8675;9047;9433;9730;10106;10447;10878;11262;12256;12968;13441;13879;14735;14758;15284;15768;16225;16635;16907;17364;17830;18801;18827;19703;19899;19879;20157;20475;20838;21232;21633;21938;22202;22482;22797;23191;23487;23964;24174;24269;24565;24767;25121;25613;26098;26378;26577;26788;27060;27360;27615;27848;28001;28183;28347;28499;28647;28822;29017;29130;29299;29442;29673;29901;30187;30349;30539;30705;30893;31155;31479;31796;32022;32307;32511;32715;33029;33352;33619;33866;34065;34257;34664;35116;35525;36191
US Connecticut;3565287;12542;47287;1326.3167874003;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;6;8.5;11;20;26;41;68;96;194;208.5;223;415;618;875;1012;1291;1642;1993;2571;3128;3557;3824;4914;5276;5675;6906;7781;8782.5;9784;10538;11510;12035;13381;13989;14755;15884;16809;17179.5;17550;19815;20360;22469;23100;23921;24582;25269;25790.5;26312;26767;27700;28764;29025.5;29287;29954;30621;30995;31784;32411;32984;33554;33765;34333;34855;35464;36085;36703;37419;38116;38430;39017;39208;39640;40022;40468;40873;41303;41288;41559;41762;42022;42201;42740;42979;43091;43239;43460;43818;43968;44092;44179;44347;44461;44689;44994;45088;45235;45349;45429;45440;45557;45715;45755;45782;45899;45913;45994;46059;46206;46303;46362;46514;46572;46646;46717;46803.3333333333;46889.6666666667;46976;47033;47108;47209;47287;47287
