Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11
American Samoa;55191;200;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Northern Mariana Islands;57559;460;2;3.4746955298;0.064516129;0.064516129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
US;331002651;9147420;134777;40.7178007768;0.0415219082;0.0466175093;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;7;11;12;14;17;21;22;28;33;43;52;58;70;97;131;188;265;362;456;601;784;1021;1333;1746;2300;2934;3561;4381;5605;6846;8432;9747;11031;12470;14138;16447;18563;20638;22731;24777;26548;28376;30780;33329;35442;38056;40442;41671;43466;45919;48312;50749;52867;54517;55810;57233;59454;61955;64256;66125;67681;68777;70086;72393;74851;76770;78497;79976;80855;81868;83480;85234;87008;88669;89892;90644;91414;92965;94528;95756;97025;98146;98754;99267;99952;101461;102643;103809;104773;105364;106136;107169;108159;109168;110138;110818;111269;111774;112714;113631;114512;115334;116084;116382;116773;117612;118363;119067;119739;120349;120604;121010;121847;122604;125026;125631;126120;126360;126711;127432;128105;128803;129442;129689;129960;130285;131480;132300;133290;134092;134777
US Alabama;4903185;131171;1114;22.7199259257;0.0214449343;0.0253452552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;3;3;4;6;13;26;32;35;43;45;50;56;66;74;80;91;93;99;110;121;133;144;146;154;167;177;194;197;197;212;216;222;242;245;269;279;288;290;296;313;340;349;375;388;393;401;429;449;467;476;485;488;489;504;517;529;537;546;551;562;575;581;590;605;618;631;646;651;653;653;676;689;692;718;729;744;755;769;773;773;774;785;790;810;822;838;839;841;864;891;896;907;919;919;929;950;972;985;1006;1007;1007;1007;1033;1058;1068;1104;1114
US Alaska;731545;1477953;17;2.3238488405;0.0122743682;0.0149384886;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;3;3;3;3;3;5;6;6;6;7;7;7;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;14;14;14;14;14;14;14;15;16;16;16;17;17;17;17;17
US Arizona;7278717;294207;2151;29.5519114152;0.0179354624;0.0219290644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1;2;2;5;6;8;13;15;17;20;24;29;32;41;52;64;65;73;80;89;97;108;115;122;131;142;150;169;177;184;187;208;229;249;266;266;275;275;293;304;320;330;348;362;362;395;426;450;517;532;536;542;562;594;624;651;679;680;686;704;747;763;775;799;800;806;807;831;857;885;903;906;917;941;981;996;1012;1042;1044;1047;1070;1095;1127;1144;1183;1186;1194;1219;1239;1271;1312;1338;1339;1342;1384;1463;1490;1535;1579;1588;1588;1632;1720;1757;1788;1805;1809;1810;1927;1963;2038;2082;2151
US Arkansas;3017804;134771;313;10.3717802747;0.0116777973;0.013189499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;2;3;3;5;6;7;8;10;12;12;14;16;16;16;18;21;23;24;27;30;30;33;37;37;38;40;42;43;42;45;45;47;49;50;52;59;61;64;73;76;81;83;85;87;88;88;88;94;95;95;97;98;98;98;100;102;107;110;113;113;116;117;119;120;120;125;133;133;133;133;142;142;152;154;154;155;161;165;171;176;176;179;182;182;197;208;214;224;224;227;237;240;240;240;249;259;265;270;277;279;281;286;286;292;292;301;309;313;313
US California;39512223;403466;6945;17.5768394504;0.0222350998;0.0266956238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;5;5;6;11;13;18;20;24;27;27;40;53;65;78;101;123;133;153;171;203;237;276;319;343;374;442;492;541;609;651;687;758;821;890;985;1072;1166;1208;1268;1354;1469;1562;1651;1710;1755;1809;1887;1982;2073;2171;2215;2254;2317;2412;2504;2585;2678;2745;2770;2847;2934;3032;3108;3204;3261;3302;3334;3436;3542;3630;3708;3774;3795;3814;3884;3973;4068;4156;4213;4251;4286;4361;4422;4485;4559;4626;4653;4697;4776;4881;4943;4989;5063;5089;5121;5208;5290;5360;5424;5495;5515;5580;5632;5733;5812;5872;5905;5936;5980;6090;6163;6263;6313;6331;6337;6448;6562;6711;6851;6945
US Colorado;5758736;268431;1586;27.5407658903;0.0438230499;0.0468316305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;3;4;5;6;7;11;19;24;31;44;51;51;69;80;97;111;126;140;150;179;193;250;250;274;304;308;329;357;374;391;411;422;449;486;508;552;674;672;680;706;760;766;777;820;832;842;851;903;921;961;960;967;981;987;1009;1062;1091;878;878;878;921;968;1001;1062;1088;1088;1088;1088;1114;1135;1168;1181;1181;1181;1185;1228;1254;1255;1274;1274;1274;1292;1312;1328;1339;1348;1348;1348;1373;1373;1402;1417;1429;1429;1429;1438;1455;1457;1475;1482;1482;1482;1508;1520;1520;1521;1521;1521;1521;1542;1542;1544;1581;1586
US Connecticut;3565287;12542;4348;121.953716489;0.0919491615;0.0927283197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;4;5;10;12;19;21;27;27;34;36;69;85;112;131;165;189;206;277;277;380;448;494;554;602;671;868;971;1036;1036;1086;1331;1423;1544;1639;1764;1862;1924;1998;2089;2168;2257;2339;2339;2436;2495;2633;2718;2797;2874;2932;2967;3008;3041;3125;3219;3285;3339;3408;3449;3472;3529;3582;3637;3675;3693;3742;3769;3803;3826;3868;3912;3944;3964;3972;3989;4007;4038;4055;4071;4084;4097;4120;4146;4159;4186;4201;4204;4210;4219;4226;4238;4251;4260;4263;4277;4287;4298;4307;4311;4316;4320;4322;4324;4326;4335;4335;4335;4338;4338;4343;4348;4348;4348
