Country/Region;Population;Area;% Max;% Min;% Latest;% Last Day;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08
American Samoa;55191;200;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Northern Mariana Islands;57559;460;0.0548878292;0.001350442;0.0092754879;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0339463079;0.0303189487;0.0281966153;0.0268733845;0.0250821192;0.0228532391;0.020728143;0.0180628528;0.0148644376;0.0111296851;0.0074911602;0.0051101969;0.0039293488;0.0039139691;0.0038987094;0.0038835682;0.0038685442;0.0038536359;0.0038388422;0.0038241616;0.0038095928;0.0037951346;0.0037807858;0.003766545;0.0037524111;0.0052837892;0.0083224928;0.0128113943;0.0233340714;0.0376921944;0.0499376127;0.0548878292;0.0484046049;0.0365215366;0.0254020156;0.0191994128;0.0172265049;0.014531652;0.0119210558;0.0101933986;0.0088570008;0.0078890192;0.0064950883;0.0051210778;0.0042106194;0.0037524111;0.0037383829;0.0037244592;0.0037106389;0.0036969207;0.0036833036;0.0036697864;0.0087687907;0.0186996826;0.0291170557;0.0353533599;0.0324133959;0.0266900961;0.0255747331;0.0274608698;0.0302409843;0.025299145;0.0154471994;0.0069086714;0.0013840864;0.0013821733;0.0013802655;0.001378363;0.0013764657;0.0013745737;0.0013726868;0.0013708051;0.0013689286;0.0013670572;0.0013651909;0.0013633297;0.0013614735;0.0013596224;0.0013577764;0.0013559353;0.0013540992;0.0013522681;0.001350442;0.0018342863;0.0027997362;0.0042406933;0.0056716202;0.0066044283;0.0070426886;0.006993433;0.0069448617;0.0068969604;0.0088214546;0.0126447358;0.0182648054;0.0225320416;0.0235170296;0.0207887869;0.0156979085;0.0114304273;0.0084538373;0.0072569649;0.0066448838;0.0066010184;0.0065577284;0.0081241443;0.0101917159;0.0127414221;0.0142103483;0.0140330474;0.0143332339;0.0150872155;0.0178111517;0.0204485297;0.0207546311;0.0188406693;0.0148188514;0.0112291911;0.0092754879
US;331002651;9147420;0.4757705831;0.009784518;0.0116387225;0.0113672167;;;;;;;;;;;;;;;;;;;;0.0110514014;0.010930585;0.0108123821;0.013318512;0.0183082513;0.023948576;0.0277691203;0.0272189091;0.0241136891;0.0203387863;0.0183562813;0.01802527;0.0177059896;0.0169264823;0.0157078744;0.0140681527;0.0124764245;0.0113991509;0.0108123821;0.0302979287;0.0657971986;0.1201687828;0.225102827;0.317130677;0.3992462331;0.4757705831;0.4702681748;0.4722950233;0.4475993667;0.3891275282;0.354095913;0.3365387719;0.352636023;0.3862783087;0.4070076841;0.3597124107;0.3178544859;0.2924522696;0.31027582;0.3826009649;0.429235497;0.4495200066;0.4205121236;0.371723114;0.3264254848;0.2887366036;0.267794023;0.2498672011;0.2370175531;0.2218404003;0.2017186145;0.1819517159;0.1637052538;0.1536651815;0.1462457509;0.1395933435;0.1304789029;0.1187811462;0.1066159469;0.095092524;0.087499309;0.0823151185;0.0782020149;0.0727515412;0.065645725;0.0584518749;0.0524735222;0.0489976161;0.0478991854;0.0472522694;0.0459560063;0.0433284038;0.0398760961;0.0370129207;0.0356961635;0.0361480124;0.0373294281;0.0376110755;0.0359350561;0.0325799885;0.0289687666;0.0267671369;0.0266857243;0.02746131;0.0279065621;0.0268807016;0.0247761308;0.0226230169;0.0212505669;0.0209996727;0.0211505604;0.0207928725;0.0195477539;0.0179259299;0.0164064281;0.0159950712;0.0163095589;0.017077837;0.0172524885;0.0166914153;0.015703052;0.0147681436;0.0145521602;0.014739583;0.0150768126;0.0149045686;0.0142790226;0.013325167;0.0123753956;0.0118742371;0.0119226863;0.0124150329;0.0128838495;0.0128173802;0.0123132898;0.0115267412;0.0110784792;0.0111698111;0.0115467272;0.01175456;0.0114381268;0.0107366781;0.0100576437;0.009784518;0.0101546842;0.0109106058;0.0113938377;0.0114059372;0.0110440545;0.0107201115;0.0108478836;0.0114998153;0.0124839692;0.0131680297;0.0134829946;0.0135795833;0.0137062405;0.0142119365;0.0150899602;0.0161206728;0.0168054068;0.0169894065;0.0169149634;0.0169477265;0.017419359;0.0182569094;0.018805438;0.0188262043;0.018169354;0.0177094306;0.0176739036;0.0182845172;0.0193302912;0.0199729094;0.0202338144;0.0197553502;0.0192656436;0.0189581118;0.0192107926;0.0197726161;0.0200464499;0.019751532;0.0188012791;0.0178063043;0.0171292301;0.0169836534;0.0172634311;0.0174231984;0.0171018571;0.0162896072;0.0152993054;0.0147396139;0.0146977957;0.0150255703;0.0151272491;0.014544488;0.0133630148;0.0121736046;0.0113354327;0.0111416771;0.0113554092;0.0116387225
US Alabama;4903185;131171;0.3766935056;0.0136425103;0.0136425103;0.0008748639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3766935056;0.3288481579;0.3004435599;0.2778862085;0.2492942744;0.308006488;0.3382593472;0.3619204755;0.3313100138;0.2383419023;0.1775865902;0.1300080104;0.1203335986;0.1220234897;0.1254390076;0.1330706952;0.1288458528;0.1197569491;0.1105073998;0.1084042083;0.1097752563;0.109912732;0.1066819197;0.0954430185;0.082607186;0.0704617309;0.0623369587;0.0558603888;0.0499095687;0.0457859418;0.0415814415;0.0382652603;0.0382348266;0.0411115744;0.0414081183;0.041327516;0.0378395432;0.0350233511;0.033173388;0.0306902276;0.0302488382;0.0268407593;0.0266096126;0.0274236482;0.0306345631;0.0340892397;0.0359573365;0.0365598174;0.0359307469;0.0359863232;0.0350181626;0.0331414859;0.0303846476;0.0281369942;0.0279502453;0.0281551315;0.0287333772;0.0277090952;0.0262633167;0.0251898611;0.0249984772;0.0259835362;0.027439415;0.0289846739;0.0297066782;0.0297406487;0.0304563254;0.031409873;0.0325677867;0.0330975693;0.0323581115;0.0317201273;0.0305201294;0.0289945586;0.0255617494;0.0208425901;0.0167537335;0.0159767561;0.0177558598;0.0209990142;0.023324886;0.0240492305;0.0254045351;0.027614185;0.0315297165;0.0353466629;0.0365542175;0.035470702;0.0313134778;0.0275950959;0.025277781;0.0243442996;0.0241900158;0.0222762037;0.0202363732;0.0192019101;0.0213109117;0.0252148674;0.0285149962;0.028389346;0.02818398;0.0270561218;0.0274202194;0.0283997981;0.0294085661;0.0305950518;0.0303347598;0.0297570191;0.0271490643;0.0246785202;0.0247876963;0.0272482304;0.0301996483;0.0318962733;0.0321624741;0.0320809768;0.0318167088;0.0326048177;0.0327587772;0.0329340593;0.0325175649;0.0318769903;0.030018743;0.0274248523;0.0259122412;0.0250155702;0.0257583813;0.0255012406;0.0246701012;0.0225818403;0.0200957918;0.0192310594;0.0190750573;0.0200451504;0.0208284349;0.0207272712;0.0193886073;0.0168637421;0.0149598461;0.0143987311;0.0136425103
US Alaska;731545;1477953;0.2997799472;0.0034797374;0.0142926386;0.0198227612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2997799472;0.2716977157;0.250878384;0.2436954541;0.217479009;0.1848107103;0.1449206026;0.1145236346;0.095167003;0.0889151121;0.0880755963;0.0847947075;0.0799579594;0.0754244613;0.0706206922;0.0662474901;0.0579990233;0.0531501362;0.0457281195;0.042165421;0.0374745172;0.0316875825;0.0285321558;0.0256729749;0.0245217839;0.020971137;0.0180739144;0.0163859018;0.0153032905;0.0146136371;0.0119113863;0.0087672757;0.0061861171;0.0063681885;0.0085031337;0.0109701216;0.0125540082;0.0121908784;0.0107668219;0.0086848886;0.0069962405;0.0055801289;0.004527051;0.0045025902;0.0044783924;0.0046839689;0.004667312;0.0044229297;0.0043995783;0.0045978224;0.0047983929;0.0052085095;0.0058236043;0.0068555856;0.0075645938;0.0073101957;0.0062131141;0.0046016693;0.0040530838;0.0039301616;0.0041220989;0.0040080964;0.0034797374;0.0055859584;0.0083604997;0.0120907115;0.0163363779;0.0201178953;0.026091954;0.0314557319;0.0344130178;0.0335157062;0.0287308049;0.0239700826;0.0221750258;0.021659616;0.0239212769;0.0259371729;0.0271740416;0.029883572;0.0292045184;0.0272817945;0.0227237604;0.0187766731;0.0175725929;0.0180740471;0.0208293768;0.0218656491;0.0208530343;0.0191955959;0.0177020206;0.0181912633;0.019873348;0.0223436722;0.0250012102;0.0257097658;0.0277701121;0.0301346267;0.0334562114;0.0373307928;0.0400648436;0.0408384557;0.0382132528;0.0330682121;0.028527153;0.0268295636;0.028858535;0.033909199;0.0405867165;0.045721953;0.0473078687;0.0451527663;0.057787703;0.0687261511;0.0807690181;0.0823342154;0.069173999;0.0586941744;0.0477320026;0.0468893313;0.0412135561;0.0356079888;0.0363405564;0.0405205144;0.0465484615;0.0476320108;0.0438578487;0.0386258512;0.0345379531;0.0353395958;0.0349344115;0.0333011825;0.028351888;0.0219633606;0.0168133017;0.0142926386
US Arizona;7278717;294207;0.5426324901;0.0073658848;0.007500584;0.0056956656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.189207115;0.2473865521;0.3209215131;0.4158783252;0.4850472579;0.5426324901;0.5417185518;0.4977998939;0.440979374;0.3562933964;0.2963650061;0.2392118881;0.2081884248;0.1753932411;0.1526730923;0.1420177301;0.1283355747;0.1247870826;0.1192979253;0.1190829435;0.1116645097;0.0954860727;0.0825635186;0.0704835836;0.0687170328;0.0667268538;0.0633013932;0.0568216133;0.0476046281;0.0455305556;0.0454479384;0.0506309165;0.0539902998;0.0522150843;0.0466420054;0.0404571384;0.0387361472;0.0409359656;0.0437798569;0.0455580238;0.0432739506;0.0397816206;0.0362777041;0.0369804379;0.0397041168;0.0438811264;0.0458693619;0.0442804626;0.041721983;0.0389304997;0.037770091;0.0387267083;0.0400324262;0.0394400107;0.0367877273;0.0320362915;0.0293889879;0.0292187308;0.032456905;0.0362396388;0.0365212095;0.0334849965;0.0292908724;0.0253590863;0.0239268047;0.0236013796;0.0242320278;0.024058741;0.0224629968;0.0204416628;0.0188584619;0.0193435268;0.0224789521;0.0279879666;0.0331434448;0.0344037741;0.0346963299;0.034747861;0.035290901;0.0397338966;0.0429352409;0.047815158;0.0483912767;0.045631498;0.0429567937;0.0391775465;0.0411763736;0.0445352549;0.0468276633;0.0455594791;0.0434957215;0.0429863746;0.0461770219;0.052365328;0.0584389376;0.0627105729;0.0615328151;0.0595188908;0.0540710649;0.050321993;0.0486090051;0.0485351074;0.05067654;0.0479233643;0.0468577739;0.0447570639;0.0446860746;0.0478153398;0.0472560076;0.0458017004;0.0406748014;0.0370444987;0.0357533527;0.0349276359;0.0355439525;0.034948147;0.0333132467;0.0292129906;0.0257569383;0.0233354114;0.0233653545;0.0251587816;0.0257103047;0.025210788;0.0221005025;0.0198001824;0.0176692124;0.0166009055;0.0168799866;0.0176943583;0.018535034;0.018102303;0.0169196039;0.0149750077;0.0136455383;0.0137101162;0.0149309296;0.0154240303;0.0145130217;0.0121472356;0.0096312402;0.0078747045;0.0073658848;0.007500584
US Arkansas;3017804;134771;0.4640176595;0.0133370851;0.0168322742;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3677823999;0.4115069211;0.4640176595;0.4392679287;0.3356857315;0.2679408129;0.2175910521;0.2150265965;0.1908051573;0.1586271939;0.1183425618;0.0931004284;0.089832528;0.0964112331;0.1033402574;0.1010617413;0.0956617132;0.0875352467;0.0824475542;0.0778645783;0.0771268753;0.0767034909;0.0731484056;0.0684953486;0.0631708266;0.06104802;0.0611997805;0.0615307057;0.0567767334;0.0492398958;0.039930247;0.0390910762;0.0497552788;0.0618822733;0.0751361318;0.0827915113;0.0788585042;0.0727782685;0.0597004557;0.0492655751;0.0377852835;0.0294294986;0.0268127581;0.0233968919;0.0209020033;0.0179012914;0.0154305199;0.0141229947;0.0133370851;0.0145884759;0.0156839597;0.0187022759;0.0225621131;0.0268470427;0.0291476553;0.0268825775;0.0253150734;0.0237216432;0.0271452535;0.029429178;0.0295929123;0.0264599665;0.0275371824;0.0323694068;0.0381536209;0.0408803187;0.035944184;0.0305787975;0.0236336621;0.0236276842;0.0254339827;0.0289877667;0.0329003794;0.0339514109;0.0346597208;0.0343323623;0.0353790905;0.036713945;0.0384771708;0.039629536;0.0398037167;0.0391966162;0.0369378067;0.0356351017;0.037337048;0.0413145896;0.0455239127;0.0461130605;0.0421550079;0.0366623734;0.0307959835;0.0301447806;0.0314559974;0.0339353243;0.0355788051;0.0349368522;0.03493858;0.0351693496;0.0354372936;0.033567375;0.0301026146;0.0284649337;0.0289310998;0.030412278;0.032072434;0.0310537205;0.0299556245;0.0282324841;0.0267890655;0.0241581923;0.0218798361;0.0218570732;0.0235400946;0.0263358622;0.0281860181;0.0285661839;0.0273402177;0.0255141611;0.0244327651;0.023545392;0.0221844795;0.0203694273;0.0198715241;0.0206606622;0.0224000603;0.024290424;0.024787508;0.0246139781;0.0232095283;0.0224212931;0.0211508323;0.0199269157;0.0194169258;0.019327915;0.0188911524;0.0181037825;0.0173357387;0.0167896283;0.016885054;0.0171743595;0.0179402683;0.0168322742
US California;39512223;403466;0.3108081068;0.0111183577;0.0112586216;0.0136901578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1856834996;0.2148128099;0.227089789;0.2126405349;0.1940584222;0.1757337467;0.156456742;0.1734216876;0.2035697926;0.2715281092;0.3108081068;0.3094096293;0.2834941513;0.2252503169;0.1990961302;0.1733257913;0.1778131782;0.193886053;0.2103882634;0.2313416304;0.22485882;0.2073989455;0.1764702317;0.1493021236;0.1367297057;0.1291200844;0.1312346071;0.1252145358;0.1168557742;0.1025033733;0.0904329199;0.0829326888;0.0755412649;0.0702875814;0.060841763;0.0537110567;0.0467650574;0.0455297722;0.0480652806;0.0520761025;0.0549088984;0.0511505855;0.0488916518;0.0477605849;0.0512188668;0.0554368452;0.0563523574;0.0531246478;0.0456750502;0.0392305609;0.0347369827;0.0346563589;0.0356987873;0.0377875376;0.0372395307;0.0343293673;0.0309389136;0.0290724516;0.0296698458;0.0314422071;0.0330998714;0.0332915386;0.0319412115;0.0290238241;0.0265927122;0.0247841898;0.0242807518;0.0246744572;0.0255173991;0.0252080204;0.0240063413;0.0229730288;0.0225192353;0.0231557452;0.0242117722;0.0249394349;0.0247088837;0.0236033523;0.022770185;0.0227806917;0.0231693911;0.0241627766;0.025752656;0.0266989851;0.0270658435;0.0258196443;0.0236224746;0.0219100372;0.0213104598;0.0221746734;0.0228331409;0.0222911473;0.0211992115;0.0200592332;0.0196808203;0.0205023984;0.0214227192;0.0218827511;0.0211269419;0.0199608916;0.0195749305;0.0204325751;0.0223503133;0.0242745034;0.025269196;0.0255873249;0.0268919791;0.0284171094;0.0298478368;0.0301594588;0.0289980155;0.0286558279;0.0297630203;0.0322873192;0.0343031361;0.0335921887;0.0321464564;0.0305418488;0.0296284635;0.0291450711;0.0290366459;0.0286004343;0.0286796219;0.0286933672;0.0281477648;0.0273841608;0.0259866453;0.0263620781;0.0263731627;0.0268683289;0.0270698955;0.026764331;0.0257299042;0.0241192143;0.0237758544;0.0243450991;0.0256812602;0.0264099748;0.0256392811;0.0232965296;0.0202163889;0.0178961588;0.0169795349;0.0169909436;0.0173695192;0.0174491502;0.0165455379;0.0149750388;0.0132271498;0.0116470134;0.0111183577;0.0112586216
US Colorado;5758736;268431;0.4516920804;0.0054886819;0.0092550558;0.0092442754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4516920804;0.3172070954;0.2234944921;0.1644867627;0.1567977494;0.1833749701;0.2291434603;0.2644600286;0.2749222181;0.2694524102;0.2495212497;0.2445207617;0.24201508;0.2381883345;0.2398102206;0.21557146;0.1853232062;0.1489270418;0.1180792505;0.1070821653;0.104072928;0.1073144672;0.0998744425;0.0844737086;0.0686159252;0.0647708371;0.0646075978;0.0663106303;0.0696257014;0.0606672422;0.0543642613;0.0443129328;0.0400330523;0.0395164956;0.0388406615;0.0421897464;0.0412849162;0.038838498;0.0372348445;0.0367172471;0.0411780743;0.0476876856;0.0531493256;0.0544666093;0.0515439384;0.0441690082;0.0373713383;0.0326333474;0.02969373;0.0290091575;0.0267663264;0.0267203508;0.0245874623;0.0265185088;0.0274381449;0.0301610752;0.0290716137;0.0244863561;0.0195982387;0.0135874003;0.0127650133;0.0126365154;0.0153595172;0.0172792719;0.0170589116;0.0159124142;0.0145078366;0.0138560663;0.0137835177;0.0147553042;0.0150110758;0.0140749541;0.0124777173;0.0103112342;0.0097279819;0.0105156351;0.0128448443;0.0149076745;0.0151004925;0.013759569;0.0114914889;0.0098392307;0.0092998453;0.0095192317;0.0093157056;0.0085825997;0.0075212298;0.0065932842;0.0060228398;0.0057106075;0.0057324228;0.0056557735;0.0056627126;0.0054886819;0.005527163;0.0058330452;0.0065536625;0.0072218642;0.0074407999;0.0071601926;0.0065528811;0.0063416663;0.0066638105;0.0076551444;0.0084660689;0.0089673131;0.0087404686;0.0081157463;0.0076712266;0.0076389413;0.0080598204;0.008363422;0.0082803813;0.007710871;0.0073828374;0.0078408934;0.0091187279;0.0111727676;0.0126738233;0.0133273231;0.0126742433;0.01152104;0.0108464698;0.0109232319;0.0121453319;0.013186761;0.0134145041;0.0126940826;0.0117134249;0.0113960508;0.0119352152;0.0132134195;0.0146934594;0.0154155116;0.0148933176;0.0139257979;0.0125295228;0.0116351036;0.0113345818;0.011110628;0.0110857149;0.0101086608;0.0093574932;0.0089155594;0.0087461584;0.0092550558
US Connecticut;3565287;12542;0.5830770128;0.0012215362;0.0012215362;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5830770128;0.5471644488;0.4671461773;0.4255034586;0.3686003704;0.3987120035;0.4146372968;0.3919759527;0.3312644722;0.267590598;0.2545876563;0.2473012158;0.2376392803;0.2085559091;0.1863946797;0.1617982271;0.1442058994;0.141725699;0.1344176502;0.1375891234;0.1352064086;0.1298945427;0.1181778196;0.097762761;0.088048396;0.0786928431;0.0725535803;0.0697133171;0.0646856765;0.0606630795;0.0517147508;0.0514433659;0.0502350489;0.0586553229;0.063496778;0.0624116801;0.0553385905;0.0417248379;0.034953675;0.0272228613;0.024458729;0.0229436923;0.0241916835;0.025257465;0.0250568902;0.0224082809;0.0193486261;0.0173259187;0.0176805585;0.0190578885;0.0197626148;0.0195641323;0.0179858975;0.0165556307;0.0145340912;0.0141075844;0.0148713862;0.0158509715;0.0171676596;0.0176492027;0.0173101675;0.0164727015;0.0143166265;0.0123046583;0.0105904549;0.0097367603;0.009940379;0.0099860178;0.0095248647;0.0082629569;0.0066205144;0.0054568672;0.0050660987;0.005617015;0.0065775964;0.0068444346;0.0065317486;0.0055206968;0.005037249;0.0046947295;0.0049302046;0.0046842198;0.0040003121;0.0032999214;0.0030550955;0.0035821402;0.0040341721;0.0043516397;0.0040484736;0.0034651447;0.0026734427;0.0020426256;0.0019109023;0.0018586044;0.0018923153;0.001845704;0.0016089922;0.0014182328;0.0012979981;0.0014937104;0.0017650208;0.0019264897;0.0021907954;0.0021430516;0.0020934689;0.0019099678;0.001768797;0.0017202134;0.0016722243;0.0017172044;0.0016913089;0.0016694845;0.0016575764;0.0016966632;0.0017087328;0.0016883265;0.0015353763;0.0014396522;0.0014607191;0.0017032195;0.0019495958;0.0020351174;0.0018960672;0.0015197837;0.0013622116;0.0012317238;0.0021251162;0.0029370464;0.0037211947;0.0037679701;0.0029869827;0.0029810964;0.0029757381;0.0038585708;0.0040575918;0.0035079213;0.0027652192;0.0018903518;0.0017077657;0.0014964838;0.0014242491;0.0012215362
