Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08
American Samoa;55191;200;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Northern Mariana Islands;57559;460;4;6.9493910596;0.0833333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
US;331002651;9147420;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
US Alabama;4903185;131171;11537;235.2960371677;0.1172614268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;212;231;240;271;314;333;368;402;437;457;493;525;553;594;620;641;641;699;730;768;768;839;845;872;911;945;978;1008;1023;1035;1064;1107;1158;1178;1207;1228;1240;1256;1287;1317;1350;1377;1387;1392;1416;1453;1493;1528;1561;1589;1612;1629;1671;1719;1765;1800;1826;1844;1856;1879;1900;1929;1949;1993;2022;2054;2087;2129;2165;2202;2241;2255;2259;2315;2352;2373;2416;2443;2460;2471;2521;2567;2612;2653;2697;2703;2725;2769;2803;2835;2883;2906;2909;2914;2961;3006;3039;3089;6745;6745;6745;7123;7291;7584;7584;7782;7782;8368;8538;8538;8995;9157;9157;9157;9694;9893;9893;10070;10521;10521;10521;10865;11100;11100;11313;11537;11537
US Alaska;731545;1477953;48;6.5614555496;0.0109764464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;1;3;3;5;6;7;7;9;9;15;16;20;23;23;27;27;28;31;31;32;32;34;35;36;36;36;36;36;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Arizona;7278717;294207;19244;264.3872539625;0.1034028811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;5;6;6;6;8;8;11;16;22;26;36;42;55;67;85;108;128;145;189;219;264;303;343;386;427;478;534;582;616;667;711;760;819;853;906;950;995;1037;1074;1122;1171;1213;1258;1289;1341;1387;1454;1484;1528;1572;1626;1672;1716;1772;1824;1884;1937;1986;2033;2089;2135;2192;2244;2292;2350;2386;2421;2462;2504;2543;2595;2636;2673;2703;2757;2800;2836;2885;2943;2984;3026;3077;3122;3172;3223;3281;3334;3379;3445;3520;3589;3642;3712;3777;3847;3911;3959;4000;4041;4079;4115;4148;4182;4209;4224;4241;4246;4252;4255;4255;4255;4313;4406;4514;4595;4617;4634;4736;4837;4916;5018;5068;5161;5188;5272;5387;5526;5659;5750;5795;5839;5942;6103;6296;6402;6567;6632;6698;6894;7047;7236;7461;7627;7706;7751;9394;10060;11172;11260;11346;11371;11400;13294;13559;14068;19241;19244
US Arkansas;3017804;134771;3223;106.7995138187;0.0670913216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;100;105;106;130;137;148;130;130;130;130;130;130;130;130;;;291;291;291;291;291;291;291;291;291;;;389;402;414;414;427;438;453;453;462;466;471;471;480;485;497;509;520;520;520;530;535;535;535;584;590;598;605;617;627;640;667;702;711;711;718;731;757;792;838;844;844;865;901;925;961;979;998;1003;1026;1052;1074;1100;1100;1152;1164;1188;1214;1245;1300;1337;1373;1380;1413;1448;1477;1517;1536;1536;1575;1604;1655;1705;1743;1780;1822;1836;1872;1948;1994;2070;2135;2177;2202;2257;2317;2361;2361;2361;2542;2624;2686;2747;2747;2852;2852;2894;2966;3054;3118;3118;3168;3223
US California;39512223;403466;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US Colorado;5758736;268431;6582;114.2959149369;0.1319223138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;49;58;72;84;148;184;239;274;414;414;509;620;710;823;875;924;994;1079;1162;1312;1312;1376;1472;1493;1556;1636;1693;1755;1797;1813;1880;2003;2123;2237;2366;2410;2438;2485;2610;2621;2697;2747;2793;2799;2838;2919;2986;3557;3600;3623;3689;3663;3695;3735;3789;3842;3866;3872;3899;3955;3990;4037;4082;4105;4119;4128;4160;4196;4254;4307;4333;4347;4372;4419;4443;4460;4472;4480;4485;4859;5025;5035;5057;5234;5244;5244;5269;5272;5294;5308;5318;5323;5327;5343;5366;5375;5386;5392;5399;5401;5442;5489;5513;5527;5537;5550;5565;5591;5741;5820;5831;5864;5885;5895;5941;5963;5950;5966;5994;6019;6032;6057;6110;6133;6149;6227;6261;6268;6271;6319;6398;6413;6441;6465;6474;6487;6516;6536;6572;6582
US Connecticut;3565287;12542;13793;386.8692758816;0.2741057234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7758;7758;7758;7758;7758;7758;9389;9389;9389;9389;9389;9389;9389;10946;10946;10946;10946;10946;10946;10946;10946;12538;12538;12538;12538;12538;12538;12538;12538;12538;12538;13793;13793;13793;9669;9669;9669;9669;9669;9669;9669;9912;9912;9912;9912;9912;9912;9912;10099;10099;10099;10099;10099;10099;10099;10268;10268;10268;10268;10268;10268;10268;10411;10411;10411;10411;10411;10411;10411;10552;10552;10552;10552;10552;10552;10552;10654;10654;10654;10654;10654;10654;10654;10712;10712;10712;10712;10712;10712;10712;10807;10807;10807;10807;10807;10807;10807;10920;10920;10920
