Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08
American Samoa;55191;200;1396;2529.3979090794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;57;57;57;83;83;83;83;83;83;83;105;105;105;105;105;105;105;105;124;124;124;124;124;124;124;124;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;174;696;696;696;696;696;696;696;696;696;696;696;696;696;816;816;816;816;816;816;816;816;1037;1037;1037;1037;1037;1037;1037;1037;1037;1037;1037;1037;1037;1037;1037;1037;1267;1267;1267;1267;1396;1396;1396;1396
Northern Mariana Islands;57559;460;12745;22142.4972636773;265.5208333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;21;21;21;21;21;23;38;38;38;38;38;38;40;40;40;55;56;56;65;65;65;65;65;65;65;65;65;224;599;763;948;1335;1335;1797;1798;1798;2336;2337;2337;2695;2873;3040;3325;3325;3339;3339;3420;3817;3817;4089;4318;4318;4757;4757;4940;5200;5423;5684;6008;6173;6334;6557;6557;6695;6695;6695;7241;7242;7523;7523;7581;7762;7936;8169;8169;8169;8169;8169;8169;8169;8169;8169;8217;8217;8217;8217;8217;8217;8217;8217;8217;8217;8218;8218;8218;8218;8218;10765;10765;10765;10765;10767;10767;10697;10700;10700;10701;10701;10701;11092;11093;12745;11338;11338;11339;11340;11759;11759;11759;11761;11761;11761;11764;12301;12301;12301;12301;12301;12301
US;331002651;9147420;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
US Alabama;4903185;131171;749502;15286.0232685489;7.6178966733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;10;10;12;28;40;56;64;74;96;109;152;1602;1832;2321;2812;4099;4771;4880;4990;6553;7279;7774;8736;9619;10853;13078;14765;14916;19122;20827;21026;21249;21583;29182;33117;34077;36391;37848;42538;45712;45900;48526;48760;52641;52695;71344;73551;73997;75827;80449;87196;91933;92209;92500;103117;106766;109516;115173;120114;125494;127421;129444;133218;136372;141985;146063;153494;156350;157123;157566;164450;170739;177768;182676;185799;190315;193759;195794;200481;208883;212201;217553;223523;223802;231594;235299;239473;245644;259566;259991;267739;273057;278826;286385;293252;297455;302674;305424;310723;322534;331325;339523;344678;349110;354038;358759;369458;378323;384026;386280;393293;406652;413953;419728;430631;442088;449886;455095;461364;468292;470504;492216;502020;511506;519604;529089;541049;551109;563115;574495;585533;593788;600381;609488;619527;628984;641611;649686;657959;665399;668275;680108;689467;697371;706070;714051;722301;727460;739784;749416;749502
US Alaska;731545;1477953;273593;37399.3397535353;62.5641436085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;12;14;23;23;46;46;60;144;144;144;337;412;438;698;772;968;968;1022;1691;1860;2388;2921;3334;3654;3713;4603;5022;6016;6040;6284;6883;6913;7068;7223;7432;7732;8038;7830;8348;8664;8735;9450;9655;9895;10124;11119;12159;12161;12281;15732;16177;16256;17089;19119;19119;20325;21399;21578;21723;22692;23655;24341;25473;26449;27364;28680;29961;30649;31762;32418;33281;34651;35611;36380;37045;39545;41446;42351;43507;44472;44964;46363;47970;49439;51695;51695;54190;56203;58182;60097;60990;63901;64904;65912;66890;67720;69011;70880;71803;73467;74437;76215;77709;81185;83631;86918;88051;90824;92947;96096;99452;101792;105581;108300;108709;112185;114400;115909;120208;122732;123753;123753;131420;133401;135744;141931;143376;145475;146590;149473;156093;163022;165414;168363;173010;175586;178626;185333;189509;200572;205066;207264;207368;213875;223664;225057;233106;238633;243090;245807;252649;257279;261572;268851;273593
US Arizona;7278717;294207;1016521;13965.6618055078;5.4620245343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;30;36;49;49;49;57;68;91;103;133;133;143;162;176;219;276;344;434;574;670;773;924;8191;8328;13872;16759;19371;21058;22709;24673;27160;27410;32534;33375;34564;37178;37734;40530;42109;43347;44096;45310;47398;49230;51045;52990;54500;55152;56601;58697;60714;62508;64811;66543;67438;68813;71786;74879;77997;81119;85253;88260;91737;96434;101125;105810;110377;116464;122842;127750;134338;142001;146788;151761;156473;161571;165435;171627;176003;180439;183641;187782;190731;196266;202914;209813;217047;225206;228070;237833;244525;249755;263865;271646;281621;288081;293213;299687;309582;322779;328397;338045;345257;354334;366193;379732;392216;405280;419744;429790;440518;449188;464196;479823;494747;509896;511423;532356;549596;560839;578381;589508;604362;617841;628797;641070;653061;669211;683990;696172;702426;721943;735962;749266;764968;771991;785979;793523;807666;813981;822713;836817;857609;867103;878333;890931;901429;913266;933743;948650;956428;964418;971244;985542;995864;1004845;1016521
US Arkansas;3017804;134771;551523;18275.640167486;11.4807344033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;6;12;12;12;30;39;77;119;154;219;269;356;447;685;876;1080;1165;1717;1839;1926;3342;3453;5735;6482;7938;8523;9699;10370;11242;12845;13638;14530;14951;17120;18578;19722;20804;21131;21834;22675;23494;24141;24209;26553;27441;29713;31590;35578;38053;39469;40457;40671;45449;48379;49676;51582;52890;54442;54635;59003;59995;63994;65528;65528;69030;70444;73215;75818;81529;81644;85185;85239;93701;96258;99276;103047;103047;108581;111622;111773;115596;118902;119768;126497;129515;133236;133236;142480;142480;147611;156757;160273;160587;165781;176217;176665;181122;187017;196989;204138;205566;220699;228434;234772;242234;242234;256339;264492;271866;277380;277380;283965;291222;302536;311203;314858;323987;331237;338893;338893;344968;350655;353272;364661;365412;369649;382402;382974;390299;395776;400961;407497;413005;419171;432816;439635;440226;446480;461464;461464;477267;484891;489906;495605;502717;503469;514581;514581;527400;533899;534811;539836;551523;551523
US California;39512223;403466;8707527;22037.5527846155;15.954075491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;515;515;522;531;550;804;823;1073;1118;1118;1168;1209;8316;8464;8592;9711;11487;12528;12840;14300;15554;18276;20386;21259;25192;26257;26996;29254;29927;33000;35300;113700;116533;117431;131229;144264;163500;164863;173219;190328;190882;202208;216486;246400;251614;259666;280900;290500;300100;465327;482097;494173;506035;526084;553409;577608;603139;625337;654985;686803;715751;747874;779902;809036;842874;875272;912570;955664;991897;1033370;1065592;1104651;1133906;1179126;1235243;1292672;1339316;1380120;1421127;1466773;1515306;1582745;1644102;1696396;1736894;1790559;1835478;1888595;1944848;2012583;2071591;2131294;2182671;2238463;2308300;2362218;2431190;2486245;2540798;2597647;2662258;2724393;2801996;2868182;2937755;2997988;3074530;3155702;3234412;3319256;3411686;3496929;3592899;3694345;3771314;3862310;3955952;4061692;4167139;4254176;4338718;4448176;4553031;4680138;4793353;4896370;4996175;5078434;5175737;5275695;5406599;5544365;5674955;5793276;5915508;6044099;6167218;6286852;6414321;6536932;6664419;6778304;6915876;7047355;7168139;7296578;7417866;7517466;7633840;7811041;7886587;8035975;8184696;8305713;8409400;8500463;8596882;8707527
US Colorado;5758736;268431;579131;10056.5644960978;11.6074599643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;48;63;112;142;154;279;343;596;711;758;758;1216;1800;2328;2952;3680;4550;5436;6224;7701;8064;10122;11676;13276;15364;15364;16849;18645;20411;22071;23900;25773;26875;28094;29199;32653;32653;34873;37534;38742;39580;40533;41830;43307;44606;46195;47466;48704;50645;52324;56789;59791;63274;66341;69449;71059;72390;76949;79906;83090;85004;85976;91347;94536;96772;104077;108790;108657;111250;114519;118030;121840;125548;128495;131333;131837;135611;142225;144952;150051;150308;156011;159420;163123;168959;175741;180627;186376;190537;194177;197200;203424;208277;213014;217484;221887;226094;230345;234370;236461;244643;249085;253156;256667;262216;264446;273069;278386;282772;287876;290834;296065;302577;307583;313711;319565;323857;327503;333255;340290;345754;350717;355655;360640;365073;370702;377140;385861;392103;399365;404955;409990;416216;424349;430783;435938;442169;451299;457402;465411;470877;479744;490396;497788;500430;512177;519672;526346;533403;540572;547212;552003;555422;565319;571363;579131
US Connecticut;3565287;12542;864633;24251.4277251733;17.182690779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;30;47;56;74;95;105;136;145;151;166;193;700;798;2300;3100;4500;5300;5898;6637;8400;8400;11900;14600;16157;16600;18300;20015;22029;23270;26686;29036;29036;33502;36288;39831;41220;44309;45841;50143;53122;55462;55462;58213;62806;64192;69918;71497;74038;77602;79811;79811;92745;94818;97133;100257;100257;102493;102493;108643;111447;116174;120541;123569;130192;132508;138424;142943;149562;155908;164755;170607;177679;185520;190718;196447;202328;208367;214136;221726;225362;228869;235525;241393;246935;250046;261390;270610;276436;281525;287387;303429;309023;313695;318022;323004;331071;345132;350167;357351;362273;368708;373279;380293;392088;395887;397930;404281;402797;409270;417120;429824;439030;445360;466822;478358;489809;500114;500086;500026;524568;530513;537826;546003;558442;558461;558388;589394;591980;604123;615658;630083;630108;629969;657131;662796;662837;674406;687888;713072;713072;713072;745051;752688;765776;778728;793996;793996;793996;829182;836271;848109;857098;864633;864633
