Country/Region;Population;Area;Latest;Per 100,000 inh.;% Confirmed;Blank 4;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-08-13;2020-08-14;2020-08-15;2020-08-16;2020-08-17;2020-08-18;2020-08-19;2020-08-20;2020-08-21;2020-08-22;2020-08-23;2020-08-24;2020-08-25;2020-08-26;2020-08-27;2020-08-28;2020-08-29;2020-08-30;2020-08-31;2020-09-01;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27
American Samoa;55191;200;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marshall Islands (World List);59190;180;2;3.3789491468;0.5;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2
Northern Mariana Islands;57559;460;3;5.2120432947;0.0288461538;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;8;8;8;8;8;8;11;11;11;9;9;9;11;7;5;5;6;6;6;6;3;3;3;3;3;3;1;1;1;1;0;0;0;0;1;1;1;2;2;5;5;5;5;5;7;7;7;7;6;7;7;6;6;3;3;3;3;3;1;1;1;2;2;4;4;4;5;6;8;8;8;8;8;8;8;7;7;4;4;4;3;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;3;3;3;6;6;6;6;6;6;7;7;7;7;8;7;7;7;4;6;5;5;8;9;8;8;9;9;9;8;9;9;9;7;8;8;5;7;8;8;7;8;7;7;6;6;6;7;6;6;6;4;3;3;4;3;3;3;4;4;4;4;4;4;5;4;4;5;4;6;8;10;10;10;10;10;10;10;9;10;10;10;10;9;8;6;6;6;7;6;7;7;8;7;8;7;8;7;12;13;12;13;13;13;13;14;13;14;14;14;14;15;9;9;9;9;8;9;8;8;8;8;7;8;7;6;6;6;6;6;6;5;6;5;5;4;4;3;3;3
US;331002651;9147420;2338011;706.3420770005;0.1786265547;;;1;1;2;2;5;5;5;6;6;8;8;8;11;11;10;11;10;10;7;7;8;7;8;6;6;6;3;3;3;2;4;4;4;4;3;3;3;3;11;18;41;60;93;170;221;387;503;578;766;1131;1569;2202;2953;3180;4624;6438;9062;13479;19793;25622;34336;45492;55916;67626;85027;103074;121922;140567;161182;185665;208891;234784;260387;287407;306774;325716;346514;366634;383376;398181;407882;415930;419657;421905;426187;427201;427900;422812;420304;418551;413201;410320;408922;409188;411452;411369;408747;404844;402490;400576;402147;401984;400752;395714;394164;389939;384491;377489;370865;362892;359132;357196;350348;348019;339034;335286;329144;327749;324294;322267;320396;316958;313113;314188;313108;309834;307404;303114;302114;301914;302636;297577;297911;294855;290358;292396;292698;290414;289559;288469;290887;291061;291720;293172;293154;295682;297986;304479;310978;316610;327122;335428;348612;366459;379934;397248;417687;433778;455168;475769;498056;523045;550766;571626;585258;608870;622356;646903;672217;694428;716934;735611;754287;773025;794472;810619;832133;851964;868884;880020;897336;900812;912995;918944;924288;929627;925406;922558;920916;925113;915610;911849;907216;892772;875861;868913;851423;842388;827507;816580;808086;800872;782012;766976;751119;747972;736912;731821;723771;711525;704463;689069;679000;668205;656292;644044;637098;625822;619200;601365;599943;593549;592230;588870;582450;582144;584020;583507;580561;567621;554539;542914;533860;534370;529991;529509;528181;525889;523398;524539;523160;522489;529422;557415;570000;574686;584330;584968;588296;591271;589649;593060;595796;596169;601821;608026;605674;593053;597520;609580;622199;630116;639820;648374;656830;666913;685190;704253;718300;726501;739705;767794;784933;797318;814324;839317;868097;884024;909899;933021;952232;978042;1008112;1040121;1066387;1082865;1146395;1186242;1237097;1281818;1327031;1375176;1429963;1491656;1556520;1627600;1706649;1784474;1844697;1918979;1954876;2022404;2084177;2154479;2204552;2237380;2287476;2322717;2360659;2310022;2338011
US Alabama;4903185;131171;29257;596.693781695;0.1204616385;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;12;28;36;46;68;81;124;138;167;215;283;506;586;690;794;831;945;1031;1165;1351;1456;1658;1801;1904;2086;2263;2381;2495;2719;2875;2895;3036;3112;3098;3075;3041;3057;3112;3096;3009;2864;2946;2745;2765;2811;2729;2674;2628;2779;2888;3000;3054;3116;3120;3389;3430;3507;3510;3623;3775;3949;4058;4089;4046;4061;4091;4163;4221;4342;4371;4550;4721;5086;5226;5342;5607;5836;6132;6277;6266;6107;5953;5824;6105;6173;6195;6026;6146;6535;6887;7242;7712;7909;8270;8461;9134;9615;9506;9521;9529;9675;10075;10361;10473;10482;9826;10903;11133;11650;11905;12863;13313;13932;14424;14688;14898;15968;16325;16864;18146;18370;19210;20105;20977;21226;22372;23058;24013;24573;24851;25038;25497;26183;25707;25570;25111;24715;24674;24632;24115;24433;23770;23344;22841;22380;22296;20257;22040;21905;21485;21004;19795;18586;18231;16989;16343;16659;16824;15857;14469;16145;13726;13690;13391;14468;15466;15876;16309;16802;17054;17255;16761;16836;17623;17271;17254;16263;16364;15163;14542;14518;13757;13520;13401;12544;12848;12472;12470;12361;12648;12807;12978;12736;12641;13955;13945;13566;13524;13394;13614;13987;13835;14216;14207;13933;13893;14265;13769;12807;12935;13021;13093;13639;13276;13418;13676;13282;13457;13772;14051;14378;15089;17451;18750;19013;19246;19244;19729;19987;20122;20623;21359;21407;21401;21981;22094;19798;19206;19332;19535;20130;20931;21488;23121;23558;23837;24340;24919;25709;26752;27659;28226;28819;29223;30298;30681;31320;29257
US Alaska;731545;1477953;8268;1130.210718411;0.2797590851;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;11;14;15;25;38;42;49;63;74;91;110;118;125;133;138;146;156;160;153;171;177;172;172;166;162;159;157;152;151;149;143;134;130;116;109;102;93;83;69;68;66;62;60;55;51;49;49;42;37;37;38;38;38;36;32;29;29;26;29;30;31;32;32;31;29;32;32;30;30;30;38;42;41;65;69;87;104;113;123;131;138;156;165;184;189;198;221;202;198;191;193;195;200;209;212;200;205;199;205;209;202;222;240;263;281;307;336;364;380;401;403;429;452;484;528;591;629;636;649;675;672;685;741;787;859;913;930;937;962;1055;1090;1155;1172;1192;1256;1338;1391;1376;1347;1308;1284;1282;1273;1185;1159;1100;1093;1091;1085;1025;990;982;987;1005;1048;1062;1071;1040;1043;1027;1018;1020;1036;1045;987;973;942;935;940;990;989;1018;981;981;994;1024;997;1007;1025;1064;1072;1056;1076;1064;1071;1084;1120;1144;1155;1172;1209;1225;1274;1313;1392;1446;1475;1509;1554;1587;1713;1803;1848;1851;1912;2023;2163;2240;2274;2325;2354;2434;2505;2574;2582;2666;2769;2874;2935;3061;3329;3488;3720;3917;4101;4257;4501;4642;4782;4934;5118;5192;5451;5698;5691;5805;5955;6090;6221;6428;6708;6999;7233;7484;7621;7798;7751;7823;7855;7889;7935;8118;8190;8268
US Arizona;7278717;294207;49061;674.0336243324;0.1539709639;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;5;5;5;6;9;9;9;12;12;18;20;26;42;62;99;147;260;351;441;568;727;861;907;1139;1269;1385;1554;1704;1915;2117;2191;2218;2276;2441;2376;2520;2620;2545;2517;2549;2636;2738;2700;2660;2608;2676;2733;2751;2933;2887;2987;3014;3142;3240;3414;3455;3645;3711;3855;4054;4248;4176;4481;4680;4593;4664;4788;4974;5026;5207;5267;5297;5251;5261;5190;5370;5082;5079;5220;5181;5047;5086;5089;5296;5624;5999;5953;6684;7336;7438;8724;9412;10550;11117;11513;12590;13501;14453;15203;15755;16582;17847;18691;20690;22357;24347;25501;26908;29883;30122;31766;33630;35593;38217;37828;40118;43168;43982;45169;44755;45699;46855;46915;48640;49641;50344;49879;48559;49291;48882;47262;47188;46665;46712;45535;43742;43589;41995;40273;39409;40111;39547;40003;37837;36919;36185;35487;35737;34843;34314;31822;31594;30703;28752;26066;24909;23696;22803;21170;19996;17711;15652;15070;14508;14415;13354;12633;11846;11788;11180;10891;10536;10016;9345;8937;8633;8124;7830;7422;7304;7673;7782;7621;7663;7550;6772;7082;6863;6865;6841;6851;6890;6867;7046;7707;8261;8035;8252;8287;8801;8743;8850;8844;8698;8725;8785;8975;8600;7552;6821;6848;6736;6819;7088;7254;7549;7717;8152;8338;8540;8550;9128;9536;9723;10008;10395;10827;11003;11374;11505;11798;11794;12588;12914;13388;13530;13732;14559;15539;16324;16242;16881;16721;17862;18882;20612;21101;20735;23011;23998;24082;25532;27107;27963;28773;30078;32469;34457;36932;37950;40401;42625;43735;45687;47764;49061
US Arkansas;3017804;134771;23359;774.0396659293;0.1520006247;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;12;16;22;22;33;46;96;118;165;174;218;280;329;372;392;410;451;501;551;597;608;625;665;701;728;720;784;790;822;854;937;957;985;977;991;996;951;1048;1281;1276;1346;1570;1603;1661;1607;1631;1623;1635;1626;1633;1650;1535;1269;1292;1146;953;918;950;1017;1053;1008;981;1142;1206;1328;1355;1427;1435;1847;1918;2020;2031;1995;2016;2077;2302;2313;2435;2494;2630;2832;3064;2901;3039;3334;3504;3711;3900;4091;4278;4771;5011;5248;5474;5436;5539;5569;5980;6041;6187;6343;6598;7007;7246;6854;6716;6809;7340;7586;7591;8147;7991;8067;8118;8170;7834;7907;7990;8402;8845;9057;8682;8956;9100;9039;9140;8939;8802;9674;10143;9964;10207;10446;10351;10256;10508;10448;10671;10645;10749;11025;11352;10670;10726;11047;10769;10790;10775;10760;10581;10230;10146;10007;9881;9356;8780;8480;8106;7923;7737;7613;7488;7191;6866;6963;6909;6979;7191;7849;8191;8147;8010;7896;8739;9026;9027;9179;9386;9383;9232;9058;9400;9332;9363;9403;9860;10107;9707;9404;9934;9970;10084;10224;10708;11246;10963;11045;11023;11422;11398;11478;11610;11697;11365;11290;11066;11090;10917;11096;11237;11465;11591;11438;11412;11549;11703;11760;11897;12053;12167;12370;12716;12653;12952;13098;13282;13240;13512;13394;13188;13335;13768;13850;14044;14078;14216;14562;15095;15510;15751;16084;16556;17557;18294;19444;19489;20124;20707;21383;21805;22495;22686;22993;23307;23379;24077;24080;24619;23359
US California;39512223;403466;172822;437.3887037436;0.1475441466;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;60;69;88;114;133;157;202;227;252;293;335;483;558;867;1003;1210;1448;1619;1969;2198;2804;3652;4391;5415;6112;6999;7544;8267;9638;10747;11902;12603;13763;14602;15303;15593;15972;16086;15901;15856;16269;16991;16827;16937;16895;16642;17396;18439;19060;19782;20522;20370;21116;21693;22076;22735;22914;23234;23283;23959;22951;23419;23245;23258;23424;24516;24475;24351;24641;24247;24494;24596;25223;25493;25583;25242;25583;25932;26070;26030;26619;27351;27839;28533;28950;30085;31744;32576;33515;33630;33610;34457;35385;36102;36761;36756;37211;37584;38097;38765;38272;38446;38250;39328;41292;42515;43293;45012;46735;49584;54031;56290;58478;60790;62388;67800;75172;79124;81448;82819;88079;92161;93630;94701;99246;100928;103836;105911;109561;109910;107776;111495;113631;117929;117975;118707;119854;122995;124108;129117;131037;133056;132855;131388;130042;127671;129324;127424;124767;124470;123363;118658;111146;104364;103082;100387;100501;101361;107861;110751;107639;107487;113559;112400;113130;113240;114109;114771;111920;111105;109509;106704;98684;93043;90388;87783;80150;78347;76054;75130;73221;72426;71947;70347;68475;66620;64816;60428;59336;57333;56459;55014;53693;52216;50911;49024;47548;46896;46256;46459;46413;47943;47775;47849;47939;47385;47485;47412;47662;47486;47446;45301;45329;45090;44137;43755;44160;44566;44539;44271;44765;44981;44447;44714;44199;45019;43588;44007;45616;46559;45924;48259;50034;51450;50982;51792;53641;54503;55442;57550;59217;59837;60595;62226;63852;64229;64147;66610;70841;73020;75969;78705;81584;86372;92811;98607;103306;107779;114691;121178;130757;137394;138519;148481;159367;167080;172822
US Colorado;5758736;268431;66915;1161.9737386815;0.3028472119;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;8;9;12;28;45;72;101;131;146;160;183;214;275;355;467;582;708;884;1041;1358;1633;1930;2161;2467;2783;3126;3451;3810;4090;4359;4452;4517;4569;4772;4776;4832;4996;5064;4975;4938;4947;4874;4868;4780;4934;5018;5223;5060;5745;6075;6138;6188;6375;6478;6609;6721;6792;6905;6801;6917;6952;7109;6572;6407;6262;6000;5841;5717;5554;5464;5408;5303;5295;5118;4967;4820;4660;4589;4471;4390;4408;4292;4283;4381;4465;4440;4375;4306;4263;4169;4128;3884;3827;3914;3782;3732;3526;3209;2919;2752;2722;2654;2613;2541;2572;2501;2538;2522;2546;2656;2832;2974;3005;3177;3212;3273;3356;3451;3432;3517;3526;3552;3771;3961;4046;4395;4569;4606;4731;4971;5126;5374;5725;5922;6077;6309;6395;6582;6789;6789;7198;7423;7323;7628;7641;7478;7465;7479;7574;7402;7335;7290;7122;6913;6535;6324;6474;6127;5960;6015;5729;5571;5460;5402;5237;4913;4794;4693;4559;4483;4302;4359;4237;4124;4235;4203;4047;4054;4144;4118;4057;4069;4106;4131;4146;3874;3927;3842;3719;3866;4101;4275;4324;4667;4858;5095;5367;5583;5912;6379;6749;7032;7434;7603;7755;7791;7926;7850;8073;8148;8199;8219;8138;8138;8253;8568;8693;9132;9382;9547;10060;10241;10700;11332;11814;12226;12837;13391;13927;14437;14953;15758;16628;18263;18648;19431;20096;21196;22981;24608;25773;27127;28788;30784;32897;34567;35895;37237;39694;42194;45585;49612;51884;53507;55566;57335;59057;61795;64097;66712;67616;67752;68012;68228;69084;66915
