Country/Region;Population;Area;Maximum;Per 100,000 inh.;Blank 3;Blank 4;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-08-13;2020-08-14;2020-08-15;2020-08-16;2020-08-17;2020-08-18;2020-08-19;2020-08-20;2020-08-21;2020-08-22;2020-08-23;2020-08-24;2020-08-25;2020-08-26;2020-08-27;2020-08-28;2020-08-29;2020-08-30;2020-08-31;2020-09-01;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27
American Samoa;55191;200;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marshall Islands (World List);59190;180;4;6.7578982936;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4
Northern Mariana Islands;57559;460;104;180.6841675498;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;8;8;8;8;8;8;11;11;11;11;11;11;13;13;13;13;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;15;15;15;16;16;19;19;19;19;19;21;21;21;21;21;22;22;22;22;22;22;22;22;22;22;22;22;23;23;26;26;26;27;28;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;31;31;31;31;31;31;31;31;31;33;33;33;36;36;37;37;37;37;38;38;38;38;39;40;40;40;40;42;42;42;45;46;46;46;47;47;48;48;49;49;49;49;50;50;50;53;54;54;54;55;55;55;55;55;55;56;56;56;56;57;57;57;58;58;58;58;59;59;59;60;60;60;61;61;61;62;62;64;66;68;69;69;69;70;70;70;70;71;71;72;72;73;74;74;75;75;76;76;77;77;78;78;79;79;80;80;86;87;87;88;89;89;90;91;91;92;93;93;94;95;95;96;96;97;97;98;98;99;99;100;100;101;101;101;101;102;102;103;103;103;104;104;104;104;104;104;104;104
US;331002651;9147420;13088821;3954.2949159039;;;;1;1;2;2;5;5;5;6;6;8;8;8;11;11;11;12;12;12;12;12;13;13;14;14;14;14;14;14;14;14;16;16;16;16;16;16;17;17;25;32;55;74;107;184;237;403;519;594;782;1147;1586;2219;2978;3212;4679;6512;9169;13663;20030;26025;34855;46086;56698;68773;86613;105293;124900;143779;165861;192177;218060;248447;280417;313432;341629;371802;403212;435407;469989;503474;532782;559709;585518;614082;644247;675648;708317;736244;761933;790353;816413;845727;878911;912662;944234;971078;994265;1018926;1046737;1076224;1110464;1138228;1162685;1186067;1210577;1235666;1263402;1290151;1315099;1333970;1353397;1376122;1397085;1424243;1449498;1473514;1491829;1513816;1534871;1557933;1583798;1607109;1628212;1648158;1666505;1685956;1704489;1727357;1751612;1775428;1794465;1811393;1832782;1852788;1874156;1899505;1920910;1938572;1956064;1974425;1995376;2018418;2043332;2068600;2087619;2107075;2130768;2157267;2185134;2216115;2248032;2274000;2304676;2340884;2375310;2415666;2461019;2502378;2542787;2582844;2628824;2680312;2735900;2787741;2833290;2882870;2927032;2987787;3047527;3110094;3177953;3237989;3297074;3355869;3423296;3490931;3568033;3639705;3702174;3762890;3824368;3888599;3960522;4029038;4102241;4167616;4222480;4278427;4344212;4416044;4483643;4551554;4609390;4655662;4700229;4757512;4811945;4871426;4929748;4984196;5030566;5079299;5126224;5183020;5234762;5299526;5346302;5387483;5424000;5469037;5516408;5560495;5608748;5652401;5686858;5723343;5763322;5808842;5853962;5900891;5946245;5981032;6016230;6057907;6098858;6142639;6192768;6235908;6267419;6290964;6317861;6351756;6387822;6435261;6476236;6510541;6544411;6583796;6622256;6667178;6715928;6758397;6796841;6848379;6887861;6926442;6972152;7020229;7064532;7101812;7134060;7176856;7218052;7263347;7317749;7366423;7402515;7441432;7485381;7536022;7594351;7650345;7704352;7750186;7790890;7843769;7903242;7967600;8036049;8092924;8142220;8209226;8270314;8333340;8408675;8489662;8572449;8634210;8700789;8776790;8855474;8945642;9044161;9133045;9208607;9292091;9416709;9519582;9645772;9771480;9899480;10009386;10130752;10268446;10411994;10573242;10750810;10917519;11053304;11211070;11371585;11541986;11729949;11925959;12104032;12246766;12418228;12591163;12772653;12883264;13088821
US Alabama;4903185;131171;242874;4953.3925397471;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;12;28;36;46;68;81;124;138;167;215;283;506;587;696;806;859;981;1077;1233;1432;1580;1796;1968;2119;2369;2769;2968;3191;3525;3734;3876;4113;4345;4530;4655;4837;5025;5231;5465;5778;5832;6137;6270;6499;6687;6842;7019;7158;7434;7725;8025;8285;8581;8898;9221;9567;9777;10009;10310;10617;10968;11216;11523;11771;12086;12376;12744;13119;13563;13938;14327;14730;15396;15843;16310;16823;17359;17903;18363;18642;18851;19072;19387;20043;20500;20925;21422;21989;22845;23710;24601;25615;26272;26912;27312;28206;29002;29549;30021;30454;31097;32064;33206;34183;35083;35441;37175;38045;38962;40111;41865;42862;43953;44878;45785;46962;49174;50508;51947;53587;55545;57255;59067;61088;63091;65234;67011;68891;70358;71813;74212;76005;78130;79294;81115;82366;83782;85762;87723;89349;91444;92661;93702;94654;96592;98301;98387;101334;103020;103851;104786;105557;106309;107580;108433;109004;110361;111478;112449;112770;114532;115060;116710;117242;119254;121023;122185;123889;125235;126058;127616;128239;129285;130393;131803;132314;132973;133606;134417;135565;136703;137646;138755;139459;140160;141087;141757;142863;144164;144962;145780;146584;147153;148206;150658;151591;152321;152983;153554;154701;155744;156698;158380;159169;159713;160477;161418;161975;163465;164526;165342;166076;167193;167977;169162;170374;171662;172626;173485;174528;175796;177064;180916;183276;184355;185322;186437;187706;189149;190496;192285;193985;194892;195929;197777;199158;200714;202482;203687;204857;206567;208637;210637;213617;215843;217822;219232;220848;223486;225910;228373;230708;232506;234080;236865;239318;241957;242874
US Alaska;731545;1477953;29554;4039.9428606579;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;11;14;15;25;38;42;49;63;74;91;110;118;128;141;149;160;171;185;191;213;226;235;246;257;272;277;285;293;300;309;314;319;321;329;335;337;339;340;341;345;351;355;360;364;365;368;370;371;372;374;377;378;379;381;383;384;389;390;394;398;401;403;404;405;406;410;411;411;413;414;427;432;435;463;470;490;508;518;529;541;549;567;578;598;616;630;656;665;668;681;701;713;729;750;761;767;783;797;821;839;858;887;908;944;982;1020;1065;1114;1141;1168;1186;1226;1273;1323;1386;1478;1537;1580;1631;1695;1737;1799;1882;1955;2045;2139;2203;2260;2348;2533;2627;2735;2803;2887;2993;3137;3273;3331;3392;3447;3487;3542;3621;3718;3786;3835;3896;3978;4078;4162;4263;4313;4379;4452;4535;4604;4692;4758;4829;4862;4914;4998;5114;5207;5250;5286;5321;5387;5475;5594;5681;5776;5810;5843;5908;6022;6111;6214;6275;6350;6393;6443;6551;6658;6752;6860;6930;6987;7063;7194;7320;7439;7549;7663;7785;7889;8026;8167;8306;8447;8643;8790;8911;9045;9232;9462;9712;9903;10059;10214;10380;10601;10811;11021;11225;11456;11680;11919;12167;12523;13041;13391;13779;14131;14481;14858;15312;15663;16007;16390;16798;17111;17618;18221;18732;19196;19734;20221;20702;21286;22020;22662;23240;23874;24419;24909;25369;26044;26587;27085;27669;28339;28892;29554
US Arizona;7278717;294207;318638;4377.6671080906;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;5;5;5;6;9;9;9;12;12;18;20;28;44;65;104;152;265;357;450;577;736;873;919;1157;1289;1413;1598;1769;2019;2269;2456;2575;2726;3018;3112;3393;3539;3702;3806;3962;4234;4507;4719;4929;5064;5251;5459;5769;6045;6280;6526;6716;6948;7202;7648;7962;8364;8640;8919;9305;9707;9945;10526;10960;11119;11380;11736;12176;12674;13169;13631;13937;14170;14566;14897;15315;15608;16039;16339;16561;16783;17262;17763;18465;19255;19936;20123;21250;22233;22753;24332;25451;26889;27678;28296;29852;31264;32918;34458;35691;36705;39097;40924;43443;46689;49798;52390;54586;58179;59974;63030;66548;70051;73908;74533;79215;84092;87425;91858;94553;98089;101441;105094;108614;112671;116892;119930;122467;123824;128097;131354;134613;138523;141265;143624;145183;148683;150609;152944;156301;160041;162014;163827;165934;168273;170798;174010;177002;178467;179497;180505;182203;183647;185053;186107;186923;187523;188737;189443;190794;191721;192654;193537;194005;194920;195557;196280;196899;197895;198103;198414;199273;199459;200139;200658;201287;201661;201835;202342;202861;203953;204681;205516;205766;205964;206045;206541;207002;207523;208128;208512;208725;209209;209907;211660;212942;213551;214018;214251;214846;215284;215852;216367;216826;217237;217510;218184;218507;219212;219763;220399;220754;221070;221934;222538;223401;224084;224978;225575;226050;226734;227635;228748;229486;230407;231149;231897;232937;233912;234906;235882;236772;238163;238964;240122;241165;242480;244045;245946;247473;248139;249818;250633;252768;254764;257384;259264;259699;263133;265163;266562;269577;273053;275436;276912;279896;283102;287225;291696;295334;299665;302324;306868;310850;314326;318638
US Arkansas;3017804;134771;153677;5092.3452947905;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;12;16;22;22;33;46;96;118;165;174;218;280;335;381;404;426;473;523;584;643;704;743;830;875;946;1000;1119;1171;1226;1280;1410;1480;1569;1620;1695;1739;1781;1923;2227;2276;2465;2741;2829;2941;3017;3111;3192;3255;3321;3372;3431;3458;3496;3568;3611;3694;3747;3891;4034;4164;4200;4236;4463;4578;4759;4813;4923;5003;5458;5612;5767;5922;6029;6180;6277;6538;6776;7013;7253;7443;7755;8067;8359;8651;9101;9426;9740;10080;10368;10816;11547;12024;12501;12917;13191;13606;13928;14631;15142;15613;16083;16678;17375;18062;18401;18740;19310;20257;20777;21197;22075;22622;23209;23731;24253;24512;25282;26052;26803;27585;28367;28939;29733;30297;31114;31762;32148;32533;33927;34655;35246;36259;37249;37936;38623;39447;40181;40968;41759;42511;43173;43885;44597;45381;46293;47028;48039;48711;49383;50028;50411;51114;51766;52392;52529;52665;53077;53487;54216;54765;55652;56199;56574;56894;57374;58023;58745;59583;60378;60856;61224;61497;62112;63504;64678;65226;65753;66280;66757;67255;67803;68983;69710;70219;70627;71357;72219;73211;74082;75160;75723;76364;76981;77963;79049;79946;80755;81242;82049;82755;83697;84821;85779;86525;87013;87430;88071;88880;90145;91183;92220;92833;93487;94167;95246;96524;97539;98422;99066;99597;100441;101596;102798;104135;105318;106115;106727;107679;108640;109712;110874;112190;112916;113641;114519;115812;117360;119230;120828;121866;122811;124235;126197;128006;130318;131679;133040;134348;135902;137617;139855;141916;143821;145173;146190;148312;150277;152625;153677
US California;39512223;403466;1171324;2964.4598837175;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;57;60;69;88;114;133;157;202;227;252;293;335;483;611;924;1063;1279;1536;1733;2102;2355;3006;3879;4643;5708;6447;7482;8155;9191;10701;12026;13438;14336;15865;16957;18309;19472;20615;21794;22348;23338;24424;26182;27528;28963;30333;30978;33261;35396;37369;39254;41137;42164;43464;45031;46500;48917;50442;52197;53616;54937;56212;58815;60614;62512;64561;66680;67939;69382;71141;73164;74936;76793;78839;80430;81795;84057;86197;88444;90631;92710;94558;96733;98980;101697;103886;106878;110583;113006;115310;117687;119807;122901;126016;128812;131319;133489;136191;139281;141983;145643;148855;151452;153560;157015;161099;165416;169309;173824;178054;183073;190222;195571;200461;206433;211243;219252;228732;236139;242547;248235;257388;265985;271684;277774;289468;296499;304297;312344;320804;329162;336508;347634;356178;366164;375363;384692;391538;400769;413576;425616;435334;445400;453659;460550;466550;475305;485502;493588;500130;509162;514901;519427;524722;529980;538416;545787;554160;561911;574411;586056;593141;601075;613689;621562;628031;632667;638831;644751;650336;656892;663669;668615;673095;679099;683529;688858;693839;699909;704085;707797;712052;717177;722283;727239;732144;735235;737911;739527;742865;746191;750298;754923;757778;760013;762963;766201;769831;774135;778400;781694;784324;787470;790640;794040;798237;802308;805263;807425;810625;813687;817277;819436;823729;826784;828461;831225;834800;838606;842776;846579;850028;852406;855072;858401;861476;864455;867317;870791;874077;877784;880724;886865;892810;898029;901010;904198;908713;912904;916918;922005;926534;930628;934672;940010;944576;951094;956957;964639;971851;977218;984682;991609;998502;1008377;1019345;1029235;1037978;1047789;1059267;1072272;1087714;1102033;1110370;1125699;1144049;1158689;1171324
US Colorado;5758736;268431;220953;3836.8315547023;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;8;9;12;28;45;72;101;131;146;160;183;216;277;363;475;591;720;912;1086;1430;1734;2061;2307;2627;2966;3342;3728;4173;4565;4950;5172;5429;5655;6202;6510;6893;7303;7691;7941;8280;8675;9047;9433;9730;10106;10447;10878;11262;12255;12968;13441;13879;14316;14758;15284;15768;16225;16635;16907;17364;17830;18371;18827;19375;19703;19879;20157;20475;20838;21232;21633;21938;22202;22482;22797;23191;23487;23964;24174;24269;24565;24767;25121;25613;26098;26378;26577;26788;27060;27360;27615;27848;28001;28183;28347;28499;28647;28822;29017;29130;29299;29442;29673;29901;30187;30349;30539;30705;30893;31155;31479;31796;32022;32307;32511;32715;33029;33352;33619;33866;34065;34257;34664;35116;35525;36191;36591;36913;37242;37686;38155;38726;39344;39788;40142;40566;41059;41698;42314;42980;43789;44336;44565;45314;45796;46204;46809;47267;47716;47968;48394;48988;49436;49893;50324;50660;51039;51441;51756;52219;52538;52838;53176;53370;53631;53901;54230;54586;54883;55143;55341;55800;55993;56343;56773;57041;57223;57424;57775;58019;58287;58655;58989;59274;59487;59674;59920;60185;60492;60907;61324;61699;62099;62686;63145;63750;64356;64857;65399;66053;66669;67217;67926;68510;69079;69490;70025;70536;71218;71898;72555;73076;73537;74191;74922;75785;76619;77642;78461;79037;80085;80777;81918;83230;84369;85302;86374;87582;88849;90222;91572;93400;95089;97300;98733;100208;102014;104426;107350;109910;112147;114709;117637;121006;124469;127967;130984;134537;138427;142402;147599;154038;159234;163417;167713;172044;176694;182801;188566;194679;198600;202289;206439;210630;216683;220953
