Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-08-13;2020-08-14;2020-08-15;2020-08-16;2020-08-17;2020-08-18;2020-08-19;2020-08-20;2020-08-21;2020-08-22;2020-08-23;2020-08-24;2020-08-25;2020-08-26;2020-08-27;2020-08-28;2020-08-29;2020-08-30;2020-08-31;2020-09-01;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27
American Samoa;55191;200;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marshall Islands (World List);59190;180;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Northern Mariana Islands;57559;460;2;3.4746955298;0.0192307692;0.0192307692;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
US;331002651;9147420;264858;80.0168817983;0.020235436;0.0218817994;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;7;11;12;14;17;21;22;28;33;43;51;58;70;97;132;191;264;365;464;574;762;1003;1329;1741;2259;2892;3484;4180;5272;6452;7955;9348;10889;12457;14233;16803;18957;21176;23403;25527;27342;29280;31734;34337;36506;38599;40568;42499;44679;47221;49659;52125;54285;55988;57322;58787;61028;63555;65971;67848;69535;70638;71956;74255;76599;78523;80275;81817;82717;83719;85333;87082;88856;90520;91792;92547;93714;95240;96758;97969;99214;100348;100964;101521;102185;103693;104876;106031;106985;107674;108451;109500;110494;111499;112405;113102;113543;114040;114970;115869;116723;117543;118316;118629;119012;119833;120564;121272;121934;122540;122833;123217;124059;124815;125360;125981;126483;126761;127139;127787;128479;129199;129858;130127;130416;130777;131984;132847;133845;134666;135359;135820;136188;137108;138080;139030;139963;140825;141278;141802;142903;144123;145215;146345;147233;147716;148835;150204;151635;152851;154093;155202;155613;156152;157526;158902;160150;161388;162470;162986;163513;164581;166087;167151;168494;169524;170099;170545;171876;173207;174285;175396;176380;176835;177279;178509;179737;180841;181813;182777;183089;183684;184749;185801;186868;187838;188609;189019;189295;189741;190923;191830;193043;193753;194139;194563;195851;196838;197704;198634;199349;199590;200015;201038;202140;203057;203996;204742;205024;205345;206257;207199;208050;208978;209657;210006;210468;211170;212100;213064;214029;214656;215078;215415;216212;217213;218031;218936;219681;220109;220576;221510;222665;223515;224466;225402;225780;226272;227240;228247;229214;230242;231127;231535;232067;233638;234728;235878;237073;238081;238554;239242;240623;242036;243245;244403;245663;246290;247024;248716;250613;252600;254517;255946;256866;257779;259925;262222;263454;264858
US Alabama;4903185;131171;3572;72.8506062896;0.0147072144;0.0154827748;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;4;6;13;26;32;35;43;45;50;56;66;74;80;91;93;99;110;121;133;144;146;154;167;177;194;197;205;212;216;222;242;245;269;279;288;290;296;313;340;349;375;388;393;401;429;449;467;476;485;488;489;504;517;529;537;546;551;562;575;581;590;605;618;631;646;651;653;665;676;689;692;718;729;744;755;769;773;774;774;785;790;810;822;838;839;841;864;891;896;907;919;924;929;950;972;985;1006;1007;1016;1024;1033;1058;1068;1104;1114;1121;1124;1164;1211;1230;1265;1286;1287;1291;1303;1364;1397;1438;1456;1473;1491;1515;1538;1565;1580;1603;1627;1633;1666;1695;1714;1735;1752;1768;1797;1847;1882;1890;1893;1896;1898;1925;1936;1944;1974;1990;2011;2013;2024;2037;2045;2076;2107;2152;2162;2182;2200;2217;2233;2266;2275;2276;2277;2277;2285;2301;2333;2350;2351;2355;2387;2392;2401;2428;2437;2438;2439;2457;2488;2506;2508;2510;2513;2515;2517;2540;2548;2550;2558;2559;2559;2580;2601;2637;2653;2664;2665;2665;2686;2706;2756;2786;2788;2789;2789;2805;2824;2843;2859;2866;2875;2883;2892;2911;2914;2932;2967;2973;2980;2987;3006;3026;3049;3082;3084;3102;3120;3201;3213;3231;3246;3248;3249;3301;3347;3419;3451;3457;3458;3459;3472;3532;3572;3572
US Alaska;731545;1477953;119;16.2669418833;0.0040265277;0.0045691906;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;3;3;3;3;3;5;6;6;6;7;7;7;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;14;14;14;14;14;14;14;15;16;16;16;17;17;17;17;17;17;17;17;17;17;17;18;18;18;18;19;19;19;20;20;21;22;22;23;23;24;24;25;25;25;25;25;26;26;26;26;27;27;27;28;28;28;29;29;29;30;31;32;32;36;37;37;37;37;37;37;39;39;40;40;42;42;42;42;42;42;43;44;44;44;44;44;44;45;45;45;45;45;45;45;51;52;56;56;57;57;57;58;58;58;59;59;59;60;61;61;62;63;63;64;65;66;67;67;68;68;68;68;69;69;69;70;70;71;77;81;82;83;84;85;86;87;88;89;90;91;92;96;97;97;98;99;99;100;101;101;102;102;103;110;116;118;119;119
US Arizona;7278717;294207;6588;90.5104567192;0.0206755001;0.0223069474;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;5;6;8;13;15;17;20;24;29;32;41;52;64;65;73;80;89;97;108;115;122;131;142;150;169;177;184;187;208;229;249;266;271;275;284;293;304;320;330;348;362;379;395;426;450;517;532;536;542;562;594;624;651;679;680;686;704;747;763;775;799;800;806;807;831;857;885;903;906;917;941;981;996;1012;1042;1044;1047;1070;1095;1127;1144;1183;1186;1194;1219;1239;1271;1312;1338;1339;1342;1384;1463;1490;1535;1579;1588;1610;1632;1720;1757;1788;1805;1809;1810;1927;1963;2038;2082;2151;2237;2245;2337;2434;2492;2583;2730;2761;2784;2918;2974;3063;3142;3286;3305;3357;3408;3454;3626;3694;3747;3765;3779;3845;3932;4002;4081;4137;4150;4154;4199;4347;4383;4423;4492;4506;4518;4529;4634;4684;4688;4756;4771;4782;4792;4896;4929;4978;5007;5030;5037;5044;5065;5130;5171;5207;5221;5231;5241;5251;5273;5288;5315;5322;5333;5344;5371;5409;5451;5467;5476;5478;5498;5525;5559;5587;5622;5623;5628;5632;5650;5674;5693;5705;5706;5707;5713;5733;5743;5746;5759;5762;5764;5767;5772;5789;5806;5824;5827;5830;5837;5854;5859;5865;5869;5874;5875;5891;5905;5918;5934;5979;5981;5982;6020;6059;6087;6109;6147;6164;6178;6192;6228;6240;6257;6300;6302;6307;6312;6365;6384;6427;6457;6464;6490;6515;6524;6568;6588
US Arkansas;3017804;134771;2436;80.7209480801;0.0158514286;0.0169377212;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;5;6;7;8;10;12;12;14;16;16;16;18;21;23;24;27;30;30;33;37;37;38;40;42;43;43;45;45;47;49;50;52;59;61;64;73;76;81;83;85;87;88;90;92;94;95;96;97;98;99;99;100;102;107;110;113;115;116;117;119;120;123;125;133;135;138;140;142;147;152;154;155;155;161;165;171;176;178;179;182;190;197;208;214;224;226;227;237;240;243;246;249;259;265;270;277;279;281;286;289;292;297;301;309;313;317;321;323;331;335;341;353;355;357;366;374;380;386;394;398;401;408;428;434;442;453;460;468;475;490;508;515;521;533;544;555;566;574;582;587;600;602;603;619;631;641;663;674;687;696;711;732;739;756;772;784;797;814;841;861;873;882;894;908;917;928;940;953;969;981;992;1010;1157;1166;1173;1177;1181;1197;1209;1229;1246;1266;1285;1308;1329;1350;1369;1384;1391;1407;1425;1447;1465;1482;1503;1528;1552;1569;1586;1611;1634;1645;1665;1684;1704;1714;1728;1751;1772;1782;1797;1812;1833;1857;1875;1894;1900;1925;1955;1985;2003;2026;2037;2056;2068;2085;2108;2112;2126;2144;2148;2166;2183;2225;2245;2275;2297;2321;2337;2357;2387;2405;2425;2436;2436
US California;39512223;403466;19033;48.1699042851;0.0162491335;0.0174981659;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;5;5;6;11;13;18;20;24;27;27;40;53;65;78;101;123;133;153;171;203;237;276;319;343;374;442;492;541;609;651;687;758;821;890;985;1072;1166;1208;1268;1354;1469;1562;1651;1710;1755;1809;1887;1982;2073;2171;2215;2254;2317;2412;2504;2585;2678;2745;2770;2847;2934;3032;3108;3204;3261;3302;3334;3436;3542;3630;3708;3774;3795;3814;3884;3973;4068;4156;4213;4251;4286;4361;4422;4485;4559;4626;4653;4697;4776;4881;4943;4989;5063;5089;5121;5208;5290;5360;5424;5495;5515;5580;5632;5733;5812;5872;5905;5936;5980;6090;6163;6263;6313;6331;6337;6448;6562;6711;6851;6945;7017;7040;7087;7227;7345;7475;7595;7685;7694;7755;7870;8027;8186;8337;8416;8445;8518;8715;8909;9005;9224;9356;9388;9501;9703;9869;10011;10189;10293;10359;10468;10648;10808;10996;11147;11224;11242;11342;11523;11686;11821;11988;12134;12152;12257;12407;12550;12690;12834;12905;12933;13018;13163;13327;13490;13643;13709;13726;13758;13841;13978;14089;14251;14329;14385;14451;14615;14721;14812;14912;14987;15018;15071;15204;15314;15398;15532;15587;15608;15640;15792;15888;15986;16074;16120;16149;16177;16228;16361;16428;16500;16564;16572;16581;16639;16757;16830;16899;16943;16970;16992;17027;17189;17262;17311;17345;17357;17400;17475;17541;17571;17626;17667;17672;17686;17752;17815;17866;17939;17963;17977;18001;18070;18108;18137;18218;18253;18263;18299;18360;18466;18557;18643;18676;18726;18769;18875;18979;19033
US Colorado;5758736;268431;2521;43.7769677235;0.0114096663;0.012949522;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2;4;5;6;7;11;19;24;31;44;47;51;69;80;97;111;126;140;150;179;193;226;250;274;290;308;329;357;374;391;411;422;449;486;508;552;674;677;680;706;736;766;777;820;832;842;851;903;921;944;960;967;971;987;1009;1062;1091;1093;1095;1097;1099;1101;1103;1104;1106;1108;1110;1112;1114;1135;1168;1181;1182;1184;1185;1228;1254;1255;1274;1280;1286;1292;1312;1328;1339;1348;1356;1365;1373;1388;1402;1417;1429;1432;1435;1438;1455;1457;1475;1482;1491;1499;1508;1520;1521;1521;1526;1532;1537;1542;1543;1544;1581;1586;1587;1588;1589;1594;1601;1615;1621;1626;1632;1637;1643;1644;1645;1661;1663;1666;1668;1679;1688;1691;1696;1701;1705;1710;1714;1717;1729;1736;1739;1743;1746;1751;1756;1763;1768;1771;1775;1778;1788;1800;1815;1817;1820;1822;1824;1826;1835;1839;1843;1845;1847;1849;1853;1857;1861;1866;1867;1867;1868;1868;1882;1889;1890;1892;1893;1894;1905;1908;1911;1913;1913;1914;1914;1926;1931;1935;1940;1942;1943;1945;1952;1960;1962;1968;1973;1978;1983;1987;1990;1997;1998;2001;2004;2006;2009;2025;2029;2042;2045;2048;2051;2060;2066;2070;2076;2078;2080;2082;2088;2094;2095;2105;2112;2119;2126;2134;2147;2158;2168;2172;2175;2179;2201;2218;2234;2245;2255;2266;2276;2299;2324;2350;2355;2389;2422;2456;2466;2521;2521;2521
