Country/Region;Population;Area;Latest;Per 100,000 inh.;% Confirmed;Blank 4;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-08-13;2020-08-14;2020-08-15;2020-08-16;2020-08-17;2020-08-18;2020-08-19;2020-08-20;2020-08-21;2020-08-22;2020-08-23;2020-08-24;2020-08-25;2020-08-26;2020-08-27;2020-08-28;2020-08-29;2020-08-30;2020-08-31;2020-09-01;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27;2020-11-28;2020-11-29;2020-11-30;2020-12-01;2020-12-02;2020-12-03;2020-12-04
Australia;25499884;7682300;150;0.58823797;0.0053655745;;;0;0;0;0;4;5;5;6;9;9;12;12;12;13;13;14;15;15;11;10;10;9;6;6;3;3;3;2;2;1;0;0;0;0;0;0;0;0;10;12;15;24;37;40;45;48;61;76;92;113;149;185;225;270;347;413;516;626;731;1008;1473;1591;1937;2236;2646;2943;3390;3687;3984;4107;4294;4435;4539;4479;4138;4115;3851;3646;3298;3072;2663;2331;1990;1856;1578;1346;1192;1018;923;826;750;642;554;462;391;399;370;329;312;304;256;231;212;224;230;242;251;241;245;234;249;236;237;253;257;245;232;221;197;187;182;181;175;172;156;159;161;146;149;148;148;153;157;159;152;153;145;145;141;135;135;124;110;128;133;126;141;151;162;159;202;209;225;247;273;306;307;366;429;487;550;610;657;849;982;1109;1263;1365;1498;1779;1952;2111;2216;2417;2567;2809;3167;3181;3359;3486;3673;4008;4246;4221;4397;4606;4955;5052;5095;5488;5670;5839;6093;6249;6302;6551;6588;6677;6748;6681;6462;6410;6545;6060;5839;5755;5392;5240;5043;4544;4346;4135;3904;3727;3518;3340;3077;2964;2706;2512;2383;2188;2046;1934;1813;1729;1605;1467;1406;1320;1261;1202;1116;1060;981;946;920;855;764;725;678;620;591;569;507;456;436;409;389;352;316;300;283;248;236;237;236;231;209;226;226;228;223;241;255;259;261;262;257;255;251;232;262;252;250;251;250;240;229;216;208;208;207;205;202;205;179;172;168;157;145;140;130;118;110;97;97;116;148;148;155;155;148;154;163;169;174;182;190;197;204;181;153;154;146;154;157;150
Austria;9006398;82409;61894;687.2225722203;0.2082255379;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;9;14;18;21;29;41;55;79;104;131;180;244;299;501;646;846;1000;1311;1617;1972;2333;2735;3478;4343;5101;5342;6607;7153;7616;7928;8600;8848;9065;9116;9136;8967;8469;7823;7356;7354;6335;5898;5535;5157;4423;4046;3625;3347;3071;2890;2698;2498;2234;1983;1758;1516;1342;1280;1233;1131;1066;976;936;887;848;826;777;759;750;703;685;646;608;604;595;606;578;643;645;648;671;669;652;662;653;632;657;596;594;570;546;484;489;464;438;418;401;407;412;399;429;422;414;406;409;393;378;402;430;432;418;428;425;439;412;429;444;443;458;502;545;588;577;670;718;779;842;939;985;1013;1064;1138;1187;1203;1243;1225;1255;1281;1329;1389;1408;1375;1378;1406;1416;1484;1505;1555;1575;1610;1656;1696;1685;1691;1639;1649;1642;1654;1637;1597;1623;1581;1561;1548;1568;1589;1639;1746;1967;2066;2149;2348;2518;2735;2925;3143;3220;3389;3461;3594;3767;3714;3806;3796;3904;3813;3885;3941;3967;4025;4018;4066;4375;4550;4886;5237;5711;5993;6103;6663;7104;7481;7932;8387;8824;9097;9222;9401;9569;9673;9518;9717;9891;9736;9740;9833;9713;9958;10051;10238;10516;10864;11241;11688;12209;12443;12866;13285;13859;14538;15013;15702;16660;17031;17632;18561;19787;21227;23606;25492;26969;28776;30824;33725;38189;41791;45075;48089;50747;55690;60671;64564;69191;72342;75479;78764;82884;87693;91652;93366;94075;94597;96399;96589;96168;96372;94742;94035;91587;89844;88132;84396;79764;77370;75752;73843;70892;67773;64747;61894
Belgium;11589623;30280;33759;291.2864378764;0.0574680946;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;7;12;22;49;108;168;199;238;266;313;436;558;688;884;1050;1230;1463;1745;2148;2646;3201;3504;4002;4623;5798;6725;8445;9950;10841;11532;12478;13553;14513;15616;16290;17071;17925;18466;18748;19383;18884;18811;18690;18344;19609;19461;19368;18752;18805;19169;18762;18486;17814;17626;17307;16487;16098;16215;14286;13710;12894;12334;11410;10284;9553;8892;8623;7718;7271;6947;6762;6445;6122;5769;5612;5472;5374;5292;5282;5202;4815;4500;4214;4011;3893;3676;3611;3561;3417;3197;3101;2958;2824;2702;2532;2396;2262;2134;2006;1982;1977;1862;1758;1732;1648;1583;1540;1559;1581;1569;1478;1411;1375;1373;1329;1296;1287;1291;1266;1261;1272;1265;1250;1251;1288;1379;1335;1281;1225;1203;1251;1260;1412;1383;1354;1363;1640;1772;1868;1884;2036;2167;2504;2637;2842;3258;3319;3684;3881;4463;4768;5252;5696;5949;6220;6390;6531;7169;7585;7674;8126;8192;8346;8312;8185;8362;8467;8474;8220;8249;8321;8162;8110;8067;7784;7472;7439;7383;7309;6839;6730;6719;6702;6590;6432;6366;6280;6357;6431;6677;6694;6661;7068;7585;7879;8413;9070;9308;10037;11432;12475;12923;13928;14623;16085;17196;18200;19439;20325;20724;21047;22320;22504;23083;24585;26875;27940;28811;29065;30981;34828;38005;44128;48079;50527;56125;63059;70900;77917;85492;92018;98277;105868;115518;126536;138719;148478;158773;167838;174049;186826;200299;210163;216114;218765;216875;212382;214827;209209;200344;188759;179758;169464;160186;147054;128135;112698;102051;94921;90516;88064;77574;70923;65636;62736;57990;56720;54328;49576;47139;45817;43168;40660;39474;38607;36465;34593;33759
Brazil;212559417;8358140;513804;241.7225297527;0.0786358305;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;4;4;13;13;20;25;31;37;51;150;155;160;198;319;368;617;780;1008;1526;1899;2216;2516;2933;3266;3747;4094;4379;5396;6464;7423;8263;9339;9584;10237;11787;13616;15107;16221;16823;17936;18851;19545;21484;22381;24626;26298;27524;28582;29045;29587;31944;34405;38597;40908;44016;47973;51365;56762;58520;60442;63172;67877;72376;80854;85737;92851;96737;99599;102148;104979;110452;115978;128089;136411;139254;146748;156430;164968;174314;183996;191337;200512;205304;213008;221684;235073;244875;264929;273769;271079;283498;292437;304854;314881;325448;328547;332514;348281;360595;364590;363644;352074;352775;361824;367806;371361;363201;387142;394733;391583;399058;406403;416215;425286;446164;463153;476519;479924;478852;493376;518716;506168;509425;519714;516814;522683;524529;527665;525853;526183;520538;516772;524783;517995;515293;507247;497856;495334;495362;491065;514354;531696;542539;554663;554410;557408;556367;585517;597951;616157;633017;635288;631672;642267;631559;624737;619076;617899;616331;615095;626439;612520;614774;613035;609219;606520;609252;605433;597579;589763;569888;569950;570361;565391;560365;552371;536515;529283;529057;522114;548702;543577;541213;539663;559471;540638;531738;524933;492078;480733;477055;477361;469534;468144;437338;431332;421218;413748;403382;405240;407108;410246;429291;426644;419256;407449;402304;401854;399854;395259;391852;391706;381780;378593;370660;369195;377777;376161;370742;366275;364646;362670;357944;336106;329928;322294;323337;317529;322256;323492;304813;298078;295186;297768;297998;299149;306446;326013;327407;324990;316358;311243;308160;303479;292095;291253;286973;277525;272926;269987;265178;259364;279390;287206;293994;313354;317388;322258;345709;355824;371164;388983;399225;407286;412576;419703;418946;422638;427698;441313;451647;459414;475029;490801;505317;513804
Canada;37742154;9093510;81955;217.1444692849;0.2017656805;;;0;0;0;0;1;1;2;2;2;4;4;4;4;4;5;5;7;7;6;6;5;5;5;3;3;3;4;4;3;3;2;2;2;3;4;4;6;7;13;17;19;22;25;29;40;45;55;67;68;97;104;179;178;228;388;448;624;763;894;1223;1405;2011;2711;3143;3925;4489;5378;6028;6983;8049;8903;10484;11494;11701;14287;14475;15082;15890;16612;17377;17740;18019;18282;18508;18649;19525;20377;21378;19877;21095;21530;22522;22645;22860;23055;23734;23936;24115;24656;23648;23529;23570;24871;24299;23813;23031;22902;22755;22547;22058;21648;21269;20703;20324;19616;19280;17828;17454;17278;16881;16541;16273;16233;16015;15855;15671;15421;15195;14950;14475;14147;13877;13467;13066;12527;12000;11324;11072;10660;10151;9731;9183;8686;8362;7925;7475;7127;6850;6608;6367;6287;5900;5639;5526;5367;5304;5034;4835;4789;5067;5010;4797;4766;4648;4423;4316;4397;4256;4247;4193;4355;4272;4155;4154;4253;4405;4501;4597;4690;4774;5123;5450;5456;5742;6131;6320;6441;6487;6521;6664;6533;6722;6648;6600;6035;6186;6243;5989;5788;5678;5578;5582;5518;5346;5503;5324;5302;5236;5245;5425;5375;5238;5416;5412;5450;5541;5514;5677;5656;5737;5814;5884;6700;6338;6533;6902;6822;6951;7073;6701;7854;7755;8120;8334;8525;8752;9180;9478;9911;10352;10912;11096;11860;13288;13098;13804;14131;15041;15606;16788;17121;18091;19255;20051;21001;21753;22751;23801;24901;25441;26643;27908;28997;28975;28159;30498;30957;31432;31874;30707;32303;32727;32593;33656;33887;33894;33284;34471;37595;36214;36302;37021;38011;40246;38845;39067;41567;41662;41865;44356;47170;48291;49063;50778;52099;54556;55770;57826;59791;62295;62019;63755;65765;65359;65970;66771;68695;69532;70506;70711;71895;73140;74222;76084;77117;79053;80523;81955
China;1439323776;9388211;1371;0.0952530642;0.0146869778;;;548;643;920;1406;2075;2877;5509;6087;8141;9802;11891;16630;19716;23707;26892;29944;33190;35408;37754;39477;38877;38672;51754;56556;56522;53883;52718;50504;47179;44490;41440;40187;37193;34887;33368;33407;18705;12570;10943;9419;7702;6050;5767;5460;5140;3769;3801;3619;3133;2755;2332;2017;1621;1071;897;797;716;619;560;535;612;638;704;740;850;952;1022;1119;1165;1221;1259;1276;1261;1238;1167;1167;1127;1148;1101;1044;1015;1012;1015;1027;995;971;1249;1244;1203;1152;1135;1059;1001;958;895;778;705;634;588;553;199;175;159;149;115;102;91;77;81;98;93;78;80;73;79;82;90;97;100;102;102;105;94;85;91;85;82;86;85;84;92;91;93;94;94;96;102;96;93;95;103;101;105;158;189;224;261;292;323;347;367;381;429;455;464;485;497;457;422;402;363;358;336;314;304;299;265;264;277;291;307;328;360;392;441;430;497;564;561;632;733;791;956;1053;1170;1310;1453;1611;1764;1967;2162;2253;2409;2482;2477;2498;2422;2415;2378;2291;2223;2123;1968;1832;1655;1559;1452;1390;1342;1288;1199;1107;1036;982;902;812;794;739;670;622;584;520;473;439;426;419;392;371;363;360;335;316;313;309;305;302;305;302;300;308;303;309;311;303;312;309;297;296;288;286;286;293;292;273;273;270;260;271;268;278;304;310;322;329;325;330;324;338;341;351;343;354;355;357;345;357;350;339;345;364;402;394;414;411;425;446;456;465;479;483;494;514;518;497;481;484;468;462;453;420;407;397;383;386;415;451;518;577;650;705;779;853;964;1030;1108;1207;1286;1371
Finland;5540720;303890;6011;108.487705569;0.2246430974;;;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;5;5;5;5;11;14;14;22;29;39;57;105;153;222;238;271;315;330;388;435;508;603;670;752;821;851;886;942;996;1075;1097;1110;1118;1165;1359;1301;1476;1516;1607;1647;1728;1738;1734;1712;1743;1791;1851;1874;1799;1856;1692;1706;1642;1679;1626;1570;1602;1631;1579;1669;1626;1562;1495;1471;1459;1398;1444;1389;1343;1405;1386;1289;1263;1148;1150;1177;1110;1093;1053;987;870;820;799;688;617;615;625;638;598;548;540;512;505;488;468;433;404;396;402;402;397;348;321;297;261;245;223;225;206;193;192;178;162;143;130;127;108;118;111;100;101;102;119;122;109;106;110;113;107;98;101;88;93;90;86;87;69;69;72;70;82;83;89;97;99;101;97;99;103;103;109;113;118;125;118;126;132;150;160;174;180;191;203;219;228;260;268;277;278;286;293;293;310;317;338;336;337;358;360;336;342;329;346;334;366;356;358;354;355;371;389;356;428;450;470;508;503;541;583;589;599;633;661;689;719;858;858;910;972;1020;1102;1116;1167;1242;1304;1386;1469;1558;1656;1734;1761;1966;2096;2272;2316;2469;2607;2711;2841;2889;2902;2886;2853;2920;3022;2910;2894;2803;2850;2758;2664;2675;2622;2777;2820;2867;2845;2788;2859;2864;2911;2939;2949;2917;2944;2967;2976;2948;2989;3024;3019;3010;3005;3167;3362;3625;3842;4049;4182;4307;4606;4908;5205;5314;5493;5815;5947;6136;6011
France;65273511;547557;156998;240.5232958895;0.0692530588;;;0;0;2;3;3;3;4;5;5;5;6;6;6;6;6;6;4;8;8;8;7;6;6;6;6;6;6;6;6;6;6;1;1;1;3;7;27;46;88;118;179;192;273;365;641;937;1114;1197;1770;2263;2933;3604;4369;4369;6442;7448;8758;10494;11959;13333;14892;18647;20520;22952;26184;29303;33106;35675;37917;44476;47946;48234;51726;54323;54460;54534;55863;56815;57179;57712;56215;80459;79748;77129;75484;85839;82585;80761;81330;79798;78754;74926;70692;67960;66502;40214;40291;38348;35179;22755;20823;18426;16031;13698;12014;15491;16014;15682;14466;14180;10890;8602;8808;9013;9573;9605;9637;9668;9493;6604;6266;5327;5206;5038;4687;5007;5801;6597;6497;8219;8375;8398;7579;6994;6812;7025;7235;7427;7424;6711;6061;5371;5428;4021;4077;4044;4216;4471;4617;4634;4541;4253;4480;4527;4428;4368;4102;3963;3927;4113;4150;4451;4723;4600;4445;4722;4678;4637;4777;4916;5104;5224;5342;5462;5582;5353;5281;5544;5861;6177;6494;6607;7114;7512;7968;8343;8719;9094;9387;9566;9726;11645;11822;11999;12176;12497;12837;13287;16059;16612;17166;17719;19287;20970;23029;23021;25477;26355;27232;30128;32514;34899;34856;37094;40468;41008;41826;44766;48109;52541;54643;58322;59525;60630;63738;66994;72179;75129;76942;81590;84789;88111;90898;93252;95471;97692;102389;105409;108131;111310;115466;118641;121817;124992;128712;134106;139256;145647;146521;147394;148268;152330;155046;157859;156993;158736;160479;162222;162575;166321;170435;174594;180487;186379;192272;201731;211210;228882;241504;255164;268823;282483;292616;301273;324834;346694;373679;400665;427650;439593;452745;469771;494218;504493;525715;552412;567931;582380;598145;616561;637964;659367;637634;625828;626663;612095;586500;583216;564154;521461;530972;518215;482005;444618;399562;350012;334591;322255;301811;282304;271019;251519;234075;228869;191228;177205;168736;156998
Germany;83783942;348560;243396;290.5043546411;0.2102747785;;;0;0;0;0;0;1;4;4;4;5;8;10;12;12;12;12;13;13;14;13;12;12;12;11;8;6;4;4;4;4;3;3;2;2;1;11;30;32;63;114;143;180;246;466;654;783;1024;1160;1440;1881;2032;3627;4506;5665;7113;9061;12065;14838;19178;21414;23833;27880;31529;35415;41860;47196;53110;56300;59613;62551;65545;69474;71311;73879;75250;74318;74677;75973;74243;71300;67213;65759;63187;59551;56881;52904;50238;47250;45061;43691;40628;37352;34948;32828;31605;29916;28686;28553;26786;25311;22680;21625;20480;19087;18716;17514;16301;15589;14811;14109;13818;13259;12559;11469;11156;10785;10705;10399;10771;10311;9591;9122;8662;8449;8024;8029;7426;7718;7689;7437;7041;7043;6101;5648;5451;5214;5464;5422;5509;5306;4998;4495;4304;4078;4108;4088;4373;4483;5345;5375;5220;5522;5659;5974;6349;6680;6810;7191;7175;7360;7166;7289;6553;6481;6528;6251;6296;5863;5828;5630;5296;5251;5226;5138;5038;4997;5080;5265;5228;5212;5261;5374;5577;5880;6291;6569;6748;6932;7251;7656;8085;8354;8579;8485;8786;9111;9837;10158;10573;10625;10621;11396;11833;12313;12746;13392;13483;13787;14589;15292;15593;16253;16833;16958;17206;17614;18043;18151;18290;18335;18347;18298;18102;17895;17705;17548;17254;17197;17234;17504;17374;17423;17578;17609;17982;18432;18420;18999;19458;20208;20964;21874;22237;21934;22455;22592;23197;23977;24209;24602;25409;25457;26044;26491;27127;27095;27608;29113;29715;32112;34595;36783;38437;39970;44219;46843;51574;56568;61428;64637;67098;72395;78464;86785;87933;96855;104345;111389;117408;126105;135134;146247;157934;167126;175675;192530;191540;210689;227298;236642;240306;244926;238888;252274;258473;264478;267357;267943;258600;247928;266626;258873;260353;260126;259876;249743;257676;247499;257785;254998;253556;252761;252745;252386;250921;250469;250019;243396
India;1380004385;2973190;557614;40.4066832005;0.0580351535;;;0;0;0;0;0;0;0;0;1;1;1;2;3;3;3;3;3;3;3;3;3;3;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;25;27;28;31;36;40;53;59;70;79;99;110;114;137;128;164;213;296;357;456;480;595;654;805;885;911;1132;1255;1842;2349;2323;2752;3192;4279;4775;5259;5998;6711;7459;8181;9202;10090;10324;10887;11785;12640;14027;13761;14769;15454;16352;16932;17837;18685;18998;19837;20740;21433;22905;23977;24890;27898;29320;31617;33274;35165;36525;39271;41317;42968;44993;47134;48527;50949;53193;53891;57075;59041;61875;65099;68615;71375;74182;76501;80031;83389;87707;91179;94911;98042;100716;104796;108487;111390;115199;118950;120978;125353;128519;132149;135502;139095;141815;144721;146874;150122;153819;158864;163829;167796;174287;180037;186500;192866;199960;207937;215894;223749;231416;237695;245012;253267;262714;272131;279449;286234;294191;303401;311963;320663;329936;339912;350700;364216;378288;390769;404616;420793;435674;450661;471502;494306;516108;536113;557362;573321;595488;613106;630914;656904;672942;685489;700407;715176;725738;738966;751587;767375;779458;788602;797969;814674;826444;829934;839229;843968;846936;858999;872389;878751;887090;891930;891274;898648;894909;913597;926310;938050;952781;973582;988485;1002270;1016481;1030922;1047478;1068871;1098265;1113099;1145581;1155629;1174914;1196012;1211623;1225182;1239070;1250836;1264847;1277930;1284835;1286808;1282967;1282241;1275882;1266655;1256156;1243948;1238176;1228275;1215055;1205404;1194331;1179391;1165530;1148754;1136235;1122419;1111121;1103137;1087581;1075491;1061274;1045836;1030589;1013626;994513;976400;959136;945178;926458;911981;893976;871291;855161;835259;811005;789421;770549;750933;733106;718383;704439;689531;679040;670560;662769;657140;650412;647398;642943;643698;645301;645689;643713;639944;636360;630497;615814;606667;599031;594397;592641;588517;588052;586208;586110;586205;582789;580992;577630;578340;586564;588519;586506;576481;567194;557614
