Country/Region;Population;Area;Maximum;Per 100,000 inh.;Blank 3;Blank 4;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-08-13;2020-08-14;2020-08-15;2020-08-16;2020-08-17;2020-08-18;2020-08-19;2020-08-20;2020-08-21;2020-08-22;2020-08-23;2020-08-24;2020-08-25;2020-08-26;2020-08-27;2020-08-28;2020-08-29;2020-08-30;2020-08-31;2020-09-01;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27;2020-11-28;2020-11-29;2020-11-30;2020-12-01;2020-12-02;2020-12-03;2020-12-04
Australia;25499884;7682300;27956;109.6318712666;;;;0;0;0;0;4;1;0;1;3;0;3;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;3;9;13;3;5;3;13;15;16;21;36;36;50;47;80;75;116;113;110;280;478;133;362;320;446;333;497;344;377;198;303;254;214;220;137;110;98;115;98;107;88;12;36;64;25;22;60;46;42;13;22;7;10;15;17;20;7;23;8;14;12;21;23;25;28;19;19;5;21;9;22;10;9;30;16;9;10;14;4;9;14;4;15;6;6;13;11;15;19;8;10;19;8;11;7;5;7;6;2;7;11;4;5;26;15;12;23;21;18;2;50;13;18;29;37;37;6;85;78;70;86;81;65;194;183;140;172;131;170;318;179;244;183;271;236;323;423;208;361;267;359;466;408;293;355;453;532;368;279;716;605;377;615;423;412;715;445;382;426;386;313;316;414;231;384;293;252;271;215;216;247;171;195;209;104;138;151;118;126;99;123;76;73;104;126;87;71;71;43;52;92;59;40;43;44;41;47;39;35;48;24;13;14;30;30;8;20;16;24;4;11;23;18;13;12;14;13;25;8;25;20;18;19;22;25;27;20;14;7;12;9;6;38;15;18;19;18;12;14;14;12;14;6;10;6;9;12;8;14;8;6;7;4;2;4;1;6;29;38;9;19;8;7;14;15;13;9;10;12;8;13;6;10;10;11;16;10;7
Austria;9006398;82409;297245;3300.3760215793;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;6;5;4;3;8;12;14;24;25;27;51;64;56;202;151;205;158;314;314;367;375;426;768;892;809;305;1321;748;614;517;830;562;531;418;395;257;270;246;342;303;302;311;251;139;96;185;110;140;119;76;78;46;78;52;77;69;77;77;49;83;45;50;79;27;39;24;29;34;68;22;59;38;11;79;36;61;51;92;41;27;52;32;51;32;50;17;36;18;34;37;27;30;46;2;26;12;34;38;55;4;66;11;26;29;30;14;31;26;54;14;20;48;52;18;39;28;41;28;45;58;74;69;43;107;68;109;115;115;85;56;92;102;94;74;114;51;73;133;116;169;134;82;88;84;102;170;115;124;134;86;119;173;105;175;82;92;81;96;85;130;141;82;114;73;139;194;155;282;303;191;164;295;255;347;331;300;191;242;211;327;328;229;395;181;272;204;327;403;357;358;184;290;520;502;664;580;869;463;382;764;768;780;808;813;621;563;645;681;832;684;714;662;556;609;772;873;688;1058;714;750;923;1029;1209;1131;1235;896;979;1028;1346;1552;1163;1747;1672;1121;1524;1958;2435;2571;3614;2782;2456;2835;3394;4453;5627;5349;4956;4135;4182;6901;7416;6464;8241;5933;5593;6120;7514;9262;9586;7063;5665;4657;5984;7091;6995;6668;6611;5226;3145;4377;5802;5526;4954;4669;4047;2748;3033;3972;3969;3815
Belgium;11589623;30280;587439;5068.6635794797;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;5;10;27;59;60;31;39;28;47;123;122;130;197;172;185;243;309;462;558;586;342;526;668;1298;1049;1850;1702;1063;876;1189;1384;1422;1661;1260;1123;1380;1209;1580;1684;1351;1629;942;530;2454;1236;1329;1045;1313;1487;973;933;908;1496;1032;809;553;647;525;660;513;485;389;361;242;272;639;591;585;485;368;330;202;307;356;345;291;279;232;192;252;276;299;282;250;113;137;257;212;125;195;136;98;70;82;140;165;154;122;89;132;142;108;99;111;71;55;89;104;128;74;87;86;87;88;109;99;103;86;66;66;82;89;129;111;178;42;33;32;87;147;112;238;37;37;91;366;261;207;194;194;164;369;220;352;528;299;402;234;673;671;745;651;447;465;334;510;858;768;617;751;468;388;639;544;922;756;454;211;363;582;699;716;574;468;156;355;583;470;452;647;443;194;251;424;633;630;651;542;402;372;550;877;969;941;977;851;489;1153;2028;1673;1099;1547;1097;1834;1661;1881;2208;1827;1376;1174;1762;1337;2607;3175;3389;2612;1968;2088;3577;5728;5385;7950;5327;3622;7360;8271;10448;10192;10964;9138;8227;9679;13227;16746;17568;17709;15622;12687;13571;21048;23921;20056;16915;11789;6337;5186;15672;11128;8703;6124;6621;2393;4293;7916;5002;4619;6268;4659;1932;2734;5182;4477;3416;3224;1875;1123;1901;3164;2565;3297;3619;2151;746;1867;3040;2605;2582
Brazil;212559417;8358140;6533968;3073.9489655262;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;9;0;7;5;6;7;14;99;6;5;38;121;51;249;172;228;525;378;323;307;431;432;487;352;323;1138;1119;1208;1012;1304;770;1031;1873;2136;1922;1546;1089;1465;1238;1832;3058;2105;3257;2976;1996;2089;2336;2678;4279;4007;5281;3776;4346;5789;6450;7502;5015;4898;4726;6794;6835;11156;9162;11121;9167;6638;6895;8620;11923;13028;17126;13220;7569;14288;16517;19694;18508;20803;16508;15813;11687;16324;20599;26417;26928;33274;16409;11598;28936;28633;30925;30830;27075;18912;15654;32091;32913;30412;25982;21704;17110;20647;34918;32188;22765;54771;34666;15762;23129;39436;42725;39483;46860;38693;30476;24052;33846;46712;48105;42223;37923;26051;20229;45305;44571;42619;45048;39023;24831;20286;41857;39924;45403;34177;28532;23529;20257;41008;67860;59961;55891;51147;24578;23284;40816;69074;57837;52383;45392;25800;16641;51603;57152;53139;50230;49970;23010;22048;52160;55155;60091;50644;41576;23101;19373;47784;49298;45323;30355;50032;23421;17078;47134;47161;44235;43412;41350;16158;45961;42659;46934;43773;50163;31199;14521;10273;14279;35816;40557;43718;33523;14768;15155;36653;36820;36303;39797;33057;16389;13411;33324;33169;33169;31911;28378;14318;13155;32058;33413;36157;29871;29870;8456;11946;41906;31553;27750;27444;26749;12342;8429;10220;27235;28523;30914;24062;13183;13182;23227;24818;24858;30026;26979;13493;15726;29787;28629;26106;22282;18947;10100;8501;11843;23976;20578;20578;22380;10554;10917;23973;48655;33922;29070;38307;14134;13371;35294;34091;35918;38397;32622;18615;16207;31100;47898;37614;34130;51922;24468;21138;50909;49863;50434;46884
Canada;37742154;9093510;406189;1076.2210339134;;;;0;0;0;0;1;0;1;0;0;2;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;2;1;6;4;3;3;3;4;12;5;10;13;2;29;9;76;5;54;163;63;179;143;143;334;192;619;702;461;791;640;894;704;1118;1129;1033;1724;1153;541;2778;807;1309;1269;1513;1405;1257;983;1381;1355;1174;2600;2005;1542;1277;2025;1744;2261;1636;1620;1452;1662;1583;1534;1715;1592;1886;1583;2578;1453;1258;1479;1507;1473;1244;1173;1173;1155;1149;1213;1178;1247;1126;1079;1082;1082;1167;1205;1204;955;1013;971;899;987;933;772;798;809;672;681;628;678;528;703;601;462;479;439;436;448;361;359;324;404;386;437;448;316;340;349;320;376;166;249;315;637;267;191;355;319;223;209;421;208;311;322;328;166;198;636;366;343;451;415;316;293;770;535;317;608;717;355;319;682;400;486;320;604;242;245;205;686;374;354;516;245;219;686;336;314;477;425;220;179;214;866;324;217;694;241;257;777;309;477;456;506;297;249;1030;504;519;586;614;370;379;405;1462;378;821;720;488;476;1458;802;952;1027;1174;554;1143;1833;1272;1084;1148;1630;1053;1658;1791;1772;2116;1823;2124;1306;2141;2883;2372;1624;2350;2895;2142;1636;975;4111;2575;2298;2566;139;3737;3307;2238;2687;2581;2902;1532;2823;4099;2730;2663;3017;3556;2374;2336;3529;4738;2782;2784;5393;4346;3944;4871;4445;3984;5474;4770;4430;4301;6033;4462;4518;4794;4987;4957;4745;6795;5282;4958;5679;5954;5675;5383;7895;5495;6454;6264;6419
China;1439323776;9388211;93348;6.4855456122;;;;548;95;277;486;669;802;2632;578;2054;1661;2089;4739;3086;3991;3733;3147;3523;2704;3015;2525;2032;373;15136;6463;2055;2100;1921;1777;408;458;473;1451;21;219;513;412;434;328;428;576;204;125;125;151;153;80;53;37;27;34;11;13;32;26;30;25;44;54;94;55;130;63;93;70;121;115;102;123;76;81;82;71;79;32;59;63;53;91;74;58;73;120;79;93;50;47;357;27;18;12;36;15;16;15;10;3;6;22;4;12;3;3;2;2;2;2;5;1;14;20;1;7;6;5;9;6;10;9;5;4;5;4;3;11;7;1;3;9;8;5;18;8;7;5;5;6;9;5;4;3;11;7;12;58;49;43;44;36;36;30;29;19;52;29;20;28;24;18;14;23;5;31;14;8;19;14;18;28;33;42;40;39;46;55;54;20;81;75;16;85;119;86;198;139;157;179;189;213;207;223;276;166;172;158;114;107;122;132;120;92;121;113;52;87;99;70;65;96;66;53;33;40;49;38;41;23;34;32;30;22;27;32;19;19;20;33;22;17;33;20;9;13;27;18;23;29;22;16;18;41;17;23;35;12;18;10;15;17;15;27;22;23;17;22;17;20;25;23;15;20;41;23;27;34;18;28;11;36;20;30;17;34;16;22;29;35;20;23;24;47;49;28;40;27;31;55;26;31;43;39;31;43;28;26;33;31;24;21;22;22;13;21;29;42;60;79;95;85;106;86;98;95;133;88;91;120;108;127
Finland;5540720;303890;26758;482.9336259547;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;0;0;0;6;3;0;8;7;10;19;48;48;70;19;33;44;15;64;50;73;103;74;92;88;78;83;126;73;112;66;28;72;97;267;45;249;132;179;118;164;136;69;90;97;76;132;120;192;102;85;146;115;155;111;80;101;119;45;166;89;56;125;78;73;85;161;100;65;142;82;22;19;51;91;83;58;61;33;19;44;50;44;31;11;20;29;64;51;33;50;33;26;2;24;15;15;23;17;20;24;15;24;9;14;17;4;4;5;2;14;9;1;1;11;12;5;19;7;6;5;5;22;5;1;6;5;4;5;3;8;6;12;3;1;6;4;5;4;4;17;5;11;11;10;8;8;5;5;6;10;9;9;11;10;13;17;29;20;22;14;16;17;22;19;41;17;20;11;21;24;29;37;29;35;14;18;43;21;17;23;7;28;9;56;19;39;25;36;30;36;10;93;39;43;45;23;47;98;25;49;59;64;58;66;149;93;91;105;93;105;61;149;100;111;141;147;147;164;227;120;296;235;269;149;214;287;204;241;189;160;131;131;294;222;184;219;178;196;122;193;215;188;344;203;178;109;237;293;189;266;206;206;90;220;238;197;316;244;213;104;228;288;351;461;469;423;297;353;363;496;618;541;322;283;550;420;540;336
France;65273511;547557;2267019;3473.1071843217;;;;0;0;2;1;0;0;1;1;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;4;20;19;43;30;61;13;81;92;276;296;177;83;575;497;690;690;808;30;2134;1019;1391;1828;1741;1670;1736;3838;2448;2929;3922;3809;4611;2599;4376;7578;4861;2116;5233;4267;1873;3912;3777;3881;4286;4342;3114;26843;3665;4959;3216;12471;1979;2443;2442;2380;2733;53;52;1610;1656;555;3742;3016;47;47;47;46;47;47;1049;3530;575;1278;440;269;452;728;253;252;607;78;79;78;874;641;237;339;319;101;101;1048;1047;1048;507;1800;235;101;55;56;55;552;529;293;98;335;397;358;564;393;291;68;227;311;201;569;436;5;325;382;298;298;298;254;255;254;264;612;473;446;281;282;281;341;438;437;486;374;373;374;384;383;401;709;598;598;598;454;945;835;942;749;749;749;677;562;561;2628;775;775;775;775;1285;1285;3714;1302;1303;1302;2245;2245;2620;2620;3231;1653;1652;3671;3671;3670;3671;3540;4677;1842;3063;5185;5963;7052;5333;5332;2855;4776;6779;6926;8856;6490;6490;6490;6262;8507;8750;9406;7552;7553;7552;7796;9501;10105;13012;9665;9666;9665;9982;13901;13900;15797;8426;8426;8426;11858;12217;12918;12146;11408;11409;11408;10335;17647;18014;19956;14319;14318;14319;21317;21696;30590;24768;25068;25068;25068;20468;26304;41575;41816;41304;41304;41304;33260;34848;47616;49215;35343;46290;51765;35987;40753;57340;60232;62707;62707;19571;21454;35683;33048;23620;32059;27228;9072;45498;27996;21130;22845;17651;13157;4150;9118;15239;13541;12335;12559;9784;3866;7857;13973;12661;11107
Germany;83783942;348560;1157514;1381.5463588476;;;;0;0;0;0;0;1;3;0;0;1;3;2;2;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;19;2;31;51;29;37;66;220;188;129;241;136;281;451;170;1597;910;1210;1477;1985;3070;2993;4528;2365;2660;4183;3930;4337;6615;6933;6824;4400;4790;4923;6064;6922;6365;4933;4031;3251;4289;5633;4885;3990;2737;2946;2218;1287;3394;2945;3699;1945;1842;1881;1226;2357;2481;1870;1514;1257;988;1154;1627;1470;1068;890;697;488;855;1155;1268;1158;736;555;697;595;927;380;755;519;617;182;1227;695;548;689;276;342;272;600;324;672;726;267;221;184;285;242;351;452;526;300;359;397;16;169;535;41;251;164;570;352;1213;482;371;602;496;712;391;500;665;422;235;349;376;475;477;410;418;325;541;279;356;302;331;377;210;261;276;434;560;595;381;309;590;392;559;605;742;655;389;445;595;839;989;864;606;215;891;717;1285;926;1157;707;385;1220;1032;1319;1422;1510;697;519;1693;1420;1586;1586;1737;832;633;1628;1461;1427;1561;1555;709;470;1497;1213;1396;1429;1443;775;670;1898;1331;1476;1716;1586;1082;920;1485;1792;1855;2179;2199;1685;1033;1595;1852;1613;2321;2366;1314;1313;2292;1840;2442;2626;2835;1653;1546;3100;2454;4010;4804;4554;2968;2846;6541;4464;7173;7620;7695;4862;4007;8397;8523;12331;5952;13476;10458;9890;12560;13161;16202;18733;19382;14054;12556;25252;7533;31480;22561;22820;14122;14510;6522;26547;22401;24738;22261;14640;3213;14580;26231;23727;24041;22593;13872;4377;14455;16370;32687;21951;20819;13845;3197;14221;24766;23275;23591;15970
India;1380004385;2973190;9608211;696.2449615695;;;;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;23;2;1;3;5;4;13;6;11;9;20;11;6;23;14;38;50;86;66;103;37;121;70;160;100;37;227;146;601;545;24;515;506;1190;533;605;809;873;848;759;1248;1034;835;1108;922;1370;1893;924;1541;1290;1707;1453;1753;1607;1561;1873;1738;1801;2394;2442;2806;3932;2963;3587;3364;3344;3113;4353;3607;3524;3763;3942;3787;4864;5050;4630;6147;5553;6198;6568;6629;7113;6414;5843;7293;7300;8105;8336;8782;7761;8821;9633;9889;9471;10438;10864;8442;10218;10459;10930;11458;11929;11502;10667;10974;12881;13586;14516;15403;14831;14933;15968;16922;17296;18552;19906;19459;18522;18641;19160;20903;22771;24850;24248;22251;22753;24879;26506;27114;28606;28732;28498;29429;32676;34975;35252;38697;40425;37132;37740;45720;49310;48916;48611;49981;44457;51596;50294;52783;61242;54735;52972;52050;52509;56282;62538;61537;64399;62064;53601;60963;66999;64553;64732;64030;57711;55018;64572;69672;68900;69876;69239;61408;60975;57224;85687;77266;76472;78761;78512;69921;78357;83883;83341;86432;90632;90802;75809;89706;95735;96551;97570;94372;92071;83809;90123;97894;96424;93337;92605;86961;75083;83347;86508;86052;85362;88600;82170;70589;80472;86821;81484;79476;75829;74442;61267;72049;78524;70496;73272;74383;66732;55342;63509;67708;63371;62212;61871;55722;46790;54044;55839;54366;53370;50129;45148;36470;43893;49881;48648;48268;46963;45231;38310;46253;50210;47638;50356;45674;45903;38073;44281;47905;44879;44684;41100;30548;29163;38617;45576;45882;46232;45209;44059;37975;44376;44489;43082;41322;41810;38772;31118;36604;35551;36595;36652
