Country/Region;Population;Area;Maximum;Per 100,000 inh.;Blank 3;Blank 4;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-08-13;2020-08-14;2020-08-15;2020-08-16;2020-08-17;2020-08-18;2020-08-19;2020-08-20;2020-08-21;2020-08-22;2020-08-23;2020-08-24;2020-08-25;2020-08-26;2020-08-27;2020-08-28;2020-08-29;2020-08-30;2020-08-31;2020-09-01;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27;2020-11-28;2020-11-29;2020-11-30;2020-12-01;2020-12-02;2020-12-03;2020-12-04
Australia;25499884;7682300;27956;109.6318712666;;;;0;0;0;0;4;5;5;6;9;9;12;12;12;13;13;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;25;27;30;39;52;55;60;63;76;91;107;128;164;200;250;297;377;452;568;681;791;1071;1549;1682;2044;2364;2810;3143;3640;3984;4361;4559;4862;5116;5330;5550;5687;5797;5895;6010;6108;6215;6303;6315;6351;6415;6440;6462;6522;6568;6610;6623;6645;6652;6662;6677;6694;6714;6721;6744;6752;6766;6778;6799;6822;6847;6875;6894;6913;6918;6939;6948;6970;6980;6989;7019;7035;7044;7054;7068;7072;7081;7095;7099;7114;7120;7126;7139;7150;7165;7184;7192;7202;7221;7229;7240;7247;7252;7259;7265;7267;7274;7285;7289;7294;7320;7335;7347;7370;7391;7409;7411;7461;7474;7492;7521;7558;7595;7601;7686;7764;7834;7920;8001;8066;8260;8443;8583;8755;8886;9056;9374;9553;9797;9980;10251;10487;10810;11233;11441;11802;12069;12428;12894;13302;13595;13950;14403;14935;15303;15582;16298;16903;17280;17895;18318;18730;19445;19890;20272;20698;21084;21397;21713;22127;22358;22742;23035;23287;23558;23773;23989;24236;24407;24602;24811;24915;25053;25204;25322;25448;25547;25670;25746;25819;25923;26049;26136;26207;26278;26321;26373;26465;26524;26564;26607;26651;26692;26739;26778;26813;26861;26885;26898;26912;26942;26972;26980;27000;27016;27040;27044;27055;27078;27096;27109;27121;27135;27148;27173;27181;27206;27226;27244;27263;27285;27310;27337;27357;27371;27378;27390;27399;27405;27443;27458;27476;27495;27513;27525;27539;27553;27565;27579;27585;27595;27601;27610;27622;27630;27644;27652;27658;27665;27669;27671;27675;27676;27682;27711;27749;27758;27777;27785;27792;27806;27821;27834;27843;27853;27865;27873;27886;27892;27902;27912;27923;27939;27949;27956
Austria;9006398;82409;297245;3300.3760215793;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;9;14;18;21;29;41;55;79;104;131;182;246;302;504;655;860;1018;1332;1646;2013;2388;2814;3582;4474;5283;5588;6909;7657;8271;8788;9618;10180;10711;11129;11524;11781;12051;12297;12639;12942;13244;13555;13806;13945;14041;14226;14336;14476;14595;14671;14749;14795;14873;14925;15002;15071;15148;15225;15274;15357;15402;15452;15531;15558;15597;15621;15650;15684;15752;15774;15833;15871;15882;15961;15997;16058;16109;16201;16242;16269;16321;16353;16404;16436;16486;16503;16539;16557;16591;16628;16655;16685;16731;16733;16759;16771;16805;16843;16898;16902;16968;16979;17005;17034;17064;17078;17109;17135;17189;17203;17223;17271;17323;17341;17380;17408;17449;17477;17522;17580;17654;17723;17766;17873;17941;18050;18165;18280;18365;18421;18513;18615;18709;18783;18897;18948;19021;19154;19270;19439;19573;19655;19743;19827;19929;20099;20214;20338;20472;20558;20677;20850;20955;21130;21212;21304;21385;21481;21566;21696;21837;21919;22033;22106;22245;22439;22594;22876;23179;23370;23534;23829;24084;24431;24762;25062;25253;25495;25706;26033;26361;26590;26985;27166;27438;27642;27969;28372;28729;29087;29271;29561;30081;30583;31247;31827;32696;33159;33541;34305;35073;35853;36661;37474;38095;38658;39303;39984;40816;41500;42214;42876;43432;44041;44813;45686;46374;47432;48146;48896;49819;50848;52057;53188;54423;55319;56298;57326;58672;60224;61387;63134;64806;65927;67451;69409;71844;74415;78029;80811;83267;86102;89496;93949;99576;104925;109881;114016;118198;125099;132515;138979;147220;153153;158746;164866;172380;181642;191228;198291;203956;208613;214597;221688;228683;235351;241962;247188;250333;254710;260512;266038;270992;275661;279708;282456;285489;289461;293430;297245
Belgium;11589623;30280;587439;5068.6635794797;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;8;13;23;50;109;169;200;239;267;314;437;559;689;886;1058;1243;1486;1795;2257;2815;3401;3743;4269;4937;6235;7284;9134;10836;11899;12775;13964;15348;16770;18431;19691;20814;22194;23403;24983;26667;28018;29647;30589;31119;33573;34809;36138;37183;38496;39983;40956;41889;42797;44293;45325;46134;46687;47334;47859;48519;49032;49517;49906;50267;50509;50781;51420;52011;52596;53081;53449;53779;53981;54288;54644;54989;55280;55559;55791;55983;56235;56511;56810;57092;57342;57455;57592;57849;58061;58186;58381;58517;58615;58685;58767;58907;59072;59226;59348;59437;59569;59711;59819;59918;60029;60100;60155;60244;60348;60476;60550;60637;60723;60810;60898;61007;61106;61209;61295;61361;61427;61509;61598;61727;61838;62016;62058;62091;62123;62210;62357;62469;62707;62744;62781;62872;63238;63499;63706;63900;64094;64258;64627;64847;65199;65727;66026;66428;66662;67335;68006;68751;69402;69849;70314;70648;71158;72016;72784;73401;74152;74620;75008;75647;76191;77113;77869;78323;78534;78897;79479;80178;80894;81468;81936;82092;82447;83030;83500;83952;84599;85042;85236;85487;85911;86544;87174;87825;88367;88769;89141;89691;90568;91537;92478;93455;94306;94795;95948;97976;99649;100748;102295;103392;105226;106887;108768;110976;112803;114179;115353;117115;118452;121059;124234;127623;130235;132203;134291;137868;143596;148981;156931;162258;165880;173240;181511;191959;202151;213115;222253;230480;240159;253386;270132;287700;305409;321031;333718;347289;368337;392258;412314;429229;441018;447355;452541;468213;479341;488044;494168;500789;503182;507475;515391;520393;525012;531280;535939;537871;540605;545787;550264;553680;556904;558779;559902;561803;564967;567532;570829;574448;576599;577345;579212;582252;584857;587439
Brazil;212559417;8358140;6533968;3073.9489655262;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;4;4;13;13;20;25;31;38;52;151;157;162;200;321;372;621;793;1021;1546;1924;2247;2554;2985;3417;3904;4256;4579;5717;6836;8044;9056;10360;11130;12161;14034;16170;18092;19638;20727;22192;23430;25262;28320;30425;33682;36658;38654;40743;43079;45757;50036;54043;59324;63100;67446;73235;79685;87187;92202;97100;101826;108620;115455;126611;135773;146894;156061;162699;169594;178214;190137;203165;220291;233511;241080;255368;271885;291579;310087;330890;347398;363211;374898;391222;411821;438238;465166;498440;514849;526447;555383;584016;614941;645771;672846;691758;707412;739503;772416;802828;828810;850514;867624;888271;923189;955377;978142;1032913;1067579;1083341;1106470;1145906;1188631;1228114;1274974;1313667;1344143;1368195;1402041;1448753;1496858;1539081;1577004;1603055;1623284;1668589;1713160;1755779;1800827;1839850;1864681;1884967;1926824;1966748;2012151;2046328;2074860;2098389;2118646;2159654;2227514;2287475;2343366;2394513;2419091;2442375;2483191;2552265;2610102;2662485;2707877;2733677;2750318;2801921;2859073;2912212;2962442;3012412;3035422;3057470;3109630;3164785;3224876;3275520;3317096;3340197;3359570;3407354;3456652;3501975;3532330;3582362;3605783;3622861;3669995;3717156;3761391;3804803;3846153;3862311;3908272;3950931;3997865;4041638;4091801;4123000;4137521;4147794;4162073;4197889;4238446;4282164;4315687;4330455;4345610;4382263;4419083;4455386;4495183;4528240;4544629;4558040;4591364;4624533;4657702;4689613;4717991;4732309;4745464;4777522;4810935;4847092;4876963;4906833;4915289;4927235;4969141;5000694;5028444;5055888;5082637;5094979;5103408;5113628;5140863;5169386;5200300;5224362;5237545;5250727;5273954;5298772;5323630;5353656;5380635;5394128;5409854;5439641;5468270;5494376;5516658;5535605;5545705;5554206;5566049;5590025;5610603;5631181;5653561;5664115;5675032;5699005;5747660;5781582;5810652;5848959;5863093;5876464;5911758;5945849;5981767;6020164;6052786;6071401;6087608;6118708;6166606;6204220;6238350;6290272;6314740;6335878;6386787;6436650;6487084;6533968
Canada;37742154;9093510;406189;1076.2210339134;;;;0;0;0;0;1;1;2;2;2;4;4;4;4;4;5;5;7;7;7;7;7;7;7;7;7;7;8;8;8;8;9;9;9;10;11;11;13;14;20;24;27;30;33;37;49;54;64;77;79;108;117;193;198;252;415;478;657;800;943;1277;1469;2088;2790;3251;4042;4682;5576;6280;7398;8527;9560;11284;12437;12978;15756;16563;17872;19141;20654;22059;23316;24299;25680;27035;28209;30809;32814;34356;35633;37658;39402;41663;43299;44919;46371;48033;49616;51150;52865;54457;56343;57926;60504;61957;63215;64694;66201;67674;68918;70091;71264;72419;73568;74781;75959;77206;78332;79411;80493;81575;82742;83947;85151;86106;87119;88090;88989;89976;90909;91681;92479;93288;93960;94641;95269;95947;96475;97178;97779;98241;98720;99159;99595;100043;100404;100763;101087;101491;101877;102314;102762;103078;103418;103767;104087;104463;104629;104878;105193;105830;106097;106288;106643;106962;107185;107394;107815;108023;108334;108656;108984;109150;109348;109984;110350;110693;111144;111559;111875;112168;112938;113473;113790;114398;115115;115470;115789;116471;116871;117357;117677;118281;118523;118768;118973;119659;120033;120387;120903;121148;121367;122053;122389;122703;123180;123605;123825;124004;124218;125084;125408;125625;126319;126560;126817;127594;127903;128380;128836;129342;129639;129888;130918;131422;131941;132527;133141;133511;133890;134295;135757;136135;136956;137676;138164;138640;140098;140900;141852;142879;144053;144607;145750;147583;148855;149939;151087;152717;153770;155428;157219;158991;161107;162930;165054;166360;168501;171384;173756;175380;177730;180625;182767;184403;185378;189489;192064;194362;196928;197067;200804;204111;206349;209036;211617;214519;216051;218874;222973;225703;228366;231383;234939;237313;239649;243178;247916;250698;253482;258875;263221;267165;272036;276481;280465;285939;290709;295139;299440;305473;309935;314453;319247;324234;329191;333936;340731;346013;350971;356650;362604;368279;373662;381557;387052;393506;399770;406189
China;1439323776;9388211;93348;6.4855456122;;;;548;643;920;1406;2075;2877;5509;6087;8141;9802;11891;16630;19716;23707;27440;30587;34110;36814;39829;42354;44386;44759;59895;66358;68413;70513;72434;74211;74619;75077;75550;77001;77022;77241;77754;78166;78600;78928;79356;79932;80136;80261;80386;80537;80690;80770;80823;80860;80887;80921;80932;80945;80977;81003;81033;81058;81102;81156;81250;81305;81435;81498;81591;81661;81782;81897;81999;82122;82198;82279;82361;82432;82511;82543;82602;82665;82718;82809;82883;82941;83014;83134;83213;83306;83356;83403;83760;83787;83805;83817;83853;83868;83884;83899;83909;83912;83918;83940;83944;83956;83959;83962;83964;83966;83968;83970;83975;83976;83990;84010;84011;84018;84024;84029;84038;84044;84054;84063;84068;84072;84077;84081;84084;84095;84102;84103;84106;84115;84123;84128;84146;84154;84161;84166;84171;84177;84186;84191;84195;84198;84209;84216;84228;84286;84335;84378;84422;84458;84494;84524;84553;84572;84624;84653;84673;84701;84725;84743;84757;84780;84785;84816;84830;84838;84857;84871;84889;84917;84950;84992;85032;85071;85117;85172;85226;85246;85327;85402;85418;85503;85622;85708;85906;86045;86202;86381;86570;86783;86990;87213;87489;87655;87827;87985;88099;88206;88328;88460;88580;88672;88793;88906;88958;89045;89144;89214;89279;89375;89441;89494;89527;89567;89616;89654;89695;89718;89752;89784;89814;89836;89863;89895;89914;89933;89953;89986;90008;90025;90058;90078;90087;90100;90127;90145;90168;90197;90219;90235;90253;90294;90311;90334;90369;90381;90399;90409;90424;90441;90456;90483;90505;90528;90545;90567;90584;90604;90629;90652;90667;90687;90728;90751;90778;90812;90830;90858;90869;90905;90925;90955;90972;91006;91022;91044;91073;91108;91128;91151;91175;91222;91271;91299;91339;91366;91397;91452;91478;91509;91552;91591;91622;91665;91693;91719;91752;91783;91807;91828;91850;91872;91885;91906;91935;91977;92037;92116;92211;92296;92402;92488;92586;92681;92814;92902;92993;93113;93221;93348
Finland;5540720;303890;26758;482.9336259547;;;;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;6;6;6;6;12;15;15;23;30;40;59;107;155;225;244;277;321;336;400;450;523;626;700;792;880;958;1041;1167;1240;1352;1418;1446;1518;1615;1882;1927;2176;2308;2487;2605;2769;2905;2974;3064;3161;3237;3369;3489;3681;3783;3868;4014;4129;4284;4395;4475;4576;4695;4740;4906;4995;5051;5176;5254;5327;5412;5573;5673;5738;5880;5962;5984;6003;6054;6145;6228;6286;6347;6380;6399;6443;6493;6537;6568;6579;6599;6628;6692;6743;6776;6826;6859;6885;6887;6911;6926;6941;6964;6981;7001;7025;7040;7064;7073;7087;7104;7108;7112;7117;7119;7133;7142;7143;7144;7155;7167;7172;7191;7198;7204;7209;7214;7236;7241;7242;7248;7253;7257;7262;7265;7273;7279;7291;7294;7295;7301;7305;7310;7314;7318;7335;7340;7351;7362;7372;7380;7388;7393;7398;7404;7414;7423;7432;7443;7453;7466;7483;7512;7532;7554;7568;7584;7601;7623;7642;7683;7700;7720;7731;7752;7776;7805;7842;7871;7906;7920;7938;7981;8002;8019;8042;8049;8077;8086;8142;8161;8200;8225;8261;8291;8327;8337;8430;8469;8512;8557;8580;8627;8725;8750;8799;8858;8922;8980;9046;9195;9288;9379;9484;9577;9682;9743;9892;9992;10103;10244;10391;10538;10702;10929;11049;11345;11580;11849;11998;12212;12499;12703;12944;13133;13293;13424;13555;13849;14071;14255;14474;14652;14848;14970;15163;15378;15566;15910;16113;16291;16400;16637;16930;17119;17385;17591;17797;17887;18107;18345;18542;18858;19102;19315;19419;19647;19935;20286;20747;21216;21639;21936;22289;22652;23148;23766;24307;24629;24912;25462;25882;26422;26758
France;65273511;547557;2267019;3473.1071843217;;;;0;0;2;3;3;3;4;5;5;5;6;6;6;6;6;6;6;11;11;11;11;11;11;11;12;12;12;12;12;12;12;12;12;12;14;18;38;57;100;130;191;204;285;377;653;949;1126;1209;1784;2281;2971;3661;4469;4499;6633;7652;9043;10871;12612;14282;16018;19856;22304;25233;29155;32964;37575;40174;44550;52128;56989;59105;64338;68605;70478;74390;78167;82048;86334;90676;93790;120633;124298;129257;132473;144944;146923;149366;151808;154188;156921;156974;157026;158636;160292;160847;164589;167605;167652;167699;167746;167792;167839;167886;168935;172465;173040;174318;174758;175027;175479;176207;176460;176712;177319;177397;177476;177554;178428;179069;179306;179645;179964;180065;180166;181214;182261;183309;183816;185616;185851;185952;186007;186063;186118;186670;187199;187492;187590;187925;188322;188680;189244;189637;189928;189996;190223;190534;190735;191304;191740;191745;192070;192452;192750;193048;193346;193600;193855;194109;194373;194985;195458;195904;196185;196467;196748;197089;197527;197964;198450;198824;199197;199571;199955;200338;200739;201448;202046;202644;203242;203696;204641;205476;206418;207167;207916;208665;209342;209904;210465;213093;213868;214643;215418;216193;217478;218763;222477;223779;225082;226384;228629;230874;233494;236114;239345;240998;242650;246321;249992;253662;257333;260873;265550;267392;270455;275640;281603;288655;293988;299320;302175;306951;313730;320656;329512;336002;342492;348982;355244;363751;372501;381907;389459;397012;404564;412360;421861;431966;444978;454643;464309;473974;483956;497857;511757;527554;535980;544406;552832;564690;576907;589825;601971;613379;624788;636196;646531;664178;682192;702148;716467;730785;745104;766421;788117;818707;843475;868543;893611;918679;939147;965451;1007026;1048842;1090146;1131450;1172754;1206014;1240862;1288478;1337693;1373036;1419326;1471091;1507078;1547831;1605171;1665403;1728110;1790817;1810388;1831842;1867525;1900573;1924193;1956252;1983480;1992552;2038050;2066046;2087176;2110021;2127672;2140829;2144979;2154097;2169336;2182877;2195212;2207771;2217555;2221421;2229278;2243251;2255912;2267019
Germany;83783942;348560;1157514;1381.5463588476;;;;0;0;0;0;0;1;4;4;4;5;8;10;12;12;12;12;13;13;14;14;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;27;46;48;79;130;159;196;262;482;670;799;1040;1176;1457;1908;2078;3675;4585;5795;7272;9257;12327;15320;19848;22213;24873;29056;32986;37323;43938;50871;57695;62095;66885;71808;77872;84794;91159;96092;100123;103374;107663;113296;118181;122171;124908;127854;130072;131359;134753;137698;141397;143342;145184;147065;148291;150648;153129;154999;156513;157770;158758;159912;161539;163009;164077;164967;165664;166152;167007;168162;169430;170588;171324;171879;172576;173171;174098;174478;175233;175752;176369;176551;177778;178473;179021;179710;179986;180328;180600;181200;181524;182196;182922;183189;183410;183594;183879;184121;184472;184924;185450;185750;186109;186506;186522;186691;187226;187267;187518;187682;188252;188604;189817;190299;190670;191272;191768;192480;192871;193371;194036;194458;194693;195042;195418;195893;196370;196780;197198;197523;198064;198343;198699;199001;199332;199709;199919;200180;200456;200890;201450;202045;202426;202735;203325;203717;204276;204881;205623;206278;206667;207112;207707;208546;209535;210399;211005;211220;212111;212828;214113;215039;216196;216903;217288;218508;219540;220859;222281;223791;224488;225007;226700;228120;229706;231292;233029;233861;234494;236122;237583;239010;240571;242126;242835;243305;244802;246015;247411;248840;250283;251058;251728;253626;254957;256433;258149;259735;260817;261737;263222;265014;266869;269048;271247;272932;273965;275560;277412;279025;281346;283712;285026;286339;288631;290471;292913;295539;298374;300027;301573;304673;307127;311137;315941;320495;323463;326309;332850;337314;344487;352107;359802;364664;368671;377068;385591;397922;403874;417350;427808;437698;450258;463419;479621;498354;517736;531790;544346;569598;577131;608611;631172;653992;668114;682624;689146;715693;738094;762832;785093;799733;802946;817526;843757;867484;891525;914118;927990;932367;946822;963192;995879;1017830;1038649;1052494;1055691;1069912;1094678;1117953;1141544;1157514
India;1380004385;2973190;9608211;696.2449615695;;;;0;0;0;0;0;0;0;0;1;1;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;28;30;31;34;39;43;56;62;73;82;102;113;119;142;156;194;244;330;396;499;536;657;727;887;987;1024;1251;1397;1998;2543;2567;3082;3588;4778;5311;5916;6725;7598;8446;9205;10453;11487;12322;13430;14352;15722;17615;18539;20080;21370;23077;24530;26283;27890;29451;31324;33062;34863;37257;39699;42505;46437;49400;52987;56351;59695;62808;67161;70768;74292;78055;81997;85784;90648;95698;100328;106475;112028;118226;124794;131423;138536;144950;150793;158086;165386;173491;181827;190609;198370;207191;216824;226713;236184;246622;257486;265928;276146;286605;297535;308993;320922;332424;343091;354065;366946;380532;395048;410451;425282;440215;456183;473105;490401;508953;528859;548318;566840;585481;604641;625544;648315;673165;697413;719664;742417;767296;793802;820916;849522;878254;906752;936181;968857;1003832;1039084;1077781;1118206;1155338;1193078;1238798;1288108;1337024;1385635;1435616;1480073;1531669;1581963;1634746;1695988;1750723;1803695;1855745;1908254;1964536;2027074;2088611;2153010;2215074;2268675;2329638;2396637;2461190;2525922;2589952;2647663;2702681;2767253;2836925;2905825;2975701;3044940;3106348;3167323;3224547;3310234;3387500;3463972;3542733;3621245;3691166;3769523;3853406;3936747;4023179;4113811;4204613;4280422;4370128;4465863;4562414;4659984;4754356;4846427;4930236;5020359;5118253;5214677;5308014;5400619;5487580;5562663;5646010;5732518;5818570;5903932;5992532;6074702;6145291;6225763;6312584;6394068;6473544;6549373;6623815;6685082;6757131;6835655;6906151;6979423;7053806;7120538;7175880;7239389;7307097;7370468;7432680;7494551;7550273;7597063;7651107;7706946;7761312;7814682;7864811;7909959;7946429;7990322;8040203;8088851;8137119;8184082;8229313;8267623;8313876;8364086;8411724;8462080;8507754;8553657;8591730;8636011;8683916;8728795;8773479;8814579;8845127;8874290;8912907;8958483;9004365;9050597;9095806;9139865;9177840;9222216;9266705;9309787;9351109;9392919;9431691;9462809;9499413;9534964;9571559;9608211
