Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-08-13;2020-08-14;2020-08-15;2020-08-16;2020-08-17;2020-08-18;2020-08-19;2020-08-20;2020-08-21;2020-08-22;2020-08-23;2020-08-24;2020-08-25;2020-08-26;2020-08-27;2020-08-28;2020-08-29;2020-08-30;2020-08-31;2020-09-01;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27;2020-11-28;2020-11-29;2020-11-30;2020-12-01;2020-12-02;2020-12-03;2020-12-04
Australia;25499884;7682300;908;3.5608005119;0.0324796108;0.0325541374;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;3;3;3;3;3;3;3;3;3;5;6;6;7;7;7;7;8;8;13;13;14;16;17;18;20;24;28;30;35;40;45;50;51;54;57;60;61;62;63;65;66;67;69;70;72;73;75;79;80;83;86;89;91;93;94;94;95;96;97;97;97;97;98;98;98;98;98;98;99;99;99;100;100;101;101;102;102;102;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;103;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;105;105;105;105;105;105;106;106;106;106;106;107;107;107;108;109;110;111;113;116;118;122;123;126;128;133;139;145;155;161;167;176;189;196;201;208;221;232;247;255;266;278;295;313;331;352;361;375;379;396;421;438;450;463;472;485;502;517;525;549;572;583;600;611;652;657;663;678;737;748;753;762;770;781;788;797;803;810;816;820;824;832;837;844;849;851;854;859;861;869;870;872;875;882;886;888;890;893;894;895;895;897;897;898;898;898;899;899;904;904;904;905;905;905;905;905;906;906;906;906;907;907;907;907;907;907;907;907;907;907;907;907;907;907;907;907;907;907;907;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908;908
Austria;9006398;82409;3651;40.5378487604;0.012282797;0.0132445286;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;3;4;6;6;8;16;21;28;30;49;58;68;86;108;128;146;158;168;186;204;220;243;273;295;319;337;350;368;384;393;410;431;443;452;470;491;510;522;530;536;542;549;569;580;584;589;596;598;600;606;608;609;614;615;618;620;623;624;626;628;629;630;631;632;633;634;635;639;640;641;643;645;668;668;668;669;669;669;670;671;672;672;672;673;673;673;674;675;677;678;678;681;687;688;689;689;690;692;693;696;698;699;700;702;703;705;705;705;706;706;706;706;707;707;707;707;708;708;709;709;710;711;711;711;711;711;712;712;712;712;712;713;713;715;716;718;718;718;719;719;719;719;720;720;721;722;723;724;724;725;727;728;729;729;729;730;730;730;732;733;733;733;733;733;734;734;734;734;734;735;735;735;736;736;746;747;748;748;750;754;756;757;758;758;761;763;765;766;767;771;777;783;786;787;789;790;796;799;802;803;809;813;818;822;830;838;842;852;854;855;861;872;877;882;889;893;904;914;925;941;954;965;979;992;1005;1027;1056;1082;1109;1130;1159;1192;1227;1268;1340;1377;1411;1454;1499;1564;1608;1661;1746;1829;1887;1945;2054;2116;2224;2328;2388;2459;2577;2667;2773;2886;3018;3105;3184;3325;3446;3538;3651
Belgium;11589623;30280;17142;147.9081761331;0.0291809022;0.0298408211;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;4;4;5;10;14;21;37;67;75;88;122;178;220;289;353;431;513;705;828;1011;1143;1283;1447;1632;2035;2240;2523;3019;3346;3600;3903;4157;4440;4857;5163;5453;5683;5828;5998;6262;6490;6679;6917;7094;7207;7331;7501;7594;7703;7765;7844;7924;8016;8339;8415;8521;8581;8656;8707;8761;8843;8903;8959;9005;9052;9080;9108;9150;9186;9212;9237;9280;9312;9334;9364;9388;9430;9453;9467;9486;9505;9522;9548;9566;9580;9595;9606;9619;9629;9636;9646;9650;9655;9661;9663;9675;9683;9695;9696;9702;9707;9713;9722;9726;9731;9732;9737;9742;9747;9754;9761;9765;9771;9773;9774;9775;9776;9778;9781;9782;9784;9785;9787;9788;9795;9800;9802;9803;9805;9807;9808;9812;9817;9821;9822;9822;9833;9836;9840;9841;9845;9848;9850;9852;9859;9861;9866;9870;9872;9879;9885;9900;9916;9924;9935;9939;9944;9959;9969;9976;9985;9988;9992;9996;9996;9996;9996;9997;9997;9997;9997;9997;9997;9997;9998;9998;9998;9998;9998;9998;9998;9999;9999;9999;9999;9999;9999;9999;9999;10000;10000;10000;10000;10000;10000;10000;10001;10001;10001;10001;10016;10023;10037;10044;10064;10078;10092;10108;10126;10151;10175;10191;10211;10244;10278;10327;10359;10392;10413;10443;10489;10539;10588;10658;10737;10810;10899;11038;11170;11308;11452;11625;11737;11858;12126;12331;12520;12708;12907;13055;13216;13561;13758;13891;14106;14303;14421;14616;14839;15025;15196;15352;15522;15618;15755;15938;16077;16219;16339;16461;16547;16645;16786;16911;17033;17142
Brazil;212559417;8358140;175964;82.783441206;0.0269306492;0.027973989;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;6;11;15;25;34;46;59;77;92;111;136;159;201;240;324;359;445;486;564;686;819;950;1057;1124;1223;1328;1532;1736;1924;2141;2354;2462;2587;2741;2906;3331;3704;4057;4286;4603;5083;5513;6006;6412;6761;7051;7367;7938;8588;9190;10017;10656;11123;11653;12461;13240;13999;14962;15662;16118;16853;17983;18859;20047;21048;22013;22666;23473;24512;25598;26754;27878;28834;29314;29937;31199;32548;34021;35026;35930;36455;37134;38406;39680;40919;41828;42720;43332;43959;45241;46510;47748;48954;49976;50591;51271;52645;53830;54971;55961;57070;57622;58314;59594;60632;61884;63174;64265;64867;65487;66741;67964;69184;70398;71469;72100;72833;74133;75366;76688;77851;78772;79488;80120;81487;82771;84082;85238;86449;87004;87618;88539;90134;91263;92475;93563;94104;94665;95819;97256;98493;99572;100477;101049;101752;103026;104201;105463;106523;107232;107852;108536;109888;111100;112304;113358;114250;114744;115309;116580;117665;118649;119504;120262;120828;121381;122596;123780;124614;125502;126203;126650;126960;127464;128539;129522;130396;131210;131625;132006;133119;134106;134935;135793;136532;136895;137272;138105;138957;139808;140537;141406;141741;142058;142921;143952;144680;145334;145987;146352;146675;147494;148228;148957;149639;150198;150488;150689;150998;151747;152460;153214;153675;153926;154176;154837;155403;155900;156471;156903;157134;157397;157946;158456;158969;159477;159884;160074;160253;160496;161106;161561;162015;162269;162397;162628;162802;163368;164281;164737;165658;165798;166014;166699;167455;168061;168613;168989;169183;169485;170115;170769;171460;171974;172561;172833;173120;173817;174515;175270;175964
Canada;37742154;9093510;12519;33.1698079553;0.0308206278;0.0339932497;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;4;5;8;9;12;19;21;25;26;30;38;54;61;64;80;101;109;139;179;218;259;339;375;407;503;557;654;714;781;901;1008;1259;1356;1401;1565;1727;1910;2078;2241;2402;2571;2687;2841;2983;3155;3310;3537;3684;3795;4003;4190;4366;4541;4697;4823;4991;5115;5300;5425;5592;5679;5800;5903;5960;6028;6150;6267;6360;6466;6534;6655;6753;6876;6982;7063;7159;7374;7404;7478;7579;7717;7778;7850;7877;7910;7970;8038;8071;8125;8183;8218;8228;8271;8312;8361;8408;8466;8482;8494;8512;8544;8567;8571;8576;8582;8628;8650;8678;8700;8722;8732;8739;8748;8765;8786;8797;8811;8818;8829;8836;8845;8857;8875;8884;8892;8896;8902;8908;8913;8919;8923;8929;8934;8945;8957;8962;8974;8980;8986;8990;8995;9005;9010;9013;9017;9024;9028;9034;9038;9052;9063;9068;9072;9074;9075;9090;9095;9097;9110;9117;9119;9129;9136;9141;9148;9155;9161;9164;9173;9179;9182;9189;9190;9192;9194;9196;9203;9204;9213;9214;9220;9225;9229;9239;9244;9249;9256;9262;9267;9279;9286;9294;9297;9306;9313;9318;9328;9340;9346;9368;9466;9488;9533;9560;9582;9593;9609;9638;9661;9666;9680;9707;9719;9756;9781;9782;9816;9832;9849;9883;9916;9940;9969;9995;10026;10052;10084;10127;10163;10187;10230;10262;10334;10385;10432;10493;10547;10575;10620;10693;10748;10828;10885;10947;11001;11075;11136;11238;11314;11385;11455;11502;11570;11676;11733;11818;11916;11993;12046;12147;12229;12342;12423;12519
China;1439323776;9388211;4746;0.3297381784;0.0508420105;0.0512079067;;17;18;26;42;56;82;131;133;171;213;259;361;425;491;563;633;718;805;905;1012;1112;1117;1369;1521;1663;1766;1864;2003;2116;2238;2341;2443;2445;2595;2665;2717;2746;2790;2837;2872;2914;2947;2983;3015;3044;3072;3100;3123;3139;3161;3172;3180;3193;3203;3217;3230;3241;3249;3253;3259;3274;3278;3281;3285;3291;3296;3299;3304;3308;3309;3316;3322;3326;3330;3333;3335;3336;3337;3339;3340;3343;3344;3345;3346;3346;3991;4636;4636;4636;4636;4636;4637;4637;4637;4637;4637;4637;4637;4637;4637;4637;4637;4637;4637;4637;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4638;4639;4639;4639;4639;4639;4639;4639;4639;4639;4639;4639;4639;4639;4639;4639;4639;4639;4639;4639;4640;4640;4641;4641;4641;4641;4641;4641;4641;4641;4641;4641;4641;4642;4642;4642;4642;4642;4642;4642;4642;4642;4642;4644;4645;4645;4646;4647;4647;4648;4649;4649;4650;4652;4654;4656;4657;4658;4659;4661;4667;4669;4672;4676;4677;4680;4681;4684;4686;4689;4693;4697;4700;4701;4703;4704;4704;4705;4706;4709;4710;4711;4711;4712;4712;4713;4715;4718;4721;4722;4723;4724;4727;4728;4729;4729;4730;4732;4733;4733;4734;4734;4734;4735;4735;4736;4736;4737;4737;4737;4737;4738;4738;4738;4739;4739;4739;4739;4739;4739;4739;4739;4739;4739;4739;4739;4739;4739;4739;4739;4739;4739;4739;4739;4739;4740;4740;4740;4740;4740;4740;4740;4740;4740;4740;4740;4740;4740;4740;4740;4740;4740;4740;4740;4740;4740;4741;4741;4741;4742;4742;4742;4742;4742;4742;4742;4742;4742;4742;4742;4743;4743;4743;4743;4743;4743;4743;4743;4743;4743;4743;4744;4744;4744;4745;4746
Finland;5540720;303890;408;7.3636639282;0.0152477764;0.0167852882;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;5;7;9;11;13;17;17;19;20;25;28;28;34;40;42;48;49;56;59;64;72;75;82;90;94;98;141;149;172;177;186;190;193;199;206;211;218;220;230;240;246;252;255;260;265;267;271;275;284;287;293;297;298;300;301;304;306;306;307;307;308;312;313;314;314;316;320;320;321;321;322;322;323;323;324;324;325;325;325;326;326;326;326;326;327;327;327;327;327;327;328;328;328;328;328;328;329;329;329;329;329;329;329;329;329;329;329;330;330;330;330;330;330;330;330;330;330;330;330;330;330;330;330;331;331;331;331;331;331;331;331;331;331;332;332;332;333;333;333;333;333;334;334;334;334;334;334;334;335;335;335;335;335;335;335;336;336;336;336;336;336;336;336;337;337;337;337;337;337;338;338;338;339;339;339;340;340;340;341;341;342;343;343;344;344;345;345;345;345;345;346;346;346;346;346;347;347;348;348;349;349;350;350;351;351;352;353;353;354;355;355;356;356;356;357;357;357;358;358;358;359;359;360;361;362;362;362;363;363;364;365;367;369;370;370;371;373;374;375;375;378;381;384;386;388;391;393;395;397;399;404;408;408;408
France;65273511;547557;54416;83.3661299451;0.0240033277;0.0246474838;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;3;4;4;6;9;11;19;19;33;48;48;79;91;120;148;180;211;243;450;562;674;860;1100;1331;1696;1995;2314;2606;3024;3523;4403;5387;6507;7560;8078;8911;10328;10869;12210;13197;13832;14393;14967;15712;17148;17901;18661;19303;19694;20240;20765;21309;21825;22214;22583;22825;23262;23629;24056;24345;24563;24729;24864;25168;25498;25772;25949;26192;26271;26341;26604;26951;27032;27381;27485;27774;28062;28193;28205;28217;28229;28241;28284;28317;28407;28480;28546;28611;28663;28720;28751;28779;28886;28967;29010;29056;29087;29100;29153;29237;29260;29287;29315;29339;29346;29375;29484;29512;29540;29554;29568;29574;29595;29652;29661;29680;29705;29715;29726;29736;29763;29780;29794;29812;29813;29813;29836;29847;29868;29889;29912;29918;29925;29931;29975;30018;30035;30049;30056;30062;30069;30070;30071;30072;30081;30086;30091;30096;30109;30116;30123;30150;30157;30164;30170;30177;30181;30185;30203;30212;30221;30229;30238;30247;30263;30279;30287;30294;30302;30320;30338;30355;30373;30381;30382;30396;30412;30427;30441;30460;30465;30470;30495;30518;30539;30559;30576;30585;30595;30604;30613;30643;30656;30735;30753;30772;30790;30838;30884;30931;31085;31115;31144;31174;31252;31293;31333;31483;31505;31527;31549;31711;31769;31816;31952;32000;32048;32096;32140;32219;32295;32356;32389;32423;32456;32714;32788;32876;33054;33161;33267;33374;33636;33777;33939;34236;34406;34576;34746;35268;35493;35728;36273;36494;36725;37141;37564;38370;38730;39557;39861;40131;40677;41887;42215;42640;43572;43926;44227;44731;45946;46366;46795;47932;48184;48398;48897;49902;50271;50610;51566;51779;51977;52383;53157;53467;53791;54416
Germany;83783942;348560;18577;22.1725065168;0.0160490499;0.0176504569;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;3;7;9;11;17;24;28;44;67;84;94;123;157;206;267;342;433;533;645;775;920;1107;1275;1444;1584;1810;2016;2349;2607;2767;2895;3022;3194;3294;3804;4052;4352;4459;4586;4862;5033;5279;5575;5760;5877;5976;6126;6314;6467;6623;6736;6812;6866;6993;7134;7275;7392;7510;7549;7569;7661;7738;7861;7884;7897;7938;7962;8003;8081;8144;8203;8228;8261;8283;8309;8372;8428;8470;8504;8530;8540;8555;8563;8602;8635;8658;8673;8685;8695;8736;8752;8772;8783;8793;8801;8807;8820;8851;8875;8887;8895;8897;8899;8914;8928;8940;8965;8968;8972;8976;8990;8995;9006;9010;9020;9023;9028;9032;9046;9057;9063;9070;9071;9074;9078;9080;9087;9088;9091;9092;9094;9099;9102;9110;9120;9124;9125;9125;9131;9135;9144;9147;9154;9157;9160;9163;9179;9181;9195;9201;9202;9203;9208;9213;9217;9230;9235;9236;9236;9241;9249;9263;9266;9272;9275;9276;9281;9285;9290;9295;9299;9300;9303;9307;9322;9325;9327;9329;9330;9331;9336;9342;9345;9348;9352;9354;9356;9367;9373;9376;9386;9388;9390;9398;9405;9423;9436;9451;9459;9464;9468;9483;9495;9509;9518;9531;9533;9554;9566;9582;9594;9599;9620;9626;9640;9682;9716;9739;9773;9785;9798;9842;9882;9911;9960;9978;10035;10062;10091;10121;10218;10305;10391;10483;10513;10669;10717;10949;11110;11240;11306;11372;11408;11781;11994;12216;12404;12511;12573;12833;13138;13390;13662;13918;14061;14159;14460;14832;15210;15640;16011;16181;16306;16694;17177;17659;18097;18577
India;1380004385;2973190;139700;10.1231562391;0.0145396474;0.0148729059;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;3;3;4;5;5;7;10;10;12;20;20;24;27;32;35;58;72;79;86;99;136;150;178;226;246;288;331;358;393;405;448;486;521;559;592;645;681;721;780;825;881;939;1008;1079;1154;1223;1323;1391;1566;1693;1785;1889;1985;2101;2212;2294;2415;2551;2649;2753;2871;3025;3156;3302;3434;3584;3726;3868;4024;4172;4344;4534;4711;4980;5185;5408;5608;5829;6088;6363;6649;6946;7207;7473;7750;8102;8498;8884;9195;9520;9900;11903;12237;12573;12948;13254;13699;14011;14476;14894;15301;15685;16095;16475;16893;17400;17834;18213;18655;19268;19693;20159;20642;21129;21604;22123;22673;23174;23727;24309;24914;25602;26273;26816;27497;28082;28732;29861;30601;31358;32060;32771;33408;34193;34955;35718;36511;37364;38135;38938;39795;40699;41585;42518;43379;44386;45257;46091;47033;48040;49036;49980;50921;51797;52888;53866;54849;55794;56706;57542;58390;59357;60472;61529;62550;63498;64469;65288;66333;67376;68472;69561;70626;71642;72775;73890;75062;76271;77472;78586;79722;80776;82066;83198;84372;85619;86752;87882;88935;90020;91149;92290;93379;94503;95542;96318;97497;98678;99773;100842;101782;102685;103569;104555;105526;106490;107416;108334;109150;109856;110586;111266;112161;112998;114031;114610;115197;115914;116616;117306;117956;118534;119014;119502;120010;120527;121090;121641;122111;122607;123097;123611;124315;124985;125562;126121;126611;127059;127571;128121;128668;129188;129635;130070;130519;130993;131578;132162;132726;133227;133738;134218;134699;135223;135715;136200;136696;137139;137621;138122;138648;139188;139700
