Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 4;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-08-13;2020-08-14;2020-08-15;2020-08-16;2020-08-17;2020-08-18;2020-08-19;2020-08-20;2020-08-21;2020-08-22;2020-08-23;2020-08-24;2020-08-25;2020-08-26;2020-08-27;2020-08-28;2020-08-29;2020-08-30;2020-08-31;2020-09-01;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27;2020-11-28;2020-11-29;2020-11-30;2020-12-01;2020-12-02;2020-12-03;2020-12-04
Australia;25499884;7682300;26898;105.4828327847;0.9621548147;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;5;6;9;9;12;12;12;13;13;14;15;15;15;15;15;15;15;15;15;14;14;14;13;13;13;13;12;12;12;12;12;12;22;24;27;34;46;49;53;56;69;84;99;120;151;187;236;281;360;434;548;657;763;1041;1514;1642;1999;2314;2759;3089;3583;3924;4300;4497;4799;5051;5264;5483;5618;5727;5823;5937;6033;6136;6223;6232;6265;6326;6349;6369;6428;6474;6515;6527;6548;6555;6565;6580;6596;6616;6623;6646;6654;6668;6679;6700;6723;6747;6775;6793;6812;6816;6837;6846;6867;6877;6886;6916;6932;6941;6951;6965;6969;6978;6992;6996;7011;7017;7023;7036;7046;7061;7080;7088;7098;7117;7125;7136;7143;7148;7155;7161;7163;7170;7181;7185;7190;7215;7230;7242;7265;7286;7304;7305;7355;7368;7386;7415;7451;7488;7494;7578;7655;7724;7809;7888;7950;8142;8321;8460;8629;8758;8923;9235;9408;9642;9819;10084;10311;10621;11037;11240;11594;11848;12196;12647;13047;13329;13672;14108;14622;14972;15230;15937;16528;16901;17499;17897;18292;18995;19427;19800;20213;20582;20880;21188;21578;21786;22159;22435;22676;22906;23116;23326;23558;23670;23854;24058;24153;24283;24423;24534;24651;24744;24860;24930;24999;25099;25217;25299;25363;25429;25470;25519;25606;25663;25695;25737;25779;25817;25857;25892;25925;25971;25992;26004;26017;26047;26075;26083;26102;26118;26142;26145;26156;26174;26192;26205;26216;26230;26243;26268;26276;26300;26320;26338;26357;26378;26403;26430;26450;26464;26471;26483;26492;26498;26536;26551;26569;26588;26606;26618;26632;26646;26658;26672;26677;26687;26693;26702;26714;26722;26736;26744;26750;26757;26761;26763;26767;26768;26774;26803;26841;26850;26869;26877;26884;26898
Austria;9006398;82409;231700;2572.6156005986;0.7794916651;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;8;13;15;18;25;35;49;71;88;110;154;216;253;446;587;774;910;1204;1500;1855;2220;2628;3378;4254;5040;5315;6614;7338;7934;8438;9250;9796;10318;10719;11093;11338;11599;11827;12148;12432;12722;13025;13270;13403;13492;13657;13756;13892;14006;14075;14151;14195;14267;14317;14393;14457;14533;14607;14654;14734;14778;14826;14903;14929;14967;14990;15018;15051;15118;15139;15194;15231;15241;15318;15352;15390;15441;15533;15573;15600;15652;15683;15733;15764;15814;15831;15866;15884;15918;15954;15980;16008;16053;16055;16078;16084;16117;16154;16209;16212;16276;16286;16309;16336;16365;16378;16407;16432;16484;16498;16518;16565;16617;16635;16674;16701;16742;16770;16815;16872;16946;17014;17057;17163;17230;17339;17454;17569;17654;17709;17801;17903;17997;18071;18184;18235;18306;18438;18552;18721;18855;18936;19024;19108;19210;19379;19494;19617;19750;19835;19953;20126;20230;20403;20484;20575;20656;20752;20836;20966;21107;21187;21300;21373;21512;21706;21861;22142;22445;22636;22800;23095;23349;23696;24027;24326;24517;24749;24959;25285;25613;25840;26231;26410;26681;26884;27211;27611;27966;28322;28505;28794;29310;29806;30464;31041;31909;32370;32751;33509;34274;35051;35858;36665;37282;37840;38481;39154;39978;40658;41362;42022;42577;43180;43941;44809;45492;46543;47253;47992;48905;49923;51116;52234;53458;54340;55306;56321;57645;59168;60305;62025;63676;64768;66259;68182;70576;73075;76652;79400;81813;84603;87932;92341;97915;103179;108052;112129;116253;123045;130399;136755;144892;150765;156287;162289;169713;178869;188342;195273;200851;205429;211272;218242;225145;231700
Belgium;11589623;30280;536538;4629.4689654702;0.9133510033;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-2;-2;-2;-3;-2;3;3;9;29;72;102;125;151;145;136;217;270;336;455;545;538;658;784;1114;1532;1954;2111;2234;2697;3712;4265;5788;7236;7996;8618;9524;10491;11607;12978;14008;14986;16196;17141;18493;19988;21101;22553;23382;23788;26072;27215;28435;29418;30652;32059;32940;33550;34382;35772;36744;37478;37980;38573;39016;39616;40073;40512;40854;41187;41401;41631;42234;42799;43359;43801;44137;44445;44617;44900;45214;45536;45813;46073;46286;46461;46687;46945;47230;47497;47736;47836;47963;48213;48415;48536;48726;48856;48952;49010;49084;49212;49376;49524;49641;49724;49847;49985;50088;50186;50292;50358;50408;50490;50587;50711;50779;50864;50949;51035;51122;51229;51325;51427;51511;51576;51640;51721;51803;51927;52036;52213;52253;52284;52315;52398;52540;52648;52885;52922;52948;53036;53398;53658;53861;54052;54244;54406;54768;54986;55333;55857;56154;56549;56777;57435;58090;58827;59467;59910;60370;60689;61189;62040;62799;63413;64160;64624;65012;65651;66195;67116;67872;68326;68537;68900;69482;70181;70896;71470;71938;72094;72449;73032;73502;73953;74600;75043;75237;75488;75912;76545;77175;77825;78367;78769;79141;79691;80568;81537;82477;83454;84305;84794;85932;87953;89612;90704;92231;93314;95134;96779;98642;100825;102628;103988;105142;106871;108174;110732;113875;117231;119822;121760;123802;127329;133008;138323;146194;151448;154981;162202;170341;180651;190699;201490;210516;218622;228033;241055;257612;274992;292502;307976;320502;333728;354579;378367;398208;414926;426597;432739;437702;453188;464145;472692;478646;485171;487427;491537;499314;504174;508673;514819;519392;521226;523819;528876;533231;536538
Brazil;212559417;8358140;5844200;2749.4429945675;0.8944335203;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;1;1;-2;2;-2;-5;-9;-15;-21;-25;59;46;26;41;120;132;297;434;576;1060;1360;1561;1735;2035;2360;2780;3033;3251;4185;5100;6120;6915;8006;8668;9574;11293;13264;14761;15934;16670;17906;18827;20179;22807;24419;27270;29897;31603;33376;35141;37169;40846;44026;48668;51977;55793;60774;66445;73188;77240;81438;85708;91767;97472;107752;115726;125846;134048;140033;146121;153702;164539;176411;192413;204677;211766;225431;240686;259031;276066;295864;311468;326756;337764;352816;372141;397319;423338;455720;471517;482488;510142;537506;567193;596817;622870;641167;656141;686858;718586;747857;772849;793444;810002;829957;863595;894745;916258;969739;1003314;1018474;1040983;1079165;1120667;1158930;1204576;1242198;1272043;1295362;1327908;1373387;1420170;1461230;1498232;1523567;1543164;1587102;1630389;1671697;1715589;1753401;1777677;1797349;1838285;1876614;1920888;1953853;1981297;2004285;2023981;2063835;2130258;2188982;2243794;2294036;2318042;2340623;2380165;2448064;2504639;2555962;2600645;2625825;2641782;2692033;2747973;2799908;2849084;2898162;2920678;2942161;2993050;3047120;3106227;3156016;3196834;3219369;3238189;3284758;3332872;3377361;3406828;3456159;3479133;3495901;3542531;3588617;3631869;3674407;3714943;3730686;3776266;3817812;3863759;3906703;3956008;3986468;4000626;4010522;4023968;4058932;4098638;4141627;4174281;4188714;4203552;4239342;4275131;4310706;4349849;4382253;4398277;4411365;4443870;4476305;4508745;4539974;4567793;4581821;4594775;4626524;4659188;4694632;4723749;4753158;4761363;4773059;4814304;4845291;4872544;4899417;4925734;4937845;4946011;4955682;4982407;5010417;5040823;5064478;5077471;5090474;5113458;5137666;5162069;5191641;5218366;5231731;5247226;5276839;5304902;5330095;5351921;5369947;5379907;5388192;5399350;5422570;5442542;5462568;5484572;5494932;5505547;5528890;5576891;5610122;5638678;5676398;5690260;5703344;5737941;5771334;5806497;5844200
Canada;37742154;9093510;311715;825.9067566732;0.7674136917;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;4;4;4;4;4;5;5;7;7;7;7;7;7;7;7;7;7;8;8;8;8;9;9;9;9;10;10;12;13;19;23;23;25;25;28;37;35;43;52;53;78;79;139;137;188;335;377;548;661;764;1059;1210;1749;2415;2844;3539;4125;4922;5566;6617;7626;8552;10025;11081;11577;14191;14836;15962;17063;18413;19657;20745;21612;22839;24052;25054;27499;29277;30672;31838;33655;35212;37297;38758;40222;41548;43042;44501;45850;47440;48865;50664;52126;54601;55997;57187;58544;59934;61314;62452;63557;64609;65666;66692;67799;68896;70047;70958;72007;73015;73996;75025;76169;77301;78229;79209;80120;80951;81905;82784;83498;84261;85060;85689;86329;86908;87539;88009;88696;89285;89729;90176;90592;91024;91467;91822;92135;92437;92813;93177;93592;94030;94339;94670;95002;95301;95666;95818;96060;96364;96994;97252;97431;97768;98078;98293;98498;98913;99115;99421;99737;100061;100221;100414;101039;101393;101731;102170;102579;102889;103178;103943;104468;104780;105385;106098;106446;106761;107437;107833;108305;108614;109213;109451;109694;109898;110569;110938;111290;111793;112031;112248;112924;113253;113562;114032;114450;114664;114840;115045;115905;116226;116436;117129;117368;117623;118398;118700;119176;119623;120128;120419;120663;121689;122183;122697;123278;123885;124249;124623;125016;126471;126841;127659;128370;128851;129322;130770;131560;132506;133511;134587;135119;136217;138023;139273;140346;141478;143079;144109;145762;147539;149284;151388;153174;155273;156578;158685;161552;163907;165497;167814;170685;172798;174408;175352;179437;181980;184235;186765;186880;190574;193849;196015;198651;201185;204026;205504;208299;212353;215010;217618;220555;224054;226366;228648;232103;236780;239460;242168;247490;251766;255663;260466;264805;268732;274121;278793;283146;287394;293326;297706;302111;306824;311715
China;1439323776;9388211;87231;6.0605543697;0.9344710117;;;-17;-18;-26;-42;-56;-82;-131;-133;-171;-213;-259;-361;-425;-491;-15;10;202;601;1170;1865;4397;4970;6772;8281;10228;14864;17852;21704;25324;28349;31769;34371;37384;39759;41721;42042;57149;63568;65576;67641;69520;71264;71636;72062;72506;73929;73922;74118;74615;75005;75428;75748;76163;76729;76919;77031;77145;77288;77437;77511;77549;77582;77606;77636;77641;77649;77678;77699;77725;77749;77786;77834;77924;77975;78102;78163;78255;78324;78443;78557;78656;78778;78853;78933;79015;78441;77875;77907;77966;78029;78082;78172;78246;78304;78377;78497;78576;78669;78719;78766;79123;79150;79168;79180;79216;79230;79246;79261;79271;79274;79280;79302;79306;79318;79321;79324;79326;79328;79330;79332;79337;79338;79352;79372;79373;79380;79386;79391;79400;79406;79416;79425;79430;79433;79438;79442;79445;79456;79463;79464;79467;79476;79484;79489;79507;79515;79522;79527;79532;79538;79547;79552;79555;79558;79568;79575;79587;79645;79694;79737;79781;79817;79853;79883;79912;79930;79982;80011;80031;80059;80083;80101;80115;80138;80143;80172;80185;80193;80211;80224;80242;80269;80301;80343;80382;80419;80463;80516;80569;80588;80668;80741;80751;80834;80950;81032;81229;81365;81521;81697;81884;82094;82297;82516;82789;82954;83124;83281;83395;83501;83622;83751;83870;83961;84082;84194;84246;84332;84429;84496;84558;84653;84718;84770;84800;84839;84887;84925;84965;84986;85019;85051;85080;85102;85129;85160;85179;85197;85217;85249;85271;85288;85321;85340;85349;85362;85388;85406;85429;85458;85480;85496;85514;85555;85572;85595;85630;85642;85660;85670;85685;85702;85717;85744;85766;85789;85806;85827;85844;85864;85889;85912;85927;85947;85988;86011;86038;86072;86090;86118;86129;86165;86185;86215;86232;86266;86282;86304;86332;86367;86387;86409;86433;86480;86529;86557;86597;86624;86655;86710;86736;86767;86809;86848;86879;86922;86950;86976;87009;87040;87064;87085;87107;87128;87141;87162;87190;87231
Finland;5540720;303890;20339;367.0822564576;0.7601091262;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;6;6;6;6;12;15;14;22;29;39;56;102;148;216;233;264;304;319;381;430;498;598;672;758;840;916;993;1118;1184;1293;1354;1374;1443;1533;1792;1833;2078;2167;2338;2433;2592;2719;2784;2871;2962;3031;3158;3271;3461;3553;3628;3768;3877;4029;4135;4210;4309;4424;4465;4622;4708;4758;4879;4956;5027;5111;5269;5367;5432;5573;5655;5676;5691;5741;5831;5914;5970;6027;6060;6078;6122;6171;6215;6245;6256;6275;6304;6367;6418;6451;6500;6533;6559;6561;6585;6599;6614;6637;6654;6674;6698;6712;6736;6745;6759;6776;6780;6783;6788;6790;6804;6813;6814;6815;6826;6838;6843;6862;6868;6874;6879;6884;6906;6911;6912;6918;6923;6927;6932;6935;6943;6949;6961;6964;6964;6970;6974;6979;6983;6987;7004;7009;7020;7031;7040;7048;7056;7060;7065;7071;7081;7090;7098;7109;7119;7132;7149;7178;7198;7219;7233;7249;7266;7288;7307;7348;7364;7384;7395;7416;7440;7469;7506;7535;7569;7583;7601;7644;7665;7682;7704;7711;7739;7747;7803;7822;7860;7885;7921;7950;7986;7995;8087;8126;8168;8213;8235;8282;8380;8405;8454;8512;8576;8634;8700;8849;8941;9032;9136;9229;9333;9394;9542;9642;9752;9893;10039;10185;10349;10575;10694;10990;11224;11493;11642;11855;12142;12346;12586;12775;12935;13065;13196;13489;13710;13893;14112;14290;14485;14607;14799;15013;15199;15541;15743;15921;16029;16264;16556;16744;17010;17213;17416;17503;17721;17957;18151;18465;18707;18918;19020;19243;19527;19878;20339
France;65273511;547557;2055605;3149.2177584871;0.9067436135;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;3;4;5;5;5;5;5;5;5;5;5;5;10;10;10;10;9;9;9;10;10;9;8;8;6;3;1;-7;-7;-19;-30;-10;-22;9;10;43;24;74;134;203;387;452;349;684;950;1275;1666;2155;1893;3609;4129;4640;5484;6105;6722;7940;10945;11976;14364;16945;19767;23743;25781;29583;36416;39841;41204;45677;49302;50784;54150;57402;60739;64509;68462;71207;97808;101036;105628;108417;120599;122360;124637;126944;129020;131423;131202;131077;132444;134021;134506;137985;140654;140620;140318;140261;140018;139777;139693;140730;144248;144811;146077;146474;146710;147072;147727;147914;148101;148656;148677;148725;148775;149542;150102;150296;150589;150877;150965;151013;151977;153001;154022;154501;156277;156505;156577;156523;156551;156578;157116;157631;157918;157995;158273;158661;159000;159539;159922;160202;160260;160460;160754;160941;161492;161927;161932;162234;162605;162882;163159;163434;163682;163930;164178;164398;164967;165423;165855;166129;166405;166679;167019;167456;167892;168369;168738;169106;169475;169846;170222;170616;171298;171889;172480;173072;173519;174460;175291;176215;176955;177695;178436;179104;179657;180202;182814;183581;184349;185116;185873;187140;188408;192104;193398;194700;195988;198217;200447;203053;205654;208880;210528;212155;215803;219453;223103;226757;230288;234955;236788;239842;244997;250947;257920;263235;268548;271385;276113;282846;289725;298427;304887;311348;317808;323992;332458;341168;350424;357954;365485;373015;380649;390092;400150;413026;422643;432261;441878;451816;465638;479462;495198;503591;511983;520376;531976;544119;556949;568917;580218;591521;602822;612895;630401;648253;667912;682061;696209;710358;731153;752624;782979;807202;832049;856886;881538;901583;927081;968296;1009285;1050285;1091319;1132077;1164127;1198647;1245838;1294121;1329110;1375099;1426360;1461132;1501465;1558376;1617471;1679926;1742419;1761491;1781940;1817254;1849963;1872627;1904473;1931503;1940169;1984893;2012579;2033385;2055605
Germany;83783942;348560;895541;1068.8694976897;0.7736761715;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;4;4;5;8;10;12;12;12;12;13;13;14;14;16;16;16;16;16;16;16;16;16;16;16;16;16;14;15;24;43;41;70;119;142;172;234;438;603;715;946;1053;1300;1702;1811;3333;4152;5262;6627;8482;11407;14213;18573;20769;23289;27246;30970;34974;41331;48104;54800;59073;63691;68514;74068;80742;86807;91633;95537;98512;102630;108017;112606;116411;119031;121878;123946;125045;128286;131075;134661;136530;138318;140072;141157;143373;145737;147489;148964;150201;151097;152174;153678;155125;156180;157029;157702;158149;158926;160018;161227;162360;163063;163596;164267;164799;165670;166008;166729;167222;167829;167996;169215;169871;170386;171052;171313;171643;171905;172464;172772;173424;174139;174396;174609;174787;175059;175270;175597;176037;176555;176853;177210;177592;177594;177751;178261;178299;178546;178706;179262;179609;180811;181289;181650;182249;182740;183448;183825;184314;184973;185388;185622;185968;186340;186813;187283;187692;188107;188431;188970;189244;189597;189891;190212;190585;190794;191055;191325;191755;192306;192898;193272;193578;194165;194554;195097;195700;196428;197077;197465;197909;198499;199333;200318;201169;201770;201984;202875;203587;204864;205776;206930;207631;208013;209232;210259;211574;212991;214496;215189;215707;217397;218813;220384;221967;223702;224532;225164;226791;228247;229668;231226;232778;233483;233951;235446;236648;238038;239464;240897;241670;242338;244228;245552;247010;248713;250284;251358;252273;253754;255531;257374;259539;261729;263401;264432;266006;267846;269443;271752;274113;275406;276713;278991;280789;283197;285800;288601;290242;291775;294831;297245;301226;305981;310517;313428;316247;322759;327193;334269;341802;349411;354181;358158;366399;374874;386973;392764;406110;416502;426326;438850;451638;467627;486138;505332;519279;531773;556765;563993;595221;617510;640074;654053;668465;674686;700861;722884;747192;769082;783552;786640;800832;826580;849825;873428;895541
India;1380004385;2973190;8910897;645.7151221298;0.9274251991;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;1;1;1;3;2;25;26;26;29;32;33;46;50;53;62;78;86;87;107;98;122;165;244;297;363;386;479;501;641;699;693;893;1004;1593;2095;2081;2561;3029;4186;4666;5235;6004;6818;7621;8324;9514;10479;11243;12276;13129;14399;16224;16973;18387;19585;21188;22545;24182;25678;27157;28909;30511;32214;34504;36828;39480;43281;46098;49553;52767;55969;58940;63137;66596;69948;73521;77286;80804;85463;90290;94720;100646;105940;111863;118145;124477;131329;137477;143043;149984;156888;164607;172632;181089;188470;195288;204587;214140;223236;233368;243787;251917;261670;271711;282234;293308;304827;315949;326198;336665;349112;362319;376393;391183;405589;420056;435541;451976;468797;486830;506186;525144;543113;561172;579727;599942;622042;646349;669916;691582;713685;737435;763201;789558;817462;845483;873344;901988;933902;968114;1002573;1040417;1080071;1116400;1153283;1198099;1246523;1294506;1342256;1391230;1434816;1485578;1534930;1586706;1646952;1700743;1752774;1803948;1855366;1910670;1972225;2032817;2096304;2157532;2210285;2270281;2336165;2399661;2463372;2526454;2583194;2637393;2700920;2769549;2837353;2906140;2974314;3034706;3094548;3150657;3235172;3311229;3386500;3464147;3541523;3610390;3687457;3770208;3852375;3937560;4027059;4116731;4191487;4280108;4374714;4470124;4566605;4659853;4750885;4833918;4922862;5019575;5114904;5207172;5298837;5384895;5459094;5541455;5626992;5712080;5796516;5884198;5965552;6035435;6115177;6201318;6281907;6360546;6435342;6509205;6569885;6641217;6719039;6788845;6861467;6935272;7001524;7056378;7119379;7186570;7249378;7311039;7372440;7427666;7473966;7527496;7582631;7636327;7689120;7738690;7783348;7819370;7862751;7912082;7960183;8007931;8054447;8099243;8137104;8182883;8232508;8279562;8329354;8374527;8419919;8457512;8501312;8548693;8593080;8637279;8677883;8707988;8736669;8774785;8819835;8865177;8910897
