Country/Region;Population;Area;Latest;Per 100,000 inh.;% Confirmed;Blank 4;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-08-13;2020-08-14;2020-08-15;2020-08-16;2020-08-17;2020-08-18;2020-08-19;2020-08-20;2020-08-21;2020-08-22;2020-08-23;2020-08-24;2020-08-25;2020-08-26;2020-08-27;2020-08-28;2020-08-29;2020-08-30;2020-08-31;2020-09-01;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27;2020-11-28;2020-11-29;2020-11-30;2020-12-01;2020-12-02;2020-12-03;2020-12-04;2020-12-05;2020-12-06;2020-12-07;2020-12-08;2020-12-09;2020-12-10;2020-12-11;2020-12-12;2020-12-13;2020-12-14;2020-12-15;2020-12-16;2020-12-17;2020-12-18;2020-12-19;2020-12-20;2020-12-21;2020-12-22;2020-12-23;2020-12-24;2020-12-25;2020-12-26;2020-12-27;2020-12-28;2020-12-29;2020-12-30;2020-12-31;2021-01-01
Switzerland;8654622;39516;48307;558.1641809429;0.1068039514;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;8;18;27;42;56;90;114;214;268;337;374;490;651;888;1131;1341;2173;2408;2644;2938;3961;5080;6307;7137;8421;9386;10245;10915;11789;12717;12629;13472;13905;14740;14752;14312;13930;13626;12862;12376;12383;12240;11623;11031;10586;9766;9331;8568;7905;7472;6899;6640;6287;5810;4988;4445;4126;3787;3646;3476;3328;3071;2854;2627;2413;2165;2037;1946;1792;1630;1530;1357;1244;1180;1116;1006;877;809;755;682;616;609;598;568;500;474;431;402;381;363;333;314;273;275;274;256;235;219;229;231;229;226;227;235;248;235;249;255;260;280;294;287;299;287;327;338;344;365;384;423;461;500;521;560;664;767;866;955;976;1005;1037;1122;1158;1204;1262;1266;1294;1302;1297;1323;1281;1294;1323;1319;1373;1385;1414;1464;1485;1529;1531;1593;1654;1732;1850;1920;1959;1982;2004;2044;2108;2115;2149;2191;2231;2286;2367;2381;2439;2512;2574;2636;2703;2833;2918;3063;3176;3300;3352;3367;3476;3603;3675;3798;3890;3925;3944;4003;4101;4200;4330;4498;4532;4575;4661;4705;4893;4982;5165;5259;5358;5502;5668;5751;5691;5612;5786;5827;5795;5781;5625;5421;5206;5210;5120;5017;5037;5101;5252;5403;5554;5968;6608;7389;8504;9599;10695;11790;13010;15422;17485;20038;22434;24831;27227;29535;34054;38138;43285;47742;52200;56657;61161;66954;73727;79829;84226;88621;93018;96136;100613;105485;108260;108217;108172;108129;108160;107814;105352;102884;99855;96826;93797;92231;88272;83151;78688;76168;73650;71130;69391;65997;63582;61155;59802;58451;57098;56340;55012;54460;53896;53916;53934;53954;53975;54185;54717;55541;56189;56837;57485;57954;58793;59396;59492;59556;59621;59685;59698;59645;59502;56888;55835;54780;53727;53653;53452;52785;48307
Switzerland Appenzell Inner Rhodes;16145;173;63;390.2136884484;0.0896159317;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;5;5;6;6;6;6;6;8;9;11;12;11;11;10;9;9;14;14;15;15;15;13;14;13;12;11;11;10;10;10;4;4;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;3;6;6;6;6;8;8;11;10;10;10;10;12;12;12;10;11;11;11;10;10;8;11;16;23;30;34;44;52;63;75;85;96;105;113;135;150;160;163;165;166;183;187;199;204;205;205;206;209;210;204;198;197;196;197;180;181;161;150;142;135;127;120;98;89;85;78;72;65;68;57;61;55;55;54;54;59;60;59;58;59;61;62;60;67;73;73;77;81;85;80;83;89;87;87;85;85;79;73;66;69;66;62;59;62;64;65;63
Switzerland Appenzell Outer Rhodes;55234;243;303;548.5751529855;0.1243331966;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2;5;5;5;5;5;5;11;10;10;10;10;28;31;32;37;39;40;43;45;53;50;53;54;55;56;39;38;38;32;33;32;30;28;21;19;17;17;17;18;17;16;15;14;13;14;15;16;15;15;14;14;14;12;11;10;10;10;8;7;5;4;4;4;4;3;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;2;2;3;3;3;3;4;4;4;4;4;4;4;4;3;4;3;3;3;3;2;3;3;3;3;2;2;2;3;2;2;2;2;3;3;2;3;3;4;4;5;5;5;7;8;9;10;10;11;12;14;15;15;16;16;17;16;15;14;14;13;13;12;12;9;9;9;9;9;9;11;11;13;14;16;16;18;19;21;22;22;22;22;22;21;21;20;19;19;19;19;22;24;25;27;30;33;36;41;45;50;53;58;65;70;72;87;103;119;128;137;146;173;196;216;264;283;300;319;358;387;407;428;444;460;476;475;488;515;505;492;479;466;442;449;437;429;419;410;400;404;400;376;371;374;377;380;409;397;411;399;399;398;398;410;413;411;400;398;397;395;403;395;379;393;389;385;381;363;360;384;376;380;383;387;354;360;368;347;346;344;342;344;340;321;303
Switzerland Argovia;677387;1404;3626;535.2922332433;0.1293106523;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;4;7;7;10;11;12;14;14;15;18;19;26;29;30;39;49;62;86;123;163;209;221;230;265;298;340;377;411;442;450;485;500;497;498;479;501;518;510;514;486;473;457;424;410;376;349;331;315;305;279;254;233;205;199;189;176;178;176;168;160;149;135;121;117;117;114;107;96;83;77;74;73;69;67;65;57;54;53;53;54;51;48;45;44;38;34;33;29;26;29;29;27;25;19;18;19;19;19;19;19;19;20;20;16;15;16;17;17;19;18;19;21;21;22;25;26;30;37;41;43;48;70;83;95;97;97;98;104;108;112;113;116;125;124;124;116;115;111;121;125;125;125;134;136;145;147;139;138;136;137;134;148;144;153;153;151;149;156;159;154;156;157;162;175;188;185;188;191;200;204;216;230;227;234;245;257;257;257;267;274;284;288;286;284;275;265;277;287;288;278;284;275;260;263;259;259;263;263;273;290;285;286;278;287;282;283;279;259;257;240;232;231;213;194;188;176;188;184;190;212;252;300;347;404;423;462;582;706;837;976;1075;1156;1228;1443;1662;1871;2071;2332;2465;2690;3001;3319;3560;3794;4038;4232;4394;4612;4833;5023;5157;5196;5169;5091;5104;4969;4911;4858;4755;4573;4551;4483;4329;4245;4301;4228;4188;4256;4233;4362;4337;4340;4335;4354;4446;4442;4465;4468;4393;4439;4473;4525;4563;4617;4775;4851;4971;5047;5032;5196;5368;5488;5561;5537;5588;5585;5691;5648;5652;5393;5216;5176;5211;5110;4574;4078;3626
Switzerland Basel City;194766;37;929;476.9826355729;0.1145781944;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;3;8;15;21;24;28;33;49;72;91;99;121;142;161;178;212;255;276;332;346;377;413;428;438;469;483;474;489;506;494;484;470;433;424;398;367;340;324;292;272;271;241;217;198;164;157;138;130;121;101;90;82;77;63;53;49;42;39;34;31;29;30;30;32;34;30;29;28;29;27;25;20;20;19;18;17;16;14;11;10;10;9;7;7;7;7;6;4;4;4;4;3;5;6;5;6;6;6;5;5;5;6;6;5;5;5;4;3;3;2;2;2;2;2;3;2;2;2;2;2;1;3;4;5;7;8;11;14;18;20;22;23;28;30;32;34;35;35;34;39;37;34;30;29;28;29;25;27;34;32;40;43;43;41;46;48;48;48;49;49;53;55;58;61;71;72;75;76;81;84;87;96;98;98;96;92;86;90;75;73;71;70;66;64;64;58;58;62;66;68;67;60;59;59;59;59;53;53;56;54;52;48;42;40;36;37;36;37;37;34;38;38;37;48;53;55;60;72;86;99;107;119;151;171;195;201;222;251;289;317;330;359;419;477;569;634;641;712;762;882;940;986;1018;1056;1114;1178;1209;1198;1171;1162;1164;1168;1184;1205;1263;1294;1311;1318;1351;1383;1382;1429;1448;1483;1505;1487;1501;1497;1447;1406;1404;1383;1357;1317;1336;1310;1335;1303;1292;1308;1317;1276;1310;1346;1312;1315;1367;1366;1361;1364;1338;1343;1333;1318;1294;1287;1227;1157;1162;1162;1115;1070;1016;929
Switzerland Basel Country;288132;518;1513;525.1065483875;0.1390497197;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;6;6;15;20;21;24;30;31;47;52;60;83;96;123;137;188;277;279;291;293;323;403;430;460;462;468;480;481;486;452;390;397;396;399;369;305;273;251;246;227;209;194;184;180;148;139;130;126;122;108;99;88;84;74;68;59;48;36;35;30;28;24;23;23;21;19;19;20;19;15;14;13;10;10;9;10;9;6;5;4;3;3;3;3;2;3;3;4;5;5;5;6;6;6;6;6;6;6;6;5;6;5;4;3;3;3;3;3;4;4;4;5;6;8;9;11;12;13;13;13;17;21;21;21;24;26;28;29;28;31;33;35;38;39;36;32;32;31;28;29;28;27;30;26;24;22;20;19;23;25;25;27;34;35;35;35;33;34;35;36;39;40;39;49;50;49;43;42;49;56;59;59;58;61;63;65;66;63;62;62;67;68;66;58;57;59;62;61;59;62;65;62;64;65;62;59;57;57;56;53;50;48;46;41;39;37;35;35;33;33;34;38;45;50;52;61;73;84;96;111;122;139;189;215;268;315;358;379;417;485;543;596;676;776;847;899;933;1016;1072;1140;1230;1350;1466;1545;1562;1677;1681;1678;1639;1624;1687;1717;1733;1743;1748;1689;1604;1630;1683;1650;1684;1713;1768;1793;1806;1842;1862;1887;1860;1888;1900;1873;1905;1889;1910;1928;1912;1963;2010;2021;2062;2096;2145;2108;2124;2145;2141;2159;2151;2124;2140;2097;2087;2061;2000;1912;1805;1799;1781;1742;1696;1662;1513
Switzerland Berne;1034977;5959;4949;478.1748773161;0.1163430345;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;4;4;6;6;17;17;17;34;34;34;34;33;33;32;119;154;187;276;360;401;427;436;498;590;626;684;733;764;703;698;716;721;696;688;693;703;696;662;675;657;652;643;630;614;580;512;480;480;462;440;394;357;335;319;289;273;266;263;252;242;214;193;192;183;176;161;139;124;117;118;113;107;102;90;85;81;71;67;67;63;60;56;53;49;47;42;40;36;32;49;48;48;46;45;45;42;40;37;37;37;39;41;43;18;17;16;16;15;13;12;10;10;9;9;6;4;1;2;4;8;10;12;18;21;25;31;34;35;39;41;48;53;60;57;61;66;68;75;78;82;83;86;86;86;83;84;81;90;94;89;85;87;94;102;103;102;112;122;131;132;131;125;128;140;160;169;171;166;167;171;176;175;183;184;194;202;200;209;204;207;210;220;221;230;220;232;237;268;276;272;278;279;288;297;304;323;330;341;386;406;431;451;478;498;506;517;546;548;563;556;566;563;554;563;567;555;570;580;620;669;710;773;845;944;981;1106;1351;1550;1758;2072;2269;2436;2617;3045;3499;4202;4804;5204;5590;5972;6502;6931;7432;7856;8273;8649;8958;9218;9644;9681;9610;9677;9578;9491;9341;9264;9034;8820;8606;8266;8050;7838;7276;6873;6695;6438;6388;6326;6270;6059;5989;5910;5759;5783;5745;5724;5733;5712;5796;5867;5787;5853;5815;6042;6134;6246;6371;6418;6545;6685;6873;7016;6992;7000;7064;7071;7090;6990;6910;6543;6310;6285;6253;6120;5507;4949
Switzerland Friborg;318714;1671;1035;324.7425591596;0.044352074;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;4;6;7;7;7;9;12;16;22;28;35;38;42;56;81;103;136;159;196;216;242;276;286;341;387;404;434;434;442;443;447;473;467;465;477;466;480;429;414;405;383;389;365;357;342;319;313;302;267;251;229;226;196;188;182;166;168;164;149;137;117;113;109;102;102;97;93;94;90;95;85;74;68;55;51;48;47;45;38;37;34;30;28;20;17;16;15;15;14;13;12;11;12;13;13;13;16;16;17;17;18;19;21;21;21;21;21;20;24;24;22;22;29;31;34;36;39;42;45;48;54;58;56;60;60;61;56;54;53;52;52;51;50;48;44;41;46;46;51;50;53;53;52;53;49;47;49;54;60;66;61;61;56;59;57;61;62;59;64;68;68;69;63;58;65;67;68;70;83;91;110;138;165;171;177;192;206;224;234;252;256;267;277;299;310;302;323;336;348;379;403;402;418;426;438;447;448;431;424;440;402;385;393;352;318;315;297;282;266;255;243;250;247;234;244;248;256;289;330;391;517;566;654;746;868;994;1128;1284;1481;1679;1875;2111;2369;2784;3113;3342;3736;4117;4581;4971;5601;6109;6400;6699;7108;7631;8198;8380;8615;8746;8574;8680;8672;8637;8287;7950;7590;7291;6875;6383;5809;5307;4733;4400;4322;3876;3434;3074;2741;2501;2397;2290;2199;2038;1863;1805;1772;1746;1597;1542;1506;1461;1467;1454;1472;1462;1422;1358;1316;1279;1271;1271;1252;1254;1228;1253;1190;1138;1131;1096;1096;1105;1113;1035
Switzerland Geneva;499480;1771;1659;332.1454312485;0.0405276658;;;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;8;9;10;13;15;20;29;42;44;59;79;111;152;220;335;416;539;688;896;1119;1278;1403;1505;1644;1741;1847;2007;2097;2184;2213;2306;2408;2378;2443;2486;2483;2464;2434;2492;2483;2373;2256;2100;2012;1839;1642;1525;1297;1130;1039;964;867;726;625;568;543;510;492;465;428;382;326;300;261;257;236;211;189;162;149;141;137;125;115;102;100;87;84;79;74;67;67;66;62;55;55;51;42;41;36;35;38;38;37;38;33;29;29;30;30;29;29;27;27;25;21;20;21;19;17;17;17;18;18;18;21;22;22;23;23;23;30;33;34;37;37;36;37;44;44;46;52;57;60;62;60;68;89;98;109;119;121;131;157;181;218;251;288;297;353;385;425;465;484;501;520;538;541;544;534;538;523;545;519;532;502;491;489;486;482;488;493;492;497;492;481;470;461;439;445;450;464;481;495;493;510;527;539;542;560;559;572;578;582;583;580;592;584;595;601;626;632;650;665;669;675;701;708;699;697;673;663;648;642;630;648;649;669;681;725;792;856;971;1097;1239;1305;1459;1711;1924;2113;2439;2670;2788;3059;3566;4005;4630;5317;5741;6056;6635;7538;8465;9220;10199;10665;10874;11221;11670;12451;12854;12934;12988;12929;13116;12785;12387;12032;11205;10794;10607;10342;9689;8697;7838;7146;6651;6436;5729;5175;4570;4099;3772;3546;3433;3190;2953;2774;2629;2537;2467;2397;2376;2228;2213;2146;2079;2050;2061;2037;2044;2007;1981;2007;2022;2059;2012;1992;1987;1988;1885;1872;1860;1863;1824;1878;1833;1659
Switzerland Glarus;40403;685;241;596.4903596268;0.1517632242;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;6;8;10;10;12;14;16;20;25;29;31;32;39;40;41;39;40;41;41;42;42;39;36;34;32;31;24;24;29;44;42;41;52;50;48;49;50;50;51;51;53;51;43;29;29;29;17;16;16;15;12;11;10;10;8;7;7;6;6;6;5;6;6;5;5;4;4;3;3;3;2;2;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;2;2;2;3;3;3;4;3;5;6;6;7;7;7;7;7;7;6;7;7;6;6;4;5;5;5;5;5;6;7;7;8;7;7;8;10;11;9;10;9;9;11;10;11;12;12;14;15;15;14;13;13;13;13;13;13;12;10;9;9;7;6;5;4;5;5;4;4;5;3;3;4;6;6;6;7;7;10;10;10;11;11;11;12;15;16;15;15;16;16;17;15;18;19;22;27;30;37;46;54;61;71;80;90;99;117;119;132;141;148;157;159;171;188;203;212;222;231;256;265;289;294;294;294;294;300;318;309;301;292;284;275;250;240;227;223;215;207;199;206;175;174;175;171;167;163;163;159;163;178;183;189;194;200;238;239;252;266;279;293;305;306;341;323;329;336;342;340;327;333;307;292;277;262;273;286;253;241
