Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 4;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-08-13;2020-08-14;2020-08-15;2020-08-16;2020-08-17;2020-08-18;2020-08-19;2020-08-20;2020-08-21;2020-08-22;2020-08-23;2020-08-24;2020-08-25;2020-08-26;2020-08-27;2020-08-28;2020-08-29;2020-08-30;2020-08-31;2020-09-01;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27;2020-11-28;2020-11-29;2020-11-30;2020-12-01;2020-12-02;2020-12-03;2020-12-04;2020-12-05;2020-12-06;2020-12-07;2020-12-08;2020-12-09;2020-12-10;2020-12-11;2020-12-12;2020-12-13;2020-12-14;2020-12-15;2020-12-16;2020-12-17;2020-12-18;2020-12-19;2020-12-20;2020-12-21;2020-12-22;2020-12-23;2020-12-24;2020-12-25;2020-12-26;2020-12-27;2020-12-28;2020-12-29;2020-12-30;2020-12-31;2021-01-01
Switzerland Appenzell Inner Rhodes;16145;173;10;61.9386807061;0.0000221094;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;10;0;0;0;0;0;0;9;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;5;5;5;5;0;0;0;5;0;0;1;0
Switzerland Appenzell Outer Rhodes;55234;243;28;50.6934134772;0.039829303;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;0;0;2;4;2;2;6;3;3;6;6;8;5;5;0;0;7;5;0;0;4;0;0;1;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;3;1;0;0;0;1;1;0;0;0;0;0;1;3;0;1;0;0;0;0;2;0;2;1;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;3;1;0;3;2;0;0;2;0;1;0;2;0;0;0;0;0;1;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;3;0;0;0;2;0;0;4;0;2;0;3;0;0;3;0;0;1;1;0;0;0;3;0;0;8;0;0;13;16;13;16;19;0;0;24;24;24;19;21;0;0;22;24;20;22;23;0;0;25;25;26;21;23;0;0;19;16;17;14;20;0;0;18;20;16;16;17;0;0;16;19;14;0;25;0;0;26;28;21;19;13;0;0;12;14;14;19;15;0;0;18;18;17;17;0;0;0;14;0;0;13;0
Switzerland Argovia;677387;1404;223;32.9206199706;0.0915059499;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;6;17;25;0;0;13;15;33;38;50;0;0;50;85;94;96;100;0;0;82;88;85;87;82;76;0;0;78;69;61;58;0;0;45;43;37;35;40;0;0;42;41;38;33;34;0;0;34;23;24;19;16;0;0;14;9;8;10;12;0;0;7;10;11;0;9;0;0;6;5;5;6;4;0;0;0;4;2;3;2;0;0;4;3;2;2;1;0;0;1;1;1;1;2;0;0;2;1;1;1;1;0;0;2;2;2;3;2;0;0;4;5;5;3;1;0;0;3;4;7;6;4;0;0;4;5;5;9;6;0;0;12;10;10;12;13;0;0;12;14;9;9;8;0;0;7;9;12;9;10;0;0;13;12;11;8;8;0;0;9;9;9;7;7;0;0;6;6;7;7;7;0;0;9;8;7;9;8;0;0;12;13;6;8;8;0;0;9;11;12;10;14;0;0;15;11;9;12;12;0;0;10;8;9;8;12;0;0;18;20;25;26;26;0;0;37;46;37;40;50;0;0;71;82;80;87;83;0;0;118;133;133;132;131;0;0;140;147;139;132;140;0;0;159;175;171;163;156;0;0;167;174;164;166;164;0;0;188;176;170;158;155;0;0;183;198;173;189;187;0;0;209;204;202;205;207;0;0;211;223;197;172;170;0;0;179;196;0;0;0
Switzerland Basel City;194766;37;158;81.122988612;0.0056346065;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;4;4;7;9;11;12;12;12;13;19;23;27;30;31;39;41;46;48;52;50;50;65;68;76;73;74;75;78;86;89;104;107;117;112;109;105;97;98;97;90;84;90;84;88;84;78;75;67;66;60;56;53;48;41;39;30;28;27;27;25;23;21;21;21;22;21;21;20;19;16;14;14;15;12;11;11;11;11;12;12;7;7;7;6;5;5;4;4;4;4;5;5;5;5;6;6;6;5;4;4;4;4;3;3;3;3;3;3;3;3;3;3;2;2;2;2;1;1;1;1;1;1;0;0;1;3;3;4;4;5;5;5;4;3;5;5;5;5;6;6;6;7;6;5;4;4;4;3;3;3;4;5;5;5;7;8;8;8;8;8;8;7;8;9;6;5;5;9;8;8;8;10;8;8;7;7;7;7;7;6;5;4;3;3;4;4;5;5;6;5;4;4;3;2;2;3;4;4;4;4;3;3;2;2;2;2;1;1;0;3;3;3;3;3;2;2;1;1;1;1;1;1;1;1;2;5;5;11;9;9;12;10;11;17;17;19;20;23;31;34;38;43;41;38;47;59;66;65;77;89;86;85;92;98;101;116;118;117;129;135;143;148;147;155;155;146;141;137;134;136;140;140;143;143;143;145;158;154;149;152;145;152;149;149;150;138;139;139;146;137;142;147;150;147;149;149;152;153;138;131;131;140;143;141;141;133;136;0
Switzerland Basel Country;288132;518;99;34.3592520095;0.0122101628;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;4;4;4;4;5;3;9;12;8;12;17;26;27;19;27;30;40;51;66;68;68;79;75;99;86;88;86;81;82;73;73;67;66;65;62;54;50;48;48;48;45;46;40;44;40;40;33;33;32;24;23;21;17;13;12;9;8;8;10;9;8;6;6;5;3;2;3;3;2;3;1;1;3;3;3;3;3;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;3;3;3;2;2;3;0;0;0;0;0;0;0;0;1;2;2;3;3;3;2;2;1;1;0;3;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;3;3;3;3;2;1;1;0;0;0;0;0;0;0;0;0;2;2;2;3;3;3;3;1;2;2;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;3;3;3;4;3;4;4;8;8;10;12;17;17;19;23;23;27;31;30;29;30;32;34;33;37;32;43;41;55;58;67;73;74;72;62;60;66;65;75;75;73;70;78;81;82;88;81;76;71;63;65;65;62;61;59;57;60;62;59;61;61;71;62;66;61;62;63;59;55;62;62;69;67;68;67;60;68;70;72;75;78;67;73;0
Switzerland Berne;1034977;5959;427;41.2569554686;0.0392427167;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;111;115;104;109;113;110;117;122;127;117;107;99;95;92;85;82;70;69;71;78;71;66;67;66;60;61;54;54;47;44;39;40;44;41;35;38;34;37;39;36;36;36;35;34;29;27;27;27;29;25;24;24;20;20;20;18;18;11;11;9;9;9;9;6;6;6;5;5;5;3;3;4;4;1;1;1;1;1;3;3;3;3;3;2;2;1;1;1;1;1;2;2;7;7;4;4;4;3;3;2;0;5;0;0;4;0;3;0;4;0;0;7;0;7;0;7;0;0;10;0;12;0;12;0;0;10;0;12;0;11;0;0;10;0;10;0;0;0;0;7;0;7;0;5;0;0;4;0;4;0;4;0;0;7;0;5;0;4;0;0;3;0;6;0;8;0;0;7;0;12;0;10;0;0;17;0;21;0;20;0;0;25;0;25;0;28;0;0;30;0;28;0;39;0;0;44;0;59;0;64;0;0;82;0;121;0;153;0;0;217;0;213;0;253;0;0;307;0;343;346;356;368;376;398;427;403;410;402;0;0;412;407;399;385;390;0;0;377;371;355;334;326;0;0;330;333;333;304;283;0;0;313;313;308;318;307;0;0;339;336;337;326;334;0;0;347;331;327;302;0;0;0;288;309;304;0;0
Switzerland Friborg;318714;1671;212;66.5173164655;0.0049837792;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;11;12;20;28;32;35;35;39;44;50;67;76;77;77;81;80;77;89;87;87;78;80;80;73;68;65;68;68;61;60;66;64;61;62;60;57;57;55;54;54;55;49;48;46;43;38;35;36;35;34;30;30;30;26;26;26;25;20;19;18;16;16;15;12;11;11;10;9;8;7;7;7;7;5;5;5;5;5;5;5;5;5;5;4;4;3;4;3;3;3;4;3;2;2;0;0;3;2;2;2;3;0;0;4;4;3;3;4;4;4;4;4;4;4;3;1;1;1;1;1;2;2;2;3;3;2;2;2;2;1;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;3;3;3;3;4;2;2;4;4;3;2;2;2;3;3;3;5;5;5;5;6;5;5;5;6;6;11;18;20;21;22;20;17;19;14;9;9;9;9;9;9;9;9;10;11;11;9;9;8;8;9;10;10;11;11;12;14;13;13;13;21;24;26;33;35;41;43;46;60;61;66;74;83;95;105;123;133;146;161;175;190;195;199;202;196;192;200;212;212;211;205;186;189;196;197;189;178;169;158;156;155;156;158;148;141;131;124;126;115;107;84;88;82;87;88;90;90;88;84;85;86;87;86;79;68;66;59;58;62;60;58;57;54;55;57;55;52;48;49;0
Switzerland Geneva;499480;1771;642;128.533675022;0.0275111416;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;3;3;4;4;5;7;7;9;13;18;20;23;33;41;44;62;73;76;87;104;132;173;203;217;240;254;290;315;338;358;385;382;400;399;399;398;394;391;381;366;355;344;342;346;344;326;323;307;295;296;301;286;270;263;261;253;254;255;260;238;234;227;219;223;224;223;220;205;199;188;185;184;181;176;166;167;160;158;160;16;14;16;15;11;11;13;13;7;9;5;2;2;2;8;8;10;8;3;3;10;13;12;7;10;5;5;6;6;6;4;4;5;3;9;9;8;8;7;5;5;7;8;9;6;6;3;4;8;9;8;6;4;2;2;5;5;3;4;4;6;6;6;7;6;7;10;10;9;11;12;14;14;14;13;14;15;20;20;16;16;12;13;16;15;19;17;20;11;18;18;15;11;14;16;16;16;16;14;19;19;18;18;18;12;11;16;21;16;13;12;14;20;18;12;18;15;17;21;29;29;28;27;22;23;33;27;24;24;24;23;25;26;27;26;31;27;40;42;39;41;48;50;58;55;57;63;67;76;78;93;99;110;134;169;200;207;228;260;296;331;359;403;419;458;456;474;493;521;540;551;545;554;580;631;638;620;629;629;635;639;642;606;568;533;497;466;461;460;445;418;373;355;337;337;344;313;310;290;259;243;242;236;223;217;198;198;201;203;212;197;190;163;156;153;147;151;139;137;124;133;141;144;144;146;138;122;0
Switzerland Glarus;40403;685;22;54.4514021236;0.0005374374;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;2;3;3;2;3;5;5;5;5;5;5;2;2;2;2;2;2;2;2;2;2;4;4;4;4;5;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;0;0;2;2;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;2;0;0;4;5;7;7;9;0;0;13;17;19;16;15;0;0;21;21;19;18;20;0;0;14;13;10;7;8;0;0;9;8;7;6;6;0;0;8;8;9;9;10;0;0;13;12;13;10;10;0;0;9;4;3;5;6;0;0;13;13;12;14;13;0;0;16;22;17;18;0
Switzerland Grisons;198379;7105;87;43.8554484094;0.0547858942;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;9;9;13;18;24;24;27;29;43;45;52;58;63;63;58;58;59;60;51;52;49;52;49;38;39;35;35;35;34;34;36;37;33;29;28;29;27;26;26;29;28;28;29;27;23;21;21;19;18;16;18;20;14;13;13;11;12;12;11;11;9;9;7;4;4;4;4;4;4;4;5;4;4;2;2;2;2;2;2;2;2;2;2;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;3;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;2;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;4;4;3;3;3;3;3;3;3;3;3;2;3;2;2;2;2;2;2;1;1;2;3;3;3;5;6;7;6;7;8;8;9;13;14;12;17;27;32;36;38;33;34;33;38;37;50;45;47;49;50;54;57;64;60;63;72;78;87;65;56;58;49;54;51;54;50;46;41;40;42;41;42;46;48;43;47;47;47;38;42;46;42;33;45;40;45;51;46;45;39;36;39;38;36;42;44;47;42;43;46;52;53;52;0
