Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-08-13;2020-08-14;2020-08-15;2020-08-16;2020-08-17;2020-08-18;2020-08-19;2020-08-20;2020-08-21;2020-08-22;2020-08-23;2020-08-24;2020-08-25;2020-08-26;2020-08-27;2020-08-28;2020-08-29;2020-08-30;2020-08-31;2020-09-01;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27;2020-09-28;2020-09-29;2020-09-30;2020-10-01;2020-10-02;2020-10-03;2020-10-04;2020-10-05;2020-10-06;2020-10-07;2020-10-08;2020-10-09;2020-10-10;2020-10-11;2020-10-12;2020-10-13;2020-10-14;2020-10-15;2020-10-16;2020-10-17;2020-10-18;2020-10-19;2020-10-20;2020-10-21;2020-10-22;2020-10-23;2020-10-24;2020-10-25;2020-10-26;2020-10-27;2020-10-28;2020-10-29;2020-10-30;2020-10-31;2020-11-01;2020-11-02;2020-11-03;2020-11-04;2020-11-05;2020-11-06;2020-11-07;2020-11-08;2020-11-09;2020-11-10;2020-11-11;2020-11-12;2020-11-13;2020-11-14;2020-11-15;2020-11-16;2020-11-17;2020-11-18;2020-11-19;2020-11-20;2020-11-21;2020-11-22;2020-11-23;2020-11-24;2020-11-25;2020-11-26;2020-11-27;2020-11-28;2020-11-29;2020-11-30;2020-12-01;2020-12-02;2020-12-03;2020-12-04;2020-12-05;2020-12-06;2020-12-07;2020-12-08;2020-12-09;2020-12-10;2020-12-11;2020-12-12;2020-12-13;2020-12-14;2020-12-15;2020-12-16;2020-12-17;2020-12-18;2020-12-19;2020-12-20;2020-12-21;2020-12-22;2020-12-23;2020-12-24;2020-12-25;2020-12-26;2020-12-27;2020-12-28;2020-12-29;2020-12-30;2020-12-31;2021-01-01
Switzerland;8654622;39516;7704;89.0160194171;0.0170330934;0.0177822505;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;3;4;4;11;13;14;14;27;28;41;54;75;98;120;122;153;191;231;264;300;359;433;488;536;591;666;715;765;821;895;948;1002;1036;1106;1138;1174;1239;1281;1327;1368;1393;1429;1478;1509;1549;1589;1599;1610;1665;1699;1716;1737;1754;1762;1773;1784;1795;1805;1810;1823;1830;1833;1845;1867;1870;1872;1878;1879;1881;1886;1891;1892;1898;1903;1905;1906;1913;1915;1917;1919;1919;1920;1920;1920;1921;1921;1921;1922;1922;1923;1923;1934;1936;1937;1938;1938;1939;1939;1954;1956;1956;1957;1957;1957;1957;1958;1958;1960;1962;1962;1963;1963;1963;1965;1965;1965;1966;1966;1966;1966;1967;1967;1968;1968;1968;1968;1969;1969;1969;1970;1970;1971;1971;1972;1974;1975;1977;1977;1978;1978;1979;1979;1980;1981;1982;1982;1983;1983;1984;1985;1986;1986;1987;1987;1990;1991;1991;1991;1992;1992;1992;1992;1996;1998;2000;2001;2001;2002;2002;2003;2004;2004;2005;2006;2006;2011;2012;2013;2013;2014;2014;2014;2018;2019;2020;2020;2021;2021;2025;2028;2039;2042;2045;2047;2048;2050;2054;2060;2061;2064;2064;2065;2065;2069;2074;2075;2075;2076;2077;2078;2081;2082;2087;2088;2091;2093;2096;2103;2109;2115;2122;2123;2123;2138;2145;2145;2146;2146;2146;2146;2147;2147;2158;2200;2277;2297;2326;2404;2471;2555;2628;2710;2749;2772;2902;3013;3113;3216;3315;3351;3369;3536;3664;3765;3879;3992;4031;4056;4222;4308;4393;4509;4571;4621;4650;4815;4940;5045;5181;5293;5324;5349;5495;5593;5710;5824;5928;5976;5985;6154;6266;6379;6487;6561;6602;6622;6781;6924;7029;7098;7159;7193;7210;7362;7493;7594;7645;7704
Switzerland Appenzell Inner Rhodes;16145;173;15;92.9080210592;0.0213371266;0.0223214286;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2;5;5;6;7;7;7;7;7;7;7;8;8;8;8;10;10;10;10;11;11;11;11;13;13;13;13;13;13;13;13;14;14;14;14;14;14;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
Switzerland Appenzell Outer Rhodes;55234;243;38;68.7982040048;0.0155929421;0.0164217805;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;6;7;7;7;8;8;8;10;11;11;11;11;11;11;12;12;12;12;12;12;12;17;18;18;19;20;20;20;20;21;26;27;27;27;27;29;29;29;29;29;29;29;30;30;30;31;31;31;31;31;32;32;32;33;33;33;37;38;38;38;38;38;38;38;38;38;38;38
Switzerland Argovia;677387;1404;438;64.6602311529;0.015619985;0.0161766878;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2;3;5;8;9;11;11;11;14;15;18;19;19;19;22;22;26;27;27;27;29;29;30;30;30;31;32;34;35;36;36;37;37;38;38;40;40;41;41;41;42;42;42;42;43;43;44;44;44;44;44;45;46;46;46;46;46;46;46;46;46;46;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;49;49;49;49;49;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;51;51;51;52;52;52;52;52;52;52;52;52;52;52;52;52;53;53;53;53;53;53;53;53;53;53;53;53;54;54;54;54;54;54;54;54;54;55;55;55;55;55;55;55;55;55;55;56;56;56;56;56;56;56;57;57;57;57;58;58;58;58;59;59;59;59;59;59;60;60;60;63;66;71;72;77;80;84;87;90;92;98;100;102;103;108;110;116;121;124;126;131;135;142;147;152;158;162;167;176;179;186;189;197;202;205;209;217;221;225;232;239;241;248;254;262;270;276;281;291;302;316;325;333;342;356;366;378;394;410;413;425;430;433;438;438;438;438
Switzerland Basel City;194766;37;149;76.5020588809;0.0183769117;0.0191541329;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;4;4;4;4;4;5;5;5;5;8;12;13;13;15;15;16;18;19;21;24;26;26;28;31;33;33;33;33;34;34;36;37;37;40;40;42;44;45;45;46;46;46;46;49;49;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;51;51;52;52;52;52;52;52;52;52;52;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;57;57;57;57;57;57;58;58;59;63;65;66;67;69;71;72;73;75;76;76;77;80;82;83;85;87;91;92;94;98;100;101;106;109;110;112;119;121;123;125;126;126;130;134;135;136;137;138;139;144;148;149;149
Switzerland Basel Country;288132;518;165;57.2654200158;0.0151640474;0.0159466512;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;2;2;2;2;3;3;3;3;4;5;5;5;5;6;7;10;11;12;14;19;19;19;19;21;21;22;22;23;24;25;25;25;25;25;25;25;26;26;26;30;30;30;30;30;30;30;32;32;32;32;32;33;33;34;34;34;34;34;34;34;34;34;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;36;36;36;36;36;36;36;36;36;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;38;38;39;39;39;39;39;39;40;40;41;41;43;44;44;44;44;44;44;44;45;48;48;49;50;50;51;53;54;57;60;62;63;64;65;66;66;67;67;69;71;72;75;76;78;82;85;88;89;93;99;101;103;105;106;109;117;120;124;132;134;138;141;143;145;146;148;149;156;160;164;165;165
Switzerland Berne;1034977;5959;659;63.6729125382;0.0154920307;0.016032893;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;3;3;5;6;6;7;8;9;10;13;16;20;23;26;28;28;31;33;37;38;42;44;49;49;49;53;55;67;69;71;73;77;78;79;82;83;83;84;84;85;85;86;90;90;91;91;91;91;92;92;92;93;93;94;95;96;96;96;96;96;96;96;96;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;97;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;101;101;101;101;101;102;102;103;103;103;104;104;104;104;104;104;104;104;104;105;105;105;105;105;105;105;105;105;106;106;107;107;108;108;110;113;114;117;121;123;128;133;139;145;153;155;163;168;175;177;193;203;217;233;243;248;262;273;285;292;301;306;313;324;337;347;358;361;373;379;388;405;411;418;429;440;447;449;462;469;482;494;497;498;505;518;521;531;538;554;564;567;574;586;593;602;605;611;620;640;659;659;659
Switzerland Friborg;318714;1671;409;128.3282190302;0.0175265684;0.0178337839;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;4;6;6;11;14;15;15;17;20;23;26;31;37;40;41;44;45;46;49;53;54;55;57;63;65;67;69;71;72;74;76;76;77;77;77;78;78;78;79;79;79;79;80;80;80;81;81;82;83;83;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;88;88;89;90;91;92;92;93;94;95;97;98;101;101;102;102;102;102;102;102;102;102;102;102;102;103;103;103;103;103;103;103;103;103;103;104;104;105;106;106;107;107;108;108;110;111;112;116;118;119;121;123;129;133;136;140;148;156;169;176;183;201;210;219;226;233;238;253;261;269;277;283;293;298;303;308;312;323;326;330;336;338;340;343;345;349;351;357;358;358;359;363;364;370;372;373;376;377;381;383;386;389;391;395;396;397;399;401;402;403;405;406;407;408;409;409;409
Switzerland Geneva;499480;1771;628;125.7307599904;0.0153413949;0.0156071375;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;4;4;5;6;7;9;9;10;14;15;22;24;31;39;48;56;66;75;83;89;102;108;121;131;144;154;164;173;181;185;190;197;204;210;214;218;221;227;235;238;244;246;247;248;250;252;254;257;260;261;262;263;264;269;270;270;272;273;273;274;275;275;276;276;277;278;279;280;280;281;281;281;281;281;281;281;281;281;281;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;282;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;283;284;284;284;284;284;284;284;284;284;284;284;284;284;284;284;285;285;285;285;285;285;285;285;285;286;286;287;287;288;288;289;289;289;289;290;290;290;291;291;291;292;292;292;293;293;294;294;294;294;295;295;295;295;296;296;296;297;297;297;297;298;298;298;299;300;300;301;302;302;303;303;303;303;304;304;304;307;308;309;310;310;312;316;319;324;329;334;342;348;357;369;375;379;394;403;413;424;430;445;451;464;478;495;504;515;523;525;533;537;540;548;555;562;565;571;578;581;586;587;592;596;599;605;607;608;608;609;610;610;613;617;619;621;625;626;626;627;628;628;628;628;628;628;628;628;628;628
Switzerland Glarus;40403;685;36;89.1022943841;0.0226700252;0.0241286863;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;5;6;6;6;7;7;7;7;8;9;10;11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;14;14;14;14;14;14;14;14;14;14;14;14;14;15;15;15;15;15;15;15;16;16;16;16;16;16;16;17;18;19;19;19;19;19;19;20;20;20;20;20;20;21;21;21;21;21;21;22;24;25;26;26;26;31;31;31;33;33;33;33;35;35;35;35;35;35;35;35;35;36;36;36
