Name;ISIN;Letzter;Vortag;Tief;Hoch;+/-;%;Zeit Datum;3-Mon.;3-Mon-%;6-Mon.;6-Mon-%;1-Jahr;1-Jahr-%;1 Jahr Chart;Produkte (Anzeige)
ABB (Asea Brown Boveri;CH0012221716;24.04;24.04;23.86;24.16;0.05;0.21;17:31:06 04.12.2020;0.94;4.10;3.29;15.97;2.44;11.38;;Long Short
Alcon;CH0432492467;56.6;56.6;55.84;56.98;0.90;1.62;17:31:06 04.12.2020;6.06;11.91;-5;-8.07;2.31;4.23;;Long Short
Credit Suisse (CS;CH0012138530;11.82;11.82;11.61;11.83;0.16;1.33;17:31:06 04.12.2020;1.6;15.83;1.86;18.94;-0.94;-7.42;;Long Short
Geberit;CH0030170408;525;525;522;529;-0.60;-0.11;17:31:06 04.12.2020;14.2;2.77;43.7;9.04;-4.6;-0.87;;Long Short
Givaudan;CH0010645932;3541;3541;3514;3559;-10.00;-0.28;17:31:06 04.12.2020;-214;-5.61;95;2.71;726;25.23;;Long Short
LafargeHolcim;CH0012214059;48.58;48.58;48.28;48.74;0.35;0.73;17:31:06 04.12.2020;5.93;14.00;5.39;12.56;-2.53;-4.98;;Long Short
Lonza;CH0013841017;544;544;536.2;548.4;4.20;0.78;17:31:06 04.12.2020;3;0.55;74.3;15.55;219;65.73;;Long Short
Nestlé;CH0038863350;99;99;99;101.28;-0.31;-0.31;17:31:06 04.12.2020;-9.32;-8.52;-3.84;-3.70;-1.6;-1.57;;Long Short
Novartis;CH0012005267;81.2;81.2;80.4;81.39;0.28;0.35;17:31:06 04.12.2020;2.74;3.46;-0.56;-0.68;-7.53;-8.42;;Long Short
Partners Group;CH0024608827;976.2;976.2;973;983;-3.20;-0.33;17:31:06 04.12.2020;84.2;9.53;141.4;17.11;137.8;16.60;;Long Short
Richemont;CH0210483332;73.9;73.9;73.4;74.7;-0.34;-0.46;17:31:06 04.12.2020;12.56;20.27;13.2;21.53;0.94;1.28;;Long Short
Roche;CH0012032048;302.25;302.25;298.85;302.95;2.55;0.85;17:31:06 04.12.2020;-17.4;-5.44;-36.45;-10.75;2.65;0.88;;Long Short
SGS SA;CH0002497458;2539;2539;2526;2562;-16.00;-0.63;17:31:06 04.12.2020;201;8.51;172;7.19;-2;-0.08;;Long Short
Sika;CH0418792922;223.2;223.2;221.7;224.2;-0.40;-0.18;17:31:06 04.12.2020;16.4;7.75;53.85;30.90;57.25;33.51;;Long Short
Swatch (I;CH0012255151;224.3;224.3;222.6;225.9;-0.80;-0.36;17:31:06 04.12.2020;25.2;12.64;20;9.78;-43.4;-16.20;;Long Short
Swiss Life;CH0014852781;409;409;406.4;410.9;0.80;0.20;17:31:06 04.12.2020;41.2;11.10;47.07;12.89;-67.08;-13.99;;Long Short
Swiss Re;CH0126881561;83.2;83.2;82.56;83.32;0.26;0.31;17:31:06 04.12.2020;8.94;12.00;7.82;10.34;-21.81;-20.72;;Long Short
Swisscom;CH0008742519;475.5;475.5;472.4;478;-0.60;-0.13;17:31:06 04.12.2020;-24;-4.77;-25;-4.96;-31.4;-6.15;;Long Short
UBS;CH0244767585;12.88;12.88;12.86;13.02;-0.06;-0.43;17:31:06 04.12.2020;1.69;15.09;1.72;15.40;1.22;10.41;;Long Short
Zurich Insurance;CH0011075394;364;364;360.7;365.7;-1.00;-0.27;17:31:06 04.12.2020;35;10.35;28.9;8.39;-10;-2.61;;Long Short
